Values,Values_06_01_55,Values_06_11_26,Values_06_20_56,Values_06_30_24,Values_06_39_53,Values_06_50_08,Values_07_00_37,Values_07_11_06,Values_07_21_58,Values_07_32_36,Values_07_43_12,Values_07_53_24,Values_08_03_32,Values_08_13_44,Values_08_23_54,Values_08_34_03,Values_08_44_25,Values_08_54_43,Values_09_05_00,Values_09_14_34,Values_09_24_16,Values_09_34_02,Values_09_43_45,Values_09_53_32,Values_10_03_39,Values_10_13_27,Values_10_23_14,Values_10_33_27,Values_10_43_37,Values_10_53_41,Values_11_02_32
-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142,-0.0008840228714142882
0.0011788001297938,-0.0016075662040099,-0.0018043927254256,-0.0010622114497313,-0.0002802721237569,0.0003951099405442,0.0008907230634684,0.0006783707859957,-0.001370103638342,-0.004812963757605,-0.0087224096415335,-0.0127259222596345,-0.0166727785949072,-0.0204785688033763,-0.0240905240686771,-0.0274790255403116,-0.0306326442407486,-0.0335531348769164,-0.0362507599840015,-0.038740530090849,-0.041039517244495,-0.043165106732799,-0.0451339572184666,-0.0469614522119139,-0.0486614722387821,-0.050246363803397,-0.0517270192765118,-0.0531130109070911,-0.0544127436122002,-0.0556336063009509,-0.0567821114568275,-0.057716363810939426
0.0045109389335822,-0.0011006488301069,-0.0014862304403379,6.03379817683302e-06,0.0015803367897572,0.0029451339905862,0.0039554028656683,0.0035598411438217,-0.0004902493332177,-0.007310317884523,-0.0150482787161536,-0.0229648259923651,-0.030763654656901,-0.0382796330376897,-0.0454097240547746,-0.0520963150198272,-0.0583175178010657,-0.0640773271644805,-0.069396411383207,-0.0743047085813159,-0.0788361429064261,-0.0830251922366221,-0.0869048519758924,-0.0905055655488733,-0.0938547847365585,-0.09697691574408,-0.099893482097744,-0.1026233928148153,-0.1051832465316279,-0.1075876319705418,-0.1098494047047113,-0.11168917022359193
0.0098504802687492,0.0013673108067494,0.000800688245243,0.0030529517033094,0.0054321978661975,0.0075023391021797,0.0090477500588512,0.0084981115581151,0.0024900948253118,-0.0076465793431862,-0.0191374680883479,-0.0308817405719461,-0.0424425204605721,-0.0535775870212339,-0.0641361100776919,-0.0740341051139743,-0.0832402091861293,-0.0917611686334282,-0.0996282329033078,-0.1068862188196103,-0.1135857157421625,-0.1197780319620374,-0.1255122049915042,-0.1308334384795494,-0.1357824668757164,-0.1403954870544432,-0.1447044077085432,-0.1487372521869251,-0.152518612842635,-0.1560700987535758,-0.159410747518129,-0.16212796284500286
0.0174982143461478,0.0060850295659618,0.0053445617360106,0.0083699713509943,0.0115702081724816,0.0143647015246765,0.0164681317267105,0.0157936908821325,0.0078666743499503,-0.0055336511007015,-0.0207099445255032,-0.036204412013239,-0.0514444445906513,-0.0661142981503811,-0.0800177937153314,-0.0930461937525314,-0.1051596645485323,-0.1163682511345676,-0.1267140038521441,-0.1362566165064377,-0.1450632029552315,-0.153201682642788,-0.1607368791550793,-0.167728490663899,-0.1742302752396077,-0.1802899768775518,-0.1859496653604991,-0.1912462747686915,-0.1962122073892434,-0.2008759272074008,-0.2052625049293318,-0.20883026808902552
0.0276945180411503,0.0132785064270334,0.0123709150974955,0.0161864409514574,0.0202278499253338,0.0237694447287266,0.0264567856167736,0.0256873526180789,0.0158753059026138,-0.0007438757585297,-0.0195466170110265,-0.0387219668473404,-0.0575662619658975,-0.0756937460443538,-0.0928653117583225,-0.1089490881825615,-0.1238977975043937,-0.1377253688011842,-0.1504849198392532,-0.1622510692647891,-0.1731073631034873,-0.1831381575839848,-0.192423846651031,-0.2010383927629199,-0.2090483493572448,-0.2165127905471688,-0.2234837459405522,-0.230006876348758,-0.2361222270823886,-0.2418649661557322,-0.2472660610971126,-0.25165870568887755
0.0407628203034879,0.0232547768666689,0.0221864083150157,0.0268133539975424,0.0317208376632626,0.0360366375353203,0.0393374117705833,0.0385038273030859,0.0268358780800503,0.0070344007793366,-0.0153444332546213,-0.0381395438344018,-0.0605207564607584,-0.0820357786825187,-0.1024049822821747,-0.1214749891048543,-0.1391921295937144,-0.155574842110179,-0.1706876260397958,-0.1846201226788459,-0.1974722663424839,-0.2093447204405173,-0.2203332736380622,-0.2305259576002679,-0.2400019233349147,-0.2488313842730155,-0.2570761510630369,-0.2647904465356965,-0.2720218086987514,-0.27881197302432,-0.2851976799706463,-0.29039075218635785
0.0570553137856927,0.036347116168971,0.0351240506854593,0.0405886974332989,0.0463926177264098,0.0515148452882337,0.0554629670316386,0.0545976870537651,0.0410981908331115,0.0181425511418375,-0.007770773008071,-0.0341327859675818,-0.0599912367421085,-0.0848307596665632,-0.108333612676008,-0.1303265501894593,-0.1507505932493579,-0.1696293574367325,-0.1870390875324881,-0.2030845965536492,-0.217882212552625,-0.2315488218362435,-0.2441954725486422,-0.2559241057952062,-0.2668263028582386,-0.2769832518622121,-0.2864663881201177,-0.2953383509614932,-0.3036540372393213,-0.3114616275049248,-0.3188035235333047,-0.3247737626139439
0.0769418697983294,0.052903756492931,0.0515319566057372,0.0578662574166555,0.0646032388143606,0.0705700831480679,0.07520471934098,0.0743425225871998,0.0590312736114581,0.0329411430412523,0.0035262039301056,-0.0263580046548062,-0.0556415163709581,-0.0837493691361175,-0.1103281292471857,-0.1351863458452482,-0.1582608478997364,-0.1795811417415262,-0.1992356325114513,-0.2173445060452385,-0.2340405391150149,-0.2494568018059183,-0.2637195065200954,-0.2769443788479701,-0.2892352929930999,-0.3006842727525076,-0.3113722435780322,-0.3213701344400376,-0.3307400831670178,-0.3395366067499519,-0.3478076685309424,-0.35453293959708676
0.1007873547483008,0.0732650972480388,0.0717506065364132,0.0789929072084434,0.0867066821731708,0.0935632137981377,0.0989297413783255,0.0981085797077232,0.0810012325152282,0.0517880428646582,0.0188959388907669,-0.0144735160738276,-0.04713697312244,-0.078463397475519,-0.1080661200115501,-0.1357371793321328,-0.1614103700247216,-0.185121850810612,-0.2069726540998102,-0.227098591336838,-0.2456489915403038,-0.2627731132692538,-0.2786122764693462,-0.2932958995250315,-0.3069400406493872,-0.3196474444849436,-0.3315084126499138,-0.3426020543811245,-0.3529976455312452,-0.3627559436736042,-0.3719303849712812,-0.379389546938891
