Values,Values_01_51_40
9.048888205468444,9.048888205468444
1.1052434851438369,1.10524904972953
0.0308417836692826,0.030664628893197633
-0.0348392016430057,-0.03521689012798945
-0.0802002629511984,-0.08077205775739495
-0.1139173832275373,-0.11467633035010485
-0.1440810424348254,-0.1450200612953272
-0.169085826707781,-0.17019799308181446
-0.1887627709418872,-0.19004131697417775
-0.2029263208207264,-0.20436462226605204
-0.2111977189114065,-0.2127892741738086
-0.213223307219585,-0.21496171531500224
-0.2086343186038631,-0.21051324875457725
-0.1970745616512724,-0.19908771239565048
-0.1782268888299562,-0.18036793519578748
-0.1518272675890175,-0.15408979527618732
-0.1176819427285041,-0.12005936978139374
-0.0756784257734525,-0.078163913543309
-0.0257933616703836,-0.028379718344780525
0.0319037642351493,0.029224182690981267
0.097250316407693,0.09448570157600168
0.1699933879451298,0.1671525629055027
0.2497940712255631,0.24688655443121676
0.3362334948360905,0.33326953463394754
0.4288171493328788,0.42580771975790305
0.5269785344968659,0.5239352836601885
0.6300828575452262,0.6270180013682837
0.7374154988994359,0.7343416552819082
0.8482012070115976,0.8451311688478261
0.961563657320003,0.9585101067446818
1.076524959050638,1.0735001302248526
1.1921520220578137,1.1891673245778895
1.3071032308378123,1.3041688543368644
1.4200417905722638,1.4171663052744385
1.5321099677651435,1.5292999530417186
1.646361094226291,1.6436208915718769
1.7637713209511443,1.7611029224497725
1.88297777687638,1.8803807174371745
2.002641509446716,2.0001127358370594
2.1216406004576385,2.119174396642381
2.238665107593212,2.236253095687196
2.352417123725512,2.35004834213236
2.461619115122414,2.4592801895759946
2.5650128158438976,2.5626882284477923
2.661412301137298,2.6590847570828604
2.7497220783207883,2.7473729637160935
2.828969924387374,2.8265798419947985
2.898333371327962,2.8958827362874975
2.957162521768322,2.9546321973539107
3.004999435768384,3.002371390730502
3.0415913127218177,3.0388492865475207
3.0668988919400886,3.0640290615432373
3.081099405561496,3.0780910542997275
3.084585205798757,3.0814314009466024
3.077958590362736,3.0746568757391164
3.062023631990085,3.0585767368269554
3.0377753787260544,3.034191931879497
3.0063864587897675,3.0026816805835974
2.9691906880244754,2.9653870134215135
2.927662960626235,2.923790531012694
2.8833945789300524,2.879491529550083
2.838063296390802,2.8341757654029838
2.793397677330754,2.7895794718858626
