Values,Values_00_43_17,Values_00_53_14,Values_01_03_03,Values_01_13_14,Values_01_23_35,Values_01_33_56,Values_01_44_17,Values_01_54_38,Values_02_04_59,Values_02_15_28,Values_02_25_45,Values_02_36_33,Values_02_47_27,Values_02_58_25,Values_03_09_15,Values_03_20_13
-0.1582563639310513,-0.1281337873224596,-0.1039582612445901,-0.0889870878168546,-0.0785257688635633,-0.0706736272008728,-0.0644707040124499,-0.0593561801248315,-0.0549816737814503,-0.0511218569497226,-0.0476249255742058,-0.0443840176905642,-0.0413205919723744,-0.0383747803105131,-0.0354998113863119,-0.032658783553146,-0.02982275618810719
-0.0904446258543673,-0.0589891610660606,-0.0335127402873054,-0.0174329359954934,-0.0059369998878292,0.0029109965015785,0.0100861920870952,0.0161583276110843,0.0214814488620697,0.026284454253913,0.0307213286559118,0.0349002020481954,0.0389002946030255,0.0427817800679019,0.0465915035287909,0.050366299212125,0.054134956119905285
-0.0199637024498831,0.0128254259956673,0.0396248160543801,0.0568547297427577,0.0694382080634691,0.0793419200973591,0.0875536242541771,0.0946504812537273,0.1009912762655322,0.1068078702573245,0.1122559983308393,0.1174447310562898,0.122453704465913,0.1273431795907448,0.1321598916328974,0.1369404534616583,0.1417133754907909
0.052702437544835,0.0868132203399341,0.114946082792175,0.133357738025071,0.1470727047804008,0.1580834899067959,0.1673876970545438,0.1755682758262955,0.1829877445721012,0.1898802666023341,0.1964028625539977,0.2026651938487586,0.2087470350516345,0.2147085074493115,0.2205960482925497,0.2264458940666344,0.2322861512080789
0.1265552081363274,0.1619609771026892,0.1914241785251666,0.2110371524620492,0.2259162741150706,0.2380746233386307,0.2485166775674519,0.2578294235304714,0.2663780301242977,0.274398253838974,0.2820479047780949,0.2894368656942388,0.2966447605234887,0.3037313376619829,0.3107425465161884,0.3177140936787926,0.3246735603791527
0.2017450738418943,0.2384026872494547,0.2691773889281988,0.2899969547765996,0.3060592503347875,0.3193923424800663,0.3310044369899036,0.3414846981799402,0.3511997939891543,0.3603863209674589,0.3692023550606149,0.3777576143504506,0.386131274236593,0.3943824739498264,0.4025564862573406,0.4106883387048076,0.4188049729627109
0.281403896841214,0.31925297342892,0.3513035880129121,0.3733193721381914,0.3905687041507091,0.4050887943377739,0.4178882910251036,0.4295565878622802,0.4404606429160472,0.4508371031307189,0.460843764365459,0.4705897816422897,0.4801535786298205,0.489593449076367,0.4989538042483333,0.5082688504759516,0.517564784835257
0.3684422925066209,0.4074060934482877,0.4406810509167112,0.463867413693725,0.4822927066014969,0.4979972524679103,0.5119867467240914,0.5248487926291929,0.5369493825608307,0.5485243942355276,0.5597307794473675,0.5706767222720521,0.5814395882874619,0.5920765911125714,0.6026311010936186,0.613136369575155,0.6236177546814862
0.4626911082148524,0.5026768573440177,0.537109007585189,0.5614252379022834,0.5810006155205127,0.5978723872255537,0.6130397977051487,0.627086571869566,0.6403764354811087,0.653143648343799,0.6655437364917797,0.6776834957276036,0.6896389240149753,0.7014659219629158,0.7132066452973759,0.7248932654981475,0.7365502187641557
0.5629678587966631,0.6038652485318552,0.639370439378336,0.6647593280678172,0.6854427020045167,0.7034483818415153,0.7197655558991194,0.7349719103372833,0.7494275552066314,0.763364252502222,0.7769355016686555,0.7902462826573179,0.8033709128375449,0.8163637488447146,0.8292655643283823,0.8421073357449246,0.8549125068415296
0.6684833300860036,0.7101628025742501,0.7466381611121227,0.7730242891258134,0.7947556537740619,0.8138441377288334,0.8312651586382671,0.8475881295783959,0.8631681461382286,0.8782335602533092,0.8929352241297752,0.907375863815365,0.9216277998391812,0.9357436163541096,0.9497625445316618,0.963714261375151,0.9776211612372272
0.7782894691672018,0.8206011070863737,0.8579239109244289,0.8852124890635208,0.907912754027526,0.9280139859266054,0.9464740126143706,0.963851667213938,0.9804955827405532,0.996629756371575,1.0124017524862767,1.0279115947172226,1.043229287448152,1.0584054166916022,1.0734775183491787,1.0884738769408564,1.103415794802856
0.8913195320709392,0.9340923543895728,0.9721192626230394,1.0001953108510928,1.0237654601997015,1.0447895879815288,1.0642040176030385,1.0825546275579243,1.1001820931296429,1.1173050807352902,1.1340672070343285,1.1505653347292986,1.1668668301187977,1.1830200587120414,1.1990607164222409,1.215015614115984,1.230904934240408
1.0065031273669347,1.0495449299416888,1.0881117075743592,1.1168397013225473,1.141160403538741,1.162997379783245,1.183261454659602,1.2024831183174658,1.2209935509036312,1.239005083446712,1.2566567072625716,1.274041656608038,1.2912243358146789,1.3082506713181357,1.3251543827418744,1.3419607381853025,1.3586887871258926
1.1227162449473278,1.1658141167589346,1.2047359915814404,1.233960113538636,1.258891921791635,1.281411689107132,1.3024006893550624,1.322371544291068,1.341644366510805,1.360424122575911,1.378844485569955,1.3969945862713775,1.4149355420981826,1.4327106260902676,1.450351453816059,1.4678816933725416,1.4853192625274378
1.2388352167905006,1.2817567869084727,1.3208294904047655,1.350374538876017,1.3757587306966406,1.3988120395144437,1.4203821078950636,1.4409611797960182,1.460856702743217,1.4802652311349211,1.4993144151367723,1.518088801538371,1.5366458959400549,1.555026108344117,1.5732588309260656,1.591366085850553,1.609364673792706
1.3537569892486534,1.3962524695150762,1.435254034959555,1.4649270628844149,1.4905871936954649,1.51400712657501,1.535996798851211,1.557025558937283,1.5773865791090234,1.5972669426957316,1.6167875648701355,1.6360279249796084,1.655041593219537,1.6738659119367356,1.692527938600249,1.7110480137834858,1.729441847466416
1.466427448531613,1.5082324903352873,1.5469258339077774,1.5765185456972424,1.6022627430458285,1.6258669710477331,1.6480994355393437,1.6694040880217071,1.6900582174785064,1.7102383749357697,1.7300580263880008,1.7495911003233346,1.7688869106601273,1.7879795327124588,1.806893585222158,1.825647700259348,1.844256533094175
1.5758742203479308,1.6167135663689876,1.654849841822935,1.6841417402853416,1.7097657308233802,1.7333594922891695,1.7556455663209285,1.7770400504007358,1.7978027611587226,1.8180986639195351,1.8380330652379748,1.857673862710121,1.877065797292402,1.896239483187328,1.915217002606164,1.9340152589371569,1.9526478955223805
1.6812344309771952,1.720826297290703,1.7581489706194502,1.7869112027098657,1.8122020206587903,1.835581769161474,1.857723535918389,1.879013181833016,1.8996914995412928,1.9199108342929565,1.939767633500876,1.9593232908490004,1.9786176633365111,1.9976777151641685,2.0165228990280664,2.0351683737341486,2.05362681695632
1.781783334948022,1.819844414459861,1.8560939594706416,1.884093763890001,1.908834043791304,1.9317916657073984,1.95358666820904,1.974572399470624,1.9949691334737625,2.014915591987277,2.03449868123512,2.0537728288329484,2.072772704049921,2.091521437151473,2.1100357615141982,2.1283290769592997,2.1464131415324976
1.876957220319928,1.9132081578145024,1.9481272317903529,1.975132850010416,1.999105565507548,2.021433026861739,2.0426788751180283,2.0631618085287533,2.0830801649153106,2.102558082555916,2.1216722695306145,2.14046974014771,2.158979681010302,2.1772212092236547,2.1952082504952464,2.2129524298444743,2.230464627657088
1.9663715442453555,2.000542703184,2.0338816288981114,2.0596675082251767,2.0826609859908847,2.1041552361103024,2.124654452041319,2.1444407163025905,2.163689110549055,2.1825082856607896,2.200964127431577,2.2190958088425337,2.236926749549768,2.254471878900632,2.2717422264560296,2.2887476224260768,2.3054981037283446
2.0498315719446487,2.081668895904139,2.1131912562866635,2.137543353942234,2.1593563730519194,2.179824314866573,2.1993892231716705,2.2182948019349387,2.236691674302806,2.2546721688000315,2.272290765619814,2.289578392279246,2.3065524300718767,2.3232234509463474,2.339599498562446,2.355688581809362,2.371499917344932
2.127335039760551,2.156605810435215,2.186093958227748,2.2088149518259184,2.229261736246184,2.24852507187286,2.26698254557549,2.284837953257721,2.3022163946375587,2.3191931228231293,2.3358106783106867,2.3520913680939257,2.368046279390329,2.383681463091033,2.399001885526624,2.414013699741869,2.428725312009242
2.199066022507043,2.225564330419154,2.252824627057449,2.2737388493578625,2.292653774865677,2.3105535503994954,2.3277494370481007,2.34440405515356,2.360616072751138,2.3764430094351146,2.3919149900125327,2.407045360888503,2.421838678898628,2.43629631819776,2.450420075342626,2.464214204608507,2.4776862972411147
2.2653801186885896,2.288931889391716,2.3137995124640445,2.3327574540093403,2.349999317655411,2.3664000194245376,2.382203104098165,2.397529037965872,2.4124493245009826,2.427003199903657,2.4412079649102663,2.455067707076149,2.468580240734384,2.481742118798163,2.494551876529312,2.5070118190619777,2.5191287036595993
2.32678151560536,2.3472489673601764,2.369592158732844,2.386474415343568,2.401930149800951,2.416723239764707,2.431028637863771,2.444923992102441,2.45845310207644,2.4716364924136114,2.484478309215291,2.496973132535446,2.509111852235159,2.520886071163156,2.532290976026652,2.543326867399306,2.5539996369540026
2.383893089568834,2.4011785313389624,2.420902191538837,2.435622767698658,2.449210517458541,2.4623173307482022,2.475049239641597,2.487440747387276,2.499507621597412,2.511251382550778,2.522662779862315,2.5337266958399494,2.5444269512049846,2.5547500914147188,2.564687876331736,2.574238545295888,2.5834070831734235
2.4374211358902547,2.4514700400843625,2.468518601771521,2.4810275087551044,2.492699013260581,2.5040729691951658,2.5151867362412568,2.526031705840128,2.5365955137061507,2.546860532178356,2.55680397270202,2.56640089765749,2.57562795945566,2.5844665672968863,2.592904990788373,2.6009393551066102,2.6085736917007236
2.4881166521127867,2.4989199495827306,2.513279478627211,2.5235645826559696,2.5333068281233406,2.5429349225580795,2.5524184031532706,2.561705961427986,2.57075724551506,2.579535499008546,2.5880043654173326,2.596129043325581,2.603878972131048,2.6112303822128955,2.61816801121261,2.624685826856127,2.6307868602358413
2.536735262964013,2.5443308061687064,2.556030280666826,2.5641183593356813,2.571954464349368,2.5798580143413927,2.587732196166768,2.595483809060996,2.603044916741643,2.6103598290243344,2.6173787152725567,2.6240569551758446,2.630356794251314,2.636249286132564,2.6417156238446142,2.6467475904460858,2.6513471749532203
2.583997927383525,2.588471052951782,2.597582759946099,2.603539716268572,2.6095290080791367,2.615763611678074,2.6220824726176635,2.6283517144748725,2.634476491074985,2.6403825609801674,2.646006847766103,2.651295056077041,2.6562023298203137,2.660694600998037,2.664749541907164,2.6683567463552875,2.671517130446822
2.630554461978984,2.632037561530519,2.6386765333783595,2.6426067011889565,2.6468439252116363,2.651498585090112,2.656348138003678,2.6612196659126366,2.665992368112758,2.670574031846856,2.674888707569812,2.678872677008042,2.682474156589371,2.68565407282174,2.688386644871692,2.690659301658456,2.6924718718648575
2.676951708264396,2.675622694765328,2.679945090101466,2.681989550042908,2.6846031420187515,2.687798489310125,2.6912949546899068,2.694882632066766,2.6984160077647035,2.7017856820985187,2.7049033571302417,2.7076962599258616,2.7101059430046264,2.7120885116209927,2.713614849554786,2.714670279854769,2.7152535505345177
2.7236078945150286,2.7196874408201617,2.7218877683985765,2.722221589298041,2.7233709365664427,2.725256489084714,2.7275435348976544,2.7299876469914373,2.7324201264509345,2.734715378791297,2.7367734394347423,2.7385129708669664,2.739869220564134,2.7407937305458705,2.7412542223842262,2.741234011709461,2.740730798073841
2.770794378686939,2.76454181537906,2.7648489120086546,2.763677246612972,2.763548879900125,2.764299284436904,2.7655442884183885,2.76700780875626,2.7684997684998947,2.7698795767251294,2.771036442330795,2.771881077945219,2.7723428836787822,2.7723691738720992,2.77192474023612,2.7709910324104405,2.7695647623956035
2.818625566309826,2.8103333655361187,2.8090050789179704,2.8065580819487805,2.805360777606724,2.805171024362397,2.805560352431929,2.80622425778325,2.806953357463284,2.8075934614136817,2.808023947364466,2.808148316679368,2.8078906791558618,2.807194535878067,2.806022041977324,2.804352967510372,2.802183128641827
2.8670573769797887,2.85704422172974,2.854360818398951,2.8508874211146256,2.8488462577013856,2.847925917520452,2.847659273869773,2.847716966811736,2.84787262062229,2.847960028406346,2.8478498789560143,2.847439319783705,2.8466478238173725,2.8454155705718285,2.843702432214298,2.8414867307730174,2.8387635098643726
2.9158941736056194,2.9044967161899224,2.900753131840345,2.8965137982056497,2.893863297794752,2.892429916564576,2.891713902888067,2.891364881825988,2.891142006013951,2.8908687977401017,2.8904085317447588,2.8896529680161693,2.8885176853887584,2.8869401057728377,2.8848782289792974,2.882309203750324,2.8792274552390564
2.9648036141816494,2.9523671553640103,2.9478643214606084,2.943123018564904,2.9400996041660235,2.9383714854176755,2.937412600556514,2.936855608851664,2.936447877229428,2.9360045380267663,2.9353828390253907,2.934470212774213,2.933179164610826,2.9314449863643115,2.929224266707493,2.9264932946996693,2.9232460594114333
3.013338450599338,3.00020690724501,2.995242510179427,2.99025823652316,2.987092339722361,2.985281043632519,2.984278448231585,2.9837044246655933,2.983297352557344,2.982865953720511,2.9822629216022487,2.9813724946448232,2.980104986990116,2.978394238851665,2.97619593000927,2.9734858354567195,2.970257714496006
3.060963857956708,3.0474695125063618,3.042328651519032,3.037346964289377,3.034255205581591,3.0325581746519967,3.031696623081072,3.0312818503088144,3.031046099367173,3.0307937166444354,3.030374366973007,3.029670275688915,3.028590489196132,3.0270681090891287,3.025058436789808,3.0225371014988265,3.0194978567431
3.1070885080647503,3.093542125686135,3.0884884136576995,3.0837334620284937,3.080911383288832,3.079505155681073,3.078948543674562,3.078848434200646,3.078933770937787,3.079006567568636,3.0789150019456373,3.078540485066027,3.0777917358065414,3.076601844905725,3.074926278692617,3.072740899855476,3.0700396898023845
3.151097322077393,3.137779260975376,3.133046940273225,3.12871453007092,3.126330369429648,3.125364846325862,3.125250824182406,3.125594781797985,3.126125118877476,3.126643515641152,3.1269981801637763,3.127070892670596,3.1267709742377874,3.126032224993564,3.1248108144431126,3.123083215607549,3.12084387164526
3.1923836445410894,3.1795365576197208,3.1753241696291314,3.1715763451678045,3.169766300056358,3.1693604850845585,3.169796535003469,3.1706842761321883,3.171754170367836,3.17280946874324,3.173699860913156,3.1743086303990515,3.1745465911123865,3.174348941716675,3.173673069267251,3.1724964170550147,3.1708141137384405
3.2303785800859783,3.2182022079946497,3.214668257083126,3.2116297869093207,3.2104951104063275,3.210734636984417,3.211795909500774,3.2132955241310728,3.2149683995557514,3.216621118102703,3.2181061965382027,3.2193094727478297,3.22014407686392,3.220547240800132,3.220478040849684,3.2199152191120866,3.218854792910873
3.264575396065336,3.253223790091732,3.250484688314536,3.248241691263594,3.2478478189406643,3.248784434510289,3.2505134925036536,3.2526613780363,3.254969596240134,3.257249634455056,3.2593580404051994,3.2611841440303646,3.262644122155256,3.263677798896993,3.264246351565508,3.26433010487764,3.2639261376893027
3.294547233970759,3.2841285410655106,3.2822589267561666,3.280859690658907,3.2812374171831684,3.2828904191576767,3.28529886611456,3.2881014973255613,3.291048228356331,3.293956804403488,3.2966888372039174,3.299137948135128,3.301223977142239,3.3028898061800698,3.304099051275114,3.304833847852921,3.305092470841491
3.3199569152324613,3.3105356325514355,3.3095709482898377,3.309028799279722,3.31017733933874,3.3125367792480835,3.315608574371065,3.3190459015150395,3.322608579706591,3.326121721278224,3.329452844164894,3.3325005048483893,3.3351886939920963,3.337463711481492,3.3392918658881947,3.340657268172619,3.3415594800081485
3.34055828276272,3.332159674418018,3.332100694200311,3.33239859484808,3.3342901954694835,3.3373215087233445,3.341017618269704,3.345047736469525,3.3491827398948124,3.3532559642040187,3.3571414754791955,3.3607432448473067,3.3639897653840425,3.366831003755284,3.369236126602169,3.371191318645291,3.3726974727015255
3.3561892582080968,3.3488054477357303,3.349624282669766,3.350720693894184,3.3533063356602915,3.356955934526697,3.361219855983016,3.36578448145094,3.370432570001681,3.3750062881341987,3.379386693930151,3.383483490019192,3.3872298890295216,3.390579663439152,3.3935049166099653,3.395993939944033,3.398048956527488
3.366757545485931,3.3603546724488766,3.3620016754730853,3.363837125052743,3.367052771458835,3.371254070802168,3.3760177059421377,3.3810479396714914,3.386139936129052,3.3911450695002627,3.3959516491939006,3.400475274737834,3.4046539706506667,3.4084453529524863,3.4118244607444543,3.414781665570073,3.4173204790213174
3.37222055800205,3.366746325370886,3.369157266209305,3.3716610321467044,3.375433864449072,3.380113197443168,3.3853025452305614,3.3907244052344403,3.396186608326444,3.40154991271022,3.40670997783784,3.411588334206616,3.4161278031419178,3.420289795551515,3.4240522181064774,3.427407446390031,3.43036020517611
3.3725616404912944,3.367952581695024,3.3710554733347955,3.3741518117744747,3.3784059183506034,3.3834878390286804,3.3890280251305303,3.394767278862643,3.4005261514735543,3.4061748008840254,3.4116162070282883,3.416777761532062,3.4216069835938394,3.426068964024215,3.430144358265427,3.433827433314985,3.43712402781376
3.36776493894162,3.363952794091061,3.3676738153714862,3.3712872331175703,3.375948299482689,3.381359851626597,3.3871790983353494,3.393165017393488,3.399150786153718,3.4050158637611663,3.41067043095521,3.4160475991936794,3.421099430573612,3.4257945379810297,3.430116175422731,3.434060367147085,3.437633953229974
3.357791287695054,3.3547079880846,3.35897605399333,3.3630352347766643,3.368033892203652,3.3737075383868507,3.379739795211415,3.385907572590504,3.3920564944721225,3.3980751579177992,3.403880775651759,3.409412001108249,3.4146252580370744,3.4194925056812497,3.423999435217348,3.428143688020654,3.431932991181704
3.3425572750514565,3.34013818259833,3.3448878536647872,3.3493279841188963,3.3546016100445697,3.3604766491735605,3.3666627385958487,3.3729544427954083,3.379209628109101,3.385325849935989,3.39122717562928,3.396857620765045,3.4021777925599275,3.4071628273556565,3.4118007004043607,3.4160905388977767,3.4200408508460587
3.32191924654204,3.3201044683832226,3.32527705171892,3.330040446477731,3.335533357752118,3.3415558035663464,3.347843077935399,3.3542071576576133,3.360517976536008,3.366681896558806,3.372629690975512,3.378310587270792,3.383689227560112,3.38874378424171,3.3934643889500777,3.397851544844084,3.4019144515828583
3.2956634684746544,3.2943972533794352,3.2999401183821817,3.304975202617101,3.310637332643678,3.316758369298567,3.3230990138654333,3.3294885024499066,3.335808734312348,3.341974790575253,3.3479240612111623,3.3536108911340192,3.359003860087961,3.364084081075094,3.368843753063384,3.373284676155662,3.377416675040261
