Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
1.4837105680703788,1.6761517932698045,1.7376885747352573,1.828430055017264,1.8842093870211,1.930365022384224,1.9831224784594383,2.03921369360011,2.087440886316399,2.1254741305525875,2.1558073886241527,2.1809235925401245,2.202437510238737,2.2213451192083613,2.23829177681137,2.253723540279012
1.481198944302333,1.6734265718972918,1.7348867141624489,1.825495881860533,1.881189333978656,1.9272710948454592,1.9799430741402468,2.035942637116476,2.0840900130632964,2.1220592988856657,2.1523406471751385,2.1774130961489244,2.1988888841727627,2.217762448016041,2.2346781638682858,2.2500814221768985
1.4814016871464433,1.673345768143983,1.734673481913781,1.825123806744931,1.8807248604328384,1.9267312301074777,1.97931651728752,2.035224069202283,2.083292637858503,2.121200079336525,2.15143255887138,2.1764650996890444,2.197907254708115,2.21675173134567,2.233641729671179,2.249021792710855
1.483658537647666,1.675278030619591,1.736431444719137,1.8266997324884504,1.8822014095925297,1.9281298762250785,1.9806266434994184,2.036441485262201,2.084431862377718,2.122278956529214,2.1524647116514988,2.1774600284379977,2.198871667869769,2.217690480454822,2.234558355515184,2.2499188624009374
1.48830092630768,1.679565718889304,1.740507353962174,1.8305702343724688,1.8859644785131,1.9318115392593824,1.9842173007071493,2.039938382201153,2.0878509379041,2.1256388793121017,2.1557796321489087,2.180739867206049,2.202123472879156,2.220919346752291,2.2377679621512074,2.25311181340894
1.4955904422818234,1.6864826064345135,1.7471805579342896,1.837015322868485,1.892293358922456,1.9380547219094555,1.9903664598311743,2.0459924264966087,2.093827282039912,2.13155694719203,2.161653985289591,2.186580732484172,2.207938148221904,2.22671311082206,2.243544600463802,2.258873959330465
1.505860757904416,1.696375566998276,1.7568045997736077,1.8463900444532069,1.9015427577243047,1.9472135625753304,1.9994278654825848,2.0549571107028046,2.1027141395844087,2.140386077342985,2.170440250490669,2.195334560984546,2.216667005206172,2.235422403019669,2.252238190460639,2.2675545033197295
1.5194589386698416,1.7096061809574472,1.7697490596470724,1.859066484616985,1.9140848709218403,1.959659950430028,2.0117731802096275,2.067203913924654,2.1148827496580305,2.152497174484032,2.1825088930682823,2.2073712820175464,2.2286793608028703,2.247415876266969,2.264216693572699,2.2795207095566634
1.536728300548993,1.7265336683231804,1.7863826021862743,1.875416931830274,1.9302926132487024,1.97576679898978,2.027775290179517,2.0831056282732687,2.1307056856853737,2.168262482120308,2.198231726754354,2.2230621917983155,2.244345924118748,2.263063604815057,2.279849523611935,2.2951413261393943
1.5579778591703612,1.7474843475319368,1.807042515335506,1.8957835228763464,1.9505093312258155,1.9958778071443304,2.047778102443345,2.103006181859464,2.150526697600951,2.1880254418825325,2.217951790156488,2.2427498474611265,2.264008708243588,2.2827070139233734,2.2994774940276628,2.314756549459818
