Values,Values_10_11_54,Values_10_22_28,Values_10_33_04,Values_10_43_04,Values_10_53_01,Values_11_02_57,Values_11_12_55,Values_11_23_45,Values_11_34_08,Values_11_44_25,Values_11_54_46,Values_12_05_04,Values_12_15_19,Values_12_25_35,Values_12_35_19,Values_12_44_41,Values_12_54_18,Values_13_04_39,Values_13_16_18,Values_13_28_18,Values_13_39_30,Values_13_51_27,Values_14_03_34,Values_14_15_20,Values_14_26_59,Values_14_39_07,Values_14_51_16,Values_15_01_45,Values_15_11_00,Values,Values_15_20_47,Values_15_30_14,Values_15_39_39,Values_15_49_04,Values_15_58_28,Values_16_07_50,Values_16_17_15,Values_16_26_35,Values_16_35_58,Values_16_45_19,Values_16_54_40,Values_17_04_01,Values_17_13_27,Values_17_22_47,Values_17_32_08,Values_17_41_27,Values_17_50_47,Values_18_00_09,Values_18_09_29,Values_18_18_49,Values_18_28_09,Values_18_37_28,Values_18_46_46,Values_18_56_07,Values_19_05_28,Values_19_14_48,Values_19_24_08,Values_19_33_26,Values_19_42_44,Values_19_52_04,Values_20_01_24,Values_20_10_43,Values_20_20_03,Values_20_29_22,Values_20_38_41,Values_20_47_58,Values_20_57_16,Values_21_06_34,Values_21_15_53,Values_21_25_12,Values_21_34_30,Values_21_43_47,Values_21_53_06,Values_22_02_27,Values_22_11_48,Values_22_21_12,Values_22_30_30,Values_22_39_46,Values_22_49_02,Values_22_58_19,Values_23_07_36,Values_23_16_54,Values_23_26_09,Values_23_35_27,Values_23_44_45,Values_23_54_02,Values_00_03_18,Values_00_12_35,Values_00_21_52,Values_00_31_07,Values_00_40_24,Values_00_49_40,Values_00_58_57,Values_01_08_15,Values_01_17_32,Values_01_26_47,Values_01_36_02,Values_01_45_17,Values_01_54_34,Values_02_03_53,Values_02_13_09
-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17
0.002484887,0.005757886,0.002007216,0.000330879,0.000390549,0.001278841,0.002660577,0.004130078,0.004907285,0.0052566,0.005064353,0.001340688,-0.002483018,-0.005031919,-0.005812472,-0.005575158,-0.005094897,-0.004084034,-0.002705568,-0.001054959,0.000765632,0.002674404,0.004618904,0.00656871,0.008506602,0.010420981,0.012299409,0.014124952,0.015878457,0.017543999,0.017865461,0.019109552,0.020564513,0.02190091,0.023116968,0.02421859,0.025217938,0.026130655,0.02697321,0.027761035,0.028507519,0.029223664,0.029918158,0.030597647,0.031267086,0.031930086,0.032589224,0.033246287,0.033902487,0.034558608,0.035215131,0.035872324,0.036530304,0.037189092,0.037848643,0.038508876,0.039169687,0.039830968,0.04049261,0.041154513,0.041816585,0.042478748,0.043140939,0.043803106,0.044465209,0.045127223,0.045789129,0.046450922,0.047112601,0.047774173,0.048435646,0.049097037,0.04975836,0.050419633,0.051080874,0.0517421,0.052403328,0.053064576,0.053725862,0.054387204,0.055048624,0.055710147,0.056371802,0.057033624,0.057695658,0.058357957,0.059020587,0.059683626,0.060347164,0.06101131,0.061676186,0.062341929,0.063008695,0.063676653,0.064345988,0.065016899,0.065689595,0.066364297,0.067041236,0.067720646,0.068402769,0.069087845
0.006816691,0.013409405,0.005929376,0.002586391,0.002701379,0.004469763,0.007225813,0.010166732,0.011756244,0.012524639,0.012206696,0.004831612,-0.002722727,-0.007717586,-0.009181433,-0.00861288,-0.007561562,-0.005485893,-0.002707862,0.000595733,0.00423143,0.008042038,0.011925919,0.015823599,0.019700843,0.023533725,0.027295706,0.030950521,0.034457697,0.037784789,0.038426503,0.040909,0.04381125,0.046477535,0.048905581,0.051107793,0.053108582,0.054938997,0.05663158,0.058216734,0.059720782,0.061165318,0.062567354,0.063939879,0.065292557,0.066632411,0.067964431,0.069292072,0.070617653,0.071942669,0.073268023,0.074594203,0.07592141,0.077249655,0.078578828,0.079908746,0.081239188,0.082569919,0.083900709,0.08523134,0.086561618,0.087891368,0.089220443,0.090548722,0.091876107,0.09320252,0.094527905,0.095852219,0.097175436,0.098497539,0.099818518,0.101138369,0.102457092,0.103774688,0.105091159,0.106406505,0.107720728,0.10903383,0.110345814,0.111656687,0.11296646,0.114275155,0.115582805,0.116889458,0.11819518,0.119500061,0.120804216,0.122107789,0.123410953,0.124713918,0.126016926,0.127320256,0.128624221,0.129929168,0.131235478,0.132543562,0.133853855,0.135166821,0.136482939,0.137802705,0.139126625,0.140455209
0.013423312,0.023389336,0.012196819,0.007195054,0.007361038,0.010002183,0.014126482,0.018542171,0.020979933,0.0222377,0.021860671,0.010903522,-0.000291262,-0.007630913,-0.009681132,-0.008686963,-0.006973218,-0.003777946,0.000421784,0.005381917,0.01082849,0.016535292,0.022354728,0.028199629,0.034018934,0.039775662,0.045427499,0.050916436,0.056178496,0.061164099,0.062125031,0.065840917,0.070183516,0.074173802,0.077810287,0.081112488,0.084117164,0.086870554,0.089420882,0.091813075,0.094085949,0.096271277,0.098394045,0.100473287,0.10252313,0.104553812,0.106572578,0.108584424,0.110592683,0.112599483,0.114606089,0.116613166,0.118620961,0.12062945,0.122638433,0.124647606,0.126656614,0.128665083,0.130672645,0.132678951,0.134683685,0.136686563,0.138687337,0.140685796,0.142681759,0.144675079,0.146665632,0.148653318,0.150638054,0.15261977,0.154598406,0.15657391,0.158546232,0.160515323,0.162481136,0.164443621,0.16640273,0.168358415,0.170310633,0.172259346,0.174204529,0.17614617,0.178084281,0.180018896,0.181950085,0.183877955,0.185802654,0.18772438,0.189643382,0.191559963,0.193474486,0.19538737,0.19729909,0.199210182,0.20112123,0.203032872,0.204945788,0.2068607,0.208778361,0.210699549,0.212625063,0.214555711
0.02255966,0.03596129,0.021067827,0.014412948,0.014625609,0.018133201,0.023621285,0.029516822,0.032839885,0.034658158,0.034288906,0.019815726,0.005067439,-0.004517675,-0.007057418,-0.00554237,-0.003073786,0.00129714,0.00694205,0.01356371,0.020818428,0.028417303,0.036169989,0.043962954,0.051728492,0.059415821,0.066965167,0.074294341,0.081313649,0.087955739,0.089235045,0.094179989,0.099956735,0.105265744,0.110107611,0.114509591,0.118520908,0.122202787,0.125618761,0.128827849,0.13188092,0.134819532,0.137676294,0.140475994,0.143236981,0.145972511,0.14869193,0.15140165,0.154105922,0.156807432,0.15950775,0.162207669,0.164907451,0.167607005,0.17030602,0.173004055,0.175700601,0.178395131,0.181087124,0.183776087,0.186461566,0.18914315,0.191820473,0.194493214,0.197161092,0.199823863,0.202481315,0.205133261,0.207779535,0.210419987,0.213054475,0.215682866,0.218305029,0.220920832,0.223530144,0.226132833,0.228728765,0.231317812,0.23389985,0.236474768,0.23904247,0.241602886,0.244155978,0.246701748,0.249240243,0.25177157,0.254295896,0.256813462,0.259324581,0.261829649,0.264329141,0.266823622,0.269313734,0.271800205,0.274283839,0.276765513,0.279246168,0.281726804,0.284208467,0.286692246,0.289179255,0.291670626
0.034538557,0.051448061,0.032859435,0.024554686,0.024809648,0.029178412,0.036027501,0.043409816,0.047656524,0.05010758,0.049813447,0.031886824,0.013668702,0.001935767,-0.0009964,0.001136109,0.004453414,0.010057604,0.017172702,0.025462429,0.034524142,0.044012563,0.053697775,0.063441202,0.07315866,0.082784803,0.092240688,0.101417476,0.110197513,0.118495018,0.120092019,0.126262306,0.13346762,0.140090554,0.146135106,0.151636911,0.156657791,0.161273771,0.165563338,0.169599178,0.173443791,0.177148128,0.18075208,0.184285901,0.187771922,0.191226225,0.194660103,0.198081264,0.201494779,0.204903816,0.208310195,0.211714791,0.215117845,0.218519174,0.221918331,0.225314718,0.22870766,0.232096458,0.235480427,0.238858913,0.242231309,0.245597062,0.248955668,0.25230668,0.255649693,0.258984346,0.262310313,0.265627295,0.268935016,0.272233215,0.275521641,0.278800046,0.282068186,0.285325813,0.288572681,0.291808538,0.295033135,0.298246227,0.30144758,0.304636976,0.307814222,0.310979159,0.314131676,0.317271713,0.320399282,0.323514466,0.32661744,0.329708472,0.332787934,0.335856305,0.338914177,0.341962256,0.345001361,0.348032418,0.351056462,0.354074623,0.357088119,0.36009825,0.363106377,0.366113921,0.369122339,0.372133116
0.049709317,0.070210466,0.047926153,0.037972067,0.038264805,0.043490523,0.051699606,0.060577608,0.065787796,0.068945376,0.06879442,0.047473311,0.025865645,0.012080967,0.008854049,0.011702348,0.015964172,0.0228611,0.031473099,0.041439091,0.052308309,0.063685405,0.075304063,0.087001965,0.098678596,0.110253268,0.121626124,0.132659164,0.143204483,0.153157198,0.155071369,0.162463801,0.171092595,0.179024998,0.186269743,0.192871513,0.198904887,0.204460519,0.20963151,0.214503801,0.219151112,0.223633402,0.227997512,0.232278874,0.236503568,0.240690312,0.244852193,0.248998092,0.253133807,0.257262916,0.261387427,0.265508257,0.269625588,0.273739116,0.27784824,0.281952186,0.286050093,0.29014108,0.29422428,0.298298865,0.302364062,0.306419156,0.310463492,0.314496473,0.318517554,0.322526233,0.326522045,0.330504555,0.33447335,0.338428028,0.342368198,0.346293469,0.35020345,0.354097745,0.357975957,0.361837684,0.365682528,0.369510094,0.373320006,0.377111907,0.380885478,0.384640446,0.388376598,0.392093793,0.395791981,0.399471211,0.403131644,0.406773568,0.410397403,0.41400371,0.417593192,0.421166702,0.424725236,0.428269933,0.431802064,0.43532303,0.438834345,0.442337623,0.445834567,0.449326952,0.452816604,0.45630539
0.068432959,0.09262276,0.066635304,0.055029354,0.055355069,0.061434565,0.071004466,0.081389162,0.087604347,0.091544007,0.091605248,0.066944751,0.042024334,0.026282533,0.022859433,0.026524039,0.031828536,0.040079835,0.050217305,0.061869498,0.074548434,0.087815029,0.101369732,0.115027773,0.128672431,0.142206869,0.15550853,0.168407687,0.180723847,0.192332325,0.19456326,0.203175043,0.213222555,0.222460122,0.230902585,0.238604366,0.245652975,0.252153551,0.258213482,0.263931569,0.269392348,0.274664414,0.279801222,0.284843107,0.289819666,0.294752062,0.299655027,0.304538495,0.309408897,0.314270147,0.319124384,0.323972521,0.328814648,0.333650315,0.338478742,0.34329896,0.348109911,0.352910513,0.357699705,0.362476472,0.367239856,0.371988969,0.376722986,0.381441144,0.386142732,0.39082709,0.395493589,0.400141634,0.404770644,0.409380052,0.413969296,0.41853781,0.423085025,0.427610366,0.432113251,0.436593095,0.441049316,0.445481341,0.449888616,0.454270619,0.458626874,0.462956965,0.467260553,0.471537394,0.475787356,0.480010433,0.484206763,0.48837664,0.492520525,0.496639053,0.500733042,0.504803491,0.508851581,0.512878669,0.516886278,0.520876092,0.524849937,0.528809766,0.532757642,0.53669572,0.540626223,0.544551425
0.09105523,0.119045769,0.089340165,0.076076383,0.076429821,0.0833609,0.094294289,0.106198852,0.113462401,0.118261872,0.118605538,0.090656675,0.062496688,0.044891045,0.041371547,0.045955595,0.052403706,0.062073424,0.073766894,0.087116984,0.10160955,0.116768147,0.132263158,0.147888631,0.163511753,0.179018689,0.194262344,0.209038629,0.223132064,0.236397444,0.238944823,0.248773401,0.260234967,0.270773311,0.280410786,0.289212273,0.29727842,0.304728721,0.311684544,0.318257171,0.324541555,0.330614561,0.336535938,0.342350644,0.348091564,0.353782122,0.359438542,0.365071695,0.37068855,0.376293284,0.38188811,0.387473895,0.393050602,0.398617607,0.404173931,0.409718393,0.415249719,0.420766616,0.426267813,0.431752094,0.437218307,0.44266537,0.448092272,0.453498067,0.458881861,0.464242809,0.469580101,0.474892951,0.480180589,0.485442254,0.49067718,0.4958846,0.501063734,0.506213795,0.511333986,0.516423506,0.521481556,0.526507351,0.531500132,0.536459179,0.541383831,0.546273503,0.551127705,0.555946068,0.560728357,0.565474496,0.570184584,0.574858911,0.579497972,0.584102474,0.588673345,0.593211736,0.597719016,0.60219677,0.606646788,0.611071049,0.61547171,0.619851083,0.624211613,0.62855586,0.632886471,0.637206154
0.117878759,0.149799066,0.116352192,0.101420765,0.101795983,0.109577295,0.121878621,0.135318371,0.14367562,0.149415144,0.15011292,0.118922451,0.08759239,0.068214989,0.064700396,0.070310031,0.078005871,0.089160665,0.102442648,0.117504029,0.133815742,0.15087042,0.168311561,0.185913298,0.203526801,0.221020353,0.238220419,0.254885823,0.270763634,0.285687393,0.288550925,0.299593746,0.312464491,0.324298821,0.335128045,0.345028259,0.354113481,0.362517453,0.370375237,0.377810221,0.384927397,0.391811538,0.398528366,0.405127192,0.411643961,0.418104173,0.424525397,0.43091932,0.437293357,0.443651876,0.44999711,0.456329834,0.462649849,0.468956335,0.475248089,0.481523702,0.487781672,0.494020478,0.500238629,0.506434694,0.51260731,0.518755191,0.524877124,0.530971959,0.537038602,0.543076004,0.549083147,0.555059035,0.561002681,0.566913099,0.572789298,0.578630274,0.58443501,0.590202473,0.595931618,0.601621397,0.607270765,0.612878692,0.618444182,0.62396629,0.62944414,0.634876952,0.640264063,0.645604955,0.650899272,0.656146851,0.661347739,0.666502213,0.671610792,0.676674254,0.681693637,0.686670245,0.691605644,0.696501656,0.701360346,0.706184009,0.710975148,0.715736453,0.720470778,0.725181111,0.729870548,0.734542261
