Values,Values_05_59_58,Values_06_09_24,Values_06_18_50,Values_06_28_14,Values_06_37_39,Values_06_47_36,Values_06_57_58,Values_07_08_24,Values_07_19_11,Values_07_29_30,Values_07_40_15,Values_07_50_20,Values_07_52_20
1.2864107494276191,1.4187897191943453,1.445551796697204,1.4050841838161672,1.365476039217265,1.3431862724768877,1.3335168514677913,1.3317068421731046,1.3339934519045735,1.337739520932961,1.3415119414770864,1.3447556728663166,1.347369968708484,1.3477780940707071
1.287650959504095,1.4123412747958972,1.4355639606054718,1.393288107997281,1.3516142033136922,1.326852718588155,1.3146810791022916,1.3105673022298812,1.310833457413339,1.3128631899045755,1.3152115271403264,1.3172926062447046,1.318967032507066,1.319226612475012
1.2889664662648104,1.4054866330855806,1.424870531487691,1.380648092247431,1.3367881250933138,1.3094292992294292,1.294627526485388,1.2880873377691926,1.2862228310938295,1.286442163758837,1.2872887214604072,1.2881440796904469,1.2888278403246345,1.2889308550911422
1.290353267562383,1.3982490963949563,1.4135018034400169,1.3671992125778338,1.3210392294606508,1.290965057600818,1.2734127745795238,1.2643302254070623,1.2602305320082363,1.258550134315506,1.2578211137573567,1.2573908622609724,1.2570357356785744,1.2569745727465615
1.2918072111798042,1.390653542365221,1.4014913243315423,1.352981519585193,1.3044158232453034,1.2715179699309298,1.251104413648152,1.239372234436518,1.2329403191538355,1.2292771803055262,1.2269040356148475,1.2251326002334495,1.223693877152353,1.223461481323625
1.2933240053665114,1.3827263916599593,1.3888760480709592,1.3380403489590926,1.2869735542149032,1.2511555522202047,1.2277817960058066,1.2133035189860455,1.2044517698697312,1.1987308944682151,1.1946517782590822,1.191489107964091,1.188926588494143,1.188516621213077
1.2948992297070434,1.374495562345564,1.3756964538180156,1.3224265782437457,1.268775788752681,1.22995535059744,1.203536633127125,1.186228814436621,1.1748810640716072,1.1670372414019456,1.161198509863414,1.1566013323133386,1.1528803601668531,1.1522873646564922
1.296528346282486,1.3659904093074766,1.3619966249573627,1.3061968167440274,1.2498938886366529,1.2080052889466506,1.1784734039765494,1.1582678984914765,1.144361488882659,1.1343410957278597,1.12669883816794,1.120631932617241,1.115724441569199,1.1149440097602572
1.2982067110836335,1.3572416473828108,1.3478242813652297,1.289413516480995,1.2304073688914123,1.1854038498034791,1.1527095447849698,1.1295557817924105,1.1130436238823058,1.1008064168772922,1.091327971547882,1.0837654267978163,1.0776509724997732,1.0766799094361486
1.299929585634746,1.348281257240977,1.333230759398184,1.2721449935122917,1.210403920862661,1.1622600677826225,1.1263753950679811,1.100242598955351,1.0810951745787194,1.0666160255145505,1.0552814415432663,1.0462078651035416,1.038874614198101,1.0377110954253783
1.301692148785952,1.339142373422665,1.3182709350957371,1.2544653507078234,1.1899792874432262,1.1386933189054376,1.0996138803370197,1.0704931781907028,1.0487004306074446,1.031970956984967,1.0187743615523748,1.008186005787708,0.9996316540616388,0.9982753714810478
1.303489508632681,1.32985915434629,1.303003087291223,1.2364542951717643,1.1692369806906635,1.114832894040631,1.0725799185333638,1.0404862760492957,1.0160593352665908,0.9970893788673068,0.982040209465256,0.9699459812856598,0.9601785733776526,0.9586308651826234
1.305316714520113,1.3204666344981864,1.2874886986362108,1.218196845870713,1.1482878358245316,1.090817350099096,1.045439544495553,1.010413472995473,0.983386163943486,0.962205072258596,0.9453291359517828,0.9317514585625538,0.9207900834930846,0.9190540440963522
1.3071687690913785,1.3110005594306642,1.2717921939310222,1.199782929601224,1.1272493996645865,1.0667936384602943,1.018368754498734,0.9804777351157992,0.950907820344542,0.9275654893255612,0.9089058143480968,0.8938813126371212,0.8817566520885014,0.8798372183835128
1.3090406403382653,1.3014972045891526,1.2559806165794298,1.1813068661301929,1.1062451558362116,1.0429160161475568,0.9915520807934768,0.95089165695263,0.9188617707531253,0.8934294123866718,0.8730468620046573,0.856626847184977,0.8433815569164468,0.8412855677789834
1.3109272736143778,1.2919931793690302,1.240123245413736,1.1628667460901423,1.0854035933882809,1.0193447513019458,0.9651809138290736,0.9218754098312576,0.8874936473565285,0.8600642518203404,0.8380378759875083,0.8202886099572309,0.8059775188395489,0.8037137454386305
1.312823603571092,1.282525218154232,1.2242911555276008,1.1445637079224396,1.0648571296945666,0.9962446403110282,0.9394515971795258,0.893654428762498,0.857054561572483,0.8277430309420656,0.8041701376296604,0.7851728629469561,0.7698629786602562,0.7674421238817156
1.3147245659783493,1.273129960407989,1.208556728073826,1.1265011227543598,1.044740902503227,0.9737833593261102,0.9145633268319846,0.8664568787242827,0.8277981768943734,0.7967411152441344,0.7717370501703408,0.7515877773345173,0.7353580925928983,0.732792758652123
1.316625109393066,1.263843722162489,1.1929931151966102,1.1087836984898625,1.0251914496259351,0.9521296776612136,0.8907158922107216,0.8405109475807583,0.7999775977591611,0.7673327507246965,0.7410303812647355,0.7198394309061578,0.7027805289516474,0.7000851530514836
1.3185202066401014,1.254702261485955,1.1776736673445138,1.091516516520613,1.0063452979049954,0.9314515645550588,0.8681073009104917,0.8160420178832222,0.7738421361144331,0.739787481242827,0.7123363872986859,0.6902276906832739,0.6724411535420174,0.6696319121875902
1.3204048660718943,1.24574054068615,1.1626713311232009,1.0748040162600856,0.9883374856657866,0.9119142238710928,0.8469313324679761,0.7932697731840657,0.749634020606131,0.7143665178304922,0.6859318991355922,0.6630420658829499,0.6446396933344062,0.6417343766227069
1.322274142575379,1.2369924881379215,1.1480580265774227,1.058748944123803,0.9713000447845064,0.8936780934330416,0.8273750685399908,0.7724052962369286,0.7275851146144116,0.6913191336984033,0.6620804492242204,0.6385576161595771,0.6196604674063024,0.6166783252447119
1.3241231482964195,1.228490762695522,1.1339040133226004,1.0434512845867148,0.9553604697314414,0.876896846805962,0.8096164475691056,0.7536482165801209,0.7079137088068038,0.6708791574170254,0.6410285180822197,0.6170309975742424,0.5977682711267288,0.5947298338876579
1.3259470630547927,1.220266523669124,1.1202772552704476,1.0290071915269647,0.9406402014725964,0.8617154354415997,0.7938218914468314,0.7371839636032542,0.6908214516101784,0.6532616336490589,0.6230019743076703,0.5986967242177831,0.5792044944784757,0.5761313710602186
1.3277411444247706,1.212349209308509,1.1072427938055602,1.0155079382073295,0.9272531539348084,0.8482682082525422,0.7801440499210146,0.7231811784267632,0.6764904772349217,0.6386597161229494,0.608202776779791,0.5837637172405189,0.5641835486747278,0.561098205310921
