Values,Values_10_18_12,Values_10_29_10,Values_10_39_21,Values_10_49_27,Values_10_59_32,Values_11_09_34,Values_11_20_20,Values_11_31_02,Values_11_41_27,Values_11_51_53,Values_12_02_21,Values_12_12_46,Values_12_23_10,Values_12_33_13,Values_12_42_44,Values_12_52_25,Values_13_02_46,Values_13_14_20,Values_13_26_28,Values_13_37_54,Values_13_50_00,Values_14_02_18,Values_14_14_24,Values_14_26_08,Values_14_38_28,Values_14_50_48,Values_15_01_34,Values_15_10_59,Values_15_20_57,Values_15_30_34,Values_15_40_10,Values_15_49_43,Values_15_59_17,Values_16_08_49,Values_16_18_23,Values_16_27_54,Values_16_37_26,Values_16_46_59,Values_16_56_30,Values_17_06_02,Values_17_15_35,Values_17_25_05,Values_17_34_36,Values_17_44_05,Values_17_53_36,Values_18_03_07,Values_18_12_37,Values_18_22_08,Values_18_31_37,Values_18_41_06,Values_18_50_35,Values_19_00_06,Values_19_09_36,Values_19_19_06,Values_19_28_34,Values_19_38_02,Values_19_47_30,Values_19_57_00,Values_20_06_30,Values_20_16_00,Values_20_25_29,Values_20_34_58,Values_20_44_25,Values_20_53_52,Values_21_03_22,Values_21_12_51,Values_21_22_19,Values_21_31_47,Values_21_41_15,Values_21_50_42,Values_22_00_13,Values_22_09_44,Values_22_19_19,Values_22_28_47,Values_22_38_13,Values_22_47_40,Values_22_57_08,Values_23_06_36,Values_23_16_04,Values_23_25_30,Values_23_34_56,Values_23_44_24,Values_23_53_52,Values_00_03_17,Values_00_12_43,Values_00_22_10,Values_00_31_36,Values_00_41_01,Values_00_50_27,Values_00_59_52,Values_01_09_18,Values_01_18_45,Values_01_28_10,Values_01_37_33,Values_01_46_59,Values_01_56_25,Values_02_05_51,Values_02_15_13,Values_02_24_07,Values_02_33_00
0.974129901,0.773163679,0.684998875,0.682328565,0.672851821,0.6552894,0.638772672,0.61503718,0.587191602,0.587374704,0.626693019,0.701319287,0.802130554,0.93285285,1.008119727,1.046221294,1.083398873,1.129545439,1.18501857,1.246234786,1.308749716,1.36889354,1.424289603,1.473823985,1.517356534,1.55535643,1.588587641,1.617893993,1.644077393,1.667841414,1.689773327,1.710346021,1.729928985,1.748802673,1.767173416,1.785187477,1.802943598,1.82050378,1.837902262,1.855152837,1.872254688,1.88919697,1.905962371,1.922529833,1.938876624,1.954979894,1.970817825,1.986370476,2.00162037,2.0165529,2.031156576,2.04542314,2.059347592,2.072928119,2.086165964,2.099065225,2.111632618,2.123877189,2.13581,2.147443794,2.158792643,2.16987159,2.180696304,2.191282733,2.201646796,2.211804089,2.221769638,2.231557687,2.241181538,2.250653427,2.259984451,2.26918453,2.278262401,2.287225636,2.296080676,2.304832861,2.313486467,2.322044719,2.330509797,2.338882825,2.34716384,2.355351766,2.363444381,2.371438303,2.379329007,2.387110868,2.394777257,2.402320694,2.409733034,2.417005723,2.424130067,2.431097544,2.437900114,2.444530519,2.45098256,2.457251327,2.463333378,2.469226859,2.474931561,2.480448909,2.485781904
0.974806999,0.787274803,0.707755322,0.70747853,0.69855698,0.6816308,0.667143886,0.645404706,0.617873533,0.61944179,0.662447164,0.742851026,0.849868575,0.985989,1.065181376,1.105277067,1.143165329,1.189334476,1.24438236,1.304765649,1.366035984,1.424540821,1.477949604,1.525208462,1.56623598,1.601550907,1.63195614,1.658325374,1.681483618,1.702152761,1.720935063,1.738316052,1.754676152,1.770305469,1.785418978,1.80017079,1.814666838,1.828975769,1.843138019,1.857173184,1.871085909,1.884870495,1.898514478,1.912001348,1.925312622,1.938429379,1.951333401,1.964007997,1.976438581,1.988613059,2.000522072,2.012159112,2.023520547,2.034605569,2.045416073,2.055956489,2.066233566,2.076256129,2.086034795,2.095581685,2.104910113,2.11403427,2.122968921,2.131729095,2.140329812,2.148785819,2.157111368,2.165320019,2.173424491,2.181436548,2.189366917,2.197225246,2.20502009,2.212758905,2.220448066,2.22809288,2.235697591,2.24326538,2.250798343,2.258297459,2.265762542,2.273192197,2.280583768,2.287933315,2.295235614,2.302484191,2.309671414,2.316788632,2.323826368,2.330774566,2.337622873,2.344360952,2.35097881,2.357467112,2.363817479,2.370022745,2.376077158,2.381976529,2.387718314,2.393301631,2.398727224
0.975481564,0.801633828,0.730981275,0.733139688,0.724807268,0.708592641,0.696272527,0.676673583,0.649567511,0.652636962,0.699457278,0.785771204,0.899069191,1.040493142,1.123457027,1.165321177,1.203580297,1.249333886,1.303452321,1.362465116,1.421948202,1.47828776,1.529212893,1.573735943,1.611834767,1.644074837,1.671293636,1.694390128,1.714208221,1.731484579,1.746833612,1.760751288,1.773627309,1.785760212,1.79737275,1.808626262,1.819633451,1.830469329,1.841180331,1.851791728,1.862313526,1.872745096,1.883078737,1.893302407,1.903401767,1.913361712,1.923167489,1.932805503,1.942263882,1.951532857,1.960604994,1.969475313,1.978141325,1.986602985,1.9948626,2.002924684,2.010795777,2.018484237,2.026,2.03335433,2.040559557,2.047628803,2.05457572,2.061414219,2.068158233,2.074821483,2.081417274,2.087958324,2.094456622,2.100923313,2.107368623,2.113801806,2.12023111,2.126663767,2.133105984,2.139562933,2.146038738,2.152536452,2.159058011,2.165604182,2.172174499,2.178767197,2.185379147,2.19200582,2.198641268,2.205278157,2.211907844,2.218520506,2.225105337,2.231650788,2.23814485,2.244575383,2.250930445,2.257198627,2.26336937,2.269433244,2.275382174,2.281209621,2.286910682,2.292482141,2.297922451
0.976153053,0.816229835,0.75465978,0.759296153,0.751591369,0.736169817,0.726160279,0.708853143,0.682291273,0.686983288,0.737746945,0.830099312,0.949745163,1.096366388,1.182936113,1.22633505,1.26461827,1.309511945,1.362192807,1.419297727,1.476456385,1.530115465,1.578076945,1.619424799,1.65419584,1.682998608,1.706700137,1.726219506,1.742414885,1.756033833,1.767699794,1.777916764,1.78708189,1.795500774,1.803402942,1.810956241,1.818279622,1.825454086,1.832531798,1.839543492,1.846504374,1.85341873,1.860283493,1.867090941,1.873830737,1.880491429,1.887061556,1.893530434,1.899888708,1.906128723,1.912244753,1.918233122,1.924092251,1.92982263,1.935426747,1.940908972,1.946275414,1.951533743,1.956693005,1.961763405,1.966756095,1.971682944,1.976556313,1.981388833,1.986193191,1.990981931,1.995767274,2.000560962,2.005374124,2.01021717,2.015099707,2.020030483,2.025017338,2.030067177,2.035185941,2.040378579,2.045649011,2.05100008,2.05643349,2.061949733,2.067548006,2.073226126,2.078980456,2.084805845,2.090695608,2.096641537,2.102633976,2.108661939,2.1147133,2.120775031,2.126833494,2.13287476,2.138884961,2.144850633,2.150759055,2.156598544,2.162358718,2.168030686,2.17360719,2.179082675,2.184453297
0.976820924,0.831051142,0.778772241,0.785930429,0.778896613,0.764356059,0.756807705,0.741951706,0.716061795,0.72250301,0.777338331,0.87585224,1.0019055,1.153605936,1.243604808,1.28829882,1.32625583,1.369843534,1.42058015,1.475245985,1.529554843,1.580035792,1.624576353,1.662336675,1.693411278,1.718447267,1.73833551,1.754009504,1.766336629,1.776071134,1.783842142,1.79015906,1.795424485,1.799949589,1.803969557,1.807657923,1.811139279,1.814500168,1.817798139,1.821069127,1.824333307,1.82759969,1.830869654,1.83413962,1.837403065,1.840652003,1.843878068,1.847073282,1.850230597,1.853344255,1.856410017,1.859425293,1.862389195,1.865302532,1.868167761,1.870988905,1.873771441,1.876522169,1.879249062,1.881961098,1.884668091,1.887380507,1.890109275,1.892865611,1.895660828,1.898506177,1.901412679,1.904390989,1.907451274,1.910603102,1.913855367,1.917216209,1.920692969,1.92429213,1.928019279,1.931879055,1.935875089,1.94000994,1.944285009,1.948700447,1.953255057,1.957946193,1.962769667,1.967719683,1.972788798,1.977967924,1.983246391,1.988612061,1.994051505,1.999550242,2.005093029,2.010664184,2.016247946,2.021828831,2.02739199,2.032923523,2.038410764,2.043842503,2.049209149,2.054502827,2.059717411
0.97748464,0.846085269,0.803298335,0.813023283,0.80670879,0.793143689,0.788213894,0.775976121,0.750894741,0.759216875,0.818251379,0.923043252,1.055554184,1.212203724,1.305444807,1.351190394,1.388471161,1.430310198,1.478603276,1.530311474,1.581263728,1.628093203,1.668784886,1.70257865,1.729624465,1.750602653,1.766421513,1.778022758,1.78627754,1.791942306,1.79564828,1.797907491,1.799125858,1.799618509,1.799625083,1.799323899,1.79884452,1.798278515,1.79768843,1.797115077,1.796583344,1.796106729,1.795690839,1.795336031,1.795039392,1.794796197,1.794600964,1.794448211,1.794332985,1.794251211,1.79419993,1.794177428,1.794183308,1.794218502,1.794285251,1.794387053,1.79452859,1.794715633,1.794954936,1.795254116,1.795621523,1.796066099,1.796597235,1.797224624,1.797958114,1.798807561,1.799782699,1.800893007,1.802147599,1.80355512,1.805123655,1.806860657,1.808772873,1.810866282,1.813146029,1.815616356,1.818280527,1.821140735,1.824198005,1.827452082,1.830901317,1.834542548,1.838370999,1.842380198,1.846561922,1.850906198,1.855401344,1.86003408,1.864789698,1.869652293,1.874605053,1.879630585,1.884711282,1.889829691,1.894968883,1.900112793,1.905246521,1.910356588,1.915431114,1.920459948,1.925434721
0.978143663,0.861318917,0.828215919,0.840553604,0.835011965,0.822523347,0.820376084,0.810931257,0.78680384,0.797143402,0.860502906,0.971680846,1.110688764,1.272144984,1.36843204,1.414984485,1.451243545,1.490900179,1.536264292,1.584515933,1.631630478,1.674366465,1.710817334,1.740305105,1.763031911,1.779705087,1.791243329,1.798589886,1.80261391,1.804069303,1.803585624,1.801674599,1.798743223,1.795108883,1.791014392,1.786641891,1.782125188,1.777560331,1.773014426,1.76853282,1.764144817,1.759868152,1.755712428,1.751681716,1.747776502,1.743995107,1.740334729,1.736792176,1.733364382,1.730048762,1.726843438,1.723747387,1.720760525,1.71788374,1.715118899,1.71246883,1.709937281,1.707528874,1.70524903,1.703103901,1.701100278,1.699245492,1.697547313,1.696013837,1.694653366,1.693474297,1.692484998,1.691693701,1.691108394,1.690736719,1.690585877,1.690662548,1.690972806,1.691522035,1.692314855,1.693355026,1.694645356,1.696187596,1.697982317,1.700028788,1.702324842,1.704866751,1.707649106,1.710664725,1.713904587,1.717357821,1.721011737,1.724851927,1.72886243,1.73302595,1.737324152,1.741737984,1.74624805,1.750834991,1.755479866,1.760164511,1.764871868,1.769586251,1.774293564,1.778981445,1.783639346
0.978797461,0.87673793,0.853500946,0.868498274,0.863788269,0.852483697,0.853289235,0.846819439,0.8238002,0.836298059,0.904105617,1.021767528,1.167298862,1.333406686,1.43253531,1.479651591,1.51455283,1.551608439,1.593579023,1.637902227,1.680731104,1.718970116,1.750831006,1.775719168,1.79388455,1.806054486,1.813150439,1.816110112,1.815794589,1.812950293,1.808201204,1.802055711,1.79491956,1.787110635,1.778873588,1.770393386,1.761807322,1.753215341,1.744688659,1.736276794,1.728013166,1.719919481,1.712009102,1.704289596,1.696764632,1.68943538,1.682301516,1.675361947,1.66861531,1.662060327,1.655696033,1.649521936,1.643538112,1.637745267,1.632144767,1.626738653,1.621529642,1.616521107,1.611717058,1.607122107,1.602741417,1.59858065,1.594645896,1.590943596,1.587480455,1.58426335,1.58129923,1.578595018,1.576157507,1.573993266,1.57210854,1.570509157,1.56920043,1.568187069,1.567473075,1.56706164,1.56695503,1.567154466,1.567659985,1.568470304,1.569582675,1.570992743,1.57269442,1.574679779,1.576938979,1.579460239,1.582229866,1.585232342,1.588450477,1.591865629,1.595457989,1.599206909,1.603091275,1.607089897,1.611181906,1.615347128,1.619566431,1.623822017,1.628097662,1.632378882,1.636653035
0.979445504,0.892327278,0.879127378,0.896832022,0.893017691,0.883011122,0.886945586,0.883639839,0.861891553,0.876692368,0.949067026,1.073298479,1.225364569,1.395955925,1.497714901,1.545156971,1.578378876,1.612436621,1.650577455,1.690535162,1.728671221,1.762055561,1.789026781,1.809073601,1.822488397,1.830010729,1.832556681,1.831050985,1.826340381,1.819158721,1.810120399,1.799727363,1.788381734,1.776400088,1.764027562,1.75145092,1.73881017,1.726208562,1.713720965,1.7014007,1.689285002,1.677399289,1.665760456,1.654379352,1.643262637,1.632414138,1.621835835,1.611528558,1.601492488,1.5917275,1.582233398,1.573010088,1.564057689,1.555376613,1.546967632,1.538831916,1.530971073,1.523387168,1.516082745,1.509060826,1.502324906,1.495878936,1.489727289,1.483874714,1.478326278,1.473087294,1.468163243,1.463559682,1.459282156,1.455336091,1.451726703,1.448458886,1.445537115,1.442965331,1.440746829,1.43888414,1.437378897,1.436231701,1.435441974,1.435007802,1.434925786,1.435190885,1.435796283,1.436733271,1.437991165,1.439557268,1.441416887,1.443553414,1.445948465,1.448582101,1.451433099,1.454479287,1.457697915,1.461066056,1.46456101,1.468160698,1.471844023,1.475591186,1.479383945,1.483205803,1.487042135
0.980087269,0.908071029,0.905067112,0.925527292,0.92267786,0.914089388,0.92133417,0.921387817,0.901081445,0.918332937,0.995388307,1.126260162,1.284854789,1.459748253,1.563921167,1.611459593,1.64270096,1.673392926,1.707304011,1.742502019,1.775586701,1.803811689,1.825649543,1.84067096,1.849204367,1.851993092,1.849939277,1.843947008,1.83484225,1.823341116,1.810044354,1.795444334,1.779937156,1.763836276,1.747385945,1.730773699,1.714141484,1.697595272,1.681213128,1.665051821,1.649152109,1.633542879,1.618244341,1.603270438,1.588630643,1.574331278,1.560376469,1.54676883,1.533509948,1.520600727,1.508041629,1.495832857,1.48397448,1.472466544,1.461309156,1.450502564,1.440047221,1.429943848,1.42019349,1.410797556,1.401757851,1.393076594,1.384756418,1.376800355,1.369211805,1.361994483,1.35515236,1.348689581,1.342610378,1.336918977,1.331619488,1.326715795,1.322211446,1.318109526,1.314412532,1.311122238,1.308239552,1.305764368,1.303695402,1.302030035,1.300764145,1.299891948,1.29940585,1.29929633,1.299551837,1.300158756,1.301101406,1.30236211,1.303921339,1.305757908,1.307849255,1.310171767,1.312701155,1.315412862,1.318282474,1.321286126,1.324400886,1.327605082,1.330878586,1.334203022,1.337561908
