Values,Values_04_08_03,Values_04_17_47,Values_04_27_29,Values_04_37_11,Values_04_46_53,Values_04_56_22
-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
0.0021570423876415,0.0016606316017612,0.0016955775551221,0.0017523480443846,0.0018752692279622,0.002018848699774,0.002180019521622308
0.0060845003158884,0.0046842069021701,0.0047827059045209,0.0049427640036183,0.0052894283651422,0.0056943744314594,0.0061489462151592825
0.0121922761604559,0.0093861271388989,0.0095830827022318,0.0099033705121939,0.0105976428570283,0.0114087540868889,0.012319332035256881
0.0207242922471112,0.0159537520774829,0.0162871267013126,0.0168300460073937,0.0180088445060583,0.0193864168358242,0.020933143671111425
0.0319799522637096,0.0246167331440793,0.0251275280620565,0.0259613724457719,0.0277768988555652,0.0298995906493338,0.03228351005545878
0.0462935967045211,0.0356309910904778,0.0363624003723178,0.0375606523178339,0.0401808867605187,0.0432466982415102,0.04669108203028043
0.0640107284237246,0.0492601667407943,0.0502557224658487,0.051894942726604,0.0555020231402697,0.0597269849107694,0.06447619067053707
0.0854621521278208,0.0657554436109349,0.0670560061673656,0.0692120754071494,0.0739982374957684,0.0796124627894328,0.08592795279776909
0.1109372806581613,0.0853347432309544,0.0869742659095741,0.0897168134648381,0.0958776635224683,0.1031185159924365,0.11127176775602692
0.1406579136108412,0.1081623539105177,0.1101624684580154,0.1135474488329403,0.1212724880302587,0.1303747598379819,0.140636942292432
0.1747537877218208,0.1343300665028194,0.1366936954449002,0.1407542541429081,0.150214774392192,0.1613979646099846,0.17402644890458874
0.2132411336229907,0.1638408523114752,0.1665452460941202,0.1712812490995705,0.1826159768512051,0.1960690092863898,0.2112910322629152
0.2560053527592859,0.1965960258392688,0.1995858301740827,0.2049527017986774,0.2182518672249917,0.2341158834321851,0.25210998149540237
0.3027887566341971,0.232386687808082,0.2355678415025341,0.2414656373890548,0.2567544711170647,0.2751046619798063,0.29598082954205895
0.3531840955581367,0.270890043882283,0.2741254546140642,0.280389352846748,0.297612327228813,0.3184400966196751,0.34221997157722345
0.4066343550770774,0.311670947731491,0.3147789536517661,0.3211725306997393,0.3401799229913388,0.3633769693748389,0.38997567064761923
0.4624390261485953,0.3541887341071861,0.3569452960225104,0.3631580155702116,0.3836965241454739,0.4090426304496486,0.43825412054116414
0.5197667718544764,0.3978091043954259,0.3999544594912018,0.4056046950224289,0.4273138332026842,0.4544702163954496,0.4859581780666822
0.5776741314732252,0.441820524814808,0.4430706590713039,0.4477152626936806,0.4701310412686804,0.4986409773608055,0.5319371187389411
0.6351296345463031,0.4854543215300875,0.4855170995803793,0.4886680107100104,0.5112349708182182,0.5405330371084629,0.5750444223286361
0.6910424550475474,0.5279074350757033,0.5265026079209051,0.5276502890353043,0.5497422616826649,0.5791729089098282,0.6141993204895354
0.7442945296767772,0.5683666549557735,0.56524832145244,0.5638909747765197,0.5848400606092313,0.6136853630644556,0.6484468412840202
0.7937749037979727,0.6060331145854427,0.601012638664928,0.5966892951807569,0.6158215610578016,0.6433369590580625,0.6770105846605808
0.8384149607342444,0.6401458965006286,0.6331128854920399,0.6254376925459246,0.6421130947230379,0.6675688572404921,0.6993326549707144
0.8772231397418846,0.6700037724409348,0.6609426009238059,0.6496371047584656,0.663290326000333,0.686015479593327,0.7150961828045108
0.909317757151921,0.6949843594673178,0.6839839457610595,0.6689039947751648,0.6790823837230648,0.6985071557009674,0.7242276826421287
0.9339566133646442,0.7145602722864016,0.7018153983715943,0.6829695641091703,0.6893643220739728,0.7050568963614541,0.726878943413822
0.9505621924893723,0.7283121429254088,0.7141155067517309,0.691672647550294,0.694139891543412,0.7058335866602418,0.723390893989471
0.958741435918511,0.7359386095934694,0.7206638997475253,0.6949486095766384,0.6935179331825839,0.7011258041772666,0.7142444546598118
0.9596569791157112,0.7383080383158261,0.7223629034728973,0.6937985370221323,0.6886608072601639,0.6922811785691049,0.7009970182365017
0.9597380520148648,0.7403373009706353,0.7240455265826596,0.6929453600952481,0.6843654788977371,0.6842413026119577,0.6887840481280806
0.9598229697610492,0.7426709520013572,0.7263430908169528,0.6930075085736916,0.6812665101142715,0.6776705176503252,0.6783104098520755
0.9599118145542124,0.7453104428027298,0.7292550337935639,0.6939897545071481,0.6793809104407383,0.6726034984723899,0.6696340133884469
0.9600046683556792,0.7482561435577951,0.7327782144999923,0.6958925334751372,0.6787194121645964,0.6690665700226183,0.6628022854654878
0.960101612624825,0.7515073078640847,0.7369068714558582,0.6987118560261218,0.6792862713798999,0.6670773311496211,0.6578515441451932
0.9602027280436616,0.7550620425477531,0.7416325979494812,0.7024392517095216,0.681079120724164,0.6666443521176663,0.6548064711006046
0.9603080942294956,0.7589172831224369,0.746944335149234,0.707061747166184,0.684088876645565,0.6677669509378927,0.6536796897210895
0.9604177894359336,0.7630687753171521,0.7528283837472383,0.7125618794524199,0.6882997035674797,0.6704350528727311,0.6544714562077955
0.9605318902425226,0.7675110630587549,0.759268434635269,0.7189177454560289,0.6936890367968026,0.6746291367003756,0.6571694697689453
0.9606504712334374,0.7722374832495531,0.7662456189412283,0.7261030879211335,0.7002276654586386,0.6803202704946189,0.6617488068914773
0.9607736046656336,0.7772401676294813,0.7737385775699848,0.7340874182334881,0.7078798761338513,0.6874702387777962,0.6681719834471789
0.9609013601270152,0.7825100519551474,0.781723550196026,0.7428361757314463,0.7166036572294716,0.6960317619402475,0.6763891470818864
