Values,Values_10_20_09,Values_10_31_10,Values_10_41_31,Values_10_51_46,Values_11_02_02,Values_11_12_16,Values_11_23_26,Values_11_34_07,Values_11_44_45,Values_11_55_23,Values_12_06_00,Values_12_16_36,Values_12_27_12,Values_12_37_04,Values_12_46_44,Values_12_56_40,Values_13_07_48,Values_13_20_05,Values_13_32_18,Values_13_44_00,Values_13_56_25,Values_14_08_55,Values_14_20_38,Values_14_33_06,Values_14_45_36,Values_14_57_50,Values_15_07_17,Values,Values_15_17_12,Values_15_27_03,Values_15_36_48,Values_15_46_33,Values_15_56_15,Values_16_05_57,Values_16_15_39,Values_16_25_19,Values_16_35_00,Values_16_44_39,Values_16_54_22,Values_17_04_02,Values_17_13_45,Values_17_23_24,Values_17_33_03,Values_17_42_41,Values_17_52_23,Values_18_02_02,Values_18_11_41,Values_18_21_21,Values_18_30_59,Values_18_40_36,Values_18_50_12,Values_18_59_52,Values_19_09_32,Values_19_19_11,Values_19_28_47,Values_19_38_25,Values_19_48_03,Values_19_57_42,Values_20_07_21,Values_20_16_59,Values_20_26_36,Values_20_36_15,Values_20_45_51,Values_20_55_27,Values_21_05_04,Values_21_14_42,Values_21_24_20,Values_21_33_57,Values_21_43_33,Values_21_53_10,Values_22_02_51,Values_22_12_30,Values_22_22_12,Values_22_31_49,Values_22_41_23,Values_22_50_59,Values_23_00_35,Values_23_10_13,Values_23_19_50,Values_23_29_26,Values_23_39_03,Values_23_48_40,Values_23_58_14,Values_00_07_49,Values_00_17_26,Values_00_27_00,Values_00_36_35,Values_00_46_10,Values_00_55_47,Values_01_05_22,Values_01_14_59,Values_01_24_35,Values_01_34_09,Values_01_43_44,Values_01_53_20,Values_02_02_56,Values_02_12_31,Values_02_21_41,Values_02_30_43,Values_02_39_32,Values_02_48_21
-0.025450831,0.29919799,0.612516069,0.716930943,0.776059092,0.83957512,0.950353336,1.071143385,1.13265498,1.174051709,1.211432447,1.243501393,1.269252603,1.306126211,1.356403536,1.412089642,1.47403151,1.539411416,1.604447742,1.665787866,1.720871733,1.768171574,1.807229156,1.838432764,1.862673435,1.881037185,1.894601793,1.904333426,1.908934486,1.911050818,1.915425898,1.918000027,1.919204517,1.919380315,1.918795102,1.917657546,1.916129019,1.914333181,1.912363811,1.910291177,1.908167198,1.906029596,1.903905213,1.901812631,1.899764247,1.897767875,1.895828002,1.893946751,1.892124615,1.890361016,1.888654726,1.887004175,1.885407671,1.883863554,1.882370287,1.880926508,1.879531037,1.878182855,1.876881052,1.875624758,1.874413056,1.873244879,1.872118909,1.871033469,1.869986428,1.868975112,1.867996238,1.867045873,1.866119416,1.86521162,1.864316638,1.863428107,1.86253925,1.86164301,1.860732182,1.859799556,1.858838053,1.857840836,1.856801404,1.855713646,1.854571879,1.853370834,1.85210564,1.850771774,1.849365014,1.847881391,1.846317165,1.844668811,1.842933042,1.841106863,1.83918764,1.837173205,1.835061951,1.832852948,1.830546024,1.828141838,1.82564191,1.823048627,1.820365199,1.817595587,1.814744402,1.811816784
-0.02318362,0.301060476,0.61393117,0.718185432,0.777222483,0.84064012,0.951243044,1.071837778,1.13324986,1.17457862,1.211895857,1.243907655,1.269610595,1.306412614,1.356591138,1.412168083,1.47398909,1.539241704,1.604151509,1.665372405,1.720349347,1.767557535,1.806539582,1.837682961,1.861876922,1.880205338,1.893743874,1.903456817,1.908049045,1.910161315,1.914527999,1.91709719,1.918299369,1.918474829,1.91789074,1.916755368,1.915229777,1.91343739,1.911471805,1.909403157,1.907283265,1.905149778,1.903029485,1.900940936,1.8988965,1.896903977,1.894967847,1.893090227,1.891271609,1.889511417,1.887808425,1.886161065,1.884567649,1.883026519,1.881536142,1.880095158,1.87870239,1.87735682,1.87605754,1.874803683,1.87359433,1.87242842,1.871304634,1.870221301,1.869176293,1.868166941,1.867189969,1.86624145,1.865316794,1.864410762,1.86351752,1.862630716,1.861743588,1.860849091,1.859940034,1.859009222,1.85804959,1.857054313,1.856016903,1.854931262,1.853791715,1.852593008,1.851330276,1.849999005,1.848594982,1.847114246,1.845553064,1.843907917,1.842175526,1.840352901,1.838437414,1.836426899,1.834319755,1.832115052,1.829812619,1.827413113,1.824918054,1.822329821,1.819651619,1.816887402,1.814041772,1.811119859
-0.019070713,0.3047551,0.617189078,0.721284196,0.780230236,0.843548888,0.953975014,1.074373827,1.135686475,1.176948714,1.214204165,1.246158258,1.27181024,1.308538304,1.358617508,1.414086918,1.475789542,1.540917231,1.605702228,1.666804598,1.721674075,1.768788686,1.807691819,1.8387701,1.862910988,1.881196218,1.894699361,1.904382842,1.908958594,1.911062248,1.915406937,1.91795621,1.919139745,1.919297205,1.918695265,1.917541815,1.915997628,1.914185911,1.912200103,1.910110221,1.907968004,1.905811046,1.903666103,1.901551705,1.899480214,1.89745943,1.895493837,1.893585561,1.891735105,1.889941905,1.888204746,1.886522072,1.884892206,1.8833135,1.881784431,1.880303648,1.878869982,1.877482426,1.876140082,1.874842093,1.873587555,1.872375422,1.871204394,1.870072823,1.868978609,1.867919114,1.866891099,1.865890682,1.86491332,1.863953831,1.863006441,1.862064865,1.861122413,1.860172117,1.859206868,1.858219555,1.857203201,1.856151072,1.855056769,1.853914286,1.852718039,1.85146286,1.850143972,1.848756944,1.847297639,1.84576217,1.844146867,1.842448272,1.840663156,1.83878857,1.836821918,1.834761058,1.832604402,1.830351023,1.828000744,1.825554208,1.823012912,1.820379208,1.817656266,1.814848001,1.811958974,1.808994269
-0.012685105,0.310701917,0.622714424,0.72665372,0.785508637,0.848726519,0.958973035,1.079174837,1.140387961,1.181585676,1.218782622,1.250680836,1.276281467,1.312934923,1.362915166,1.418278447,1.479864163,1.544867821,1.609527961,1.670510587,1.725270061,1.772287154,1.811105999,1.84211238,1.866191982,1.884424427,1.897881217,1.907522948,1.912073674,1.914163671,1.918471499,1.920984741,1.922132293,1.922253204,1.921613678,1.920421244,1.918836401,1.916982156,1.914951801,1.912815254,1.910624188,1.908416157,1.906217898,1.904047935,1.901918636,1.899837813,1.897809968,1.895837247,1.893920171,1.892058199,1.890250134,1.888494441,1.88678946,1.885133559,1.883525232,1.881963143,1.880446141,1.878973232,1.87754354,1.876156228,1.874810419,1.873505095,1.872238997,1.871010517,1.869817607,1.86865769,1.867527597,1.866423526,1.865341026,1.864275015,1.863219832,1.862169316,1.861116908,1.860055784,1.858978984,1.857879557,1.856750687,1.855585809,1.854378696,1.853123513,1.851814848,1.850447702,1.849017462,1.847519854,1.845950892,1.844306826,1.842584115,1.840779412,1.838889585,1.836911764,1.834843417,1.832682443,1.830427279,1.828077005,1.825631435,1.823091183,1.820457708,1.817733307,1.814921089,1.812024896,1.809049214,1.805999048
-0.003772991,0.319146034,0.63075785,0.734546889,0.79331035,0.856424268,0.966486816,1.086489932,1.147603182,1.188738911,1.225882299,1.257728957,1.283280058,1.319859671,1.36974172,1.424999519,1.486468311,1.551346935,1.615880045,1.676739453,1.731384074,1.778297406,1.817024337,1.847949841,1.871957866,1.89012596,1.903523599,1.91310958,1.917625706,1.919696454,1.923951117,1.926410908,1.927503959,1.927568727,1.926870957,1.925617826,1.923969576,1.922049021,1.919949322,1.917740305,1.915473589,1.913186702,1.91090637,1.908651123,1.906433346,1.904260873,1.902138232,1.900067598,1.898049522,1.896083489,1.894168331,1.892302536,1.89048447,1.888712522,1.886985209,1.885301217,1.883659416,1.882058838,1.880498634,1.878978001,1.8774961,1.876051959,1.874644372,1.873271799,1.871932267,1.870623291,1.869341805,1.868084126,1.866845936,1.865622305,1.864407737,1.863196251,1.861981486,1.860756824,1.859515529,1.858250881,1.856956307,1.855625489,1.854252453,1.852831621,1.851357834,1.849826344,1.848232783,1.846573113,1.844843571,1.843040615,1.841160894,1.839201228,1.837158632,1.835030355,1.832813959,1.830507409,1.828109181,1.825618365,1.823034761,1.820358947,1.817592321,1.814737104,1.811796312,1.808773685,1.805673596,1.802500932
0.007977224,0.330389144,0.641627099,0.745273888,0.803945351,0.866950611,0.976823188,1.096625307,1.157637964,1.198714673,1.235811017,1.26761278,1.293118087,1.329625573,1.379410031,1.434561685,1.495911598,1.560661937,1.625063436,1.685793667,1.740316089,1.787116951,1.825741953,1.856575312,1.8804993,1.89858944,1.911913224,1.921427696,1.925898597,1.927943938,1.932127656,1.934515241,1.935534077,1.935522039,1.934744422,1.933408062,1.931672945,1.929661704,1.92746737,1.925159689,1.922790231,1.920396503,1.91800523,1.915634957,1.913298092,1.911002501,1.908752744,1.90655103,1.904397948,1.902293016,1.9002351,1.898222717,1.896254263,1.894328155,1.892442936,1.890597321,1.888790208,1.887020664,1.885287874,1.883591082,1.881929498,1.880302214,1.878708099,1.877145699,1.875613147,1.874108077,1.872627563,1.871168081,1.869725493,1.868295068,1.866871531,1.86544914,1.864021796,1.862583158,1.861126786,1.859646268,1.858135351,1.85658805,1.854998726,1.853362141,1.851673475,1.849928318,1.848122627,1.84625268,1.844315013,1.842306364,1.840223634,1.838063874,1.835824293,1.833502303,1.831095593,1.828602219,1.826020711,1.823350176,1.820590399,1.817741908,1.814806026,1.811784872,1.808681339,1.80549903,1.802242168,1.798915482
0.02291348,0.344767826,0.655665427,0.759180674,0.817759395,0.880649693,0.990324521,1.109922641,1.17083349,1.211854448,1.248911732,1.280677445,1.306142271,1.342579777,1.392266446,1.447309346,1.508535962,1.57315211,1.63741468,1.698007016,1.752397159,1.799074183,1.837584683,1.868312201,1.892137398,1.910133837,1.923367078,1.932792452,1.937206413,1.939219604,1.943313076,1.945608325,1.946531999,1.946421397,1.945541364,1.944098398,1.942252232,1.940125312,1.937810547,1.9353776,1.932877997,1.930349228,1.927818022,1.925302944,1.922816428,1.920366376,1.917957389,1.915591715,1.913269983,1.910991751,1.90875592,1.906561045,1.904405552,1.902287894,1.900206644,1.89816055,1.896148548,1.894169744,1.892223372,1.890308727,1.88842509,1.886571629,1.884747308,1.882950786,1.881180325,1.879433714,1.877708203,1.876000468,1.874306595,1.872622106,1.870942002,1.869260844,1.867572857,1.86587205,1.864152351,1.862407737,1.860632356,1.858820636,1.856967363,1.855067723,1.853117325,1.851112177,1.849048651,1.84692342,1.844733398,1.842475674,1.840147474,1.837746134,1.835269115,1.832714035,1.830078747,1.827361425,1.824560668,1.821675613,1.818706023,1.815652371,1.812515885,1.809298559,1.806003133,1.802633039,1.799192308,1.795685472
0.041395254,0.362628538,0.673226665,0.776624064,0.835109113,0.897876411,1.007343814,1.126734178,1.18754137,1.228510001,1.265537551,1.297278048,1.322708895,1.359078403,1.40866555,1.463594424,1.524690275,1.589163211,1.653276426,1.713719081,1.767963876,1.814502818,1.852883503,1.883488899,1.907198138,1.925082886,1.938206826,1.947523615,1.9518678,1.953841496,1.957823859,1.960005241,1.960811556,1.960579521,1.959573532,1.957999738,1.956017611,1.953749411,1.951287913,1.948702701,1.946045251,1.943353038,1.940652795,1.937963105,1.935296435,1.932660726,1.930060619,1.927498407,1.924974762,1.922489282,1.920040912,1.917628243,1.91524974,1.91290389,1.910589304,1.908304769,1.906049263,1.903821941,1.901622092,1.899449082,1.897302268,1.895180917,1.893084108,1.891010636,1.888958923,1.886926944,1.884912162,1.882911495,1.880921304,1.878937412,1.876955157,1.874969462,1.872974946,1.87096604,1.868937114,1.866882611,1.864797167,1.862675708,1.860513528,1.858306329,1.856050232,1.853741757,1.851377771,1.84895543,1.846472104,1.84392531,1.841312665,1.838631858,1.835880653,1.833056926,1.83015873,1.827184385,1.824132582,1.821002493,1.817793866,1.814507106,1.811143332,1.807704387,1.80419283,1.800611882,1.796965347,1.793257512
0.063766586,0.384300518,0.694648117,0.797944645,0.856334935,0.918969361,1.028217655,1.147395702,1.208096602,1.2490163,1.286024602,1.31775245,1.343156533,1.379459165,1.428942695,1.483748813,1.544702742,1.609019831,1.672969766,1.733247572,1.787330701,1.833714224,1.871946873,1.902411146,1.925984734,1.943737477,1.95673123,1.965918019,1.97017845,1.9721047,1.975953528,1.977998119,1.978663643,1.978286226,1.977129799,1.975400148,1.973256472,1.970820828,1.968185851,1.965421031,1.962577794,1.959693591,1.956795156,1.953901093,1.951023898,1.948171549,1.945348731,1.942557783,1.93979942,1.937073285,1.934378364,1.931713291,1.929076568,1.926466724,1.92388241,1.921322456,1.91878589,1.916271923,1.913779911,1.911309297,1.908859536,1.906430007,1.904019926,1.90162825,1.899253589,1.896894136,1.894547608,1.892211208,1.889881618,1.887555017,1.885227135,1.882893324,1.880548664,1.878188076,1.875806453,1.873398786,1.870960276,1.868486436,1.865973156,1.863416743,1.86081392,1.858161804,1.85545785,1.852699778,1.849885496,1.847013028,1.844080454,1.841085879,1.838027432,1.834903292,1.831711757,1.828451325,1.825120801,1.821719402,1.818246864,1.814703521,1.811090362,1.807409061,1.803661962,1.799852041,1.79598283,1.792058329
0.090328234,0.410067918,0.720222633,0.823438831,0.881733168,0.944222952,1.053238378,1.172198724,1.232789743,1.27366365,1.310664108,1.34239325,1.367777924,1.404013158,1.453385696,1.508056005,1.568852479,1.632996967,1.696765813,1.756859915,1.810761574,1.856969071,1.895032412,1.925333743,1.948749403,1.96634747,1.979188021,1.988221476,1.992383062,1.994253323,1.997944681,1.99982823,2.000328381,1.999780647,1.998448464,1.996537233,1.994205855,1.991576165,1.988740641,1.985768663,1.982711594,1.979606854,1.976481172,1.973353163,1.970235353,1.967135754,1.964059092,1.961007751,1.95798249,1.954982998,1.952008301,1.949057077,1.94612787,1.94321925,1.940329913,1.937458738,1.934604806,1.931767393,1.92894593,1.926139952,1.923349023,1.920572656,1.917810222,1.915060863,1.91232341,1.909596308,1.906877563,1.904164706,1.901454789,1.898744403,1.896029725,1.8933066,1.890570635,1.887817317,1.885042136,1.882240711,1.879408893,1.876542866,1.873639206,1.87069491,1.867707397,1.864674472,1.86159426,1.858465136,1.855285628,1.852054345,1.848769906,1.8454309,1.84203588,1.838583383,1.835071995,1.831500425,1.827867618,1.824172854,1.820415859,1.81659689,1.812716797,1.808777059,1.804779777,1.800727645,1.796623882,1.792472153
