Values,Values_05_56_13,Values_06_05_55,Values_06_15_33,Values_06_25_10,Values_06_34_46,Values_06_44_36,Values_06_55_10,Values_07_05_45,Values_07_16_29,Values_07_27_16,Values_07_38_07,Values_07_48_27,Values_07_59_15,Values_08_09_39,Values_08_20_20,Values_08_30_55,Values_08_41_33,Values_08_52_17,Values_09_03_01,Values_09_13_02,Values_09_22_51,Values_09_32_52,Values_09_42_44,Values_09_52_37,Values_10_02_48,Values_10_12_46,Values_10_22_42,Values_10_33_04,Values_10_43_22,Values_10_53_38,Values_11_04_08,Values_11_15_26,Values_11_24_50,Values_11_33_45,Values_11_51_18,Values_12_00_56,Values_12_10_00,Values_12_13_35,Values_12_19_20
-0.8296092394555965,-0.8244778809558085,-0.8235698144876742,-0.8221942673923299,-0.8202967920301428,-0.818130209683025,-0.8158893329076522,-0.8136923696972801,-0.8116037737515093,-0.809655276374307,-0.8078596935627401,-0.8062191394272672,-0.804729748246345,-0.8033843707617627,-0.8021741282128277,-0.8010893277017885,-0.8001200183062498,-0.7992563407895005,-0.7984887539531441,-0.7978081829698382,-0.7972061149646925,-0.7966746566453461,-0.7962065633709001,-0.7957952462043442,-0.7954347619998022,-0.7951197906323314,-0.7948456028269172,-0.794608021520256,-0.7944033791887276,-0.7942284731544165,-0.7940805204637762,-0.7939571135638122,-0.793856177709043,-0.7937759307329983,-0.7937148456133528,-0.7936716160751378,-0.7936451253293633,-0.793634417952036,-0.7936386748114379,-0.7936489227082577
1.386338341332428,1.3928170355153024,1.3945646188536192,1.396686092222807,1.3992633982026437,1.4020678979080743,1.4049233176042737,1.4077244125799948,1.4104155783572672,1.4129710763295067,1.4153821262002972,1.4176493026322965,1.4197782158623429,1.4217770775239762,1.4236553173394249,1.4254227811046152,1.4270892530168455,1.4286641637337358,1.4301564097670865,1.4315742438706025,1.4329252138479127,1.434216136284748,1.435453096326417,1.436641467057517,1.437785943354804,1.4388905859856205,1.4399588724065573,1.4409937513072657,1.4419976985129883,1.44297277235187,1.4439206670626905,1.4448427632287657,1.4457401745414946,1.4466137905051375,1.4474643148998352,1.4482922999967065,1.4490981766491529,1.4498822804579126,1.4506448742837543,1.451121744262609
1.6779389053730611,1.6845624148386076,1.6864042032679107,1.6886081560254436,1.6912591932601402,1.6941319924638996,1.697052837547854,1.6999182379866833,1.7026737545723334,1.7052944139982489,1.707771934168698,1.710107208706138,1.7123060441828049,1.71437676205999,1.716328838511907,1.7181721175436209,1.7199163436401548,1.721570877307936,1.7231445202911286,1.7246454107980995,1.726080966531336,1.7274578622076948,1.7287820327695729,1.730058695869578,1.7312923885012703,1.7324870135430406,1.733645892666771,1.7347718226598705,1.7358671327848798,1.7369337413007095,1.7379732097444271,1.7389867939864974,1.7399754913926118,1.7409400837336773,1.741881175690656,1.7427992289764491,1.7436945922250404,1.744567526869142,1.74541822930126,1.7459510821472854
1.68458065286615,1.6911908764899302,1.693029000446869,1.6952285308021176,1.697874221902277,1.700741211898127,1.7036561391960294,1.7065157242588598,1.7092656386401008,1.711880959539033,1.7143534211925944,1.7166839147421078,1.7188782341890505,1.7209446832525666,1.7228927179922118,1.724732161553396,1.7264727377902662,1.7281237874063264,1.7296940935435754,1.7311917772371368,1.7326242405731536,1.7339981442639625,1.735319410858999,1.7365932471871357,1.7378241809136363,1.7390161069876204,1.7401723404392515,1.7412956725815565,1.7423884282462914,1.7434525221821076,1.7444895132170966,1.7455006552009875,1.7464869440617214,1.7474491606189704,1.748387909001772,1.7493036506925983,1.7501967343478502,1.7510674216156603,1.7519159092453676,1.7524473619195264
1.6844396274010751,1.691024728607202,1.6928521181355012,1.695040950438033,1.6976756111336435,1.7005314860100875,1.7034353982449808,1.7062841588707685,1.7090234670375146,1.711628393443501,1.7140906497361172,1.7164110982022174,1.7185955027618542,1.7206521383280555,1.7225904346473238,1.724420191620217,1.7261511131697054,1.7277925234449945,1.7293531923602308,1.7308412309186745,1.732264034179572,1.7336282585961351,1.7349398249559542,1.7362039405316283,1.7374251353361638,1.7386073082691826,1.7397537796217222,1.7408673470013618,1.7419503423121607,1.7430046879209822,1.744031950614198,1.7450333923605916,1.7460100172148516,1.7469626140030114,1.7478917946353636,1.7487980280671,1.7496816700544906,1.7505429889252084,1.7513821876549245,1.751907739829967
1.6821512311351094,1.6887033957153612,1.6905157050594206,1.692689996615303,1.6953101846114171,1.698151763066405,1.701041623777254,1.703876584634976,1.706602313885924,1.7091938351857887,1.7116428096202887,1.7139500514676105,1.7161212816987776,1.7181647381613536,1.720089819528292,1.7219063004488615,1.723623865143261,1.7252518232857594,1.7267989351884037,1.7282733067366125,1.7296823319351864,1.7310326697986054,1.732330246826176,1.7335802786811387,1.7347873059801449,1.7359552399902027,1.7370874147102195,1.73818664240603,1.7392552702383697,1.740295236118162,1.7413081223940587,1.7422952063874169,1.743257507107297,1.7441958277841607,1.7451107940645578,1.7460028878835054,1.7468724771586996,1.7477198415215969,1.748545194374009,1.7490619466412183
1.6817078383430697,1.6882219509964214,1.6900167151032768,1.6921743109745246,1.6947781472345609,1.6976037352754958,1.7004779542295896,1.7032975688867993,1.7060081739800494,1.7085847161537322,1.711018784976657,1.7133111321880992,1.7154674259213665,1.7174958605077242,1.7194057997256276,1.721206991232331,1.722909099497396,1.7245214210764306,1.7260527092097393,1.7275110681740091,1.7289038952335911,1.7302378569240722,1.7315188909151489,1.7327522270825928,1.7339424227079194,1.735093407614538,1.7362085357273795,1.7372906401323076,1.7383420892796675,1.7393648424687012,1.7403605032180285,1.74133036953583,1.7422754804194256,1.7431966582191585,1.744094546704433,1.7449696448439336,1.745822336439408,1.7466529158234845,1.7474616099057707,1.7479677725339713
1.6837503375811411,1.6902228941976916,1.691998892878253,1.6941387689419982,1.6967254378047798,1.6995343650957369,1.7023923545394126,1.7051960700917508,1.7078909983353503,1.7104519841187569,1.7128705279123764,1.7151473065758225,1.7172879269117132,1.7193005341262644,1.7211944537185655,1.722979404735642,1.724665031717918,1.7262606191173764,1.72777491511387,1.7292160252152318,1.7305913534648578,1.7319075779826811,1.7331706520906345,1.7343858246624089,1.7355576746285268,1.7366901554575882,1.7377866461109666,1.738850005554814,1.7398826284785096,1.7408865003582508,1.7418632504706266,1.7428142018674748,1.743740417637914,1.7446427430876914,1.7455218436683235,1.7463782386623463,1.7472123307584364,1.748024431721412,1.7488147844362252,1.7493092872874854
1.6888355835810465,1.6952648398348649,1.6970221877161793,1.6991445375355951,1.7017143686819434,1.70450706668863,1.707349316909951,1.710137647905517,1.712817412131879,1.7153633335411385,1.7177668096595498,1.7200284325764712,1.722153740851496,1.7241508259259617,1.7260289721516515,1.7277978685128867,1.729467139323572,1.731046057590874,1.732543367888744,1.7339671790700306,1.7353249046096089,1.73662323729324,1.7378681495053516,1.739064912764883,1.7402181314525993,1.7413317865631002,1.742409285989245,1.7434535184304305,1.7444669085785252,1.7454514717217506,1.7464088663704755,1.7473404439132356,1.7482472946243357,1.7491302896476169,1.7499901187827025,1.750827324073578,1.7516423293268832,1.7524354657588284,1.7532069940440584,1.753689530313317
1.697517220828359,1.7039031482688642,1.7056432739983418,1.7077494980696468,1.7103039608310036,1.7130819597199292,1.715910036919149,1.7186845631146566,1.721350738610984,1.7238831525903875,1.7262730892375804,1.7285210482560436,1.7306324945307792,1.7326154620192784,1.734479191563725,1.7362333408147663,1.7378875134797638,1.739450971475766,1.7409324567331463,1.7423400829118263,1.743681274785157,1.744962741991568,1.746190478407535,1.7473697807996578,1.7485052817114302,1.7496009924302798,1.750660352553079,1.7516862832490607,1.7526812418784097,1.7536472761080857,1.754586076127541,1.7554990239691224,1.756387239249411,1.7572516209499085,1.7580928850566386,1.7589115980514531,1.7597082063754874,1.7604830620570913,1.7612364447712945,1.7617074468436522
