Values,Values_00_43_17,Values_00_53_14,Values_01_03_03,Values_01_13_14,Values_01_23_35,Values_01_33_56,Values_01_44_17,Values_01_54_38,Values_02_04_59,Values_02_15_28,Values_02_25_45,Values_02_36_33,Values_02_47_27,Values_02_58_25,Values_03_09_15,Values_03_20_13
0.9090175668025198,0.8891831876914673,0.8863652731357486,0.8869088536595385,0.8895531957771841,0.8935959831063791,0.898594034849696,0.904219635920151,0.9102215303353796,0.91640625591631,0.922624921571896,0.9287632635364012,0.9347342524333564,0.9404726295882332,0.9459308311836472,0.951075873655571,0.9558868873274808
1.5537707374649148,1.5327780650854628,1.5291496527538435,1.5293400611029906,1.5318715425025056,1.5359432122658765,1.5410598122180446,1.5468632531805466,1.55308358136055,1.559515263841481,1.5660012048559395,1.5724212603056886,1.578683981480378,1.584720668572604,1.5904810243685394,1.5959298855569468,1.601044663737953
1.6367974754128176,1.6157139770118238,1.6120010284431965,1.6121509341914166,1.6146644160173935,1.618731069082222,1.6238507341724568,1.6296625843965156,1.635895068311021,1.642341677923198,1.648844686726396,1.6552835130798886,1.661566382370682,1.6676243371933823,1.6734068685142671,1.6788786355243883,1.6840169008074162
1.6365853003672723,1.615569320042796,1.6118805336216289,1.6120373587720485,1.6145481851008416,1.6186062437306503,1.623713407082097,1.62951016237711,1.6357258639748258,1.642154651125235,1.648639272773927,1.655059504213104,1.6613238426287047,1.667363538534174,1.673128240775078,1.6785827257384194,1.683704339220826
1.6347754605144325,1.613856852474722,1.6102129669509655,1.610386016919635,1.6128976326518278,1.6169471095254215,1.622039608869868,1.6278176610701651,1.634011974751285,1.640417626075087,1.6468780364921998,1.6532734796670998,1.6595128312189158,1.6655276330879465,1.6712677589158187,1.6766981562892476,1.6817962974552172
1.633367455126249,1.6125724123966456,1.6089919536380093,1.6091898075643831,1.6117057491950937,1.6157472375166884,1.6208238017417118,1.626580640452839,1.6327502011219477,1.6391287451638334,1.645560535290046,1.6519264644845937,1.6581358778760251,1.6641206801406794,1.6698310269251266,1.6752320833106236,1.6803014852209253
1.6341573747261726,1.6135088607397172,1.6100084131267818,1.610239050401311,1.612762990391842,1.6167976589409212,1.6218578720874093,1.6275920283962004,1.633734641527953,1.6400833694694676,1.6464834595938105,1.6528165267725634,1.6589924627404835,1.664943595227409,1.6706204103131888,1.6759883298614784,1.6810251852005293
1.6376940836171354,1.6172125752968358,1.6138072851655278,1.614078330632303,1.6166141828806777,1.620643798502491,1.6256880699059508,1.6313990521515889,1.6375136062953586,1.6438309683821106,1.6501974933894523,1.6564956057721738,1.6626358096077156,1.6685509070179858,1.6741917557295127,1.679524067880563,1.6845258973486081
1.644494383879042,1.624197785478093,1.6209012820334798,1.6212199888923726,1.6237719175890573,1.6277988685734104,1.6328284657220002,1.6385167989347362,1.644603309907256,1.6508889631973624,1.6572213230509123,1.6634836957329546,1.6695872515758312,1.6754653090657028,1.68106913123143,1.686364747868088,1.6913304576713573
1.6551557243103912,1.63505958701627,1.6318841200755143,1.6322574516288937,1.6348299177742758,1.638857238873903,1.6438742990659274,1.6495415280731502,1.655601136453683,1.6618559385912095,1.6681547896663618,1.6743819354250924,1.680449255211609,1.6862906169762106,1.6918577155056684,1.697116919769046,1.7020467908230932
1.6703218856134,1.6504395213620475,1.6473960215711294,1.6478306920695296,1.6504284776869789,1.654459863686584,1.659467401084448,1.665116093510473,1.6711510650691943,1.6773770730854471,1.6836443259845124,1.689838052563033,1.69587087310817,1.7016772294946418,1.707209267674687,1.7124337115258998,1.7173293973049781
1.6906214496408856,1.6709640288282064,1.668062152029353,1.668564651029254,1.6711928663034927,1.6752326680716436,1.6802345628915487,1.6858682939968563,1.6918820016952874,1.698082452135219,1.7043212505987169,1.7104846388763677,1.7164859996526496,1.7222603648006405,1.7277603439706068,1.7329530260037034,1.7378175305336458
1.7166413781868264,1.6972180135399983,1.6944661692547978,1.695042765836568,1.6977068337572014,1.7017600303111324,1.7067609929824687,1.712384304685249,1.7183811842285213,1.7245604463036135,1.73077511870052,1.7369124730581316,1.742886665840499,1.748633326910583,1.7541055354944723,1.7592707499195852,1.7641083767949102
1.7488824239616476,1.729700231130445,1.7271055865910951,1.727762305717558,1.7304679170070505,1.7345400566477565,1.7395455601462648,1.7451638874983957,1.7511493597316603,1.7573128547820462,1.7635088314336274,1.769625595528772,1.7755780790748583,1.7813025101856732,1.7867524371535806,1.7918956869761142,1.7967119523847035
