Values,Values_02_26_06,Values_02_35_19,Values_02_44_07,Values_02_52_57,Values_03_01_44,Values_03_10_39,Values_03_19_25,Values_03_28_19,Values_03_37_14,Values_03_44_21
0.014029564047378,-0.3923577106486968,-0.383653452855447,-0.3068356144102303,-0.2282530950200745,-0.1609885681039311,-0.1091069940859028,-0.0711498577377665,-0.0440701942231567,-0.0249673902826866,-0.013870151633898516
0.0164692318023398,-0.3897016607708476,-0.3810133694792241,-0.3042934091519346,-0.2258270144737239,-0.1586732532104852,-0.1068834513649583,-0.068996586003357,-0.0419685280318762,-0.0229028128652065,-0.011827366152005052
0.0206782401343041,-0.3852833908936709,-0.3765930296074229,-0.2999641216561212,-0.2216112025182225,-0.1545673521253198,-0.1028692287003866,-0.0650528352217186,-0.0380766660655573,-0.0190483136926661,-0.00799484802356307
0.0276979019455071,-0.3780646332080863,-0.3693504542103151,-0.2928034289201184,-0.2145596514251265,-0.1476235929556525,-0.096016091268762,-0.0582696406815286,-0.0313450980018834,-0.0123539806424502,-0.0013224440638481202
0.0379751967127447,-0.3676031343572533,-0.358837349416217,-0.2823594416756265,-0.2042180604471222,-0.1373859794251797,-0.0858668140870672,-0.0481888769363241,-0.0213150397868314,-0.0023605514223297,0.00864939249241371
0.0518665730073149,-0.353547670894486,-0.3446959154445294,-0.2682706496855284,-0.1902225662719975,-0.1234890741746529,-0.072054857933493,-0.0344432132938987,-0.0076185879702764,0.0113002910212406,0.02228922405005504
0.0698305478253583,-0.3354452351722271,-0.3264664149588285,-0.2500737516098073,-0.1721077631403448,-0.1054661574523746,-0.0541126282236452,-0.0165644445630807,0.0102128983185064,0.0290975001856497,0.04006618909011378
0.0923490990310633,-0.3128197744928361,-0.303665822998693,-0.2272822938283891,-0.1493853582633445,-0.0828279066596686,-0.0315501769749501,0.0059377890999472,0.0326700641814914,0.0515219231712182,0.062471253644032713
0.1199053788685366,-0.2851944649949909,-0.2758102592623137,-0.1994092480942361,-0.121566872812635,-0.0550851954573739,-0.0038780761186293,0.0335530745463546,0.0602425922565413,0.079063306206116,0.0899942005697159
0.1529433234139051,-0.2521320566509888,-0.242455587436141,-0.166007820753577,-0.0882046197898884,-0.0217902015253645,0.0293513783106971,0.0667289515697552,0.0933778787278365,0.1121689352633719,0.12308224950663889
0.1918313444256839,-0.2132710822286033,-0.2032340130567375,-0.1267083447527273,-0.0489288204672972,0.017426309836721,0.0685067609584707,0.1058334205897482,0.1324434791982849,0.1512060382886417,0.16210243368313165
0.2368264459052259,-0.1683616076770957,-0.1578903376134786,-0.0812548975395487,-0.00348449096808,0.0628179037028582,0.1138402951864174,0.1511176214437331,0.1776897174881931,0.196424344771384,0.2073041308834663
0.2880419698406861,-0.1172973337678876,-0.1063146641356967,-0.0295384277268271,0.0482351285951939,0.1144888311113777,0.1654540568474009,0.2026819306004197,0.2292157081925133,0.247922056022621,0.25878500342954663
0.3454201740421217,-0.0601428658968098,-0.04857034378151,0.0283748405808511,0.1061598494743995,0.1723650813961688,0.2232708718884827,0.2604467513818242,0.2869400722446514,0.3056165087254932,0.31646163168681196
0.4087111292218975,0.0028453144632107,0.0150843397047882,0.0922212560086579,0.1700200647861738,0.2361716970593831,0.2870114845854873,0.3241295818804081,0.3505779357754044,0.3692211260085334,0.38004643765437324
0.4774590203262169,0.071205241524504,0.0841818597473754,0.1615249871565889,0.2393317070854899,0.3054175416150528,0.3561792000717032,0.3932295736066471,0.4196254319073923,0.4382298803255087,0.44903212562079603
0.5509966631996883,0.1442640145579716,0.1580393620673638,0.2355915610566271,0.3133895551393641,0.3793884639809058,0.4300529598886073,0.4670205502216685,0.493352682274895,0.5119102501319281,0.5226846248863605
0.6284487031445144,0.2211409612654793,0.2357613258968253,0.3135102596927492,0.3912694899790144,0.4571494829746726,0.5076894904974472,0.5445531376754316,0.5708059174965858,0.5893053350874353,0.6000452024554677
