Values,Values_02_33_35,Values_02_42_28,Values_02_51_22,Values_03_00_11,Values_03_09_12,Values_03_18_02,Values_03_26_59,Values_03_35_58,Values_03_44_56,Values_03_53_32,Values_03_53_53
-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
0.0022495912861465,0.0022480427321943,0.002244116251663,0.0022408073548003,0.0022383497862772,0.0022365628652234,0.0022352605230768,0.0022343113184872,0.0022336245485681,0.002233132598126,0.0022327834126323,0.0022327718166371526
0.0063460651509685,0.0063386346568541,0.0063175953080628,0.0062998342101317,0.0062866741108891,0.0062771146243649,0.0062701401641386,0.0062650463278466,0.0062613531215393,0.0062587030823446,0.0062568197030467,0.006256757124044688
0.0127174597389873,0.0126990607389993,0.0126391449947994,0.0125884647979715,0.012551011859859,0.0125238351054667,0.0125039833683768,0.0124894504837478,0.0124788888360864,0.0124712959229696,0.0124658919977317,0.012465712331358734
0.0216188513598418,0.021586124817685,0.0214578393221891,0.0213490846425651,0.0212689520807906,0.021210876050117,0.0211683946883939,0.0211372121417019,0.0211144900220239,0.0210981195801594,0.0210864500330724,0.021086061783457646
0.0333633354823441,0.0333176939090684,0.033084735752538,0.0328867451754946,0.032741359731791,0.0326361412569507,0.0325590552704031,0.0325022987587376,0.0324608153793748,0.0324308548740736,0.0324094590772118,0.032408746675977325
0.0483006315239122,0.0482521726330424,0.047872814436037,0.047549483888474,0.0473130196145798,0.0471421836311232,0.0470168024116554,0.0469241615406641,0.0468562125040525,0.0468069995052857,0.0467717819640491,0.046770608302440925
0.066792310335153,0.066764863062239,0.0661941868816692,0.0657062476432672,0.0653511502295467,0.0650951770286165,0.0649069365654363,0.0647672786953369,0.0646644246275401,0.0645896871557071,0.0645360753170893,0.06453428680050803
0.0891848346631599,0.0892223444761316,0.0884156877597802,0.0877235243875763,0.0872228922671379,0.0868630716377268,0.0865978702334244,0.0864001573358376,0.0862538403620259,0.0861471096811838,0.0860703312604937,0.0860677667891709
0.1157817168437815,0.1159561087582746,0.1148740522080729,0.1139418685362719,0.1132729513096984,0.1127941137316657,0.1124403039105388,0.1121749841882839,0.1119774811119562,0.1118327407063852,0.1117282657150166,0.11172477108979763
0.1468161531256997,0.1472367256635982,0.1458519039408516,0.1446535161737907,0.1438025764843937,0.143196906740695,0.1427481063225464,0.1424091047029893,0.1421549085566988,0.1419675455732389,0.1418317402944186,0.141827189618694
0.1824254877499402,0.1832497818192577,0.1815557263988191,0.180082213610149,0.1790509679925959,0.1783230890975097,0.1777819653054417,0.1773693925806181,0.1770571123516012,0.1768252371096491,0.1766562771105098,0.17665060275860722
0.2226287923567381,0.2240747359244531,0.2220968538814044,0.220366216196003,0.219180012132734,0.2183534871652613,0.2177366408946855,0.2172603239493134,0.2168951811096458,0.2166213730329446,0.2164204575480437,0.21641369011813463
0.2673087204104889,0.2696676632032946,0.2674763024658758,0.2655451509676645,0.2642629368269974,0.2633882601265239,0.2627322824916985,0.2622161795303047,0.2618131534286522,0.2615066735265333,0.2612795710533,0.261271890314431
0.3161986177210982,0.319848634012395,0.3175739711024817,0.3155510857328087,0.3142770720029297,0.313441095249643,0.3128097736294313,0.3122972695164253,0.3118848949209949,0.3115643707841147,0.3113233019410073,0.3113150990008022
0.3688756467894258,0.3742942006939436,0.3721424023471638,0.3702037330657162,0.3691004148374322,0.3684369660106467,0.3679294719565045,0.3674894416814407,0.3671141846895175,0.3668107193616302,0.3665765447227314,0.3665684943759135
0.4247604246206524,0.4325351759897104,0.4308049326610929,0.4292092824780196,0.4285111900695865,0.4282123890454082,0.4279720806866509,0.4277054593535986,0.4274364891464933,0.4271970676377005,0.4270016934921445,0.42699483389687987
0.4831233923615127,0.4939596036337254,0.493057728254873,0.4921619574542838,0.4921891342299547,0.4925165948624163,0.4927398165990342,0.4927862253199908,0.4927202608477325,0.4926112287630665,0.4925000734019614,0.4924958878982422
0.5430978431115718,0.5578205778944414,0.5582749460542223,0.558547109399805,0.559716913175869,0.5610116726871341,0.5619556539764295,0.562499416636396,0.5627651693335283,0.5628754442292346,0.5629097264353655,0.5629102196322979
0.6036992443626384,0.6232483932236508,0.625716133471301,0.6277445656707231,0.6305800067269376,0.6332696851205755,0.6352583645822585,0.6365330382325001,0.6372946144681807,0.6377381765738676,0.637996706715106,0.6380044642713335
0.6638502162794498,0.6892664203243555,0.6945350290036656,0.699031111254071,0.7041636538087889,0.7087650863934671,0.7121914717136786,0.7144818448768016,0.7159403456254424,0.7168574625283618,0.7174375506995242,0.7174557700232537
0.722410278123064,0.7548101204438179,0.7637891699887024,0.7715814409123832,0.7797461008076805,0.7868615891515564,0.7921851751366609,0.7958256156163113,0.7982181143017543,0.7997747119040515,0.8007917767359636,0.8008242547965565
0.7782092628307634,0.8187487166546894,0.832450140926609,0.8444676572287857,0.8564884231388429,0.8667938998693919,0.8745317768976567,0.8798998880835346,0.883495020990188,0.8858796496895966,0.8874651365420918,0.8875162018052905
0.8300831326290004,0.8799092089430797,0.8994148481652345,0.916658328632463,0.9334224929854914,0.9476463621734184,0.958357011621352,0.9658618274461512,0.970951426982686,0.974369411134408,0.9766667262067672,0.9767411049388846
0.8769108130841365,0.9371025985763158,0.963518781422136,0.9870191058806892,1.0094400423985406,1.028332266205895,1.042591680496588,1.0526561116081714,1.059542664115384,1.0642072738996535,1.067365618105978,1.0674682311642723
0.9176506035969644,0.9891523129655896,1.0235526820461731,1.0543177122484657,1.0832869341592462,1.107579049928999,1.1259497023288385,1.1389876165961008,1.1479678162896376,1.154088651851676,1.1582548863748336,1.1583905808211687
0.9513747213472574,1.0349248315016095,1.078284234589935,1.117236535523584,1.1535673799677169,1.1839254348436856,1.2069196646773614,1.2233087722570355,1.234654018352669,1.242423208256191,1.2477321752840245,1.2479054048219453
0.9773005934294962,1.0733623588008527,1.126486210225934,1.1743958548174829,1.218762651520772,1.2557363466652316,1.2837767670395486,1.303829267203893,1.3177645261022235,1.327341753551719,1.3339057665790883,1.334120244451352
0.994817626826892,1.1035170610291305,1.1669718599931436,1.224389823108512,1.2772676543391008,1.321240064844674,1.3546204533011807,1.3785540425595633,1.3952369647184857,1.4067346690122116,1.4146331228414937,1.4148914786296785
1.0035083545109915,1.1245859046882385,1.1986373192918944,1.2658357347613325,1.3274466140188057,1.3785894609954543,1.4174400709620916,1.4453522668438756,1.464854703876505,1.4783249859903074,1.48759516396143,1.487898639937288
1.0045843253779394,1.1375539657760785,1.222238665551765,1.299273208944968,1.3696440533152272,1.4279659867065435,1.4722898862509357,1.5041837047116562,1.526509324783333,1.5419559132675464,1.552601110095995,1.552949825457712
1.0047722744122067,1.1497569308687638,1.2454288536466127,1.3326360099036223,1.4120515565383551,1.477773276189217,1.5277317632675689,1.5637214973500528,1.588950128180162,1.606428428610289,1.6184870014020578,1.6188822157547087
1.0049484149120342,1.162116876570347,1.2691410446724036,1.3668638354207312,1.455613661384096,1.5289579603271033,1.5847119977100326,1.6249102667331707,1.6531196678255304,1.672683147601375,1.6861918476013853,1.686634763979153
1.0051116165419836,1.174576901007768,1.2932681865064088,1.4018009805423948,1.5001291041408067,1.5812792269732965,1.6429579749924446,1.6874532351182283,1.7187034578651794,1.740392885703596,1.7553794755022063,1.7558709990122867
1.0052607643745453,1.1870795218552717,1.3177017786104628,1.4372896724922664,1.5453941520946526,1.6344935934721034,1.7021943564512232,1.7510509294093348,1.7853843782638874,1.809227889798949,1.8257112010619965,1.8262519409610134
1.0053947629874187,1.1995669023373994,1.3423323676893613,1.4731708796955545,1.5912037352655402,1.6883563322168988,1.7621447468529905,1.815403034626956,1.8528446652789747,1.878857927126844,1.896847988078349,1.8974382621610741
1.0055125405448695,1.2119810733635028,1.367050029934337,1.509285095941696,1.637352542401337,1.7426228508849442,1.8225333084972728,1.8802101874378208,1.920767836914544,1.948954305378664,1.9684525352260844,1.9690923764317578
1.0056130528532772,1.2242641508399292,1.3917448367928444,1.5454730939797696,1.6836360730494888,1.7970500172805497,1.8830863105916005,1.9451756976591927,1.988840540826348,2.0191918111649083,2.040191278511581,2.0408804436488377
1.0056952873809912,1.236358547312054,1.4163073014749006,1.5815766432060467,1.7298516378890918,1.8513974190065825,1.9435336027561847,2.0100071857195214,2.0567543121179983,2.089250553964084,2.1117362960490977,2.1124742765341433
1.005758267232448,1.2482071772003356,1.440628803706804,1.6174391865263713,1.7757992999377723,1.90542854852792,2.003610001721714,2.0744181241184223,2.1242072284001763,2.1588177024879336,2.182767101808225,2.183553136301819
1.0058010550664076,1.2597536550117256,1.4646019905737877,1.652906471958622,1.821282749755424,1.9589119046085528,2.0630565805486736,2.1381292710260738,2.19090544942944,2.2275891002175423,2.2529723147049583,2.253805403521327
1.0058227569479197,1.2709424860277498,1.4881211516502515,1.6878271350812015,1.866110108357236,2.0116220016153727,2.121621850053208,2.200869984342912,2.256564628661593,2.2952707467486686,2.322051189188077,2.3229301103328512
1.0058225261234517,1.2817192490922178,1.5110825669968488,1.7220532290312525,1.91009465222828,2.063340278806322,2.179062822609273,2.262379404858091,2.320911184214544,2.361580131612711,2.3897149933975728,2.3906383200722563
1.0057995667082742,1.2920307712425103,1.533384827003162,1.7554406994079228,1.953055455605684,2.113855902476683,2.235145949145428,2.3224074976527307,2.3836834171060244,2.426247407493752,2.455688221134006,2.4566543405217245
1.0057531372749635,1.3018252940472692,1.554929123468851,1.7878498021375044,1.9948179460646005,2.162966454740778,2.289647921000059,2.380715941642608,2.444632465279362,2.4890163903218565,2.519709624367206,2.5207167574892866
1.005682554331491,1.3110526316279336,1.575619511739508,1.8191454631033208,2.03521437041136,2.210478503789765,2.342356329369664,2.437078858189282,2.5035230829153794,2.549645374660497,2.581533053911056,2.582579276317385
1.005587195677078,1.3196643204502678,1.595363144140757,1.849197579126694,2.07408416894813,2.25620805169626,2.3930701764012534,2.491283371063317,2.560134235897305,2.6079077541783,2.640928097262793,2.6420113602922575
1.0054665036235997,1.327613761072849,1.6140704753793569,1.8778812606984,2.111274257322498,2.2999808572344893,2.4416002335527343,2.5431299917387684,2.6142595060780383,2.663592438839596,2.697680504493476,2.6987986568155846
1.005319988070018,1.334856352130826,1.6316554409972042,1.905077017692924,2.1466392164027206,2.341632632743781,2.4877692446728537,2.5924328260385785,2.665707299203901,2.716504062776662,2.751592395495548,2.752743204622225
1.0051472294169386,1.3413496169133945,1.6480356103669245,1.9306708901403429,2.180041391912156,2.381009115769964,2.5314119733210907,2.6390196005218525,2.714300853961752,2.766462979604508,2.8024822448293447,2.8036634182684006
1.0049478813081372,1.3470533229609,1.663132316099758,1.954554526970741,2.2113509068977435,2.417966018051672,2.572375096130277,2.6827315096727307,2.759878052597763,2.813305045162075,2.850184643813808,2.8513938495242823
1.0047216731855722,1.3519295951609445,1.6768707620915817,1.976625216471697,2.240445591477879,2.452368856347649,2.6105169464703906,2.723422887864852,2.802291036844033,2.85688119124098,2.8945498433003043,2.8957847291058707
