Values,Values_03_46_31,Values_03_58_19,Values_04_09_56,Values_04_21_33,Values_04_33_24,Values_04_45_36,Values_04_56_17,Values_05_06_35,Values_05_17_24,Values_05_27_48,Values_05_38_09,Values_05_48_51,Values_05_59_46,Values_06_10_21,Values_06_21_10,Values_06_31_48,Values_06_41_54,Values_06_51_05,Values_07_00_05
0.0100379854604294,0.0100379854604294,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.0100379854602912,0.010037985460291252
-0.0040276694856115,-0.0138258151557792,-0.0194152335744614,-0.0217262952465034,-0.0222471686490762,-0.0223447657137916,-0.0224348572441304,-0.0224652425427239,-0.0223749745900061,-0.0221755386151321,-0.0218771292608521,-0.0214880698623907,-0.0210213383030973,-0.0204939448931933,-0.0199244845351,-0.0193312406650668,-0.0187311167216426,-0.0181391591438256,-0.0175684296406376,-0.017030064596594414
-0.0103621621097772,-0.029958726058607,-0.0412754139856482,-0.0460722365198161,-0.047217922948825,-0.0474845328170783,-0.0477129702776632,-0.0477977211007566,-0.0476277466525556,-0.0472382097469793,-0.0466548006614694,-0.0458949314289033,-0.0449836757685154,-0.0439538692272447,-0.0428416363485102,-0.0416826701921761,-0.0405100724757596,-0.039353365105866,-0.0382382066140961,-0.03718648970604974
-0.0137620654779771,-0.0431676976216926,-0.0603549327827842,-0.0678148432036939,-0.0696902313139197,-0.0701977866257989,-0.0706133868709937,-0.0707770648697268,-0.070538408133457,-0.0699684086935937,-0.0691135583379543,-0.0680011413202542,-0.0666674680199095,-0.0651600380402403,-0.0635314631983689,-0.0618339932507855,-0.06011624151886,-0.058421650443554,-0.0567880241206939,-0.05524764304020534
-0.0138963009044489,-0.0531294427590106,-0.0763349391949182,-0.0866380538807936,-0.0893494271149766,-0.0901707929653531,-0.0908232803231452,-0.0910913388606407,-0.0907957923349151,-0.0900555824383742,-0.0889433151181051,-0.0874969470132742,-0.0857631855931105,-0.08380305341026,-0.0816846263514198,-0.0794758754451865,-0.0772402544549655,-0.0750345848861692,-0.0729083766941685,-0.07090393938150556
-0.010498165218284,-0.0595861918644169,-0.088963217975735,-0.102293501833936,-0.1059492116053604,-0.1071586731512012,-0.1080990884222022,-0.1084982189547364,-0.1081586397655695,-0.1072593505068876,-0.1059043995978465,-0.1041432352240624,-0.1020321427195902,-0.0996445475025413,-0.0970629868921841,-0.0943703369264544,-0.0916442378689856,-0.0889543639122928,-0.086361504167638,-0.0839176494376907
-0.0032229603011978,-0.0622030338665017,-0.0979114721148976,-0.1144577987722158,-0.1191689471715501,-0.1208427084134801,-0.1221238203898613,-0.1226822909110518,-0.1223128868385814,-0.1212667879290788,-0.1196848403890824,-0.1176288242512828,-0.1151638033826674,-0.1123745065934098,-0.1093569507235928,-0.1062081203170423,-0.1030192062370089,-0.0998722249705046,-0.0968388319619661,-0.09398036348025722
0.0082939683119535,-0.0606261900720446,-0.102833857021692,-0.1227912118430557,-0.1286723800559769,-0.1308890836746084,-0.1325658081701425,-0.1333137910233885,-0.1329303855982141,-0.1317511237416814,-0.1299590471079708,-0.1276291315010984,-0.124834438662423,-0.1216699206847591,-0.1182441122614283,-0.1146673298521117,-0.1110436975824161,-0.1074670805178595,-0.1040196022318779,-0.10077162124529485
0.024420762606188,-0.0544994862897557,-0.1033835906265066,-0.1269543573849968,-0.1341243581185174,-0.1369656148497827,-0.1390954297305898,-0.1400653074562577,-0.1396855748801673,-0.1383883841567469,-0.1364044317209566,-0.1338227793402997,-0.1307237223276165,-0.127211372824279,-0.1234058404080248,-0.1194300160845145,-0.115400358327022,-0.1114221039146101,-0.1075874613116396,-0.10397550111159773
0.0454990870872011,-0.0434942422971879,-0.0992429413073469,-0.126638242877504,-0.1352208792430924,-0.1387717938442278,-0.1414151374488726,-0.1426417740063009,-0.1422854319761195,-0.1408873054597779,-0.138731290038145,-0.1359214526146287,-0.1325445705614495,-0.1287128658039408,-0.1245570957488829,-0.1202119860948373,-0.1158057482226355,-0.1114545301435912,-0.1072602567707243,-0.10331041364943819
0.0718169905468652,-0.0273362020600758,-0.0901501759619391,-0.1215912104979419,-0.1317160100678886,-0.1360656826934173,-0.1392863168264013,-0.1408072773580348,-0.1404962233508314,-0.1390160333329788,-0.1367094584497616,-0.1336965215020198,-0.1300697382353783,-0.1259483975621841,-0.1214729893550941,-0.1167893487612366,-0.1120368741683102,-0.10734217945419,-0.1028165515236425,-0.09855560631612799
0.1035818341981733,-0.0058322730438415,-0.0759262323921973,-0.1116455343885306,-0.1234484183777713,-0.1286903934609416,-0.132555707160776,-0.1344114058981299,-0.1341697796116858,-0.1326283310080864,-0.130194465296995,-0.1270051458159365,-0.123157884358961,-0.1187779942901655,-0.1140147884893805,-0.1090244966647006,-0.1039571507927428,-0.0989493981774946,-0.0941215456809383,-0.08957706654597526
0.140895614185734,0.0211052551018788,-0.0564987757202905,-0.0967413163618441,-0.1103651539502902,-0.1165977816141595,-0.1211790064008482,-0.1234127586236868,-0.1232669105180881,-0.1216869094902511,-0.1191507874634674,-0.1158134685369313,-0.1117767115707997,-0.1071708031500442,-0.1021529681730651,-0.0968891206803273,-0.091539381016976,-0.086250007183871,-0.0811499939853482,-0.07635040856612085
0.1837335507251226,0.0534378766024375,-0.0319227699075041,-0.0769467990576993,-0.0925417879895687,-0.0998684564589256,-0.1052407590614178,-0.107898709468815,-0.1078770526320693,-0.1062829698865549,-0.1036712995070153,-0.1002159829770774,-0.0960222609788092,-0.0912243227136118,-0.0859863834796074,-0.080483328883037,-0.0748848250342226,-0.0693463233068955,-0.0640051811461276,-0.05897980337159304
0.2319270526803726,0.0909845167968291,-0.0023964662095038,-0.052473989521727,-0.0701977974217549,-0.0787269895426908,-0.0849694040695512,-0.088100301545976,-0.0882330222509158,-0.0866508285843351,-0.0839917839337533,-0.0804499397932055,-0.0761332261197126,-0.0711786323527602,-0.0657564211955081,-0.0600497258187921,-0.0542372112113092,-0.0484831047682666,-0.0429328037399387,-0.03771179828533301
0.2851518974502216,0.1334104816103889,0.0317280106564048,-0.0236887694115515,-0.0437063662083727,-0.0535514905595458,-0.0607466506661756,-0.0644014388738353,-0.0647200412695306,-0.0631767929710824,-0.0604996700395438,-0.0569039606486191,-0.0524994516671174,-0.0474247848252828,-0.0418552936232046,-0.0359816134255334,-0.0299908487340216,-0.0240555790297277,-0.0183289158066018,-0.012943182051160405
0.3429222916071722,0.1802223511852307,0.0699401150382254,0.0088851435840545,-0.0135979687511061,-0.0248769158343563,-0.0331105483202863,-0.0373417434406507,-0.0378784058124515,-0.0364016591916577,-0.033736374024264,-0.0301202320515977,-0.0256639911117286,-0.0205067367184511,-0.0148278494106942,-0.008824688569627,-0.0026922169633011,0.003389071968932,0.0092586868767908,0.014777729450153402
0.4045912491877181,0.23076922497447,0.1115727696030432,0.0445687727983926,0.0194426482146644,0.00660826897513,-0.0027518778385276,-0.0076127111114276,-0.008399437457367,-0.0070164775027458,-0.0043928909208476,-0.0007899341611227,0.003681617948412,0.0088835210985084,0.0146334332030324,0.020728094354766,0.0269652970879531,0.0331570949044537,0.0391359667325545,0.044756706947414585
0.4693574934981853,0.2842504909017798,0.1558108508605786,0.0825371411967401,0.0545862150937356,0.0400721914235019,0.0294962454606664,0.023952932178028,0.0228853710872054,0.0241484931287387,0.0267014309654929,0.0302581563746402,0.0347089146085076,0.0399176802536839,0.0457003119649379,0.0518485313752926,0.0581535434546883,0.0644204416293231,0.0704750485893953,0.07616613599884907
