Values,Values_06_46_33,Values_06_55_38,Values_07_04_40,Values_07_13_56,Values_07_22_56,Values_07_31_58,Values_07_40_59,Values_07_50_19,Values_07_59_23,Values_08_08_16,Values_08_17_08,Values_08_25_56,Values_08_34_49,Values_08_43_38,Values_08_52_27,Values_09_01_16,Values_09_09_51,Values_09_18_19,Values_09_26_48,Values_09_35_15,Values_09_43_43,Values_09_49_09
0.9904343981970174,1.082466565453501,1.0702430633683933,1.0728883450339055,1.0825602562430194,1.0911628324692813,1.0956865399999955,1.096998632940307,1.0964680373480336,1.0941327625737902,1.089275593692042,1.0814803779901954,1.0709511413623432,1.0583266864906704,1.044426164159467,1.0300736945345563,1.0159986499653295,1.0027840105126888,0.9908438264824708,0.9804212358729788,0.9716042263794435,0.964356083530734,0.9604863147215476
0.9920869071634416,1.0839317867981173,1.0717353557154918,1.0743850786097244,1.084046168321955,1.0926349409719864,1.0971480964646636,1.0984530459996795,1.0979176139598703,1.0955806412933855,1.0907268456486665,1.0829413092795157,1.0724280590087094,1.059825026866588,1.0459500941633664,1.031626024824956,1.0175809155683833,1.0043966367764643,0.9924863405685656,0.9820925004916042,0.9733026730202068,0.9660799208593764,0.9622254297642702
0.9946081442435124,1.0863084562108816,1.0741319470792028,1.076772410349696,1.0864117910309217,1.094983036200367,1.0994885188957748,1.1007931876161996,1.1002615023744209,1.0979318035736962,1.093089980689644,1.0853218016015127,1.0748308116467606,1.062253628701059,1.0484064709501757,1.0341104261387537,1.0200920938922815,1.006932128849599,0.9950427985779684,0.9846660363981884,0.9758891819865612,0.9686753523995852,0.9648245567412352
1.0001546097847778,1.0917354185169192,1.0795744323531995,1.0821975942435775,1.091808735611657,1.1003600049980085,1.1048591954812357,1.1061672741043058,1.1056440087952062,1.1033264638413225,1.0985012673540884,1.0907545700837291,1.080289178342919,1.0677401647287643,1.0539218811762847,1.039653571378172,1.0256602130446713,1.0125211690770697,1.0006477981652058,0.9902815201793423,0.9815095314122352,0.9742951149718798,0.9704412562798035
1.009754876439176,1.1012377185315187,1.089088233077549,1.0916871068819978,1.1012642567004594,1.1097932071268617,1.1142869958008434,1.1156013405893033,1.1150901995200129,1.112788708931623,1.107983872892875,1.1002619712384998,1.0898248544221174,1.0773058546715384,1.0635172860752176,1.0492764060427118,1.0353064633152054,1.022185461350823,1.01032382385887,0.9999624728438185,0.9911885157290452,0.9839654890880528,0.9801028590674237
1.0239003933676103,1.1153028640450096,1.1031613652966072,1.1057301794864574,1.1152684995261806,1.1237729751014789,1.128261792245763,1.1295844204942702,1.129088115786287,1.1268055675822566,1.122023869144629,1.1143292292280915,1.103922371319991,1.0914347335087642,1.0776764569339907,1.063462700064765,1.049514895721827,1.036409628955461,1.0245563592575335,1.0141955123620818,1.0054141387361353,0.99817608751589,0.9943001103892735
1.0431817135673016,1.13451742794956,1.122380979716032,1.1249152172275658,1.1344108257109318,1.1428889101092543,1.1473727834898466,1.1487049315817592,1.148225238301111,1.1459635579195675,1.1412068606045571,1.1335411368790589,1.123165858021291,1.11071045615775,1.0969828016389287,1.0827958715117778,1.0688692160839468,1.055777951660636,1.043930540760117,1.0335668999553471,1.02477403162656,1.0175161279919611,1.0136233426835666
1.0682781162632329,1.159556615627165,1.1474229446316564,1.1499194027301338,1.15936943452903,1.167819513626246,1.1722981292247945,1.1736403091464902,1.1731781165315704,1.170938311770825,1.1662076033766906,1.1585716694604085,1.1482286504627346,1.135805903949207,1.1221089702845686,1.1079485938815443,1.0940423968641224,1.0809639850612491,1.069120787243545,1.058752182672842,1.049945110644336,1.0426641077119645,1.038752161529756
1.09987601468763,1.1911026295048774,1.1789702254457426,1.1814270921959549,1.190829774172776,1.1992506095008586,1.2037233784585435,1.2050754373899724,1.204630801402085,1.2024130076518411,1.19770843777207,1.190102416537285,1.179791722701805,1.1674016156501446,1.1537352870575368,1.1396012302318244,1.125715115158772,1.112649004108964,1.1008092507284566,1.0904346525860282,1.0816120459377878,1.0743062826914729,1.0703739320552002
1.1386357928101274,1.2298115109219885,1.2176797329588551,1.2200966637224444,1.2294513923836958,1.23784220129059,1.2423083368170955,1.243669528339423,1.2432417362536363,1.241045273350161,1.236366201527495,1.2287895044565005,1.2185106170630506,1.2061527235226182,1.1925166903673128,1.178408775473222,1.1645426951941549,1.151488943837257,1.1396527533964869,1.1292722782621352,1.1204341858162787,1.113103583344649,1.1091506883038893
1.1851313304804598,1.276252684190889,1.264121871911018,1.2665000609141426,1.2758074786676743,1.2841680204178132,1.288626626515368,1.2899956968534907,1.2895833479942291,1.287406792962125,1.2827518515865597,1.275203231116227,1.264955089695837,1.2526286071320414,1.2390223921010242,1.2249405180574582,1.2110947692962202,1.1980540564179718,1.1862224376128896,1.1758373448271882,1.1669851842265504,1.1596312271169982,1.1556587353713654
1.239798292496684,1.330857290317116,1.3187288747014805,1.3210711127802544,1.3303331757784689,1.338663841162813,1.3431140149111729,1.3444893085135454,1.3440904166084295,1.3419316981141698,1.3372988757632542,1.3297764958224028,1.319557555580534,1.3072613497838277,1.293684341194716,1.2796285059298462,1.265803741176002,1.2527773666444444,1.2409522086160871,1.2305648792324966,1.2217014045003276,1.214327097257971,1.2103370106927325
1.3028810001116362,1.3938651194524132,1.3817417315437992,1.384052444755049,1.3932724780203194,1.4015743809676795,1.4060153294458348,1.4073949165598985,1.4070070370886605,1.404863555196524,1.40025030393386,1.392751831891094,1.3825601389814923,1.3702928023721876,1.3567442956439026,1.342714620846302,1.3289118563003397,1.3159017319883408,1.304085778084351,1.2936996716279752,1.2848289135194486,1.2774387055780394,1.273434024889124
1.3743844981710314,1.4652767527333743,1.453162328791263,1.455447594087333,1.464630330666827,1.4729054006396598,1.477336573211865,1.4787184013772658,1.478338786371932,1.476207560214305,1.4716109294047055,1.4641336517654346,1.453966938361395,1.4417268630658653,1.4282061109859676,1.414202868919162,1.4004234872856236,1.3874321154904097,1.3756289174075764,1.3652485024685472,1.3563756769301485,1.348975351004908,1.344959994822814
1.4540327140085458,1.544811804319808,1.5327116883032497,1.5349792252395162,1.5441308282079838,1.552381902996076,1.556803139437432,1.5581852098958182,1.557810991394008,1.555688835988342,1.5511056338079727,1.5436465967124593,1.5335023967117267,1.5212878629282396,1.507794134816113,1.493817776794394,1.480063523970672,1.4670939618207453,1.4553078120949017,1.444938468263989,1.4360698501337028,1.4286663707635947,1.424645067147864
1.5412353881358427,1.6318759393830198,1.6197969857970351,1.6220561259694224,1.6311841941345535,1.6394151135503026,1.643826808387933,1.6452073776901308,1.644835780008809,1.6427195122847276,1.6381464949118172,1.6307026693518756,1.6205784545489352,1.6083877339186752,1.5949203832422776,1.580971569135326,1.567244543958574,1.5543003527724824,1.542536194408998,1.5321840842175682,1.52332684474155,1.5159281655515984,1.511906314907344
1.6350657809116516,1.7255386684130332,1.7134893509821685,1.71575098976302,1.7248645500695712,1.7330802520434745,1.737483535501588,1.73886134198635,1.7384899220508128,1.7363765950678005,1.7318106824116564,1.724379152989624,1.7142724885591492,1.7021039614384073,1.688662500853223,1.6747421286788529,1.6610447649014235,1.6481299438021857,1.6363932565080024,1.6260651670083266,1.617227174993642,1.6098420046771855,1.6058255141817281
1.7342512074474603,1.824523967601345,1.812514501631893,1.8147910394657711,1.8239005310618537,1.8321071525579231,1.8365040885425827,1.8378786028574028,1.837505517017856,1.835392680402982,1.830831196220292,1.8234093712735544,1.813318088474374,1.8011703731889008,1.7877545553225629,1.7738637895539575,1.7601988290277562,1.7473177321892384,1.7356143950015832,1.7253175492061446,1.7165071364346192,1.709144664449782,1.7051397547961846
1.837178192139289,1.9272155158268351,1.9152580042903284,1.917563287156724,1.926680543710816,1.9348855295756024,1.9392793310853365,1.9406510294047152,1.9402753243977269,1.93816130812422,1.9336022414055505,1.9261880813487573,1.9161104644235023,1.903982555726673,1.8905924572825576,1.8767327538874152,1.8631032094974096,1.8502604461424512,1.8385965761868912,1.828338414712776,1.8195641065450785,1.8122336899814544,1.8082466756125346
1.9419137575256,2.0316780639288603,2.0197866789622254,2.0221359494252646,2.031274187377566,2.039486410493017,2.0438816724794697,2.0452523303405044,2.0448742551128904,2.042758472698034,2.038200756127252,2.030793015787487,2.020727998984976,2.008619411940513,1.9952555177577769,1.9814286431348933,1.967837749272833,1.9550380649176835,1.9434198315391056,1.933207764459716,1.9244779763619368,1.9171887893770885,1.913225833417364
2.04624391322342,2.1356960046640205,2.123887217034666,2.1262970884208263,2.135470909234702,2.1437008049196464,2.1481037536524608,2.149476757052604,2.149098090735912,2.1469813564550275,2.142425156277484,2.1350236355780177,2.1249710048667314,2.11288191908146,2.0995452015582057,2.085753241376989,2.072204388671497,2.0594525251379907,2.047885937800512,2.0377270660027342,2.0290497661797766,2.021810413020956,2.0178772579532818
2.1477298086906926,2.2368296106919217,2.225122479385527,2.227610945956243,2.236836360024049,2.245096076315739,2.249514832415731,2.25089550063554,2.250519889665068,2.2484047420907656,2.243851751523166,2.2364575468040724,2.226418138924626,2.214349536277277,2.2010415239167203,2.187286876349801,2.173783525996046,2.1610840565083813,2.1495747238434526,2.139475528383177,2.1308578661273607,2.1236759584164737,2.1197776334614025
2.2437810427957823,2.332488436869244,2.3209049688098693,2.323491464073616,2.332785942445033,2.341089505321222,2.3455343543485667,2.3469302653559803,2.3465635590458245,2.344454579640832,2.3399083046003994,2.3325240497904414,2.322499938526614,2.310453725075835,2.2971765517521234,2.2834618977309664,2.270007469218198,2.257364603683955,2.2459174602059666,2.235883457669773,2.2273313569313338,2.22021305617019,2.216353562697874
2.331745048708875,2.420020806760717,2.4085863920147825,2.411291905229204,2.420674462649247,2.4290379512605407,2.433521610849628,2.434942914843252,2.434593483388813,2.4324975937456994,2.427963614909207,2.4205936974737,2.4105883532606898,2.3985674528042806,2.385323876693847,2.371652117736846,2.358249842280277,2.345667196978573,2.3342861937317294,2.324321555976656,2.315839274629869,2.3087888024224967,2.3049707799946533
2.4090084848942745,2.496815311226323,2.485559231176097,2.4884064881783714,2.4978977967649767,2.506339518156368,2.510877384014522,2.512337083518652,2.51201609526899,2.509942809806517,2.505428998791713,2.4980797298715385,2.48809813415439,2.476106537072808,2.4628999152712487,2.4492740674615474,2.43592679845494,2.4234071243530053,2.4120948807280054,2.4022020192808484,2.3937916773376746,2.386810799388995,2.383035177676948
2.473111124684168,2.56041480389946,2.549370797296701,2.552384504659405,2.5620070310171603,2.570547676238719,2.575158020867588,2.576672187035271,2.5763938133332625,2.5743554162748543,2.5698720765442213,2.56255178846896,2.552600479079357,2.540643226136261,2.527477428280923,2.5139004595867505,2.5006104313513267,2.4881552965662057,2.4769127131042894,2.4670918322712305,2.458752917129539,2.4518404128387257,2.448106058766093
2.521850871569516,2.6086215028470625,2.597828358799493,2.6010355009913733,2.610813652025943,2.619476407599456,2.624180497033976,2.625768383086575,2.6255498905931427,2.6235614983537907,2.6191213946407106,2.611840433284741,2.60192745266033,2.590010530433496,2.576889773246375,2.563364371670203,2.5501328998081427,2.537742325462471,2.526568162778072,2.5168167922280134,2.5085456569302083,2.5016967952251368,2.4980001707206685
2.553426968328799,2.6396402530711254,2.6291423734123267,2.632572533570482,2.642532781462763,2.6513433577746586,2.656165440906576,2.6578494442794507,2.65771112665565,2.6557905900469425,2.651408824735348,2.6441794002152497,2.634314115782229,2.622444239426045,2.609372824693972,2.5959010869211743,2.5827282073059634,2.5704002611897634,2.559290696587596,2.549603221698817,2.541392600562588,2.534598651645311,2.5309335034050724
2.5664319609492408,2.6520704588132795,2.6419183230761543,2.645603992859568,2.6557749492948868,2.664761489368761,2.669728616745758,2.6715340439214645,2.6714989473838564,2.6696665509241875,2.665360248874726,2.658196111439034,2.6483888814246503,2.636573145415494,2.623555090277562,2.610138128527665,2.597022181758464,2.584752545636918,2.5737007317502307,2.564067953655914,2.555906533709262,2.549154360429576,2.545511471887166
2.560290212570953,2.645344536326561,2.6355949205891456,2.639571695806559,2.649984050150596,2.6591768411365537,2.664318441703176,2.6662730104735006,2.6663663949609244,2.6646443028130737,2.660432062573178,2.653347970509269,2.643609631176854,2.631855013287916,2.6188935672780507,2.605531037858719,2.5924682114696687,2.580249742694776,2.5692453965475086,2.5596541572152045,2.551526246750677,2.5447980218838118,2.5411650591394213
2.5341788213489496,2.618648475812332,2.609364453966045,2.613671151545757,2.6243575199843034,2.633788553433031,2.639135807004719,2.6412689167881536,2.641517479024056,2.639928950629222,2.635830082214574,2.628841080082651,2.619182272868263,2.607495012701019,2.594592088356646,2.581281676163256,2.56826554709988,2.556087884921613,2.545116964260305,2.535549897782196,2.527435255153704,2.52070836737397,2.5170698581918036
2.4921800015140465,2.576074277555894,2.56732437888552,2.572002590254274,2.5829968679418767,2.5926989087592887,2.5982836395028905,2.600625187660309,2.601055866459652,2.5996241002683766,2.5956575440771426,2.588777979495569,2.5792082756942687,2.567593109214927,2.5547486256235867,2.541485496912592,2.528506596195496,2.516355842622955,2.5054003469970687,2.495835802710256,2.487709679912465,2.4809568925466747,2.4772943845623727
2.443463718066038,2.526800518793826,2.518659320545673,2.52375410299416,2.5350918453185014,2.545098400904802,2.5509527142959563,2.55353252378999,2.554171812318136,2.552919202579257,2.5491027709497223,2.5423455518629487,2.5328727522604364,2.521332278130231,2.5085436159394487,2.495319980263921,2.482365474511883,2.4702240010906698,2.4592619022019298,2.4496739904298,2.441507281316408,2.4346969675239305,2.4309892169227956
2.3908658885140017,2.4736688356994576,2.466220542653017,2.471783207588371,2.483503806316759,2.493850721615482,2.5000080826388182,2.502856590035328,2.503730931166742,2.502679223735598,2.499029550301092,2.4924059202474056,2.4830356956148005,2.471569926152002,2.4588314338728843,2.44563604291007,2.43268925024049,2.4205352417364248,2.409540053827945,2.3998982340400667,2.3916570678293616,2.384752797247468,2.3809754960623484
2.3334035332560785,2.4157014926967366,2.4090417843931675,2.415131255219767,2.4272787521765937,2.438004550717694,2.444499766672768,2.4476477533689365,2.44878308896506,2.4479527947553863,2.44448464700727,2.438003424209525,2.428738503828689,2.4173440238715305,2.404646166405066,2.391463468932626,2.378503033609015,2.366309691616358,2.355249709773966,2.3455180666102926,2.3371631229468885,2.3301230162293054,2.3262484000180197
2.2712449017303222,2.353072601428443,2.347308617452843,2.353991413071425,2.36661406425336,2.377759103634944,2.384627211894449,2.3881045355957893,2.389524952486235,2.3889339631913864,2.3856588731623085,2.3793251274496723,2.3701640403644983,2.358832822581184,2.346161076781074,2.3329702001892274,2.319969166369446,2.307703881850288,2.2965414591978126,2.2866780885408047,2.278164094399981,2.2709404304152225,2.266937083487569
2.2041686652696804,2.2855667634760697,2.2808172491264584,2.2881675726460102,2.3013174704502752,2.312923101877571,2.3201982096184377,2.324032447875327,2.3257587076211053,2.3254207752793272,2.322345521046242,2.3161590955434623,2.3070947579804217,2.295812833360196,2.283146454693467,2.2699200787105207,2.256844880329875,2.244468346497264,2.2331591341187784,2.2231155110619536,2.214390734910702,2.2069295668163527,2.2027622377156573
2.132128591680198,2.2131435941038484,2.209538395615372,2.2176377285302764,2.231369976876981,2.2434772703009807,2.251190972111698,2.255405659365948,2.257453342728105,2.257376202702429,2.2545009696995546,2.248454725023008,2.2394727972464152,2.228218744307978,2.2155294025565704,2.202232552470245,2.1890419723750068,2.176507314940375,2.1649995646164326,2.154720016077488,2.1457259041554235,2.137966850274245,2.1335963940040776
2.055077668732918,2.135761539112752,2.133440610456002,2.1423769114157136,2.1567484569037823,2.169396608870847,2.17757610383684,2.182188680561369,2.1845660578969714,2.1847492962132926,2.1820656072707405,2.176143464704592,2.1672205421298414,2.1559638495445554,2.143214179741851,2.1298029779886525,2.1164471083473586,2.103699058120098,2.0919330051943463,2.081354296047301,2.0720252505523176,2.0639014503901176,2.0592848862343844
1.973037471991108,2.053446969019796,2.052558706255269,2.0624250699759408,2.077493091578644,2.090717459823864,2.099383343206937,2.104402813052628,2.10710845120186,2.107541138465793,2.105029584930579,2.0992044101187446,2.090306098511199,2.0790054582355824,2.066147590056685,2.052568034369357,2.038987310438184,2.0259614932442176,2.0138688965529354,2.0029200072975226,1.993183384728704,1.984621697799308,1.9797124317724744
1.8860901073275085,1.966285848433606,1.966984719097811,1.977877462368102,1.9936973230933523,2.007527129173588,2.016690925813597,2.022115302265238,2.0251354968022124,2.02579368095984,2.023421548173585,2.017652968196628,2.0087319345732246,1.9973335552498444,1.9843077081833047,1.9704945605558064,1.956618948277821,1.9432413681514769,1.9307452777264809,1.919347438528411,1.909123826637872,1.900045325811499,1.8947935672057374
1.7943944676741397,1.874439752494336,1.876883185916845,1.8888993354483568,1.9055221137732503,1.9199778743111893,1.929639403764139,1.9354530532455057,1.9387592022701057,1.9396033811145657,1.937322290945117,1.9315545672981311,1.9225486874495767,1.9109847462258664,1.897718004823359,1.8835939007057512,1.8693423417225112,1.8555291542907817,1.842543996422373,1.83061105926762,1.819814906167825,1.8101357306843453,1.8044891399538943
1.698194891789716,1.7781543321584763,1.7824989041260793,1.795733120575124,1.813202795783311,1.8282935972067893,1.838438312738119,1.8446093510212989,1.848155434261604,1.8491281734037053,1.8468719079485,1.8410320253701544,1.8318627819093496,1.8200501610450648,1.806455567796197,1.791930473107323,1.7772107038696776,1.762868385011194,1.7493004577106404,1.736739687488441,1.7252803515446873,1.7149129763631052,1.708817574507101
1.5978313146356151,1.6777693310095805,1.6841663351392293,1.6987073646391648,1.7170577828020763,1.7327785626338954,1.7433750507148054,1.749852991476004,1.753573358423946,1.7545972581966207,1.7522799637796744,1.7462761265077855,1.736847439038098,1.7246869169831007,1.710663038983564,1.695634196297911,1.680343066860747,1.6653690858941768,1.6511175575279546,1.6378309185416269,1.6256141997737266,1.614469166908734,1.6078705280431596
1.4937474819594838,1.5737267291875872,1.5823172955368696,1.5982441053731875,1.6174959088596572,1.6338249536453355,1.6448228207722797,1.6515367109645231,1.6553444145427842,1.6563206591816628,1.6538356562848366,1.6475564058564136,1.637754092856142,1.6251301725196967,1.610561305911705,1.5949138136442758,1.578938228928954,1.5632223277590396,1.5481808191726705,1.5340668170095422,1.520997010627314,1.508985145105225,1.5018298779303638
1.386497466852265,1.4665772434117708,1.4774872259322949,1.4948650409901094,1.5150227916195254,1.5319196956871028,1.5432480940982705,1.5501053901626924,1.5538913184635696,1.5546990541487624,1.5519184890554674,1.5452326642281091,1.5349247384801172,1.5217062930124987,1.5064634619071162,1.490071618138637,1.4732902074876997,1.45671636572404,1.4407751707897265,1.4257312807278797,1.4117137619691906,1.3987488615594856,1.3909863632503048
1.2767495945024343,1.3569842676037445,1.3703191685099074,1.3891956713957163,1.4102454273324776,1.42764976980277,1.439216815408788,1.4461032499023756,1.4497363007426591,1.45023307881493,1.4470086398988176,1.4397663834061736,1.428804363464235,1.414846256743557,1.3987891362804394,1.3815186479337196,1.3638042342145755,1.3462533624885034,1.3293023215611337,1.3132279922466603,1.298172297965612,1.2841742415657826,1.2757586792986786
1.1652872340208555,1.2457246807061522,1.261564901568202,1.2819668811932232,1.303874490792766,1.3217054722102006,1.333398779367557,1.3401794325384957,1.343507937555516,1.343531419453201,1.3396962997105877,1.331731273449784,1.319952648474923,1.305098440144778,1.288078283832612,1.2697893904315198,1.2510122768569385,1.232365626362025,1.2142976124252258,1.197097779024331,1.180921097820271,1.1658192652633566,1.156711708343774
1.0530059061838686,1.1336859336166358,1.1520826336180026,1.1740133566593904,1.1967237021051018,1.2148809317551192,1.226569426549284,1.233091148479161,1.235945682274426,1.2353167307360473,1.230688945923028,1.221821843846902,1.2090537567933537,1.1931395294493343,1.1750031090555595,1.155554599189658,1.135586622174959,1.115729830434068,1.0964447421258663,1.0780337206074857,1.0606646443677394,1.0444014856643815,1.0345720785674535
0.940906308223174,1.0218589837571188,1.0428307832782424,1.0662683167158225,1.0897056744108906,1.108071214778359,1.1196082924726811,1.1257035203840098,1.1279011277162994,1.1264283065603544,1.1208153773327976,1.1108587262796767,1.096922843810136,1.0797820962986824,1.060376572472253,1.0396305851822305,1.018349800456576,0.9971774176128442,0.9765865035402768,0.9568920743388992,0.9382744073940824,0.9208089497355058,0.9102389883131667
0.8300830518222165,0.9113268554130588,0.9348575523158532,0.959754185892753,0.9838237735782444,1.002265435880538,1.0134934067181731,1.0189852968859603,1.0203350450699558,1.0178204252307728,1.0110253097853492,0.9997894305848068,0.9845078552958464,0.9659772993848368,0.9451558415331596,0.9229832530762132,0.9002790391451816,0.8776993051399957,0.855729579498498,0.8346970141219424,0.8147933912371829,0.7961044366741922,0.7847881920173303
0.7217091526820284,0.8032488696146926,0.8292862465655769,0.8555690609708383,0.8801597245194529,0.8985354816999669,0.90929111616499,0.9139997746212556,0.914309402980637,0.910555439053368,0.902383473274846,0.8896833508512542,0.8728853153560115,0.85281130607507,0.8304391834173591,0.8067252946874198,0.7825035847262347,0.7584431672864926,0.7350416290075783,0.7126373777824017,0.6914324187871206,0.6715211733822718,0.6594673056476681
0.6170165472301691,0.6988408524737365,0.7272965606671216,0.7548690754353377,0.7798569476759165,0.7980202064434507,0.8081410647744577,0.8118905340784436,0.8109738457211216,0.8057909628747563,0.7960574452931245,0.7817201440287739,0.7632491234798123,0.7414943618539791,0.7174551489161443,0.6921053241727855,0.6662936274962059,0.6407019957630905,0.6158393428529148,0.5920540952605708,0.5695568302012688,0.5484487231632988,0.5356811445180231
0.5172731900444366,0.5993519347965399,0.6301023576661665,0.6588470897938217,0.6840999483426823,0.7019053192339381,0.7112364500708778,0.7138620104026722,0.7115465530950535,0.7047609878628982,0.6932989552844449,0.6771711323213545,0.6568919388261809,0.6333420251421428,0.607543518486177,0.5804883946908341,0.5530402531089421,0.5258933612143682,0.49956690596922,0.4744177623954541,0.45066310030424,0.4284086009866931,0.4149666829576796
0.4237575057264561,0.506038792894731,0.5389267351414035,0.568708421495557,0.5940903994723228,0.6113995404674293,0.6198000767323165,0.6211553650697307,0.6172898941128018,0.6087512805372758,0.5954189727541346,0.5773740020271958,0.5551793946983712,0.5297487928983545,0.5021282318433572,0.4733281280550557,0.4442266767782666,0.4155296695948727,0.3877652106693559,0.3612967654296095,0.3363458497097122,0.3130201671478847,0.29895823951590006
0.3377311335159281,0.4201383478352855,0.4549753669970489,0.4856445619786662,0.5110208360814067,0.5277079315645937,0.5350571079392702,0.5350205588526841,0.5294817753948379,0.5190699699522117,0.5037574876281625,0.4837017194855709,0.4595180845082529,0.4321550890679544,0.402683314890227,0.3721315240487857,0.3413918903608054,0.3111806168443565,0.2820331054593568,0.2543173285429731,0.2282567138104213,0.2039583575415958,0.1893445064042146
0.2604110120926391,0.3428400364917378,0.379409236091736,0.4108059944786862,0.4360470923345516,0.4520035667704211,0.4582057330729022,0.4566858991440148,0.4493840128362381,0.4370147080164815,0.4196494268401968,0.3975271714742707,0.3713188957427114,0.3420092681604429,0.3106935387897805,0.27841827308206,0.2460886402884436,0.214429858201865,0.1839827965871875,0.155117702996585,0.1280573884268229,0.1029056665750526,0.08781989915362086
0.1929418674689679,0.2752587570072561,0.313317885780867,0.3452752751643317,0.3702607026308294,0.3853988496545393,0.3903871492463312,0.387326559191703,0.3782093254941652,0.3638381038940984,0.3443885111921374,0.3201854390486262,0.2919577081136145,0.260726759456625,0.227612047535117,0.1936769199369903,0.1598381947812011,0.1268284591381691,0.0951920742281011,0.0652992696075986,0.03736971718589,0.011501333501036,-0.003966772337949277
