Values,Values_04_37_49,Values_04_47_52,Values_04_57_59,Values_05_08_34,Values_05_19_07,Values_05_29_03,Values_05_38_46,Values_05_43_48
0.0052560973584492,0.4258506188209091,0.5242959113589152,0.5783675233692852,0.6412639146897318,0.7043168030786344,0.7639493341686808,0.8197608602020983,0.8484890394812351
0.0085296524480348,0.4285557454191682,0.5268261240922328,0.5807990482859482,0.6435792949326564,0.706514370460518,0.7660343621979662,0.8217396839497947,0.8504128958324961
0.0141764225129217,0.433623014144963,0.5316741107553332,0.5855166041068115,0.6481484250545215,0.710932631485925,0.7703065503088891,0.8258718531120998,0.8544717809118104
0.0235933862632305,0.4424580868955182,0.5402539671739809,0.5939394677537915,0.6563950247634212,0.718999399746985,0.7781976431019931,0.8335929712959214,0.8621033673873643
0.0373807311369962,0.4556743578352052,0.5531902118233084,0.6066984527901305,0.6689553369515593,0.7313558967745112,0.790353579330555,0.8455535353745856,0.8739605666588368
0.0560171647531775,0.4737652880433399,0.5709879058982967,0.6243049733941907,0.6863463200041487,0.7485241755138714,0.8073012203088448,0.8622850260032571,0.890577294963562
0.0801176925287791,0.4973617205327121,0.5942895816659082,0.6474077853765124,0.7092222435946073,0.7711635917539448,0.8297047100766943,0.8844561659998411,0.9126246800347567
0.1103273644431189,0.5271260777755573,0.6237696620796245,0.6766874960506679,0.7382692943360415,0.799965502432735,0.85826025937746,0.9127677827831048,0.9408059631448875
0.1472899460743674,0.5637211094125624,0.6601031554909321,0.7128252197400026,0.7741742216243597,0.8356219122881385,0.893664795915072,0.9479214626000187,0.9758251553613041
0.1915915233397328,0.6077534814626869,0.7039091153081444,0.7564459611478334,0.8175676842065148,0.8787687992788797,0.9365592746828176,0.9905628484498692,1.0183303294335526
0.2437085764689406,0.6597216706417296,0.7556982871338951,0.8080661315974433,0.8689716864026699,0.9299334931162512,0.9874760096622864,1.0412289313378154,1.068860891148044
0.3039554745635567,0.7199631465195651,0.8158199528390897,0.8680402201492734,0.9287461359037535,0.9894811475415354,1.0467850755061594,1.100294390918387,1.127793890046665
0.3724356482502919,0.7886051118119568,0.8844122555717961,0.9365109096593204,0.9970388174163464,1.057564604161484,1.1146440802618771,1.1679212896579798,1.1952936752404892
0.4489981705316889,0.8655205561644908,0.9613577818454848,1.0133644224576777,1.0737405731642164,1.1340794442709303,1.1909531104505502,1.2440139263297425,1.271266704426067
0.5332021003703119,0.950292005015853,1.046246803477308,1.0981935064890318,1.1584481069234225,1.2186266502600098,1.275317274470728,1.3281812787783047,1.355323938041809
0.6242906898503882,1.0421850925626135,1.1383503298478523,1.1902702200219597,1.250436575003824,1.310485044388946,1.367019015920656,1.419709210945228,1.4467529952443818
0.7211774909950153,1.1401340200035233,1.2366050513442843,1.2885306022608052,1.3486440555316648,1.408595599375601,1.4650022938666545,1.5175445434105697,1.5445021720418841
0.8224462373104858,1.2427407923085978,1.339612083731942,1.391573144587725,1.4516698130143282,1.511559539070975,1.5678705492047316,1.620292907224533,1.6471782416203067
0.9263661229043736,1.3482898639944405,1.445651156502882,1.4976727091182302,1.557788005190663,1.6176518754522726,1.6739001022267117,1.7262320249157892,1.7530596800738654
1.0309237556769495,1.4547794653109671,1.5527115259219315,1.6048111785916888,1.6649781150831964,1.724851662285455,1.7810702588359522,1.833341693223784,1.86012659056653
1.1338725003071055,1.559970306880222,1.6585403194443198,1.710725549375069,1.7709728189384273,1.830889672874178,1.8871108290379328,1.939351167411948,1.9661080238218638
1.232799155332005,1.6614515804975056,1.7607082419270423,1.8129734083019209,1.8733232323044768,1.9333134422998168,1.989566995268043,2.041803881712323,2.0685466279033187
1.3252068846162537,1.7567231484217802,1.8566915591514936,1.909014728693732,1.9694804774122607,2.029568620056279,2.0858804773258925,2.1381384528615768,2.1648795742394276
