Values,Values_02_26_59,Values_02_44_01,Values_03_01_39,Values_03_16_17
0.089316893636234,0.089316893636234,0.089316893636234,0.089316893636234,0.08931689363623403
0.0027237494080231,0.0018278948113507,0.0007347500192155,-0.0004282974354045,-0.0014982576866009677
-0.0252896858845038,-0.0270597702137868,-0.0292216402064611,-0.0315208327883638,-0.03363527306698393
-0.0464760574339401,-0.0490974215057945,-0.0523020532519058,-0.0557088272650465,-0.05884071430225596
-0.0660397557443102,-0.069490153789719,-0.0737125029108105,-0.078199269572085,-0.0823224587714003
-0.0825297996009295,-0.0867882537080894,-0.0920049017583943,-0.0975457955091619,-0.10263571604121238
-0.0960761654186454,-0.1011230385547852,-0.107312301779945,-0.1138832868142322,-0.11991703201291658
-0.106315916017605,-0.1121328918635007,-0.1192748170880719,-0.1268536721343516,-0.13380997676457249
-0.1129618545076076,-0.1195319349782756,-0.1276083210654674,-0.136174649430756,-0.14403388857270327
-0.1156835333873576,-0.1229910030208865,-0.1319853852170929,-0.141520583024485,-0.15026473067764737
-0.1141587677309029,-0.1221891022786626,-0.1320866714240226,-0.1425738240010908,-0.1521863436143803
-0.1080833644226685,-0.1168230651019357,-0.1276104983116649,-0.1390341797840696,-0.14949982376801352
-0.0971859729914097,-0.1066223065573402,-0.118287483785696,-0.1306334328236109,-0.14193792636019012
-0.0812376160666956,-0.0913582484947502,-0.1038898382898109,-0.1171444926650233,-0.12927408627533196
-0.0600569086174562,-0.0708494249965327,-0.0842363280726047,-0.0983862066538781,-0.11132708774437239
-0.0335110001779057,-0.0449623111798797,-0.0591929594479966,-0.0742238902003381,-0.08796145325037145
-0.0015128265298461,-0.0136084699167926,-0.0286699880657936,-0.0445661910732735,-0.05908417608024891
0.035983848709932,0.0232604938324967,0.007383246172372,-0.0093598004071409,-0.024639320630685538
0.0789895087120454,0.0656580677222996,0.0489835438139535,0.0314158623004756,0.01539737037425947
0.1274813977863925,0.1135653698147541,0.096116432653903,0.0777512799889954,0.06102113956941586
0.1814005053616025,0.1669281107927319,0.1487331271649234,0.1296037834179682,0.1121951373374704
0.2406404143772604,0.2256453683934958,0.2067392391557336,0.1868861798311509,0.16883896246290744
0.3050256588981536,0.2895478147390178,0.2699728741384342,0.2494446929204685,0.2308064433175926
0.374280396734518,0.3583662016506844,0.33817291596213,0.3170270144553309,0.29785345844875516
0.4479848692529533,0.4316875798009496,0.4109349779143309,0.3892379491135362,0.369593282030309
0.5255361378063116,0.5089157500985183,0.4876715270943113,0.4654991695988995,0.4454559819462555
0.606081444393932,0.589204307573298,0.5675445546965252,0.5449814696743094,0.5246202736525134
0.6885433099255859,0.6714814114499137,0.6494899486463468,0.6266286974927454,0.6060370376151
0.7714333832114526,0.7542633105461445,0.7320306127459515,0.7089704329404012,0.6882415850386578
0.8532867940224589,0.8360884105780712,0.8137101649720314,0.7905552892845118,0.7697865950092344
0.9317626909221788,0.9146175718966388,0.8921928944898876,0.8690505211459666,0.8483414166659669
1.0054357804878522,0.9884254844800808,0.9660549075934256,0.9430329342469436,0.922482773277533
1.0792184005380674,1.0624226991102286,1.040206008850499,1.0174106601537407,0.9971164866100473
1.1585094449158229,1.142005190474695,1.120039807801515,1.0975739917675795,1.0776290985257782
1.2432527355705365,1.2271134451023598,1.2054937236636034,1.1834563662809696,1.1639497487248056
1.3327395896845635,1.3170348493685626,1.2958513792835311,1.2743366470375097,1.255352261766886
1.4268130449865757,1.4116077664964055,1.390946506428391,1.3700428450058375,1.3516587019676953
