Values,Values_04_45_29,Values_04_55_20,Values_05_06_00,Values_05_16_37,Values_05_26_41,Values_05_36_12
0.0092399927506812,0.0092399927506812,0.0092399927506812,0.0092399927506812,0.0092399927506812,0.0092399927506812,0.009239992750681224
-0.0003143764412355,-0.0070083216613596,-0.0170600796776796,-0.0252547236803122,-0.032999488159834,-0.0394156907954303,-0.04427760277619422
-0.0027641650007695,-0.0161571794611219,-0.0361385750760418,-0.0523526159484274,-0.0676339393669886,-0.0802757523893594,-0.08984773775315338
-0.0030793401846905,-0.0231612637085134,-0.0529306957308995,-0.0769743059825176,-0.0995700954372834,-0.1182350741155337,-0.13235600617509732
-0.0011903597180555,-0.027958180126652,-0.0673821525366523,-0.099071073320492,-0.1287637542682123,-0.1532527196121147,-0.17176365288167014
0.0033766258165174,-0.030087553765985,-0.0790476828866933,-0.1182080570071737,-0.1547888202973488,-0.184909289865909,-0.20765604918654235
0.0108200239176256,-0.0293663047442487,-0.0877607012034727,-0.134229770523785,-0.1774990337657546,-0.2130655461905672,-0.23989896427126536
0.0214738079787619,-0.0254773286736624,-0.0932214411677532,-0.14684778530988,-0.1966152058862524,-0.237449264080676,-0.26822512348816774
0.0356814357277145,-0.0180959807595914,-0.095123695683256,-0.1557675511018735,-0.2118520605150586,-0.2577820677298229,-0.2923610252849844
0.0537901628857434,-0.0068958524127526,-0.0931604554858091,-0.1606938319846056,-0.2229234387822865,-0.2737844234061291,-0.3120317641544803
0.0761245227974187,0.0084248113491252,-0.0870499472496327,-0.1613563736853024,-0.2295675888712769,-0.2852006015889466,-0.32698573571741274
0.1029592278677387,0.0281162779777119,-0.0765618950833113,-0.1575356672247396,-0.2315724482131256,-0.2918235515977758,-0.3370191960303379
0.1344963373884719,0.0523549768776242,-0.0615390594617607,-0.1490838417554234,-0.2287959398013951,-0.2935147048706481,-0.3419956885840573
0.1708437721423251,0.0812226800027975,-0.0419170579880099,-0.135943735799361,-0.2211843780567554,-0.2902218425486162,-0.3418635060959973
0.2119985146999079,0.1146905526266632,-0.017739146733478,-0.1181628477639441,-0.2087857119467664,-0.2819917800500442,-0.3366679600139509
0.2578344453972089,0.152607997766224,0.0108339129497828,-0.0959023328087153,-0.1917578159338468,-0.2689781171585997,-0.3265587360377431
0.3080958288818649,0.1946972818160177,0.0435198379664442,-0.0694401544894107,-0.1703709815748071,-0.2514432446832985,-0.3117915565492784
0.3623966727719489,0.2405541255698914,0.0799167763466719,-0.0391683248649555,-0.1450045934704679,-0.2297546332533387,-0.29272420768883617
0.4202260047789466,0.2896542638840156,0.119511158553111,-0.0055843618426421,-0.1161381705956041,-0.2043756277657324,-0.2698071867229337
0.4809587054687478,0.3413655621698139,0.1616909528313327,0.0307224796332468,-0.0843373826178524,-0.1758513986440341,-0.24356965159846336
0.5438712156653014,0.3949649549648807,0.2057635016234745,0.0690893156604367,-0.0502359788843325,-0.144791025515321,-0.21460167547742287
0.6081612438749501,0.4496592743915078,0.2509769167682913,0.1088009964949724,-0.0145147591710109,-0.111846873510069,-0.1835339875890706
0.6729700858379751,0.5046085195809478,0.2965434971800149,0.1491131329268974,0.0221207874014474,-0.0776929093246243,-0.1510168598992505
0.7374070623760554,0.5589510116114785,0.3416645367238906,0.1892761113472128,0.0589634819672983,-0.0430026564019955,-0.11769883938112785
0.8005724216083424,0.611826713039136,0.3855527376077606,0.2285562878697326,0.0953242851016932,-0.0084305867871899,-0.08420910997463595
0.8615852110435739,0.6624051670405786,0.4274586571877286,0.2662607961382242,0.1305554200553286,0.0254095498561959,-0.05113695333681487
0.9195922050839525,0.709894049786218,0.4666771542286115,0.3017419582795271,0.1640528291720546,0.0579455521147996,-0.019032170672671166
0.973825326394812,0.7535958309829273,0.5026014404888713,0.334449007463778,0.195305775837051,0.0886946487564846,0.011641504679264931
1.0235145556570158,0.7928192065563461,0.5346312910348368,0.3638337074931789,0.2238002564975136,0.1171651867560725,0.040406827969947386
1.0681719634088394,0.8271617563198725,0.5624525107421041,0.3896272969861624,0.2492938629963272,0.1431298986552338,0.06704515303365509
1.1069992195822396,0.8559140764344537,0.5854368553704237,0.4112377322260497,0.2712111140226726,0.1660199134873906,0.09098955372167962
1.1400512043266156,0.8792229783417917,0.6038028704662803,0.4289086235838005,0.2898008919849483,0.1860810711506096,0.11248033796653854
1.1714189313197614,0.9012673995967476,0.6217866392178323,0.4468878868195314,0.3093042826279457,0.2075415828446918,0.13573278971865418
1.2049933784587676,0.9260008734694204,0.6433772044875717,0.4691644072439561,0.3336953235078598,0.2343574503084654,0.1646867130490819
1.2408069147499723,0.9534975827565172,0.6686712945524365,0.4958294370583669,0.3630480672256788,0.2665839865341953,0.19938125287054648
1.278494617082842,0.9834351819510956,0.6973671596608386,0.5265733223434065,0.3970332145203248,0.3038711296413189,0.23944866753402227
1.318066492612901,1.0158685180156484,0.7295383234331991,0.5614588847738221,0.4356910017032286,0.346235850595841,0.2848863454976378
1.359309487196943,1.050629420065588,0.7650324678478369,0.6003203468561549,0.4788305016593733,0.3934619157853549,0.335456989968635
1.4020987168370749,1.0876384438944795,0.8037828929826887,0.6430744926910131,0.5263404904410004,0.4454104937376806,0.3909990237844703
1.4462653152982097,1.1267717502293366,0.8456748085324672,0.6895868843384082,0.5780557776277451,0.5018866530878254,0.4512932491923379
1.4916489635631438,1.1679131602050945,0.8905968301467515,0.7397231528375992,0.6338084290135491,0.5626905687623245,0.5161140593913534
1.538079965025731,1.2109354770763372,0.9384217115731768,0.7933295920200255,0.6934083952191875,0.6275982350019539,0.585210238888337
1.5853867072368135,1.2557072005369845,0.9890124469857252,0.8502391037510538,0.7566494774325827,0.696367500894589,0.6583110721111087
1.6333943419934642,1.3020903836674065,1.0422195190286128,0.9102683166184982,0.8233065060707349,0.7687353543631207,0.7351237268926976
1.681926394773151,1.3499413864598702,1.0978810545727289,0.9732176323784724,0.8931354738420915,0.844418183027923,0.8153336302446977
1.7308053991302583,1.3991106302044822,1.1558220152968646,1.0388703432203243,0.965872779758609,0.923111179748398,0.8986040129671382
1.7798538198857277,1.4494426395596618,1.2158537293478149,1.106992135039769,1.04123490432413,1.0044882164695843,0.9845759491790189
1.8288948473362403,1.5007759774081273,1.2777733934098072,1.1773306193698485,1.1189181674383342,1.0882018446192117,1.0728685541377345
1.877753192621252,1.5529432288654497,1.3413637265533245,1.2496150885262285,1.1985987715929178,1.1738836303881806,1.1630795530586093
1.926255841883129,1.6057710199924022,1.4063927878769058,1.323556519991105,1.2799331644942666,1.2611448646565315,1.2547862649580652
1.9742327647166416,1.6590800957062686,1.4726140090024613,1.3988478947992768,1.3625587929735636,1.3495777239320574,1.3475470812198456
2.0215175701476964,1.7126854790932935,1.5397664891507536,1.4751648901915162,1.4460953137574346,1.4387569505679378,1.4409035089795448
2.067948118423628,1.7663967480902276,1.607575611808484,1.5521670158045793,1.530146332910208,1.5282421241034794,1.5343828508020079
2.113367066881785,1.820018432845652,1.6757540052118087,1.6294992223170075,1.614301701573932,1.6175805478290235,1.627501541458528
2.157622354480393,1.8733505591971973,1.7440028848956628,1.7067940224407003,1.6981404016079535,1.7063107761639371,1.7197691604410381
2.20056761478,1.9261893432498447,1.812013788232728,1.7836741294478249,1.7812340141113896,1.7939667626501656,1.8106930888912547
2.2420625161103214,1.9783280438881847,1.8794707030089584,1.85975560287366,1.86315074156488,1.880082580457333,1.8997837472104968
2.2819730271159586,2.029557971082616,1.9460525717453536,1.934651462022212,1.943459918230795,1.9641976254542648,1.9865603032954642
2.320171599053148,2.07966963166402,2.011436124928325,2.0079756902800203,2.021736899004784,2.045862162235026,2.070556687740114
2.35653726619826,2.1284539943293703,2.075298983648324,2.0793475317450514,2.097568189508787,2.1246430420019884,2.1513277179786003
2.39095566207762,2.1757038419295784,2.137322945998381,2.148395947688865,2.170556641984568,2.200129380688401,2.2284550915403565
2.423318953377018,2.221215173741068,2.1971973552928903,2.2147640782603486,2.2403265177292404,2.2719379621010325,2.301552985849938
2.4535256918024984,2.2647886104790453,2.254622429751344,2.278113533489233,2.306528196950828,2.339718114200745,2.3702729886943783
2.481480585144386,2.3062307492194787,2.30931242272723,2.3381283278237173,2.368842312257893,2.403155808422349,2.4343080912391106
2.507094193631599,2.3453554159408405,2.3609984824122443,2.394518277199854,2.426983095718562,2.461976755255442,2.4933955072102494
2.5302825578589445,2.3819847621847554,2.409431083040304,2.447021690047177,2.4807007543469703,2.5159483065258392,2.547318129447374
2.5509667606586968,2.4159501501026246,2.454381906775072,2.4954072041581066,2.5297827247044387,2.564880024734176,2.595904496424868
2.569072437949336,2.4470927877442685,2.4956450873330502,2.539474669886131,2.5740537227963776,2.6086228599832806,2.6390272330418867
2.584529242272508,2.4752640730782383,2.533037741389949,2.579055013868812,2.613374556300992,2.6470669397451223,2.6766000050976353
