Values,Values_00_35_44,Values_00_44_51
-32.69908046458048,-32.40393325813866,-32.34870140644337
-3.667471329679449,-3.3731576921572746,-3.317752046577289
0.1828969482709537,0.4767648695959398,0.5321402516540846
0.3099923227980752,0.6033147601454316,0.658586817748635
0.3480926214851075,0.6408609648859854,0.6960229154041133
0.3481321544134599,0.6403413156273859,0.6953880950964557
0.3507970125256541,0.6424447897550832,0.6973727654701855
0.3553554088745508,0.6464418152841693,0.7012484325639639
0.3629739090787227,0.6535009394072646,0.7081847426145468
0.3740066877604729,0.6639779074755274,0.7185384142952405
0.3889031844873821,0.6783233304304901,0.7327609371930102
0.4081782174319945,0.6970527603068799,0.7513686387959163
0.4323585880692571,0.7206932474848232,0.7748892242675766
0.4619371393605725,0.7497373475738406,0.8038157674912032
0.4973424605451672,0.784612770220658,0.8385763377959328
0.5388960187605796,0.8256394530263677,0.8794910506118715
0.5867742809986919,0.8729916256181607,0.9267341067307747
0.6409754266361196,0.9266644650998062,0.9803004226408426
0.7012901751639242,0.9864448682690874,1.0399763780271072
0.7672801070693767,1.051889718974127,1.1053180594958687
0.8382638040444647,1.1223119769922991,1.1756373274513456
0.9133120820476596,1.1967758620528923,1.2499969801630164
0.9912528466917508,1.2741016622872705,1.327215544577017
1.0706855724735973,1.3528801688212422,1.4058816957353197
1.150006835528288,1.4314981654392682,1.484379733734601
1.2274420312712082,1.5081701066069522,1.560921251659569
1.3010919496609965,1.5809846550613718,1.6335916656096001
1.368978736519291,1.6479506129406285,1.7003961415272058
1.4290975234502563,1.7070485355886074,1.7593112094144636
1.4795065528769198,1.7563208366862888,1.8083748711922973
1.5183126493057786,1.793857330294637,1.8456721644651828
1.5438149370577394,1.817938947153798,1.8694788929714046
1.554686866272144,1.8272198321429896,1.8784437548654267
1.5493236947835498,1.820075603736788,1.8709367823484777
1.526778330747743,1.7955378576355772,1.8459836039270816
1.490082244406202,1.7566102508408274,1.8065804981509272
1.444936329043735,1.708958123105653,1.7583836723401143
1.3940096006096618,1.655210979716104,1.7040125309146235
1.336450980021584,1.594475826048032,1.6425633869019944
1.271336865732273,1.5257842351054238,1.5730564781900107
1.1982386499873483,1.4486605953082496,1.4950044588696656
1.1165248509445649,1.3624252304254938,1.407715840722998
1.0255759626370122,1.2664103341308617,1.3105112874717812
0.9248603009179046,1.1600374107826306,1.2028015465739785
0.813885896987493,1.0427710666907426,1.084041808421324
0.6922685008864841,0.9141892738761976,0.9538026193395138
0.5597566556548387,0.7740109964056513,0.8117982095434884
0.4162642353950733,0.6221314447901941,0.6579224564393644
0.2619086297847004,0.4586629794867183,0.4922904504283735
0.0970393797750952,0.2839662304309054,0.31527015961095944
-0.0777353033394741,0.0986786004763028,0.12751128884042848
-0.2615322904743829,-0.0962682856965442,-0.07003717476762439
-0.4531880694231931,-0.299642949743539,-0.2761215444537232
-0.6512663722891943,-0.5099227354186291,-0.48919265898086195
-0.8540798059390174,-0.7253177638736372,-0.7074307082615363
-1.0597247728289674,-0.9438093703486424,-0.9287848060594294
-1.266127956976851,-1.1632010573209908,-1.1510252523841369
-1.4711011595608945,-1.3811783773248298,-1.3718047811052965
-1.6724005872897691,-1.595373395168989,-1.5887243172475518
-1.8677863388827445,-1.8034290063874128,-1.7993984074616587
-2.0550781882394134,-2.003058796434392,-2.0015159235228666
-2.2322045517993483,-2.19209902532,-2.1928925778830823
-2.39724268413069,-2.368550622858823,-2.3715131319776113
-2.5484493856730883,-2.530610468195851,-2.5355626024809284
-2.684282629213807,-2.6766924784962574,-2.683447047794178
-2.8034153780693463,-2.805439990480953,-2.813805489749144
-2.9047434085313624,-2.9157315083005555,-2.9255151180952534
-2.9873891385727225,-3.0066820916393118,-3.017692119828538
-3.0507033368743306,-3.0776425102383795,-3.089690316021497
-3.094266201126524,-3.128197866210788,-3.141099349027445
-3.117888708300213,-3.1581667497767705,-3.171743510706634
-3.1216144131561347,-3.1676012163255773,-3.181681507661681
-3.1057211062339136,-3.156787059862541,-3.171206629948198
-3.0707210553761115,-3.1262431293506667,-3.140846045617519
-3.0173580545075818,-3.076717900664994,-3.0913573966125547
-2.94659932113737,-3.009181309714379,-3.023720655929754
-2.8596205264819914,-2.924810078531563,-2.9391234308275185
-2.7577829140560848,-2.8249654301902223,-2.838938568638461
-2.6426024730474054,-2.71116309775761,-2.7246939483592705
-2.5157122962142235,-2.5850366985377726,-2.598035531894641
-2.3788202874824886,-2.448296582413655,-2.4606858133939205
-2.233665006966741,-2.3026868829868583,-2.3144004474221496
-2.0819724826504107,-2.1499435320088125,-2.160925879608468
-1.9254162924992324,-1.991755456796957,-2.0019602585133396
-1.7655823305426437,-1.829730274880172,-1.839118983396229
-1.6039387491793855,-1.66536487208761,-1.673905286705857
-1.4418109514510502,-1.500020641485878,-1.5076856122957345
-1.2803613825750295,-1.334903066069713,-1.3416694334663728
-1.1205742114589448,-1.1710457173772024,-1.1768935334060198
-0.9632455667883918,-1.0092993732275206,-1.0142114033139582
-0.8089804812070764,-0.8503275011261697,-0.8542889682357853
-0.6581978147756284,-0.6946095115070607,-0.6976080245441711
-0.5111440256539366,-0.5424527994160758,-0.5444784035761776
-0.3679158138971207,-0.3940137447559828,-0.39505903980879065
-0.2284905864208486,-0.2493267367582804,-0.24938702430150475
-0.0927626136817927,-0.1083391719058721,-0.10741260910326068
