Values,Values_02_33_35,Values_02_42_28,Values_02_51_22,Values_03_00_11,Values_03_09_12,Values_03_18_02,Values_03_26_59
-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17
0.002249591,0.002248043,0.002244116,0.002240807,0.00223835,0.002236563,0.002235261,0.002234311
0.006346065,0.006338635,0.006317595,0.006299834,0.006286674,0.006277115,0.00627014,0.006265046
0.01271746,0.012699061,0.012639145,0.012588465,0.012551012,0.012523835,0.012503983,0.01248945
0.021618851,0.021586125,0.021457839,0.021349085,0.021268952,0.021210876,0.021168395,0.021137212
0.033363335,0.033317694,0.033084736,0.032886745,0.03274136,0.032636141,0.032559055,0.032502299
0.048300632,0.048252173,0.047872814,0.047549484,0.04731302,0.047142184,0.047016802,0.046924162
0.06679231,0.066764863,0.066194187,0.065706248,0.06535115,0.065095177,0.064906937,0.064767279
0.089184835,0.089222344,0.088415688,0.087723524,0.087222892,0.086863072,0.08659787,0.086400157
0.115781717,0.115956109,0.114874052,0.113941869,0.113272951,0.112794114,0.112440304,0.112174984
0.146816153,0.147236726,0.145851904,0.144653516,0.143802576,0.143196907,0.142748106,0.142409105
0.182425488,0.183249782,0.181555726,0.180082214,0.179050968,0.178323089,0.177781965,0.177369393
0.222628792,0.224074736,0.222096854,0.220366216,0.219180012,0.218353487,0.217736641,0.217260324
0.26730872,0.269667663,0.267476302,0.265545151,0.264262937,0.26338826,0.262732282,0.26221618
0.316198618,0.319848634,0.317573971,0.315551086,0.314277072,0.313441095,0.312809774,0.31229727
0.368875647,0.374294201,0.372142402,0.370203733,0.369100415,0.368436966,0.367929472,0.367489442
0.424760425,0.432535176,0.430804933,0.429209282,0.42851119,0.428212389,0.427972081,0.427705459
0.483123392,0.493959604,0.493057728,0.492161957,0.492189134,0.492516595,0.492739817,0.492786225
0.543097843,0.557820578,0.558274946,0.558547109,0.559716913,0.561011673,0.561955654,0.562499417
0.603699244,0.623248393,0.625716133,0.627744566,0.630580007,0.633269685,0.635258365,0.636533038
0.663850216,0.68926642,0.694535029,0.699031111,0.704163654,0.708765086,0.712191472,0.714481845
0.722410278,0.75481012,0.76378917,0.771581441,0.779746101,0.786861589,0.792185175,0.795825616
0.778209263,0.818748717,0.832450141,0.844467657,0.856488423,0.8667939,0.874531777,0.879899888
