Values,Values_03_08_29
0.5807041074478471,0.6681570731181442
0.5856051435995823,0.6729006104819386
0.5873676312632575,0.6745314654341599
0.5905526438361893,0.6775983900351109
0.5965456172591931,0.6834847426276563
0.6057909536469945,0.6926325632913685
0.6186741464934558,0.7054242538274921
0.6356723626158736,0.7223334241752859
0.6572913571588521,0.7438616265993827
0.6840266417641854,0.7704994705138499
0.7163317035946198,0.80269478605505
0.7545746305916261,0.8408092151231543
0.7990019363324137,0.8850820244458812
0.849702621425062,0.9355941724467328
0.9065780524214276,0.9922382093275866
0.9693177258484602,1.0546940725457914
1.0373828244990706,1.1224126801328804
1.1099984455376333,1.1946081964259883
1.186155326282904,1.2702597921644565
1.2646214733526668,1.348123302217756
1.343963722687752,1.4267528081499454
1.4225790005614636,1.5045319179047305
1.4987342229285758,1.5797136846322177
1.5706147858102537,1.6504691249380676
1.6363767132081726,1.714939411421955
1.694211158833894,1.7713004501004503
1.7423868432695784,1.8178054249747406
1.7793629339906667,1.8528978624307033
1.8037001290723984,1.8751228807462967
1.8144885623010447,1.8835555539700064
1.81054289636844,1.8769959189721868
1.792050718669848,1.8556187703341007
1.7649552267887068,1.8253549740024653
1.734845326468344,1.7917706575494687
1.701807407768214,1.7549173352935477
1.665380277171708,1.7142963599184902
1.6256507202071269,1.6699558817596831
1.582406015477012,1.6216425952178664
1.5355786774638578,1.5692476416310464
1.485060527150853,1.5126210472894002
1.4307800586646306,1.4516500676397448
1.3726795267402567,1.3862372818963882
1.310728405770809,1.3163153376407695
1.2449243528438767,1.2418493905980628
1.1752983573140252,1.1628439437992755
1.1019183707687088,1.079348342480989
1.0248931283118423,0.9914625945323802
0.9443754437582784,0.8993427321061411
0.8605650247529038,0.803205673715065
0.7737106072085075,0.7033332788634691
0.6841112870240715,0.6000753497195705
0.5921169143256636,0.49385131187205306
0.4981274415455805,0.3851503319997206
0.4025911421213945,0.27452966713729376
0.3060016530392362,0.16261110111222857
0.2088938369892282,0.05007540369115008
0.1118385075955479,-0.062345155805812
0.0154361109590993,-0.17387610299409187
-0.0796904945740449,-0.28371161701755876
-0.1729039744887764,-0.39102661172962266
-0.2635609481769127,-0.4949896194629988
-0.3510206663630889,-0.5947760065751854
-0.4346536777577322,-0.6895810327647324
-0.513850229846049,-0.7786322848864192
-0.5880281662257366,-0.861201068858317
-0.6566401136240492,-0.9366124245954258
-0.7191797933012396,-1.0042535300293192
-0.7751873407703813,-1.063580370726263
-0.8242535709027035,-1.1141226606056345
-0.8660231786584466,-1.1554870970615903
-0.9001969152173509,-1.1873591127747405
-0.9265328220229312,-1.2095033417554852
-0.9448466387876812,-1.2217630467169713
-0.9550115242833492,-1.2240587594237677
-0.9569572401072692,-1.2163863681136926
-0.9506689477619604,-1.1988148509429501
-0.9361857592332044,-1.1714838071053502
-0.9135991623049308,-1.134600883607423
-0.883051416038104,-1.0884391413075836
-0.8447339813497354,-1.0333343538449156
-0.7988860187659911,-0.9696821917464034
-0.7457929524774088,-0.897935214453331
-0.6857850689635737,-0.818599577132181
-0.6192360916274042,-0.7322313574516686
-0.5465616517400701,-0.6394324191861666
-0.4682175618298201,-0.5408457524663179
-0.3846977913151693,-0.43715026168917703
-0.296532046074141,-0.32905500779914737
-0.2042828636456909,-0.21729294794847107
-0.108542153257754,-0.1026142487683548
-0.0099271337597722,0.014220723377315088
0.0909243487392253,0.13244861276181683
0.1933591100537899,0.25131035290389964
0.2967144779455702,0.3700583798833828
0.4003246258442411,0.4879636534198519
0.5035272853815855,0.6043223713577949
0.605670710331204,0.7184622797517818
0.7061207485994683,0.8297484992528902
0.8042678703427449,0.9375888072131842
0.8995339992656096,1.0414383325000418
0.9913790002304068,1.1408036355373345
1.0793066884626297,1.2352461590317636
1.1628702424218655,1.3243850449839887
1.24167692211785,1.4078993208930386
1.3153920155236385,1.4855294626477
1.3837419561544255,1.5570783436574658
1.446516573534473,1.6224115795955396
1.5035704542976307,1.6814572761087327
1.5548234046866316,1.7342051835295704
1.600260015353523,1.7807052586886134
1.6399283371637263,1.8210656301819186
1.673937683026511,1.8554499607937414
1.7024555766365514,1.8840742001047637
1.725703875445814,1.9072027224381716
1.743954103083524,1.925143850826873
1.7575220364353028,1.9382447769664801
1.76676160496394,1.9468859001540004
1.7720581744986847,1.9514746246308048
1.7738213041519324,1.9524386738292772
1.772477082420813,1.9502190007250124
1.768460165827101,1.945262394543231
1.7622056594349365,1.9380139040745672
1.7541409920354418,1.9289092154050103
1.7446779485764043,1.9183671356729912
1.7342050276235996,1.906782343456415
1.7230802916268777,1.8945185697885512
1.7116248722097185,1.8819023711761058
1.7001172816125416,1.8692176472766675
1.6887886651040105,1.856701041354722
1.6778191081859823,1.8445383418343442
1.667335087493434,1.8328619789825238
1.657408126285481,1.8217496829241426
1.6480546852499365,1.8112243388262257
1.6392372879336152,1.8012550432503769
1.6308668483907698,1.7917593334128479
1.6228061375328977,1.782606529452372
1.614874295080723,1.773622099806424
1.6068522668875689,1.764592932438928
1.5984890236508025,1.7552733709231685
1.5895083975742674,1.7453918551985468
1.5796163592588426,1.7346579930440018
1.5685085487425228,1.7227698806655003
1.5558778727570988,1.7094214897898459
1.5414219852125075,1.6943099445131957
1.5248504795997142,1.67714252372432
1.505891639936886,1.6576432436442052
1.4842986201434667,1.6355588988870042
1.4598549489638453,1.610664468026175
1.432379287080712,1.5827678192035928
1.4017293929458765,1.551713680841661
1.3678052821541455,1.5173868700599915
1.3305515900783875,1.4797147950639882
1.2899591674895123,1.4386692660726468
1.2460659530186071,1.3942676613111864
1.1989571741985423,1.3465734997873122
1.148764930712728,1.2956964713540613
1.0956672102518783,1.2417919678391358
