Values_03_17_59,Values_03_26_33,Values_03_35_07,Values_03_43_50,Values_03_53_09,Values_04_03_46,Values_04_29_11
1.389225029,1.567900861,1.802435654,2.011653435,2.175455398,2.295253598,2.366427426
1.37535697,1.545829395,1.773552369,1.977404713,2.137211063,2.254163344,2.325909745
1.360328978,1.521953655,1.742221472,1.940177291,2.095590596,2.209414741,2.281638153
1.344154975,1.496292299,1.70845151,1.899962447,2.050566927,2.160964614,2.233558984
1.326852854,1.468870055,1.672258328,1.856759069,2.002120345,2.108776687,2.181624351
1.308444556,1.43971802,1.633665741,1.810574733,1.950239945,2.052823326,2.125793925
1.288956125,1.408873978,1.592706254,1.761426877,1.894925216,1.993087459,2.066036917
1.268417763,1.376382699,1.549421799,1.709344036,1.836187745,1.929564676,2.002334254
1.246863875,1.342296251,1.503864494,1.654367144,1.774053039,1.862265478,1.934680963
1.224333103,1.306674279,1.456097403,1.596550869,1.708562414,1.791217643,1.863088694
1.200868343,1.269584284,1.406195288,1.535964963,1.639774945,1.716468689,1.787588378
1.176516753,1.231101856,1.354245328,1.472695601,1.567769427,1.638088371,1.708232969
1.15132974,1.191310888,1.300347797,1.40684668,1.492646308,1.556171179,1.625100218
1.125362934,1.150303735,1.244616677,1.338541041,1.414529552,1.470838767,1.53829542
1.098676132,1.108181329,1.187180186,1.267921584,1.333568375,1.382242249,1.447954063
1.071333232,1.065053228,1.128181199,1.195152236,1.249938801,1.29056429,1.354244298
1.043402132,1.021037603,1.067777549,1.120418733,1.163844985,1.196020923,1.257369163
1.014954608,0.976261148,1.00614218,1.043929181,1.075520236,1.098863,1.157568454
0.986066167,0.930858903,0.943463138,0.965914362,0.985227687,0.999377219,1.055120166
0.956815865,0.884973998,0.879943379,0.886627742,0.893260568,0.89788664,0.950341425
0.927286097,0.838757299,0.815800389,0.806345163,0.799942019,0.794750627,0.843588816
0.897562363,0.792366952,0.751265593,0.725364189,0.705624414,0.690364174,0.735258052
0.867732991,0.745967843,0.686583554,0.644003093,0.61068817,0.585156559,0.625782931
0.837888841,0.699730941,0.622010956,0.562599473,0.515540018,0.479589318,0.515633528
0.808122968,0.65383256,0.557815376,0.481508501,0.420610742,0.374153528,0.405313635
0.778530262,0.608453511,0.494273839,0.40110081,0.326352399,0.269366427,0.295357437
0.749207055,0.563778176,0.431671183,0.321760049,0.233235049,0.165767407,0.18632547
0.720250704,0.51999349,0.370298242,0.243880128,0.141743053,0.063913449,0.078799923
0.69175915,0.477287852,0.310449866,0.167862186,0.052370977,-0.035625914,-0.026620631
0.663830444,0.435849974,0.252422804,0.094111351,-0.034380793,-0.132274005,-0.129326964
0.636562274,0.395867663,0.196513478,0.023033313,-0.118010666,-0.225452673,-0.228705262
0.61005145,0.357526578,0.143015677,-0.044969204,-0.198020589,-0.31458809,-0.324143394
0.584393403,0.321008948,0.092218206,-0.109500027,-0.273920833,-0.399116558,-0.415037237
0.559681652,0.286492277,0.044402512,-0.170173117,-0.34523472,-0.47849021,-0.500796921
0.536007281,0.254148049,-0.000159661,-0.226616087,-0.411503218,-0.552182475,-0.580852858
0.513458415,0.224140454,-0.041208582,-0.278473604,-0.472289326,-0.619693241,-0.654661446
0.49211969,0.196625126,-0.078498761,-0.325410628,-0.527182177,-0.680553604,-0.721710351
0.472071746,0.171747942,-0.111801073,-0.367115459,-0.57580082,-0.734330174,-0.781523282
0.45339072,0.149643856,-0.140904763,-0.403302538,-0.617797639,-0.780628895,-0.833664242
0.436147768,0.130435813,-0.165619298,-0.433715004,-0.652861398,-0.819098365,-0.877741213
0.420408602,0.114233733,-0.185776067,-0.458126982,-0.680719895,-0.84943267,-0.913409294
0.406233054,0.101133579,-0.201229905,-0.476345584,-0.701142248,-0.871373766,-0.940373324
0.393674676,0.091216525,-0.211860432,-0.488212651,-0.713940816,-0.884713424,-0.958390022
0.382780365,0.084548221,-0.217573208,-0.493606203,-0.718972783,-0.889294821,-0.967269719
0.37359003,0.081178167,-0.218300694,-0.492441641,-0.716141436,-0.885013783,-0.966877729
0.366136303,0.0811392,-0.214003014,-0.484672672,-0.705397153,-0.871819756,-0.957135415
0.360444284,0.084447095,-0.204668527,-0.470291994,-0.68673812,-0.849716523,-0.938021012
0.356531341,0.091100291,-0.190314189,-0.449331729,-0.660210797,-0.818762687,-0.909570226
0.354406948,0.101079735,-0.170985722,-0.421863596,-0.625910129,-0.779071928,-0.871876624
0.354072581,0.114348848,-0.146757577,-0.38799885,-0.583979493,-0.730813023,-0.825091821
0.355521656,0.130853623,-0.117732687,-0.34788794,-0.534610367,-0.674209583,-0.769425423
0.358739522,0.150522844,-0.084042016,-0.301719902,-0.478041693,-0.609539485,-0.705144681
0.363703508,0.173268429,-0.045843887,-0.249721462,-0.414558885,-0.537133915,-0.632573795
0.370383013,0.198985899,-0.003323099,-0.192155825,-0.344492462,-0.457375965,-0.552092779
0.378739655,0.227554971,0.043310173,-0.129321137,-0.268216251,-0.370698727,-0.464135822
0.388727464,0.258840266,0.093821713,-0.061548619,-0.186145125,-0.277582797,-0.369189038
0.400293129,0.292692137,0.147954799,0.010799668,-0.098732241,-0.178553151,-0.267787556
0.413376286,0.328947606,0.205431962,0.0873334,-0.00646578,-0.074175365,-0.160511872
0.427909857,0.367431402,0.265956956,0.16763692,0.090134848,0.03494886,-0.047983458
0.443820426,0.407957102,0.329216904,0.2512725,0.190523277,0.148186819,0.069140408
0.461028661,0.450328355,0.394884637,0.337783911,0.294130941,0.264880555,0.190172531
0.479449766,0.494340176,0.462621168,0.426700255,0.400372216,0.384353144,0.314402348
0.498993971,0.53978032,0.532078299,0.517540016,0.508649897,0.505915419,0.441103045
0.519567048,0.586430686,0.602901311,0.609815256,0.618360903,0.628872988,0.569539076
0.541070858,0.634068772,0.674731714,0.703035898,0.728902088,0.752533414,0.698973957
0.563403908,0.682469142,0.747209998,0.796714012,0.839676056,0.876213355,0.828678113
0.586461939,0.731404895,0.819978366,0.890368015,0.950096824,0.999245524,0.957936606
0.610138511,0.780649122,0.892683385,0.983526718,1.059595229,1.12098526,1.086056529
0.634325605,0.829976328,0.964978528,1.075733122,1.167623938,1.240816574,1.21237387
0.658914221,0.879163815,1.036526558,1.166547906,1.273661952,1.358157499,1.336259688
0.683794981,0.927992989,1.107001719,1.255552526,1.377218512,1.472464636,1.457125422
0.708858713,0.976250597,1.176091706,1.34235188,1.477836333,1.583236801,1.574427241
0.733997034,1.023729877,1.243499384,1.426576494,1.575094096,1.690017696,1.687669325
0.759102909,1.070231593,1.308944236,1.507884206,1.668608197,1.792397603,1.796406052
0.784071196,1.115564979,1.37216353,1.585961331,1.758033716,1.890014083,1.900243085
0.808799166,1.159548547,1.432913201,1.660523316,1.843064663,1.982551743,1.998837376
0.833186988,1.202010795,1.490968445,1.731314904,1.923433507,2.069741117,2.09189618
0.857138199,1.242790778,1.546124046,1.798109832,1.998910078,2.151356774,2.179175148
0.880560129,1.281738573,1.598194432,1.86071012,2.069299905,2.227214745,2.26047564
0.903364302,1.318715619,1.647013514,1.918944987,2.134442083,2.297169415,2.335641388
0.925466793,1.353594956,1.692434297,1.972669471,2.194206768,2.36110999,2.404554649
0.946788558,1.386261359,1.73432833,2.021762807,2.2484924,2.418956687,2.467132006
0.967255723,1.41661138,1.772585006,2.066126637,2.297222762,2.470656783,2.523319967
0.986799837,1.444553319,1.807110751,2.105683114,2.340343967,2.516180639,2.573090508
1.005358096,1.470007117,1.837828148,2.140372979,2.37782148,2.555517822,2.616436677
1.022873523,1.4929042,1.864675025,2.170153658,2.409637247,2.588673437,2.653368407
1.039295121,1.513187281,1.887603535,2.194997449,2.435787029,2.61566475,2.683908625
1.054577998,1.530810128,1.906579274,2.214889849,2.45627799,2.636518195,2.708089759
1.068683453,1.545737321,1.921580448,2.22982806,2.471126613,2.651266816,2.725950708
1.081579039,1.557944,1.932597136,2.239819722,2.480356977,2.659948208,2.737534348
1.093238603,1.567415611,1.939630641,2.244881887,2.483999433,2.662602976,2.742885602
1.103642295,1.574147674,1.942692971,2.245040271,2.482089702,2.659273745,2.742050116
1.112776562,1.578145565,1.941806452,2.240328783,2.474668407,2.650004723,2.735073534
1.120634109,1.579424318,1.937003468,2.23078934,2.461781026,2.634841811,2.722001394
1.12721386,1.578008462,1.928326345,2.216471967,2.44347827,2.613833246,2.702879611
1.132520878,1.573931884,1.915827372,2.197435154,2.419816853,2.587030735,2.67775553
1.136566291,1.567237719,1.899568944,2.173746475,2.390860623,2.55449105,2.646679493
1.13936718,1.557978268,1.879623816,2.145483418,2.356682021,2.516278034,2.609706899
1.140946474,1.546214939,1.856075462,2.112734403,2.317363808,2.472464943,2.566900663
1.141332809,1.532018204,1.829018509,2.075599958,2.273001012,2.423137066,2.518334015
1.140560388,1.51546757,1.798559219,2.034193989,2.223703034,2.368394542,2.464093571
1.138668816,1.496651547,1.764816015,1.988645124,2.169595832,2.308355294,2.404282562
1.135702927,1.475667616,1.727919994,1.939098052,2.110824139,2.243157988,2.339024162
1.13171259,1.452622175,1.68801543,1.885714833,2.047553607,2.172964922,2.268464778
1.126752501,1.42763047,1.645260216,1.828676113,1.979972842,2.097964773,2.19277724
1.120881961,1.40081648,1.599826226,1.76818219,1.908295222,2.018375081,2.112163759
1.114164626,1.372312764,1.551899572,1.704453903,1.832760454,1.934444411,2.026858582
1.106668255,1.342260257,1.501680731,1.637733271,1.753635792,1.846454094,1.937130224
1.098464423,1.310807995,1.449384514,1.568283868,1.671216863,1.754719473,1.843283214
1.089628227,1.278112784,1.395239863,1.49639088,1.585828046,1.659590596,1.745659258
1.080237963,1.244338782,1.339489463,1.422360833,1.49782237,1.561452308,1.644637767
1.070374789,1.209657007,1.282389148,1.346520953,1.4075809,1.460723682,1.540635696
1.060122367,1.174244768,1.224207106,1.269218174,1.315511585,1.357856795,1.434106653
1.049566483,1.138285001,1.165222875,1.190817756,1.222047582,1.253334823,1.325539269
1.038794653,1.101965529,1.10572613,1.111701563,1.127645057,1.147669478,1.215454835
1.027895704,1.065478242,1.046015275,1.032265972,1.032780484,1.041397816,1.104404219
1.016959345,1.029018195,0.98639585,0.95291948,0.937947484,0.935078456,0.992964112
1.006075722,0.992782638,0.927178773,0.874080007,0.84365326,0.829287292,0.88173267
0.995334956,0.956969982,0.868678425,0.796171962,0.750414676,0.724612753,0.77132462
0.984826672,0.921778707,0.811210622,0.719623102,0.658754057,0.621650718,0.662365934
0.974639526,0.887406229,0.755090482,0.644861239,0.56919479,0.520999183,0.555488165
0.964860716,0.854047726,0.700630229,0.572310847,0.48225679,0.423252772,0.451322575
0.955575497,0.821894947,0.648136956,0.502389631,0.39845193,0.328997211,0.350494152
0.946866698,0.791135007,0.597910377,0.435505102,0.31827951,0.23880386,0.253615649
0.938814241,0.761949185,0.550240604,0.372051213,0.242221825,0.153224404,0.16128175
0.931494667,0.734511738,0.505405969,0.312405109,0.17073993,0.072785784,0.074063458
0.924980677,0.708988736,0.463670931,0.256924029,0.104269635,-0.002014542,-0.007497183
0.919340688,0.685536945,0.42528407,0.205942407,0.043217799,-0.07071296,-0.082891977
0.914638405,0.664302754,0.390476218,0.159769195,-0.012041036,-0.132883621,-0.151651002
0.910932419,0.645421165,0.359458727,0.118685438,-0.061167654,-0.188141904,-0.213346539
0.908275829,0.629014861,0.332421896,0.082942125,-0.10386078,-0.236147377,-0.267596464
0.906715898,0.615193341,0.309533574,0.052758327,-0.139859299,-0.276606283,-0.314067107
0.906293736,0.604052161,0.290937939,0.028319624,-0.168944074,-0.309273523,-0.352475575
0.907044026,0.595672259,0.276754483,0.009776833,-0.190939376,-0.333954173,-0.382591547
0.908994779,0.590119387,0.267077177,-0.002754958,-0.205713915,-0.350504539,-0.404238574
0.91216714,0.58744365,0.26197385,-0.009197078,-0.213181511,-0.35883279,-0.417294908
0.916575228,0.587679159,0.261485767,-0.009507653,-0.213301397,-0.358899174,-0.421693879
0.92222603,0.590843792,0.265627401,-0.003681718,-0.206078186,-0.350715854,-0.417423867
0.92911933,0.596939077,0.274386422,0.008248954,-0.191561507,-0.334346385,-0.404527884
0.937247695,0.605950191,0.28772387,0.02621629,-0.169845321,-0.309904832,-0.383102783
0.946596498,0.617846073,0.305574532,0.050116613,-0.141066938,-0.277554572,-0.353298122
0.957143996,0.63257966,0.327847507,0.079811596,-0.105405733,-0.237506753,-0.31531469
0.96886145,0.650088227,0.354426962,0.115129457,-0.06308157,-0.190018442,-0.269402685
0.981713292,0.67029385,0.38517306,0.1558664,-0.014352945,-0.135390456,-0.21585958
0.995657333,0.693103967,0.419923072,0.20178828,0.040485154,-0.073964868,-0.155027637
1.010645021,0.718412042,0.458492644,0.252632495,0.101103651,-0.006122215,-0.087291097
1.026621724,0.746098335,0.500677228,0.308110094,0.167142062,0.067721619,-0.013073044
1.043527069,0.776030747,0.546253655,0.367908073,0.238211412,0.147118797,0.067168068
1.0612953,0.808065762,0.594981837,0.431691862,0.313897394,0.231593218,0.15294219
1.079855672,0.842049446,0.646606588,0.499107976,0.393763738,0.320644458,0.243731749
1.099132872,0.877818529,0.700859552,0.569786804,0.477355761,0.413751927,0.338995981
1.119047467,0.915201518,0.757461204,0.643345519,0.564204075,0.510379226,0.438175489
1.13951636,0.954019872,0.816122922,0.719391067,0.653828403,0.609978635,0.540696983
1.160453272,0.994089195,0.876549099,0.797523222,0.745741466,0.711995688,0.645978143
1.181769229,1.035220451,0.938439271,0.877337649,0.839452899,0.815873775,0.753432539
1.203373052,1.077221181,1.001490246,0.958428962,0.934473129,0.921058711,0.862474555
1.225171853,1.119896721,1.065398196,1.040393716,1.030317182,1.027003199,0.972524228
1.247071525,1.163051389,1.12986071,1.122833315,1.126508355,1.133171128,1.083011941
1.268977226,1.206489649,1.194578753,1.205356787,1.222581702,1.239041643,1.1933829
1.29079385,1.25001722,1.259258539,1.287583387,1.318087288,1.344112914,1.303101314
1.312426482,1.293442143,1.323613273,1.369145005,1.412593164,1.447905567,1.411654223
1.33378084,1.336575766,1.387364754,1.449688339,1.505688022,1.549965709,1.518554926
1.354763684,1.379233666,1.450244816,1.528876813,1.596983494,1.649867521,1.623345935
1.375283215,1.421236479,1.511996598,1.606392208,1.686116066,1.747215374,1.725601438
1.395249436,1.462410642,1.572375621,1.681935996,1.772748593,1.841645452,1.824929238
1.414574489,1.502589042,1.631150669,1.755230371,1.856571386,1.932826866,1.920972131
1.433172963,1.541611555,1.688104471,1.826018949,1.93730289,2.02046226,2.013408747
1.450962171,1.579325502,1.743034176,1.894067169,2.014689925,2.1042879,2.101953826
1.467862396,1.61558598,1.795751625,1.959162365,2.088507533,2.184073285,2.186357956
1.48379711,1.650256116,1.846083426,2.021113549,2.158558418,2.259620288,2.266406811
1.49869316,1.683207207,1.893870839,2.079750906,2.22467203,2.330761856,2.341919884
1.512480925,1.714318778,1.938969486,2.13492502,2.286703306,2.397360331,2.412748799
1.525094455,1.74347855,1.981248894,2.186505874,2.344531106,2.459305409,2.478775219
1.536471577,1.770582335,2.020591896,2.234381623,2.398056402,2.516511811,2.53990841
1.546553982,1.795533861,2.056893909,2.278457208,2.447200231,2.56891671,2.596082534
1.555287295,1.818244537,2.090062096,2.31865281,2.491901502,2.616476973,2.647253715
1.56262113,1.838633172,2.120014462,2.35490221,2.532114659,2.659166276,2.693396945
1.568509125,1.856625664,2.146678883,2.387151073,2.567807294,2.696972156,2.734502903
1.572908978,1.872154662,2.169992108,2.415355205,2.59895772,2.729893054,2.77057474
1.575782465,1.885159216,2.18989875,2.439478809,2.625552585,2.757935404,2.8016249
1.577095468,1.895584434,2.206350297,2.459492793,2.647584552,2.78111083,2.827672022
1.576817989,1.903381153,2.219304165,2.475373151,2.665050098,2.799433496,2.848738007
1.574924179,1.908505633,2.228722818,2.487099459,2.677947473,2.812917652,2.86484526
1.571392364,1.910919298,2.234572973,2.494653515,2.68627486,2.821575432,2.876014196
1.566205084,1.910588512,2.236824919,2.498018155,2.690028764,2.825414923,2.882261019
1.559349141,1.907484432,2.235451955,2.497176264,2.689202669,2.824438564,2.883595829
1.550815655,1.901582909,2.230429985,2.492110022,2.683785988,2.818641879,2.880021086
1.54060014,1.892864478,2.221737263,2.482800388,2.673763332,2.808012587,2.871530457
1.52870259,1.881314424,2.209354315,2.469226847,2.659114112,2.792530105,2.858108062
1.515127573,1.866922925,2.193264043,2.451367441,2.639812507,2.772165463,2.839728159
1.49988435,1.849685295,2.173452016,2.429199087,2.615827785,2.746881642,2.816355266
1.482986997,1.829602303,2.149906957,2.402698188,2.58712502,2.716634357,2.787944741
1.464454544,1.806680583,2.122621418,2.371841543,2.553666182,2.681373277,2.75444383
1.444311117,1.780933124,2.091592652,2.336607564,2.515411619,2.641043702,2.715793192
1.422586094,1.752379842,2.056823661,2.296977773,2.472321917,2.595588687,2.671928898
1.399314257,1.721048212,2.018324424,2.252938591,2.424360136,2.544951605,2.622784911
1.374535946,1.686973965,1.976113272,2.204483381,2.371494401,2.489079141,2.568296027
1.348297213,1.650201832,1.930218413,2.151614742,2.313700833,2.427924701,2.508401279
1.320649957,1.610786314,1.880679561,2.094347006,2.250966772,2.361452188,2.443047759
1.291652055,1.568792475,1.82754965,2.03270891,2.183294273,2.28964012,2.372194845
1.261367466,1.524296726,1.770896604,1.966746398,2.110703796,2.212486025,2.295818757
1.229866316,1.477387589,1.710805117,1.896525495,2.033238051,2.130011048,2.213917412
1.197224953,1.428166422,1.6473784,1.822135193,1.950965912,2.042264679,2.12651546
1.163525961,1.376748064,1.580739861,1.74369028,1.863986299,1.949329508,2.033669438
1.128858138,1.32326141,1.511034658,1.661334046,1.772431961,1.851325888,1.935472897
1.093316433,1.267849858,1.438431074,1.575240765,1.676473018,1.748416368,1.832061397
1.057001825,1.210671633,1.363121679,1.485617887,1.57632017,1.640809771,1.723617188
1.02002115,1.15189995,1.285324208,1.392707855,1.472227445,1.528764743,1.610373453
0.982486881,1.091723008,1.205282127,1.296789446,1.364494361,1.412592649,1.492617917
0.94451683,1.030343786,1.123264825,1.19817858,1.253467391,1.292659639,1.370695671
0.906233806,0.967979647,1.039567413,1.097228508,1.139540635,1.16938776,1.245011038
0.867765202,0.904861714,0.954510093,0.994329338,1.023155582,1.043254996,1.116028339
0.829242516,0.841234038,0.868437071,0.889906844,0.904799927,0.914794121,0.984271435
0.790800823,0.777352536,0.781715016,0.784420538,0.78500537,0.784590333,0.85032195
0.752578174,0.713483715,0.694731061,0.678361008,0.664344407,0.653277615,0.714816133
0.714714947,0.649903193,0.607890367,0.572246538,0.543426125,0.521533872,0.578440337
0.677353148,0.586894013,0.521613272,0.466619051,0.422891062,0.390074899,0.441925191
0.640635657,0.524744797,0.436332069,0.362039451,0.303405226,0.259647305,0.306038548
0.604705443,0.463747727,0.35248747,0.259082453,0.185653409,0.131020544,0.17157736
0.569704739,0.404196422,0.270524808,0.158330991,0.070331932,0.004978274,0.039358707
0.535774194,0.346383697,0.190890049,0.060370358,-0.041858975,-0.117690753,-0.089789811
0.503052007,0.290599271,0.114025696,-0.034217831,-0.150222996,-0.236202002,-0.215040027
0.471673054,0.237127443,0.040366649,-0.124861682,-0.254075534,-0.349784428,-0.335573248
0.441768009,0.186244758,-0.029663895,-0.211004969,-0.352751325,-0.457689458,-0.450590074
0.413462485,0.138217726,-0.095658429,-0.292112844,-0.445611675,-0.559199471,-0.55931978
0.38687618,0.093300597,-0.157228947,-0.367677213,-0.532051181,-0.65363557,-0.661028985
0.362122058,0.051733233,-0.21401053,-0.437221678,-0.6115038,-0.740364509,-0.755029455
0.339305567,0.013739113,-0.26566463,-0.50030598,-0.683448188,-0.818804675,-0.840684885
0.318523896,-0.020476525,-0.31188205,-0.556529904,-0.747412258,-0.888431068,-0.917416606
0.299865285,-0.050728373,-0.352385565,-0.605536602,-0.802976936,-0.948779285,-0.984708171
0.28340839,-0.076852552,-0.38693219,-0.647015351,-0.849779144,-0.99944854,-1.042108865
0.269221722,-0.098707927,-0.415315066,-0.680703754,-0.887514049,-1.04010382,-1.089236223
0.257363143,-0.116177211,-0.437364988,-0.706389408,-0.915936649,-1.07047727,-1.125777673
0.247879449,-0.129167863,-0.452951578,-0.723911093,-0.934862785,-1.090368931,-1.15149142
0.240806017,-0.137612778,-0.461984107,-0.733159522,-0.944169655,-1.099646969,-1.166206752
0.236166548,-0.141470757,-0.464411996,-0.734077697,-0.943795928,-1.098247514,-1.169823898
0.233972885,-0.140726782,-0.460225005,-0.72666092,-0.93374152,-1.086174205,-1.162313572
