Values,Values_03_25_27,Values_03_34_43,Values_03_43_58,Values_03_53_14,Values_04_02_38,Values_04_11_54,Values_04_21_17,Values_04_31_48,Values_04_42_34,Values_04_53_24,Values_05_04_09,Values_05_15_01,Values_05_25_35,Values_05_36_17,Values_05_46_23,Values_05_56_24,Values_06_06_22,Values_06_08_21
-0.0608302855961165,-0.1470264223804099,-0.1585677561495893,-0.1674078951383756,-0.1736118569565775,-0.1774735864566837,-0.1794039912515208,-0.1797729261739598,-0.1788973559049976,-0.1770400041037256,-0.1744134816748273,-0.1711876072844817,-0.1674973600030228,-0.163450082835593,-0.159131480974703,-0.1546104122247653,-0.1499426331104032,-0.1451736977389876,-0.1442111987412222
0.6521758263470723,0.5656895344356014,0.5545354059314112,0.5462040914629335,0.5405330887698223,0.5372045735373923,0.5357995159022889,0.5359452744310194,0.5373244232425038,0.5396747766981705,0.542784591303213,0.5464849132270218,0.5506414773669424,0.5551474530514935,0.5599174441326988,0.5648827195078444,0.5699874965190708,0.5751860730422379,0.5762335975965285
0.7460210000999098,0.659637715461731,0.6485496927892506,0.640294883667464,0.6346988105664787,0.6314412197335765,0.6301027842188206,0.6303111473108077,0.6317493620531746,0.6341557522360685,0.6373190397892068,0.6410706643157772,0.6452766775913222,0.6498304952903132,0.6546469070184763,0.6596573174602656,0.6648060396614198,0.6700474357298842,0.6711033929913219
0.748753388245724,0.6625260912287669,0.6514609824093297,0.6432243200812315,0.6376412958883886,0.6343920930635834,0.6330581239560291,0.633267724803054,0.6347045552496392,0.6371074484640447,0.6402655423435344,0.6440106111960671,0.6482089747515192,0.6527542635234885,0.6575614404072682,0.6625620511572586,0.6677005250006774,0.6729313210158991,0.6739851235105417
0.7504784079059441,0.6644103142957708,0.6533653789567718,0.6451430505968401,0.6395689069521976,0.6363237457569938,0.6349897876935723,0.635196094056619,0.6366269458120999,0.6390216915712834,0.6421698874134328,0.6459036434230364,0.6500895486742043,0.6546214509452155,0.6594144901704789,0.6644003582955763,0.6695236071405312,0.6747388003089088,0.6757894450747239
0.7533595291430565,0.66745305818651,0.6564263233052753,0.6482155353696025,0.6426471893905622,0.639402824090607,0.6380655176836749,0.6382650805434743,0.6396864271213658,0.6420694275977313,0.6452040595774609,0.6489227713693838,0.653092423992596,0.6576070857815663,0.6623820779241597,0.6673492437497004,0.6724532637982406,0.6776488131639155,0.6786954882155863
0.7591098075094748,0.67336660817749,0.6623567769627301,0.6541556433031636,0.6485909771176378,0.6453451398008037,0.6440020993807886,0.6441924324521228,0.6456016968974284,0.647970290581908,0.651088616877661,0.6547894658809251,0.6589399741433661,0.6634344345512045,0.6681883541318225,0.6731337328346144,0.6782153857928479,0.6833881060457137,0.684430169283576
0.7681271989412434,0.6825482142177799,0.671554558077088,0.6633619628069878,0.6577996766108425,0.6545509277571087,0.6532005926367708,0.6533800256254624,0.6547754361395214,0.657127755777654,0.6602278185951805,0.663908760900275,0.6680379991343549,0.672510055281597,0.6772406270839032,0.6821618763750402,0.687218758543688,0.6923661906089389,0.6934031441276705
0.7807966899070755,0.695381939228576,0.6844043876586194,0.6762201196362628,0.6706598709893149,0.6674077378931921,0.6660495087459078,0.6662173213276557,0.6675980427189752,0.6699331441867126,0.6730138960382649,0.6766737860647855,0.6807805157045485,0.6852288411130913,0.6899346558852735,0.6948302890067287,0.6998608415509817,0.704981360116842,0.7060128713810471
0.7975757217441589,0.712324178124574,0.7013633351796176,0.6931881228804083,0.687630560641452,0.6843755696538707,0.6830098396407349,0.6831662917934327,0.6845324550885079,0.6868503462222796,0.6899116778642301,0.6935502952826671,0.6976341906619333,0.7020583598467516,0.7067388976335922,0.711608305407198,0.7166118351276027,0.7217046681669355,0.7227305737696857
0.8189647241515796,0.7338741440526333,0.7229313294080418,0.7147669112233399,0.709213746553543,0.7059574924818697,0.7045857152123259,0.7047321139057214,0.7060848817839122,0.7083865864866403,0.7114293895841536,0.7150475004219958,0.7191092082167061,0.7235097543811605,0.7281654404147436,0.7330089452971635,0.7379856768425341,0.7430509560015538,0.7440712715262667
0.8454479763873592,0.7605147084519935,0.7495920015182154,0.7414412026981523,0.7358952868643898,0.7326405091370798,0.7312652734136748,0.7314040461257257,0.7327456852147128,0.7350333144302457,0.7380595510679524,0.741658975609575,0.7457001809965186,0.7500786603465601,0.7547109274436691,0.7595298439661808,0.7644809783049547,0.76951979542215,0.7705347265152237
0.8774663607404479,0.7926851412972148,0.781785419383265,0.773652224251091,0.7681176214791589,0.7648682754128874,0.7634933753371297,0.7636281392604424,0.7649620884424175,0.7672389074204943,0.7702516761326571,0.7738353535188841,0.7778588431729813,0.7822178961768504,0.7868292441662871,0.7916259364750172,0.7965537065309498,0.8015681673841093,0.8025781202811746
0.9153765648481318,0.8307403023323208,0.819867266264314,0.811756878103099,0.8062389258923366,0.803000241694235,0.8016307350403774,0.8017663551570917,0.8030972833222589,0.8053677688463414,0.8083713610532679,0.8119434046620779,0.815953120852493,0.8202965248725682,0.8248905716360958,0.8296685028666998,0.8345762211987087,0.8395694915024657,0.8405750820296684
0.9594117363619452,0.8749112873249616,0.8640694657675723,0.8559883443640638,0.8504936913341443,0.8472722112465764,0.8459144568860931,0.8460570840693443,0.8473909288182555,0.8496608082119498,0.8526607471607106,0.8562264831258448,0.8602275615065094,0.8645602676217656,0.8691417847780416,0.8739055514956808,0.8787976434472424,0.8837739807159942,0.884776040511662
1.0096477137150133,0.9252716534524942,0.9144663749586768,0.9064222393157132,0.9009588483237194,0.8977624301289262,0.8964240932318948,0.8965811715684597,0.8979251484911919,0.9002014104212721,0.9032044630082204,0.906770442582196,0.9107692246865426,0.915097369999486,0.9196722947922372,0.9244276383141724,0.9293096526957662,0.9342744162739288,0.9352739947190818
1.065972087584428,0.9817064735643444,0.9709437958401992,0.9629455809877366,0.9575226869945468,0.9543604639974336,0.9530504797130176,0.9532307142753368,0.9545932884976998,0.9568841576776824,0.9598983116244072,0.9634722901885048,0.9674763037366664,0.971807192555466,0.9763826096026428,0.9811363981086364,0.986014989554446,0.99097462317879,0.9919729839351087
1.1280604273418957,1.043888552636742,1.0331751368106956,1.0252328919684204,1.01986090263262,1.0167431888854197,1.015471673969858,1.0156849491191349,1.0170757597367015,1.0193906266281618,1.0224250245359272,1.0260158991747814,1.030033798468894,1.0343758449724458,1.0389599307919053,1.0437201054283316,1.048602981904065,1.0535649625316246,1.0545635734635026
1.1953598152397824,1.1112619455356771,1.1006048633334398,1.0927295794542056,1.0874199074629702,1.0843580381568214,1.0831361412497398,1.0833933808294138,1.0848231101561914,1.0871724080929497,1.090237231245892,1.0938549301567884,1.097896390200832,1.1022590165600752,1.106860941157461,1.1116364207098666,1.1165322510176436,1.1215049990165769,1.1225055145449412
1.2670811734745775,1.1830342592810414,1.1724407209685983,1.1646440759919527,1.1594088926003412,1.156414990095951,1.155254671940563,1.1555676333425158,1.157047813543555,1.1594428363612124,1.1625491318177077,1.1662044495074897,1.1702800081817426,1.1746734928138487,1.179303273328819,1.1841038127542212,1.189022089596839,1.194014836112431,1.1950190711911204
