Values,Values_08_07_51
0.1450942161680331,0.1450942161680331
0.0144673147080678,0.016057197059112474
-0.0110699713249898,-0.007812251612195713
-0.0219545472084389,-0.017000883553077873
-0.0314012535167426,-0.024729996399533338
-0.0380784084234686,-0.029666038190767054
-0.0417356602867705,-0.03155585771131193
-0.04213382791246,-0.030156816143432026
-0.0389750130990553,-0.025167008772496682
-0.0319085052933129,-0.016231029551079905
-0.0205960572062799,-0.003005158859070743
-0.004709384612388,0.014845178047614075
0.0160335578896534,0.037609154009427034
0.041850914969704,0.06551285493744544
0.0728765968705194,0.09869888607492941
0.1091456838668636,0.13721167990211094
0.150584461268802,0.180987399653597
0.1970059236165989,0.22984928071388785
0.2481109845762779,0.2835086492129832
0.3034951721382144,0.3415714005338819
0.3626601791587301,0.40354930993443083
0.4250296519062097,0.46887555914201284
0.4899671746307027,0.5369224377658509
0.5567973631237589,0.6070221313594676
0.6248226624976825,0.6784831945993911
0.6933491694584405,0.7506160234829033
0.761686602878004,0.8227324737385295
0.8291926744400466,0.8941898399582437
0.8952342473518742,0.9643516887120165
0.9592281066924192,1.0326282278204564
1.020765634418991,1.0986006906807328
1.0789923125608698,1.1614008938552962
1.1341964184509592,1.2212986795262424
1.190235328849689,1.2821307275721094
1.250802287168498,1.3475763481242968
1.3161284022435469,1.4178602766581734
1.3856612866452374,1.4924232408215514
1.4593254931699446,1.5711802216720483
1.53684809284662,1.6538470964204626
1.6179442776200843,1.7401255538009541
1.7023233043693726,1.8297088460414668
1.7896464323587602,1.9222395843503293
1.8795602538751848,2.0173428443947587
1.971679415259908,2.114608823751034
2.0655969834629166,2.213603174372668
2.1608826303103235,2.3138652910996087
2.2570869155061626,2.4149128204535657
2.353743997475203,2.5162447583742877
2.4503758898369297,2.6173462637432485
2.5464970755239844,2.7176940113346997
2.641619885430053,2.816762487580601
2.7352603899758066,2.9140309618858944
2.8269447398806595,3.008991037728503
2.9162157734082474,3.101154552390737
3.0026396782310534,3.1900615493203426
3.085812463151313,3.2752880015088763
3.16536597521738,3.3564529369512184
3.2409731917071327,3.4332246105208446
3.312352530645538,3.5053253882009936
3.379270949950433,3.572535051910589
3.441545660791677,3.634692311987515
3.4990443457302964,3.6916944080790315
3.5516838478059887,3.7434947858456114
3.5994273760540305,3.7900989461213856
3.6422803490668696,3.831558664589922
3.680285070624565,3.867964870317882
3.713514481461314,3.8994395303225873
3.7420652661048193,3.92612692158853
3.766050612395916,3.948184681570395
3.78559291332124,3.9657750047930307
3.800816681432146,3.9790563146037505
3.8118419118026665,3.9881756845276795
3.8187780858402847,3.9932622209869666
3.8217189624266137,3.9944215570886996
3.82073825778529,3.991731549451715
3.815886277602095,3.985239223037665
3.807187526649084,3.974958964365499
3.79463928875637,3.9608719265503587
3.778211158581229,3.942926594375272
3.757845491085554,3.92104043804594
3.733458715206723,3.8951025601426585
3.70494345884061,3.864977235569338
3.672171423205516,3.8305082297659974
3.634996934480735,3.7915237655853105
3.593261098029945,3.74784200386828
3.546796463413748,3.699276885888801
3.4954321001769797,3.6456441817326404
3.4389989800471974,3.5867675927306535
3.3773355420037854,3.5224847494185414
3.3102933092557043,3.452652954936646
3.237742441294193,3.377154555869978
3.159577088680225,3.295901825332516
3.075720417696372,3.2088412596278078
2.9861292148394063,3.1159572468086676
2.8907979721310086,3.0172750663863384
2.789762369080682,2.9128631994645575
2.683102111840125,2.802834973496831
2.570943093637152,2.6873495650621004
2.4534588646300293,2.566612400144436
2.3308714190759536,2.4408750006833566
2.2034513171245176,2.3104343237885376
2.071517181604548,2.17563165113297
1.9354346052386835,2.0368510699527063
1.7956145051971897,1.89451757889882
1.652510977629879,1.749094859934918
1.5066186857105086,1.6010827326156682
1.3584698164333278,1.451014305023095
1.2086306468122736,1.2994528390543976
1.057697739312544,1.146988326425552
0.9062937987515856,0.9942337848217186
0.755063221539361,0.8418212837654806
0.6046673599383671,0.6903977036578136
0.4557795415226529,0.5406202513485812
0.30907988727639,0.39315176139594216
0.1652499790693751,0.24865582201028935
0.0249674363192183,0.10779177619740997
-0.1110995303017382,-0.028790341049371674
-0.2422975089276918,-0.16045485522333208
-0.3679931410932422,-0.28658541822077555
-0.4875781584007487,-0.40658980650766774
-0.6004741263836044,-0.5199044764273952
-0.7061368271985586,-0.6259988066583551
-0.804060214205383,-0.7243789580649027
-0.893779903551872,-0.8145913121997794
-0.9748761786545744,-0.8962254596185614
-1.04697649428915,-0.9689167193098142
-1.109757499581711,-1.0323482026487556
-1.162946603388379,-1.0862524392353847
-1.2063231264952785,-1.1304126029270494
-1.239719095731818,-1.1646633872910055
-1.2630197264202911,-1.1888915715334318
-1.2761636549840472,-1.2030363340833727
-1.2791429693114733,-1.2070893576944708
-1.272003063622181,-1.2010947501215354
-1.2548423475889363,-1.1851488085555828
-1.2278118133699192,-1.1593996310329788
-1.191114442457478,-1.1240465573645744
-1.145004426131306,-1.0793394149786064
-1.0897861549427337,-1.0255775275098284
-1.0258129269827077,-0.9631084388959017
-0.9534853174170802,-0.8923262988538067
-0.8732491525954511,-0.8136698565737805
-0.7855930444945202,-0.7276200218426331
-0.6910454568643858,-0.6346969681294141
-0.5901712812612568,-0.5354567585076425
-0.4835679297462268,-0.4304875032678663
-0.3718609803042546,-0.3204050866189348
-0.2556994175670977,-0.2058485056048513
-0.1357505459987852,-0.08747489810118289
-0.0126946591617744,0.034045657629588444
0.1127804393054317,0.1580354781747954
0.2399849564565236,0.28381464118587585
0.3682325745966085,0.4107062880881198
0.4968457580340125,0.5380417657736837
0.6251608221286173,0.6651655319837405
0.7525326897047803,0.7914397544581374
0.8783392755582092,0.9162485498089313
1.0019854542714064,1.0390018226202762
1.1229065777322953,1.1591386763049272
1.2405715286372634,1.2761303867462968
1.3544852892405097,1.3894829221084959
1.4641910208909228,1.4987390075963583
1.5692716495150478,1.6034797324497954
1.6693509499874244,1.7033256929249905
1.7640941350548385,1.7979376762729087
1.8532079418344436,1.8870168765418898
1.9364402146036883,1.9703046371730217
2.013578997889485,2.047581729248163
2.084451152340828,2.1186671714700225
2.148920507546816,2.183416598694448
2.206885590165004,2.2417202094438298
2.2582769780844125,2.293500334994069
2.303054332836314,2.3387086743339913
2.341203182321557,2.37732325976509
2.3727315396748763,2.4093452326309523
2.3976664509476384,2.43479551678208
2.4160505710205005,2.453711485568103
2.4279388688788788,2.4661437214391713
2.4333955688066244,2.4721529742358856
2.4324914325234315,2.4718074242238597
2.425301471589945,2.465180341582603
2.411903170407961,2.45234822620645
2.3923753024505787,2.4333895148861093
2.3667973899703223,2.4083839112114807
2.335249834934891,2.377412371443364
2.2978147465628345,2.340557777406954
2.254577453249057,2.2979062898840543
2.205628666691968,2.2495493558559763
2.151067241037386,2.195586317693905
2.091003442736338,2.1361275449385424
2.0255626296517324,2.0712979917339553
1.954889210668413,2.0012410552217865
1.8791507390747015,1.9261225916396654
1.798541981295855,1.846134934515911
1.713288792093701,1.761500748093596
1.6236516234389782,1.6724765442805478
1.5299285039573822,1.5793557000749359
1.4324573284072877,1.4824708138300393
1.3316173185544349,1.382195259436118
1.2278295510572983,1.2789438305905982
1.1215564658829993,1.1731723841781094
1.0133003087835937,1.0653764309246876
0.9036005082417108,0.9560886677775262
0.7930300188792413,0.8458754777724788
0.6821907020473102,0.735332461944102
0.571707852512291,0.6250791064433879
