Values,Values_05_23_46,Values_05_25_22
66.32516816981511,66.32516816981511,66.32516816981511
8.166576953860556,8.13012921640745,8.129616846685687
0.4330073132155466,0.3936469448631035,0.3931018685549501
0.152015638714072,0.1141755197761707,0.11364462810539262
0.0472340986940882,0.0111133066662508,0.010601245996754473
0.0187123823292015,-0.0155864583355378,-0.016075707555054396
-0.011478392266523,-0.0438972466532244,-0.044360175587592206
-0.0381381789283296,-0.0686157389938648,-0.06904879094551333
-0.0613873672487052,-0.0898598463468968,-0.09025941957330119
-0.0809428240103093,-0.107342108370512,-0.10770451715643409
-0.0966061202470229,-0.1208588661784462,-0.12118031123834296
-0.1080671916463776,-0.1300936920381435,-0.13037022337972082
-0.1150091511867433,-0.1347220052078206,-0.13494947723998707
-0.1171212587034466,-0.1344238977455581,-0.1345979171134231
-0.1141156132205711,-0.1289007428488877,-0.12901660995043818
-0.1057498382757961,-0.1178978387870958,-0.11795048381132017
-0.0918448353863533,-0.1012221900410434,-0.10120610514432743
-0.0722969815966591,-0.0787548030058653,-0.07866397252456442
-0.0470868991063995,-0.0504596264111723,-0.05028745730018113
-0.016282158254536,-0.0163865012037637,-0.016125756215401497
0.0199655367325671,0.0233313319267149,0.023688595577755527
0.0614284131752622,0.0684849026384283,0.06894738613162034
0.1078154947521493,0.1188019099930119,0.11937911406517929
0.1587887132188997,0.1739623022726436,0.17466455325987834
0.213982012561396,0.2336167881984199,0.2344552453190512
0.2730184548617755,0.2974032986313376,0.2983899387949519
0.3355302480168031,0.3649663220993527,0.36611389826930774
0.4011697447751347,0.4359671887179002,0.4372891582894696
0.469615354720408,0.5100892436467823,0.5115996630536837
0.5405962792849237,0.5870618372797968,0.5887752193844193
0.6138352014634569,0.6666023678383703,0.6685335020591753
0.6890972200688998,0.748464446202143,0.7506281742588627
0.7662662950950146,0.8325138442565126,0.8349247976597054
0.844826205717003,0.91820941759661,0.9208817312636283
0.9244672251929512,1.0052080559560577,1.0081549967140215
1.0074675855487654,1.095746842399682,1.0989804350875227
1.0979378158412834,1.1938980999738873,1.1974291318478196
1.197927677794188,1.3016853786832117,1.3055237628858505
1.3070309877414856,1.418681236358195,1.422836142570933
1.4247162604343628,1.5443275332572248,1.5488071237265684
1.5507031576280068,1.678310776818593,1.6831218777987504
1.6844623457414416,1.8200627025704308,1.8252104827444104
1.8253356571783208,1.9688789985808064,1.9743665699605142
1.9725622294041008,2.1239447000324883,2.129772668085305
2.125219268186787,2.2842746102832363,2.290440591874481
2.282243505736862,2.448734498658833,2.4552326153554436
2.442427799941256,2.616038055834997,2.6228584346373065
2.6044293809605605,2.784756110162689,2.791884426424816
2.76679157234208,2.9533400929160343,2.960757199383132
2.9279713923030752,3.120152282860399,3.1278339758792733
3.086380203892749,3.283509999180501,3.291426973813981
3.240433071943228,3.4417393321798904,3.449857374132408
3.3886060791334915,3.593237440044108,3.6015178898833864
3.52949782130721,3.7365392733445297,3.7449397783681904
3.6618903225913,3.870383484775192,3.878859026799972
3.784804095232735,3.993771695026205,4.002275851513405
3.897541810226469,4.106015038601875,4.114501404624889
3.9997160761998174,4.206763051752015,4.21518672677179
4.091258386391335,4.296011725018905,4.304330756253197
4.172408544639606,4.374090049773904,4.3822667261010135
4.243686142751312,4.441626914388836,4.4496288213223485
4.30584758723267,4.499502349959078,4.507303124276794
4.359833338162522,4.548788419535255,4.556368176387003
4.406710296406277,4.590685337258525,4.598030776861745
4.447613720343613,4.626457764255323,4.633561994130236
4.483691939300571,4.657374954230722,4.6642370825902955
4.516055807988552,4.684656903159547,4.6912814680732575
4.545733651581176,4.709427270495762,4.715823568360991
4.573631627573429,4.7326728572046735,4.7388542249699
4.600499108242567,4.755208996253645,4.76119208765455
4.626898880232656,4.777650353206171,4.7834544331472415
4.653182562676601,4.800387241496017,4.806033507598587
4.679472472604986,4.823568429378107,4.829079358117641
4.705651961949741,4.847092286514735,4.85249099510256
4.731366722318057,4.870608681620513,4.875918296767752
4.756039436045385,4.893534017957921,4.898777048684544
4.778899279029365,4.915081000170498,4.920278722379601
4.799026161752077,4.934303159843843,4.93947503269592
4.815407460426957,4.950152049529652,4.955315194101725
4.82700279225574,4.961542795018967,4.966711570711869
4.832810710038459,4.967421962332616,4.972607673551242
4.8319305376834185,4.9668309695592,4.972041724077748
4.823613185759343,4.958958819333825,4.964199542779533
4.807296562513999,4.943179649582126,4.948452241897832
4.782623639308753,4.919073015828892,4.924376620175388
4.749443659002407,4.886427246093204,4.891758591975759
4.707798805896522,4.8452280557684375,4.850581837385985
4.657899591360416,4.795635570162221,4.801004826739033
4.6000923291089135,4.737953049016348,4.743329523253698
4.53482172466122,4.672590285036308,4.677964745605567
4.462591162829429,4.600024237055543,4.6053867589236495
4.383923006730488,4.520759220918847,4.526099422291234
4.299321175004391,4.435288969583822,4.440596206649654
4.209238274528642,4.344062917487342,4.349326438901604
4.114049440860469,4.247458963895308,4.252668027089936
4.014034672577549,4.145764615302198,4.1509085670248185
3.909370786377555,4.039167743783153,4.044236068018409
3.800133250856769,3.9277573118116234,3.9327396493776874
3.686307266524648,3.811533497230025,3.8164196425923644
3.567806675218351,3.6904258378406936,3.6952057197356023
3.444498694436974,3.5643173996287447,3.5689810527199852
3.316232147000127,3.4330726253683475,3.437610160250796
3.1828667868552984,3.296566436111513,3.3009680145168834
3.044301470418819,3.1547122993429464,3.158968120461232
2.9004992330698407,3.00748728671648,3.011587589217059
2.75150775156284,2.854952568657197,2.858887651394354
2.597474171843682,2.697268297577869,2.7010285602244526
2.438653794340701,2.53470235071016,2.5382783538091247
2.2754125970511416,2.3676328983427526,2.3710154406319557
2.108224018967918,2.1965452112915465,2.1997254207676167
1.937660773372416,2.022023473222555,2.0249929073698443
