Values,Values_04_37_49,Values_04_47_52,Values_04_57_59,Values_05_08_34,Values_05_19_07,Values_05_29_03,Values_05_38_46,Values_05_43_48
-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103926
0.0011879913819679,-0.0073920621514306,-0.0143215998375947,-0.0177136551235738,-0.020654767092968,-0.0233580421198398,-0.0258855093481389,-0.0282723090609338,-0.029510454156497168
0.0045333420164956,-0.0125760567738391,-0.0262865092330506,-0.0329720361601294,-0.038787423608511,-0.0441389744352842,-0.0491424417450016,-0.0538651639441301,-0.05631387247292969
0.0098937212358876,-0.0157092775984159,-0.0360616187310056,-0.0459463395989617,-0.0545729514145185,-0.0625211979035494,-0.0699522951068764,-0.0769628871475234,-0.08059600457230216
0.0175733041620171,-0.0165109594089083,-0.0433808031617214,-0.0563769375048966,-0.0677575437077732,-0.0782562129619413,-0.0880713987514712,-0.097326223814167,-0.10211983007267308
0.0278156243393685,-0.0147639901357478,-0.0480425291165438,-0.0640689973805264,-0.0781526081053717,-0.0911612083682505,-0.1033222278118121,-0.1147824875622995,-0.12071511007231825
0.0409469789221914,-0.0101705568759119,-0.0497646302288443,-0.0687467957808597,-0.0854887263187321,-0.1009727192631298,-0.1154467899474947,-0.1290786962755896,-0.1361313941760055
0.0573218689139797,-0.0024073881160741,-0.0482397509641758,-0.0701091826543012,-0.0894711816176109,-0.1074022273217385,-0.1241622926683356,-0.1399372973446255,-0.14809377309243058
0.0773114703455262,0.0088627607841476,-0.0431464974834111,-0.06784049588333,-0.0897907268166703,-0.1101468185408628,-0.1291717046194191,-0.1470666380624164,-0.15631330122744336
0.1012803125188702,0.0239680637205348,-0.034171958708224,-0.0616327509725488,-0.0861455522674062,-0.1089109769851993,-0.1301853963892184,-0.1501824648745763,-0.16050842277119928
0.1295673567354009,0.0432093645516599,-0.0210291746495373,-0.0512026500324008,-0.0782579655758185,-0.1034229959353369,-0.1269373149952159,-0.1490238812510561,-0.16042081897190572
0.16246859393557,0.0668437802304092,-0.0034725225143252,-0.0363064057130199,-0.065888795423028,-0.0934490321736123,-0.1191987297540556,-0.1433668132071887,-0.15582873156955862
0.2002231967299495,0.0950721909053207,0.0186909716667411,-0.0167504059585908,-0.0488475550383599,-0.0788028456032164,-0.1067875975005639,-0.1330330360637329,-0.14655581904283427
0.2430035720027744,0.1280309227073723,0.0455946467909189,0.007602502852563,-0.0269981605513393,-0.0593510328015401,-0.0895733674135444,-0.1178945935912397,-0.13247538250515564
0.2909095641463844,0.1657878187940402,0.0773096734445432,0.0368312070777404,-0.0002601337221849,-0.0350137009640062,-0.0674771865761827,-0.0978735841754016,-0.1135099428626729
0.3439663840801158,0.2083422014516604,0.1138463927834908,0.0709583675782928,0.0313940591231893,-0.0057612558618929,-0.0404681986963656,-0.0729380235418873,-0.08962688751535464
0.4021251932715427,0.2556275663733003,0.1551582709619199,0.1099550051624089,0.0679441910555235,0.0283913286313536,-0.0085573264894054,-0.0430951952462645,-0.060831608293635035
0.4652646068959611,0.3075151710431408,0.2011465217073687,0.1537456252221943,0.1093279371730692,0.0673906835827418,0.0282093591978215,-0.0083846163833697,-0.02716027033910077
0.5331908579347244,0.363816145658585,0.2516629089926283,0.2022113314783344,0.1554444209155658,0.1111490292971024,0.0697550209002223,0.0311266910023041,0.01132508368288313
0.6056341039016222,0.4242794877925399,0.3065079740461066,0.2551881090036921,0.2061527754511949,0.1595430618863429,0.1159712428134629,0.0753436480652668,0.05453610400249282
