Values,Values_02_37_55,Values_02_46_34,Values_02_55_15
-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
0.0021921687239524,0.0029399667210773,0.0037082885345906,0.003952137231112619
0.0061835795598885,0.0082928825127365,0.0104601665085447,0.01114802029846657
0.0123907924804933,0.0166171460464009,0.0209601852787788,0.02233860818274589
0.0210616557945361,0.0282444574834025,0.0356273190796794,0.037970630621123005
0.0325003531036681,0.0435813046680714,0.0549755063652274,0.05859224300048093
0.0470464952768421,0.0630804562700355,0.0795780613483451,0.08481522106922529
0.0650509204534551,0.0872078734695043,0.110026426899624,0.11727116335655491
0.086849364283753,0.1164065855188479,0.1468852202331403,0.15656378075746405
0.1127352751040539,0.1510592505631808,0.1906457227306463,0.20321955839987155
0.1429331044489429,0.191451232053663,0.2416800746673782,0.25763918256945495
0.1775733995048644,0.2377360572261604,0.30019844988199,0.3200521312202241
0.2166709606037007,0.2899050829021435,0.3662114032683971,0.3904767306438057
0.2601072059742552,0.3477630721537453,0.4394994071428003,0.46868778697235974
0.3076177125238942,0.4109111820243625,0.5195913258224113,0.5541936162360359
0.358785682549075,0.4787385791661467,0.6057532287067825,0.6462239299637372
0.4130418311937542,0.5504235422699713,0.6969885209591355,0.7437295959330377
0.469670909159967,0.6249444873070193,0.7920498901927454,0.8453947981135609
0.5278247819191527,0.7011008787215512,0.889463042799074,0.9496615803502598
0.5865416935801423,0.7775434869561806,0.9875616529951776,1.0547661913878923
0.6447710639707379,0.852812945371737,1.0845323934368658,1.1587860748809777
0.7014029143081955,0.9253850774862012,1.1784683845103054,1.2596957926689225
0.7553008019364621,0.993721041324664,1.2674289208177636,1.3554296646590451
0.8053369781754425,1.0563200052115873,1.3495029417029,1.443948491248474
0.8504283732927356,1.111771859990108,1.4228734424375056,1.5233074336678494
0.8895719642039057,1.1588074117627634,1.485879904644092,1.5917219996874055
0.921878095966219,1.1963436018355151,1.537075879958865,1.6476291414069688
0.9466004065646306,1.2235215674856454,1.5752790959952438,1.68974072436125
0.9631611419637603,1.2397357727230105,1.599611855326082,1.717087055382729
0.971170838199276,1.2446529699759508,1.609530033730224,1.7290487195839337
0.9718164738971636,1.2399746302539894,1.6071132951387743,1.727820078419805
0.971615354320241,1.234147225319027,1.6032222590674094,1.7250481934796538
0.9714169215108476,1.2282665079088144,1.59926913817163,1.7222508081751227
0.9712212740222748,1.2223346659719616,1.5952545844470682,1.7194301477265463
0.9710285131479928,1.2163536194311002,1.591178276401631,1.7165870548020299
