Values,Values_03_25_27,Values_03_34_43,Values_03_43_58,Values_03_53_14,Values_04_02_38,Values_04_11_54,Values_04_21_17,Values_04_31_48,Values_04_42_34,Values_04_53_24,Values_05_04_09,Values_05_15_01,Values_05_25_35,Values_05_36_17,Values_05_46_23,Values_05_56_24,Values_06_06_22,Values_06_08_21
1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732,1.6639370108609732
0.2058446551619308,0.2060868308472801,0.2059010610939233,0.2056536998650452,0.2053940280198364,0.2051335745182363,0.2048760753441375,0.2046226917138641,0.2043735122815589,0.204128191607387,0.2038862614738792,0.2036472808201804,0.2034109005507071,0.2031768840437525,0.2029451056963464,0.2027155395144746,0.2024882440225766,0.2022633466363268,0.20221867011366998
0.0085076296200476,0.0091848100055739,0.008658529539652,0.0079543885183089,0.0072135794534726,0.0064693890001636,0.0057329138475894,0.0050078811399769,0.0042948924259906,0.0035932385004714,0.0029017957334343,0.0022194651779356,0.0015453676395717,0.0008789101961124,0.0002197880980549,-0.0004320432062158,-0.0010764075795131,-0.001712949939034,-0.0018392782938715451
-0.0043000372555653,-0.0031520148568213,-0.0040356255378362,-0.0052212479490989,-0.0064689597213239,-0.0077226344563909,-0.0089635477605275,-0.0101853134388035,-0.0113867829209343,-0.0125690193462227,-0.0137338009960898,-0.0148828858034697,-0.0160176829505226,-0.0171391394113433,-0.0182477347968525,-0.0193435264180411,-0.0204262138520062,-0.0214952074128332,-0.02170729449450979
-0.0137903814828595,-0.0121591572894968,-0.0133968694931759,-0.0150617055852815,-0.0168135399338369,-0.0185736540068161,-0.0203159089373205,-0.0220313526566933,-0.0237183105041365,-0.025378185437118,-0.0270133827737961,-0.0286262898454227,-0.030218820006824,-0.0317922547614956,-0.033347236113267,-0.034883828555564,-0.0364016080800626,-0.0378997565732544,-0.03819693617091353
-0.0202797269577362,-0.0181531513429616,-0.0197415282427787,-0.0218830268995282,-0.0241359020530257,-0.0263991062537775,-0.0286393052403367,-0.0308450764786412,-0.0330142407142672,-0.0351485264165687,-0.037250937853426,-0.0393244616554934,-0.0413714891019105,-0.0433936163923723,-0.0453916352757077,-0.0473656117938825,-0.0493149991024879,-0.0512387569723561,-0.05162031352080397
-0.0241824300683291,-0.0215479938915886,-0.0234838697702005,-0.0260998415697839,-0.0288510534542777,-0.0316143777062511,-0.034349499299064,-0.0370426189938028,-0.0396910739004452,-0.0422969036324527,-0.0448636834366441,-0.0473949692913129,-0.0498936042625365,-0.0523614794646886,-0.0547995237341033,-0.0572077989644058,-0.0595856361147625,-0.0619317790239977,-0.06239706057102805
-0.0249693691824042,-0.0218136800055359,-0.0240945111582381,-0.0271836155805623,-0.0304313495712518,-0.0336927169412577,-0.0369206251856363,-0.0400989879204486,-0.0432246782482617,-0.0463000324749093,-0.0493291692473514,-0.0523161843958843,-0.0552643470047929,-0.0581758235267945,-0.0610516672653719,-0.0638919301567251,-0.0666958213804878,-0.0694618746931927,-0.07001037769726055
-0.0224527777016364,-0.0187613746290115,-0.0213852911845651,-0.0249471256152501,-0.0286905485300308,-0.0324488669019488,-0.0361684025348046,-0.0398308672582275,-0.0434326883793409,-0.0469764842263631,-0.0504668894769852,-0.0539085106392335,-0.0573050172683121,-0.0606588316670039,-0.0639711189304538,-0.0672419150496917,-0.0704703075681615,-0.0736546256697984,-0.07428601068414117
-0.0163148427178783,-0.0120719846002366,-0.0150378204977714,-0.0190729887328464,-0.0233123206467955,-0.0275675549263667,-0.0317786080113771,-0.0359250711155311,-0.0400029423781677,-0.0440151070015081,-0.0479666882816627,-0.0518627742714223,-0.055707409453199,-0.0595032523957106,-0.0632515671142072,-0.0669523673875146,-0.0706046189163357,-0.0742064514583558,-0.07492055622856475
