Values_03_17_59,Values_03_26_33,Values_03_35_07,Values_03_43_50,Values_03_53_09,Values_04_03_46,Values_04_29_11
-0.348288751,-0.319181732,-0.243009524,-0.163981919,-0.094814446,-0.040577596,-0.022170745
-0.34567474,-0.316603769,-0.24053003,-0.161620136,-0.092567006,-0.038426275,-0.019705354
-0.341307714,-0.312260046,-0.236281029,-0.157488274,-0.08855007,-0.034506362,-0.016855637
-0.334157226,-0.305116438,-0.229225893,-0.15054781,-0.081723652,-0.027776746,-0.011661294
-0.32378308,-0.294726957,-0.218915006,-0.140346598,-0.071633788,-0.017782131,-0.003376892
-0.309835407,-0.280735552,-0.20498868,-0.126522559,-0.057916771,-0.004157664,0.008343851
-0.291863739,-0.262685554,-0.186986861,-0.108613593,-0.040109208,0.013560911,0.023919515
-0.269395208,-0.240097815,-0.164427281,-0.08613575,-0.017726228,0.03585901,0.043833103
-0.241956885,-0.212493222,-0.136828125,-0.058606039,0.009715607,0.063220217,0.068571821
-0.209116086,-0.17943327,-0.103748834,-0.025583414,0.042657171,0.096085048,0.098603174
-0.17051665,-0.140556733,-0.064827076,0.013294026,0.081459394,0.134813446,0.134331442
-0.125914766,-0.095615992,-0.019815453,0.058272045,0.126366077,0.179647447,0.176061441
-0.075211161,-0.044509821,0.031385293,0.109446761,0.177470151,0.230677282,0.223962105
-0.018478408,0.012688645,0.088697862,0.166735896,0.234684706,0.28781225,0.278034872
0.044018163,0.07571032,0.15184633,0.229856402,0.297720398,0.350757976,0.338087461
0.111807082,0.144076106,0.220341669,0.298309686,0.366070485,0.419001323,0.403714767
0.184205713,0.217091281,0.293475774,0.371375416,0.439004495,0.491803973,0.474287958
0.260324088,0.293848873,0.370324595,0.448114527,0.515571169,0.568205341,0.548952645
0.339077715,0.373242223,0.449760624,0.52738171,0.594610984,0.647035138,0.626636608
0.41920912,0.45398655,0.530474603,0.607847288,0.674778188,0.72693554,0.706067244
0.499317514,0.534648974,0.611005948,0.688027999,0.75457188,0.806392495,0.785798464
0.577895648,0.613686103,0.689781007,0.766325832,0.832375303,0.883775356,0.864246441
0.653372596,0.689487931,0.765157936,0.841073679,0.906502091,0.957383577,0.939733077
0.724160981,0.760426559,0.835476657,0.910586287,0.97524797,1.025498948,1.010536103
0.788706717,0.824907745,0.899111887,0.973214418,1.036945762,1.086441223,1.074942849
0.845540087,0.881424022,0.954527869,1.027400825,1.090022284,1.138625667,1.131309743
0.893323383,0.92860446,1.000329799,1.07173294,1.13305195,1.180617322,1.178110915
0.930903392,0.965269212,1.035319965,1.105000199,1.164814959,1.211189799,1.214021745
0.95732823,0.990448175,1.058517768,1.126215071,1.184319045,1.229347536,1.237872714
0.971970473,1.003505545,1.069285348,1.134739458,1.190926427,1.234453137,1.249007602
0.974456078,1.00406954,1.067257773,1.130215186,1.184284483,1.226158153,1.24632674
0.971085264,0.998453501,1.05876423,1.11898521,1.170746953,1.210824278,1.232728938
0.967754393,0.992565997,1.049723987,1.10697664,1.156246406,1.194387822,1.21568601
0.964076326,0.986025591,1.039756848,1.093808005,1.140399273,1.176463191,1.197692813
0.960191144,0.978979493,1.029012611,1.079629042,1.123354223,1.157197878,1.178072912
0.956060042,0.971396617,1.017463156,1.064411913,1.105082708,1.136562491,1.157087217
0.951694005,0.963296623,1.005131981,1.048181229,1.085609392,1.114581505,1.134660602
0.947092589,0.95468865,0.992032929,1.030952805,1.064950949,1.09127209,1.11083833
0.942260384,0.945587846,0.978186859,1.012750485,1.043133016,1.066661175,1.085635131
0.937202646,0.936011048,0.96361742,0.993602026,1.020186183,1.040781515,1.059084215
0.931926518,0.925978045,0.948352414,0.973540574,0.996147562,1.01367333,1.031222688
0.926440741,0.915511327,0.932423643,0.952604609,0.971060823,0.985384408,1.002096628
0.920755762,0.90463624,0.91586714,0.930838269,0.944976582,0.955970546,0.971760109
0.914883735,0.893381008,0.898723268,0.908291522,0.917952642,0.92549583,0.940275965
0.908838531,0.881776778,0.881036822,0.885020331,0.890054201,0.894032873,0.907715949
0.902635749,0.869857635,0.862857096,0.861086768,0.861353996,0.861662979,0.874160971
0.896292706,0.85766061,0.844237917,0.836559077,0.831932385,0.82847623,0.839701219
0.889828432,0.845225655,0.825237643,0.811511683,0.80187736,0.794571487,0.804436201
0.883263637,0.832595607,0.805919121,0.786025153,0.771284491,0.760056322,0.768474696
0.876620689,0.819816124,0.786349609,0.760186089,0.74025679,0.725046848,0.731934626
0.86992356,0.806935596,0.766600651,0.734086968,0.708904512,0.689667473,0.694942817
0.863197775,0.794005032,0.746747913,0.707825921,0.677344868,0.654050561,0.657634686
0.856470343,0.781077918,0.726870972,0.681506451,0.645701671,0.618336009,0.620153824
0.849769672,0.768210053,0.707053061,0.655237082,0.614104904,0.582670737,0.582651489
0.843125475,0.755459351,0.687380774,0.629130963,0.582690212,0.547208093,0.545286011
0.836568663,0.742885619,0.667943718,0.603305396,0.551598325,0.51210718,0.508222115
0.83013122,0.73055031,0.648834133,0.577881323,0.520974412,0.477532101,0.471630148
0.823846064,0.718516247,0.630146463,0.552982743,0.490967372,0.443651136,0.435685239
0.817746905,0.706847321,0.611976892,0.528736093,0.461729062,0.410635852,0.400566384
0.811868074,0.695608167,0.594422845,0.50526957,0.433413467,0.37866015,0.366455465
0.806244353,0.684863816,0.577582448,0.482712411,0.406175828,0.347899259,0.333536208
0.800910784,0.674679331,0.561553964,0.461194144,0.380171717,0.318528686,0.301993093
0.795902478,0.665119418,0.546435202,0.440843789,0.355556078,0.290723121,0.272010221
0.7912544,0.656248024,0.532322895,0.421789043,0.332482239,0.264655318,0.243770143
0.787001157,0.648127926,0.519312068,0.404155436,0.311100895,0.240494948,0.217452668
0.783176778,0.6408203,0.507495389,0.388065471,0.291559078,0.218407442,0.193233652
0.779814482,0.634384298,0.496962501,0.373637751,0.273999114,0.198552821,0.171283783
0.77694645,0.628876602,0.487799361,0.3609861,0.258557577,0.181084532,0.151767354
0.774603591,0.624350996,0.48008757,0.350218685,0.245364246,0.16614829,0.134841059
0.772815309,0.620857929,0.473903711,0.341437143,0.234541072,0.153880934,0.120652791
0.771609274,0.618444091,0.46931869,0.334735717,0.22620116,0.144409303,0.109340467
0.771011195,0.617151994,0.4663971,0.330200418,0.22044777,0.137849137,0.101030874
0.771044599,0.617019576,0.465196593,0.327908193,0.217373351,0.134304015,0.095838555
0.771730626,0.618079813,0.46576729,0.327926142,0.2170586,0.133864318,0.093864719
0.773087822,0.620360362,0.468151202,0.330310747,0.219571557,0.136606239,0.095196196
0.775131955,0.623883222,0.472381704,0.335107156,0.224966751,0.14259083,0.099904432
