Values,Values_01_02_37,Values_01_12_43,Values_01_22_55,Values_01_33_15,Values_01_43_30,Values_01_53_49,Values_02_04_07,Values_02_14_31,Values_02_24_46,Values_02_35_26,Values_02_46_13,Values_02_56_59,Values_03_07_48,Values_03_18_42
-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103,-0.0008838882899103926
0.0012009308740395,-0.002684458193266,-0.0037681636637011,-0.0032200623510803,-0.0024982936546257,-0.0018577260893784,-0.0013723990526904,-0.0010403404585197,-0.0012697091074886,-0.0033218753419445,-0.0070229462541893,-0.0113237235647033,-0.0157633803906985,-0.0201613383532035,-0.024420269733960612
0.0045595357582728,-0.003228268403514,-0.0053822351524899,-0.0042782502638286,-0.0028216562647678,-0.001520964762784,-0.0005276852877863,0.0001603855353936,-0.0002688945645769,-0.0043259352081166,-0.0116549989046123,-0.0201597561784414,-0.0289269693169957,-0.0376038101681623,-0.04600154217561897
0.0099335238390024,-0.0017815415613758,-0.0049943436695399,-0.0033254395370986,-0.001119235065014,0.0008627950362858,0.0023879857794306,0.003456990413531,0.0028571926520496,-0.0031602532634894,-0.0140490333673918,-0.026666136767878,-0.0396538142766064,-0.0524951829307209,-0.06491596130384354
0.0176271350902853,0.0019475141696532,-0.002315832243419,-7.095558215216255e-05,0.002902441773381,0.0055897473060609,0.0076730349854018,0.0091495525343842,0.008408685801544,0.0004710793059989,-0.0139163898221792,-0.030561959348076,-0.0476705093394461,-0.0645691323974136,-0.08090380706445366
0.0278839811037789,0.0081880309480367,0.0028789825526317,0.005713295294257,0.0094748430657285,0.0128947369861884,0.0155651531296798,0.0174779625140732,0.0166258747493309,0.0068039604362492,-0.0110288871459966,-0.0316272252560548,-0.0527648979449365,-0.0736208700323211,-0.09376715109554316
0.0410304488825201,0.0172502888078152,0.0108967726583603,0.0143367419160134,0.0189112967904046,0.0230950967561962,0.0263851417325896,0.0287657900315812,0.0278331646942866,0.0161585087304979,-0.0050741755503076,-0.0295577322580063,-0.0546404906309008,-0.0793610985307263,-0.10322336852120503
0.0574211439837384,0.0294707220297131,0.0220701338915567,0.0261351697041704,0.0315521397260349,0.0365359438795828,0.0404823511036089,0.0433658463935928,0.0423847174109886,0.0288846661810471,0.0042897596429181,-0.0240196753617193,-0.0529711412342374,-0.0814707471712759,-0.10895992121546713
0.0774273629286394,0.0452003140477809,0.0367460162303615,0.0414591861106397,0.0477532438665112,0.0535787980146651,0.0582234025478433,0.0616490119499194,0.0606533878151732,0.0453512600117256,0.0174238138359848,-0.0146602469210783,-0.0474114459574176,-0.0796111653923542,-0.11064434946180936
0.1014137721699664,0.0647813191718296,0.0552625167909724,0.0606510338425922,0.0678628724270136,0.074578516942932,0.0799692247539995,0.0839813801176452,0.0830079955186714,0.0659234606847389,0.0346854673363384,-0.0011296501703685,-0.0376184601576027,-0.0734455432364117,-0.10794540533243295
0.1297194865273053,0.0885285957222276,0.0779303388406757,0.0840260402897126,0.0922031329685747,0.0998647968903154,0.1060566336175791,0.1107059338482793,0.1097951440284027,0.0909448720872198,0.0564112545320957,0.0169017915609706,-0.0232683775454914,-0.062655169237138,-0.10054890725134531
0.1626406654972515,0.1167126650605453,0.1050160232871687,0.1118558093644975,0.1210531329865805,0.1297253403264858,0.1367815552013768,0.1421258507257079,0.1413226773556918,0.1207213291079588,0.082901051463334,0.0397284574588152,-0.0040711721545738,-0.046953554438301,-0.0881713722254286
0.2004166628019284,0.1495465462079484,0.1367289979094471,0.1443551978284466,0.1546358749313962,0.1643927213421378,0.172385914850439,0.1784914529488243,0.1778467827512597,0.1555084011127803,0.114406166644448,0.0675981512395382,0.0202187448085023,-0.0260964953456015,-0.07056951925182116
0.2432200753050654,0.187176713506401,0.1732127827171982,0.181673413081533,0.1931092246925411,0.204035277206922,0.2130485146772587,0.2199911177999004,0.2195630457455196,0.1955028901279798,0.1511214994687132,0.1007049581348758,0.0497960579124947,0.0001120974996289,-0.04754550136007373
0.2911509413234732,0.2296784230674547,0.2145405855304271,0.2238894656637894,0.2365611842933231,0.2487522511204414,0.2588801171500748,0.2667463584777985,0.2666016557763752,0.2408385000064166,0.193181911692006,0.1391863470237202,0.0848023431996641,0.0318186409362634,-0.018947867018289002
0.3442346634914996,0.2770549696010408,0.2607148345598647,0.2710115234167025,0.2850090142396803,0.2985727259661008,0.3099222666194921,0.3188105981064837,0.3190262712306306,0.2915851578002806,0.240662254694228,0.1831239171352811,0.125327481315186,0.0691219009589722,0.015331016712574716
0.4024225854353951,0.3292397785448635,0.3116695352570316,0.3229790558441062,0.3384010936862926,0.3534572317863463,0.3661487228085273,0.3761705006628019,0.3768353913116472,0.3477508018983991,0.2935798213750837,0.232546507730357,0.1714133551470096,0.1120772116941834,0.055359648044005026
