Values,Values_06_38_45,Values_06_48_41,Values_06_58_44,Values_07_08_35,Values_07_19_08,Values_07_29_34,Values_07_39_39,Values_07_49_41,Values_07_59_43,Values_08_09_46,Values_08_19_50,Values_08_29_52,Values_08_39_54,Values_08_49_56,Values_08_59_37,Values_09_08_56,Values_09_18_16,Values_09_27_36,Values_09_36_56,Values_09_46_16,Values_09_55_37,Values_10_04_57,Values_10_14_25,Values_10_23_45,Values_10_33_06,Values_10_36_50
-2.1399829398377914,-2.244703263658137,-2.2768035066698293,-2.309287986923436,-2.341682034219097,-2.3731073803679594,-2.402868892590703,-2.430474320977073,-2.4556117264993214,-2.478124942051775,-2.497992805481464,-2.5153045323581487,-2.53022960613573,-2.542986519658297,-2.5538152027552488,-2.5629558219354616,-2.570634484180143,-2.577055038140196,-2.582395589600923,-2.586808281693627,-2.5904210935930223,-2.593340709112096,-2.595655796420816,-2.597440277552076,-2.5987563419952,-2.5996570792646128,-2.5999116185524187
0.3306830663207029,0.2259258337244198,0.1936936473765675,0.161122759021438,0.1286646882071178,0.0971952814970463,0.0674116876978348,0.039808225468831,0.0146977349412454,-0.007764169634224,-0.0275581606089056,-0.0447761611470579,-0.0595907795792117,-0.0722236735879845,-0.0829177263925182,-0.0919157133349613,-0.0994459597780452,-0.1057141504557156,-0.1108998812188726,-0.1151564866171115,-0.118612887248333,-0.1213765033655928,-0.1235365739663372,-0.1251674596034559,-0.1263316835576336,-0.1270825869077676,-0.12727779826695143
0.6576209103497934,0.5530436857638273,0.5208563657654659,0.4883354350664323,0.455929340655528,0.4245120295426539,0.3947794512432306,0.3672251037229458,0.342161270437223,0.319743223644098,0.2999901424942455,0.2828101257361303,0.2680307212679096,0.2554305177201068,0.2447669250966862,0.2357974726660137,0.2282941258345956,0.2220514615591582,0.2168901095010216,0.2126569231605071,0.209223134912724,0.2064814467593174,0.2043427163706494,0.2027326594071047,0.2015888130340551,0.2008578848745034,0.20067056015819695
0.6678656051963388,0.5635104962304123,0.5314014174774142,0.4989555503259006,0.4666223955306816,0.4352742969041556,0.4056055897853571,0.3781085713904251,0.3530948006076692,0.3307192799727785,0.3110013189574589,0.2938494602731141,0.279091904810091,0.2665080017662776,0.2558559465637697,0.2468940204782538,0.2393948723274679,0.2331536770596801,0.2279915730299399,0.2237558374219606,0.2203180500684914,0.2175711949302163,0.2154263571703625,0.2138094358527213,0.212658116679177,0.2119192288094224,0.21172860706733346
0.671302644107857,0.5671881074440014,0.5351709150834969,0.5028098513692681,0.4705574851094602,0.4392848397125928,0.4096846091588617,0.3822478545992434,0.3572854200538679,0.3349520932119946,0.3152674020676528,0.298140441416276,0.2834001820823551,0.2708268518718664,0.26017954599757,0.2512174057518015,0.2437138636197235,0.2374647844507007,0.2322918987573859,0.2280429826477372,0.2245900308701367,0.2218263696104399,0.2196633652837143,0.2180271483484965,0.2168555960221329,0.2160956977073334,0.21589648531264757
0.6730287760038972,0.5691723409949718,0.5372596103501138,0.5049922025278206,0.4728277280094978,0.4416361848082284,0.4121086183068818,0.3847348333395866,0.3598249757867442,0.3375336719736672,0.3178807479300708,0.3007759447035479,0.2860491030152572,0.2734814292409835,0.2628330149647451,0.253863952855058,0.2463485442512515,0.2400834224769756,0.2348909820410558,0.2306195631842102,0.2271416344252306,0.2243509170844411,0.222159106301967,0.2204926065402717,0.2192895248813469,0.2184970456657719,0.218284544813356
0.6773218519560164,0.5737383443648522,0.5419402357051288,0.5097734414997579,0.4777023634250721,0.4465962678866843,0.4171445842674481,0.3898358751096802,0.3649796216080948,0.342730339198515,0.3231082112201538,0.3060236866989629,0.2913075371659855,0.2787420066220247,0.2680882401620062,0.2591073371508606,0.2515745212035941,0.2452872453730217,0.2400686169010202,0.2357675860545407,0.2322571379480569,0.22943142870043,0.2272025187206105,0.2254971200549796,0.2242536005104675,0.2234193678067257,0.2231898414970011
0.6846201776178238,0.5813213397068859,0.5496453836264679,0.5175841255906244,0.4856102313334899,0.4545925196848459,0.4252188774421972,0.397976675372242,0.3731747815001938,0.3509676478113491,0.331375852728306,0.3143105804546613,0.2996035527434004,0.2870380669175839,0.2763763370603398,0.2673804866285154,0.2598266816401955,0.2535132176144123,0.2482639392430715,0.2439284327098627,0.2403802260138746,0.2375139361231722,0.2352420140679234,0.2334915038462781,0.2322010572364291,0.2313183274409058,0.23106901173664368
0.6953593009686033,0.5923536018487313,0.5608046380618359,0.5288517796614148,0.4969771183804281,0.4660492922112829,0.4367547583813334,0.40957978313813,0.3848326913491329,0.3626679162211426,0.3431064476034013,0.3260601975052841,0.311361815768966,0.2987956254201026,0.2881248835045065,0.2791127173138291,0.271536222459694,0.2651945315546624,0.2599122278667855,0.2555395398098238,0.2519505484262263,0.2490403443475857,0.2467217837296386,0.2449222579865673,0.2435807187751614,0.2426450807911902,0.2423741460668756
0.7099586587395793,0.607250902231463,0.5758308721414149,0.5439870859433334,0.5122118564364111,0.4813738807291537,0.4521583398862346,0.4250505219262773,0.4003582985614407,0.378236126245626,0.3587054000116587,0.3416787157173312,0.3269895852250581,0.314423283946825,0.3037440422371963,0.2947159315498159,0.2871169299588855,0.2807469726484303,0.2754313582452329,0.2710209436047417,0.2673903564934706,0.2644351605676281,0.2620686206432207,0.2602184820571943,0.258824004906134,0.2578333753201389,0.2575399239558898
