Values,Values_02_13_56,Values_02_23_30,Values_02_33_00,Values_02_42_29,Values_02_52_03,Values_03_02_10,Values_03_11_27,Values_03_20_37,Values_03_29_43,Values_03_38_36,Values_03_47_35,Values_03_56_41,Values_04_05_41,Values_04_15_04,Values_04_24_25,Values_04_33_27,Values_04_42_12,Values_04_51_10,Values_04_59_13
19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977,19.447618967651977
2.370390870586232,2.3706101085164843,2.3731084359373096,2.3764316878158045,2.3803889609725712,2.384843397152983,2.389681525700952,2.3948094183404667,2.400150359274253,2.405642379524033,2.411235824531171,2.4168911371020174,2.422576931498353,2.4282683684592543,2.433945809662121,2.439593718363441,2.445199770849128,2.45075414547188,2.456248959772307,2.461030029647426
0.0983357012350671,0.0985418175954691,0.100932218233297,0.1041207006115281,0.1079269052104752,0.1122200103764295,0.1168907923918491,0.1218483635556225,0.1270181597197885,0.132339708003833,0.1377643712231711,0.1432532631342378,0.1487754203769581,0.154306249461884,0.1598262341008353,0.165319874737138,0.1707748286502511,0.1761812201064876,0.1815310929792579,0.18618706546056102
0.0126921296655197,0.0128692297646167,0.0147629254337747,0.0173077520084005,0.0203647452942248,0.0238289749598746,0.0276115989932369,0.031638055544003,0.035846754669361,0.0401874445430381,0.044619483816824,0.0491102063991224,0.0536334655867272,0.0581683838067983,0.0626983035203325,0.0672099212249053,0.0716925818364946,0.0761377104097802,0.0805383597723022,0.0843696064673532
-0.0228385550553288,-0.0226731809397151,-0.0212724508235098,-0.019369249544097,-0.0170605278746541,-0.014425088975341,-0.0115312167771813,-0.0084370072222533,-0.0051909650548855,-0.0018330334190953,0.0016042113171768,0.0050943779179706,0.0086161798166847,0.0121524901386285,0.0156895381384657,0.0192162391893803,0.0227236446053139,0.0262044958196898,0.029652867707499,0.03265667731905358
-0.0365110042752039,-0.0363392487976656,-0.0354181490842489,-0.0341421095069208,-0.0325661820528495,-0.0307432713152267,-0.0287213030837001,-0.0265420772453915,-0.0242411550269497,-0.0218482871775263,-0.0193880792197059,-0.0168807228460754,-0.0143427041226514,-0.0117874460251821,-0.0092258689456696,-0.0066668668291008,-0.0041177036794875,-0.0015843383813025,0.0009283131214285,0.0031190540471164826
-0.0496985009234154,-0.0495022244518141,-0.0490438802255781,-0.0483759047625591,-0.047511851319736,-0.0464791327185829,-0.0453056605778458,-0.0440172270200573,-0.0426366878522182,-0.0411837954048948,-0.0396753406050397,-0.0381254402949183,-0.0365458787772765,-0.0349464528186629,-0.0333352932815358,-0.0317191508891838,-0.0301036419518919,-0.0284934545456913,-0.02689251808832,-0.02549398587077514
-0.059829552872705,-0.0595905803971975,-0.0595787942756936,-0.059500684518937,-0.0593286467177025,-0.0590649688962453,-0.0587178600375556,-0.0582973662554878,-0.0578138545852888,-0.0572772557593322,-0.0566966887558817,-0.0560803095373726,-0.0554352909827071,-0.0547678747924939,-0.0540834580444146,-0.0533866917785134,-0.0526815785848411,-0.0519715622983294,-0.051259606713884,-0.050633515912029636
-0.0667751154094469,-0.0664751164075789,-0.0668943574983504,-0.0673888150804341,-0.0678900040577197,-0.0683754132040655,-0.0688338269504418,-0.0692597799236394,-0.0696513451048782,-0.0700087909694077,-0.0703336933627537,-0.0706283504749582,-0.0708954056083686,-0.0711376099315962,-0.071357677360385,-0.071558198830405,-0.0717415941379432,-0.0719100871059203,-0.0720656950219567,-0.07219341278852055
-0.0703172222636038,-0.0699375413755955,-0.0707730043447559,-0.0718237315330219,-0.0729805565497653,-0.0741964467389132,-0.0754410018734206,-0.0766934486405641,-0.0779397358084982,-0.0791706091435448,-0.0803802145460397,-0.0815650832633663,-0.0827234012681619,-0.0838544862485066,-0.0849584137644443,-0.0860357497211804,-0.0870873585553363,-0.0881142656015958,-0.0891175586587142,-0.08998178228288042
