Values,Values_04_33_26,Values_04_44_21,Values_04_55_15,Values_05_06_06,Values_05_17_02,Values_05_27_45,Values_05_38_22,Values_05_48_30,Values_05_58_35,Values_06_08_35,Values_06_18_19,Values_06_28_05,Values_06_38_07,Values_06_48_10,Values_06_58_20,Values_07_08_20,Values_07_19_00,Values_07_29_34,Values_07_39_44,Values_07_49_52,Values_08_00_00,Values_08_10_07,Values_08_20_15,Values_08_30_23,Values_08_40_30,Values_08_50_38,Values_08_54_17
0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012,0.4894231152635012
0.0605066669499148,0.0638237435507727,0.0648617120173793,0.0655792610918623,0.0662508780774686,0.066900436847991,0.0675260643015889,0.0681240885572802,0.0686918245383844,0.0692278339753606,0.0697318009491222,0.0702043117206631,0.0706465925292121,0.07106023379455,0.0714469279165742,0.0718082432346256,0.0721454477240404,0.0724593865505077,0.0727504114659126,0.0730183588998885,0.0732625763532264,0.0734820000021545,0.0736752863755587,0.0738409949127891,0.0739778065632966,0.0740847500609514,0.0741613985923523,0.07418160152988515
-0.0022281665780858,0.0048806437056005,0.0071010361826469,0.0086270357739807,0.0100561328207149,0.0114405863560124,0.0127763530528481,0.0140553347842117,0.0152714721572842,0.0164213444590503,0.0175039365342877,0.0185201936253389,0.019472476432592,0.0203639767593591,0.0211981535175833,0.021978240153221,0.0227068552701243,0.0233857274993428,0.0240155318346281,0.0245958317240031,0.0251251268851845,0.0256010139157392,0.0260204667265,0.0263802307403953,0.0266772992273639,0.0269094102548335,0.0270754825333635,0.027119129473656797
-0.0124046721484206,-0.0014452341815863,0.0019679407297296,0.0042986875683776,0.0064812348953258,0.0085976102560649,0.0106415285244004,0.0126002357809555,0.0144640597922516,0.0162273787853403,0.0178882942581102,0.0194479693553228,0.0209098034598101,0.0222785360857832,0.0235593743255812,0.024757225243848,0.0258760846876825,0.0269186013625897,0.0278858130571527,0.0287770469028814,0.0295899840813088,0.0303209003337959,0.0309650936496201,0.0315174903632315,0.0319733812254493,0.0323291924597497,0.0325831650042592,0.03264968951593004
-0.0213943428979492,-0.0065851379508352,-0.0019879338547588,0.001130585737549,0.0040499560724355,0.0068828882615557,0.009620816310857,0.012246178920654,0.0147455203763216,0.0171108492397003,0.0193392311894209,0.0214319211252852,0.0233932626781865,0.0252294813796933,0.0269475014974831,0.0285538995760938,0.0300540668127532,0.031451607514416,0.0327479704784874,0.0339423028771446,0.0350315274863748,0.0360106588595343,0.0368733741843347,0.0376128274728691,0.0382226420966292,0.0386979535337388,0.039036330743203,0.039124645473131346
-0.0277981300081845,-0.0091377338809683,-0.0033645574095928,0.0005252015943334,0.0041651853684316,0.0076997245573411,0.0111179313238582,0.0143972814911759,0.0175203617657435,0.0204766397645643,0.0232619910262099,0.0258776349943257,0.0283287647347954,0.0306230302528824,0.0327690424830535,0.0347750439396677,0.0366478398661519,0.0383920260971188,0.0400095107471364,0.0414993170995217,0.0428576689541802,0.0440783782449801,0.0451535550521644,0.0460746262103656,0.0468335812171183,0.047424284461505,0.0478436376724851,0.047952673212238596
-0.0312966308619332,-0.0087785553270748,-0.0018359263534386,0.0028094941073594,0.0071547834993912,0.0113768767311232,0.0154625195508133,0.019384060976444,0.0231199484049107,0.0266569312085474,0.0299895362077853,0.0331188176484484,0.0360507222027892,0.0387942629667242,0.0413597079376812,0.0437569633420843,0.0459942683485584,0.0480772470224106,0.0500083152169094,0.0517864276756543,0.0534071670209704,0.054863198630313,0.0561451159513598,0.0572426601443574,0.0581462166741872,0.0588483952820919,0.0593454328935414,0.059474155489903834
-0.0316274667058977,-0.005238255332738,0.0028693831091069,0.0082561196104451,0.0132925645038303,0.0181893140142119,0.0229306983002169,0.0274837637331582,0.0318226256646116,0.0359311290579199,0.0398022870066533,0.0434368548162587,0.046841435133511,0.05002634271582,0.053003474170883,0.0557843989054228,0.0583788116357183,0.0607934026411224,0.0630311443787251,0.0650909777528898,0.0669679001412102,0.0686534833709303,0.0701368506813888,0.0714060943934167,0.0724500210271723,0.0732599978946409,0.0738315964621491,0.07397901513426246
-0.0285303301299408,0.0017512072894437,0.0110216606344846,0.0171366148193301,0.0228512282107212,0.0284109031146553,0.0337975001458092,0.0389725733872533,0.0439057003958022,0.0485776248422107,0.0529796730875934,0.0571121625744133,0.0609822517248377,0.0646014951136264,0.0679833906182529,0.0711411722515479,0.0740860140532404,0.0768257122876802,0.0793638458567873,0.0816993963734306,0.0838268304484652,0.0857366765999125,0.0874166303881604,0.088853167484293,0.0900335357091667,0.0909478677819555,0.0915910657853941,0.09175622981689051
-0.0216679436290948,0.0125357575329912,0.0229692867141218,0.029800629518635,0.036181598710483,0.0423936532915219,0.048416125480146,0.0542048714965412,0.0597247100299435,0.0649530737130243,0.0698794193624373,0.0745034810854273,0.0788328694248901,0.0828803160795937,0.0866608939307119,0.0901895052461458,0.093478829789175,0.096537811949827,0.0993706885006526,0.1019765367220852,0.1043493459437506,0.1064786491719477,0.1083507530888164,0.1099505442577315,0.1112637270785103,0.1122792029237693,0.11299119706382,0.1131731943154351
-0.0106875514819011,0.027477890924536,0.0390774619246837,0.0466146643489942,0.0536513682956543,0.060506467451312,0.0671567018832424,0.0735520060060006,0.0796522005848336,0.085431182121447,0.090876343160188,0.0959866808417913,0.1007701496650558,0.1052405944083716,0.1094146377148176,0.1133088562836118,0.1169374651698205,0.1203106020727349,0.1234332153495612,0.1263045339684112,0.1289181229990895,0.1312625656468166,0.1333228149430575,0.1350821912446627,0.1365248656748001,0.1376385066508669,0.1384166514017885,0.13861460770193512
0.0047510406953801,0.0469286596849836,0.0597001877368573,0.0679340271946262,0.0756170285726003,0.0831070493791756,0.0903781691052038,0.0973741555756156,0.104049571796502,0.1103745350314081,0.1163341646051311,0.1219265571246708,0.1271598971878296,0.1320490766394268,0.1366122435670705,0.1408676581084439,0.1448311039349272,0.1485139610369834,0.1519219461739598,0.1550544978633323,0.1579048101433375,0.1604605605539655,0.1627053804472282,0.164621042309122,0.1661901889112114,0.1673992490337566,0.1682410565473774,0.16845413560950462
0.0249637459454717,0.0712159053518594,0.0851684718685902,0.094090999737272,0.1024119979532039,0.1105299935927785,0.11841633309044,0.1260083497241432,0.1332550653472839,0.1401225541282997,0.1465934365835427,0.1526647333616801,0.1583447382882353,0.1636493215834285,0.1685981332221482,0.173211128901761,0.1775056986042433,0.1814945182164717,0.1851841337457009,0.1885742538873066,0.191657755920704,0.1944214549570953,0.1968476898621278,0.19891669928981,0.20060959741436,0.2019115614933797,0.2028147023782535,0.20304210666704423
