Values,Values_03_03_16,Values_03_17_59,Values_03_26_33,Values_03_35_07,Values_03_43_50,Values_03_53_09,Values_04_03_46
-1.3877787807814457e-17,-1.3877787807814457e-17,-0.3482887506226622,-0.3191817318601994,-0.2430095243467798,-0.1639819186561374,-0.0948144456586825,-0.04057759586398553
0.0024071661282598,0.0030168765259505,-0.3456747399878719,-0.3166037686283924,-0.240530030365154,-0.1616201360248884,-0.0925670061926126,-0.038426275123259516
0.0067900387304643,0.0085098923314904,-0.3413077141922763,-0.3122600464418542,-0.2362810291289652,-0.1574882741464423,-0.0885500699152273,-0.03450636150363908
0.0136060474397553,0.0170523703664777,-0.3341572255968461,-0.3051164380045402,-0.2292258925546674,-0.1505478101745223,-0.08172365249359,-0.027776745824762562
0.0231273891770035,0.0289855340257884,-0.3237830795547255,-0.2947269573845323,-0.2189150062343535,-0.1403465978351958,-0.0716337879582481,-0.017782130906999042
0.0356881649678985,0.0447282770035271,-0.309835406667142,-0.2807355521260321,-0.2049886799019834,-0.1265225592824254,-0.0579167713460199,-0.004157664016002557
0.0516614466562708,0.0647484697640771,-0.2918637386636657,-0.2626855535683219,-0.1869868611589065,-0.1086135928876127,-0.0401092084043369,0.013560910900479973
0.0714327368179209,0.089529759534607,-0.269395208354501,-0.2400978152889045,-0.1644272814948855,-0.0861357499731798,-0.017726227568929,0.035859010291564644
0.0953710979795894,0.1195354615898854,-0.2419568845437906,-0.2124932219160961,-0.1368281250077731,-0.0586060392629291,0.0097156074931131,0.06322021672629735
0.1237993491055948,0.155171288526101,-0.2091160860178296,-0.1794332702668467,-0.1037488336489967,-0.0255834135194581,0.0426571709949775,0.09608504778888587
0.1569647863883212,0.1967487336521106,-0.1705166502510279,-0.140556732632361,-0.0648270759300024,0.0132940260153457,0.0814593940337289,0.134813446450239
0.195011878890194,0.244450911631832,-0.1259147661040994,-0.095615991636799,-0.0198154534048171,0.0582720450727077,0.1263660765417716,0.17964744705660698
0.2379583176622226,0.2983025651426312,-0.0752111607477421,-0.0445098214808389,0.0313852934978184,0.1094467612626842,0.1774701506767045,0.23067728226571174
0.2856756626391603,0.3581457755282209,-0.0184784078955816,0.0126886448706823,0.0886978618401966,0.1667358963741143,0.2346847060082862,0.28781225044685316
0.3378756406826922,0.4236226767422019,0.0440181634617441,0.0757103198703826,0.151846329504418,0.2298564016566357,0.2977203975208835,0.35075797574490547
0.394102908912993,0.4941661768007859,0.1118070820444079,0.1440761059814468,0.220341669191799,0.2983096855972146,0.366070484726935,0.4190013225167778
0.4537348203574859,0.5689993531855703,0.1842057127353147,0.2170912806635687,0.2934757743895981,0.3713754158625764,0.4390044953874412,0.49180397304762186
0.5159884260190666,0.6471438231426568,0.2603240877673504,0.2938488728169229,0.3703245949256027,0.4481145268818628,0.51557116935563,0.5682053408668576
0.5799346318879185,0.7274370119639353,0.3390777152325872,0.3732422230651955,0.4497606235763208,0.5273817098052894,0.5946109840131288,0.6470351382310557
0.6445191148714184,0.808557867014641,0.4192091202800314,0.4539865497487708,0.5304746031507284,0.6078472878776541,0.6747781875176714,0.7269355397836025
0.7085893017079479,0.889060206352598,0.4993175136648153,0.5346489735410441,0.611005947642806,0.6880279987954939,0.7545718801757669,0.8063924951553397
0.770926442647234,0.9674125607929728,0.5778956481254311,0.6136861029480193,0.6897810072721894,0.7663258315921884,0.8323753025087678,0.8837753558946233
0.8302815788651198,1.042043078403225,0.6533725962911622,0.6894879310746213,0.7651579357305965,0.8410736791286214,0.9065020910919068,0.9573835767267516
0.885414019477284,1.1113878207831445,0.7241609813520788,0.7604265586130007,0.8354766571015256,0.9105862873650322,0.9752479695391548,1.0254989476688843
0.9351308188694768,1.1739406004751796,0.7887067171688209,0.824907744967004,0.8991118874830403,0.9732144184241364,1.036945762305845,1.0864412229501437
0.9783256837770072,1.22830239732412,0.8455400870484224,0.8814240218049874,0.9545278685542614,1.0274008247790354,1.0900222839186129,1.1386256669939339
1.0140157454083871,1.2732283567895242,0.8933233834156059,0.9286044595532938,1.0003297987096649,1.071732940133265,1.1330519503763743,1.180617322153254
1.0413747053636315,1.3076704220791688,0.930903391624016,0.9652692120722676,1.0353199649561298,1.1050001992633407,1.1648149594700887,1.2111897987461648
1.059761002624359,1.3308137890903668,0.9573282296664448,0.9904481746031588,1.05851776837568,1.1262150711879426,1.184319045076132,1.2293475360074104
1.0687398469810094,1.3421055991862152,0.971970473370236,1.003505545016135,1.0692853479014706,1.134739458493754,1.1909264271076,1.2344531366592875
1.06961146419939,1.3431748740720588,0.97445607796734,1.004069539614721,1.067257773000173,1.1302151862596188,1.1842844829424346,1.2261581525625485
1.0695450374459547,1.3430234017398048,0.9710852641891352,0.9984535009741649,1.0587642300202718,1.118985210477589,1.1707469525111456,1.2108242782890604
1.069475180615632,1.3428242931685808,0.9677543928331336,0.9925659968879108,1.0497239870959796,1.106976639543686,1.1562464062720057,1.1943878218067665
1.069401981261109,1.3425771773986035,0.9640763262365636,0.9860255911815742,1.039756848014953,1.0938080054193864,1.140399273279182,1.1764631909655696
1.0693255326260858,1.3422817809604308,0.960191144420119,0.9789794931063032,1.0290126110499236,1.0796290423355943,1.1233542231620797,1.1571978778523884
1.0692459334759383,1.3419379285030208,0.956060042074346,0.9713966165640266,1.0174631560526943,1.0644119127406366,1.1050827075691774,1.1365624908273262
1.0691632879186923,1.3415455432381176,0.9516940049000574,0.9632966229052192,1.005131981437091,1.0481812286075236,1.0856093923825465,1.1145815053065837
1.0690777052166522,1.3411046471998418,0.9470925894957314,0.9546886497959208,0.9920329293596736,1.030952804680725,1.0649509488716298,1.0912720899409556
1.0689892995891173,1.3406153613185952,0.942260383610672,0.9455878458612844,0.978186859055616,1.0127504848706443,1.0431330158698473,1.066661175423764
1.0688981900065684,1.3400779053084644,0.9372026455137288,0.936011048489102,0.9636174198740024,0.9936020260956028,1.0201861826270755,1.0407815145108124
1.0688044999767867,1.3394925973675598,0.9319265176194568,0.9259780448191088,0.9483524139973464,0.9735405738745434,0.9961475621368876,1.0136733296906664
1.0687083573233152,1.3388598536908007,0.926440740537189,0.9155113272036434,0.932423643405632,0.9526046093873034,0.9710608229216712,0.9853844078469088
1.0686098939567512,1.3381801877949295,0.9207557623892104,0.9046362402610432,0.915867140427452,0.9308382692852702,0.9449765822113276,0.955970546194296
1.0685092456393086,1.3374542096556563,0.9148837348051522,0.8933810083711137,0.8987232678389602,0.908291521753494,0.9179526422200894,0.9254958299866816
1.068406551743153,1.3366826246571213,0.9088385309829567,0.8817767778906621,0.8810368215440235,0.8850203308872733,0.8900542009823742,0.8940328731362591
1.0683019550029698,1.335866232354022,0.90263574858398,0.869857635449963,0.8628570957340431,0.8610867681711611,0.8613539958361142,0.8616629794359966
1.0681956012632854,1.3350059250470856,0.8962927064507665,0.8576606101326177,0.8442379171787936,0.8365590769061715,0.8319323849439668,0.828476229552571
1.068087639221011,1.3341026861727625,0.8898284317333444,0.845225655039873,0.8252376431718526,0.8115116834797094,0.8018773604303757,0.7945714872397242
1.0679782201637429,1.3331575885084133,0.8832636373376134,0.8325956072228868,0.8059191213522532,0.7860251532745614,0.7712844907717249,0.7600563223911211
1.0678674977042937,1.3321717921944871,0.8766206887445289,0.8198161242582465,0.7863496091203173,0.7601860886974872,0.740256789905952,0.7250468484843844
1.0677556275119964,1.3311465425756466,0.8699235595304731,0.8069355961926856,0.7666006510210754,0.7340869676468154,0.7089045115101585,0.6896674730569263
1.067642767041256,1.330083167863083,0.8631977749173202,0.7940050317558222,0.7467479128407486,0.7078259212864689,0.6773448675839663,0.6540505606538476
1.0675290752578903,1.3289830766207458,0.8564703427781779,0.781077918015853,0.7268709716307251,0.6815064506323404,0.6457016712556449,0.618336008583475
1.0674147123637368,1.3278477550785748,0.8497696716183004,0.7682100529263081,0.7070530613313467,0.6552370820774752,0.6141049044893935,0.5826707366990627
1.0672998395200537,1.3266787642763211,0.8431254751669879,0.7554593505063654,0.6873807741374055,0.6291309626076563,0.582690212137576,0.5472080933166952
1.0671846185701972,1.3254777370419673,0.8365686633464423,0.7428856187016895,0.667943718216287,0.603305396075606,0.5515983245366749,0.5121071802625973
1.0670692117620852,1.324246374809288,0.830131219528182,0.7305503102856719,0.6488341328552399,0.5778813225057884,0.5209744115832846,0.4775321009072295
1.0669537814709176,1.322986444279527,0.8238460641439131,0.718516247477671,0.6301464625706933,0.5529827429853497,0.4909673719358291,0.44365113587319216
1.0668384899226608,1.321699773932744,0.817746904883967,0.7068473212720509,0.6119768921554599,0.5287360932533921,0.4617290616579402,0.4106358518826148
1.0667234989187393,1.3203882503948137,0.8118680738898103,0.6956081667852506,0.5944228450638426,0.5052695696227013,0.4334134672378434,0.3786601499185614
1.066608969562434,1.319053814666653,0.8062443525252536,0.6848638162344057,0.5775824479358794,0.4827124113482812,0.4061758284728219,0.3478992594959811
1.066495061987409,1.3176984582226758,0.8009107844909801,0.6746793314563697,0.5615539644356606,0.4611941439883314,0.3801717171865137,0.31852868635265646
1.0663819350888468,1.3163242189860584,0.7959024782261854,0.665119418157249,0.5464352019213518,0.4408437886796588,0.3555560781391281,0.29072312126399513
1.0662697462575943,1.3149331771887969,0.7912543997164707,0.6562480243464874,0.5323228947727575,0.4217890425654912,0.3324822387875065,0.2646553179441387
1.066158651117775,1.3135274511250938,0.7870011569960739,0.6481279256536698,0.5193120684738602,0.4041554358659848,0.3111008947476508,0.24049494811164024
1.0660488032682505,1.3121091928069877,0.7831767777921087,0.6408203004479671,0.5074953887810141,0.3880654712683872,0.2915590779039984,0.21840744176722537
1.0659403540283583,1.3106805835316018,0.7798144819064519,0.6343842978779687,0.4969625005020711,0.3736377514355931,0.27399911409899,0.19855282055689827
1.0658334521882873,1.3092438293697746,0.7769464500645767,0.6288766021218205,0.4877993605682262,0.3609861004915454,0.2585575772290544,0.18108453178512132
1.0657282437644888,1.307801156586183,0.7746035910782814,0.6243509962836202,0.4800875702008181,0.3502186853455684,0.2453642463799114,0.1661482902165442
1.0656248717604635,1.3063548070013948,0.7728153092684468,0.6208579294909339,0.4739037110623713,0.3414371426731735,0.2345410723699923,0.15388093428361652
1.0655234759332906,1.304907033306596,0.7716092741739056,0.6184440908409007,0.4693186903396795,0.3347357172899689,0.2262011597565891,0.14440930273198327
1.0654241925662102,1.3034600943419214,0.7710111946310586,0.6171519939083112,0.4663970997410977,0.3302004175506486,0.2204477700185152,0.13784913712084257
1.065327154247607,1.3020162503495951,0.77104459934596,0.6170195755698988,0.4651965934072944,0.3279081932929404,0.2173733512902501,0.13430401499308858
1.065232489656669,1.300577758213156,0.771730626094835,0.618079812915274,0.4657672897404599,0.3279261417433592,0.2170585997158475,0.13386431798411322
1.065140323356043,1.2991468666942183,0.7730878216806896,0.6203603620082588,0.4681512021588141,0.3303107467260673,0.2195715572491444,0.13660623869604005
1.065050775591739,1.2977258116782264,0.7751319547422013,0.623883222233509,0.4723817037874362,0.3351071564857756,0.2249667505824695,0.14259082987308183
1.0649639621005704,1.2963168114407058,0.777875843457267,0.6286644299139644,0.4784830311096068,0.3423485054681787,0.2332843758714968,0.15186309932047357
1.0648799939253537,1.2949220619454451,0.7813292001071334,0.6347137848148734,0.4864698316294169,0.3520552855117994,0.2445495340679395,0.16445115415647457
1.0647989772381337,1.2935437321860097,0.7854984943693945,0.6420346130611291,0.4963467606405283,0.3642347721066199,0.2587715220004161,0.18036539841271435
1.0647210131716245,1.292183959581788,0.7903868370891989,0.6506235698851539,0.5081081322580678,0.3788805116752031,0.2759431848755354,0.19959778873177583
1.0646461976591064,1.2908448454396897,0.7959938861394968,0.6604704854925223,0.5217376299500257,0.3959718762352154,0.2960403366183352,0.22212115397322493
1.0645746212829437,1.2895284504923106,0.8023157758232121,0.6715582571790862,0.5372080818957702,0.4154736923044401,0.3190212554347886,0.24788858593705662
1.0645063691319336,1.288236790523214,0.8093450710945899,0.6838627906544431,0.5544813065946376,0.4373359515004365,0.3448262631501336,0.2768329101401045
1.0644415206676288,1.2869718320896166,0.8170707476840204,0.6973529933176466,0.5735080342340105,0.4614936109469554,0.3733773982315022,0.3088662476108844
1.0643801495998153,1.2857354883525138,0.8254781990018922,0.7119908219876602,0.5942279093875644,0.4878664922996333,0.4045781939040083,0.34387968095741095
1.0643223237712645,1.2845296150238612,0.8345492704731893,0.7277313873070776,0.6165695806290218,0.5163592889048456,0.4383135743606936,0.38174304044323343
1.0642681050519138,1.2833560064401175,0.8442623217168331,0.7445231167066989,0.6404508825896659,0.5468616912583758,0.4744498836759002,0.4223048283879426
1.0642175492425725,1.2822163917709837,0.8545923167331583,0.7623079774333731,0.6657791158295479,0.5792486414741482,0.51283506356679,0.4653923027715219
1.0641707059882806,1.2811124313718136,0.8655109420006455,0.7810217606969769,0.6924514296005538,0.6133807278376565,0.5532989974988801,0.510811743322411
