Values,Values_02_20_26,Values_02_37_41,Values_02_54_59,Values_03_12_26
-9.220530463174576,-9.152553041105657,-9.1701470344847,-9.19302497298378,-9.215792016204086
-0.7562294638389867,-0.688183921273316,-0.6999959428033513,-0.7150522945371413,-0.7284767002160645
0.3661350336736353,0.4340706759206407,0.4230904117852928,0.4091384234139452,0.3970114470802451
0.4030144854940166,0.4708201178898327,0.4598945338483656,0.4460152351854742,0.43396754452809744
0.4143456892174625,0.48202149340856,0.4711213719718825,0.4572756800043367,0.44526076367310125
0.4155439403807322,0.4830909178957983,0.472204818774204,0.4583771458832062,0.446376178574837
0.4191163967696142,0.4865355927364864,0.4756595558861432,0.4618442635677025,0.44985018443799984
0.4253458142686749,0.4926385787986527,0.4817691231302618,0.4679611771346598,0.4559676417902292
0.4348428477091558,0.5020106565174118,0.4911454809154672,0.4773414126671659,0.4653439411875939
0.4479800924378643,0.5150244256510953,0.5041623347531172,0.4903601631425742,0.4783560566920001
0.465227721882286,0.5321499306649659,0.5212907779161006,0.5074899562495556,0.49547824447528965
0.4870997816625221,0.5539009373331536,0.5430455772922603,0.5292469555917234,0.517228363659998
0.5140946822643369,0.5807754054907016,0.5699256416618275,0.5561314263844683,0.5441083406092294
0.5466662916971861,0.6132265624731849,0.6023850760376378,0.5885987675707356,0.5765751763317108
0.5851850720171289,0.6516240188381136,0.6407942733297692,0.6270205748848241,0.6150019773987242
0.629897369388667,0.6962130372510746,0.6853991522619636,0.6716438410390909,0.6596371132351031
0.6808911462292893,0.7470802436541567,0.7362868313109795,0.7225565836555696,0.7105697914171483
0.7380647015313307,0.8041223263607954,0.7933542863732357,0.7796564515779778,0.7676986051871626
0.8011017379584764,0.8670210816669872,0.8562833519234736,0.8426256710274017,0.8307064167391197
0.8694541413129384,0.9352261714782232,0.9245234326911412,0.9109137008328536,0.8990429482286233
0.942332907200408,1.00794602755167,0.9972823622709124,0.983728035760296,0.97191552272237
1.0187087517456188,1.0841484394072498,1.0735269473889728,1.0600346989775573,1.0482894989235614
1.0973219272720915,1.16257034700561,1.1519927208135674,1.138567949212423,1.126897928303182
1.1767023151752098,1.2417379111144211,1.2312039775650567,1.217850279460718,1.2062615140210688
1.255199130784667,1.3199961969513283,1.3095034317707557,1.2962220467171577,1.2847182134948933
1.3310171538442168,1.3955453859037623,1.3850884105129997,1.371877650770131,1.3604594044180343
1.4022687590809948,1.466492791918964,1.4560628626158791,1.442917541168264,1.4315818943303293
1.467014337656899,1.5308932733683895,1.5204777745532954,1.5073886460371224,1.4961283689215565
1.5233346686676756,1.5868216065166716,1.576403560609397,1.5633567895974545,1.5521598447343614
1.5693941286930275,1.6324357044759426,1.6219933124555226,1.6089699855400077,1.5978190158011645
1.603420655183143,1.6659566025332908,1.65546282927622,1.6424385264254937,1.6313104125637212
1.6239868755866858,1.6859496562257514,1.6753718831867812,1.662316328402094,1.651181834576779
1.629821969710594,1.6911364165331615,1.680436163635208,1.6673129655643422,1.6561364888028742
1.6193488687830353,1.6799319461318198,1.66906469565195,1.6558312010813498,1.644570641527285
1.5933062666085152,1.6530672309690966,1.6419824677513062,1.6285898248288206,1.6171966642951412
1.5568729333308309,1.6157127557092978,1.6043538527785637,1.5907469996283192,1.5791663523164152
1.514954076729183,1.572762583984618,1.56106579452511,1.5471826922392955,1.5353526703176572
1.4680874995399305,1.524739881746978,1.512632853697124,1.4984032270895626,1.4862537955680615
1.4151614798375909,1.4705165392941804,1.4579174069151393,1.4432619399568412,1.4307141585416459
1.355732298437481,1.4096316609404116,1.3964486191731311,1.3812786103424253,1.3682443281877197
1.289330167037552,1.3415973560932235,1.3277283164753917,1.3119454648282494,1.298327176884508
1.2153261463861182,1.265765957641814,1.2510984908040443,1.2345949971227077,1.2202860362384482
1.1331652652513005,1.1815636663712137,1.1659753699668374,1.1486344863304017,1.1335196825310603
1.0422831799902197,1.0884077360508784,1.0717670591113635,1.053464119961137,1.0374209609720444
0.9421428302128148,0.9857438648036324,0.967911509587522,0.9485155544941666,0.9314159520660191
0.8322710686589389,0.873083701626049,0.8539146820468676,0.8332907371620334,0.8150034591195765
0.7122758216295104,0.7500230108881848,0.7293694234531519,0.7073814803265982,0.6877752765233045
0.5818862542125615,0.6162829559997244,0.5939974915615602,0.5705121885160472,0.5494596015900689
0.4409857391539719,0.4717442317693152,0.4476843962434497,0.4225753436489594,0.39995712885436774
0.2896489874015012,0.316485332027544,0.2905182803615679,0.2636709045857597,0.23938091444767723
0.1281768249141754,0.1508183321474319,0.1228261399619128,0.0941428418292294,0.06809315272725587
-0.04287417720326,-0.0246807249853189,-0.054795608982852,-0.0853902615220317,-0.11326427672114395
-0.2226698006229655,-0.2091495438250572,-0.2414589942522989,-0.2740133819317824,-0.3037483869051328
-0.410088017625568,-0.4014295135253724,-0.4359749531080229,-0.4705062069728029,-0.5021070171273166
-0.6037227085969514,-0.6000700812413339,-0.636858625162603,-0.6733494841658199,-0.7067863210994272
-0.8019030611567817,-0.8033493810048861,-0.8423512544651166,-0.8807482919187462,-0.915955464349929
-1.0027284603513609,-1.009310873702289,-1.0504583651923214,-1.0906717889297672,-1.1275479686734573
-1.204117125706486,-1.2158141258967312,-1.259002200837534,-1.300907283899958,-1.3393173914909373
-1.4038650039196583,-1.4205960461578333,-1.4656845790646291,-1.5091246107321037,-1.5489031589594333
-1.59971028897252,-1.621337725442838,-1.668155140502164,-1.7129456295244778,-1.7539012229524371
-1.7893984182375764,-1.815731505920278,-1.8640794752393768,-1.9100132163173345,-1.9519337978084297
-1.970742695850927,-2.001543243261421,-2.0512020037260057,-2.098054555718234,-2.1407129454580027
-2.14167669566163,-2.176665795145168,-2.227399622299524,-2.274934750951833,-2.318094044768308
-2.30029604686932,-2.3391613003897134,-2.3907237207567467,-2.438698424799364,-2.4821168982756974
-2.444888795991932,-2.4872914826025325,-2.5394299017539024,-2.5875987526944884,-2.6310340372054366
