Values,Values_03_21_40,Values_03_30_55,Values_03_40_08,Values_03_49_24,Values_03_58_37,Values_04_07_58,Values_04_17_15,Values_04_27_12,Values_04_37_48,Values_04_48_43,Values_04_59_25,Values_05_10_05,Values_05_20_48,Values_05_31_29,Values_05_41_45,Values_05_51_47,Values_06_01_44,Values_06_11_27,Values_06_21_15,Values_06_21_52
0.6414432654386292,0.6141215598542353,0.6639964426960165,0.675383908259389,0.6777708186852588,0.6784751071089525,0.6793757596581678,0.6809847087610593,0.6834105736185444,0.6866267532478858,0.6905599447503933,0.6951242336222924,0.7002353464192633,0.7058164495526101,0.7118000451957096,0.7181280548962519,0.7247511122886738,0.731627568475404,0.7387224522695244,0.7460064945711845,0.7464489964440244
0.6577514169242704,0.6303995530393306,0.6802048524468509,0.6915977339147185,0.6940072769424666,0.6947376599440936,0.6956640269455564,0.6972971036419439,0.6997452034289149,0.7029817728791141,0.7069336945114757,0.7115152803838545,0.716642479853858,0.722238658880415,0.7282364893597492,0.7345780325966322,0.7412140348266082,0.7481029365081941,0.7552098366258759,0.7625055208195289,0.7629487102818305
0.660291543054743,0.6329622730537281,0.6826765517095924,0.6940499659450304,0.6964568082341047,0.6971874640286626,0.6981134850850563,0.6997446049467567,0.7021889256889258,0.7054199480174485,0.7093647004385232,0.7139376651070259,0.7190549572511659,0.7246400931488305,0.7306258760031317,0.7369544795626687,0.7435767453154846,0.7504511939524121,0.7575429918575054,0.7648229812328647,0.7652652112393442
0.6622846997182571,0.634991977771751,0.684610414384663,0.6959583247927527,0.6983561319071308,0.6990804452081454,0.6999992879785327,0.7016214580274638,0.7040548744540077,0.7072730983122837,0.7112032975716234,0.7157601122761226,0.7208598100213871,0.726426045029017,0.7323917417063911,0.7386991787828358,0.7452992880989371,0.7521506679351226,0.7592185512860492,0.7664738375580534,0.7669145614130336
0.66671150471114,0.6394641990987976,0.6889843186694184,0.7003033196292543,0.7026884163514404,0.7034024707041348,0.7043100150220207,0.7059189448769824,0.7083370148670192,0.7115378523017692,0.715448762782725,0.7199845385836132,0.72506159277465,0.7306037109380852,0.73654393322362,0.7428246393372114,0.7493968489714576,0.756219236878806,0.7632571027248651,0.7704814041212581,0.7709202392661938
0.6741960902223583,0.6470019960052263,0.6964220133646675,0.7077094366654617,0.7100788990508979,0.710779550031486,0.71167246061845,0.7132646502466914,0.7156637240297764,0.71884338106234,0.7227310641183489,0.7272417141832862,0.7322918852259637,0.73780548977732,0.7437156801460432,0.7499649345525459,0.7565043592583666,0.7632927053034784,0.7702953397843812,0.7774832800367362,0.7779198987741844
0.6851276490435773,0.657992020292522,0.7073111726312736,0.7185655387053598,0.7209176450446222,0.7216029680355074,0.7224791366456884,0.7240523109765477,0.7264299577672146,0.7295858535703598,0.7334475801783753,0.7379302269080287,0.7429504872469421,0.7484323991278622,0.7543092258126695,0.7605235434397668,0.7670265449545078,0.7737770585042857,0.7807405200696951,0.7878880086903828,0.788322160905285
0.6999296796557694,0.6728548057864149,0.7220733071232476,0.733294330162832,0.7356285628242586,0.7362978484611037,0.737156384515104,0.7387094807172278,0.741064473515693,0.7441952231584426,0.7480294547377265,0.7524824086286663,0.757470919550357,0.7629191520294356,0.7687604813325584,0.7749375826847951,0.7814017371520351,0.7881118517616668,0.7950334334948777,0.8021376255242153,0.8025691361867644
0.7191002759284479,0.6920848268011492,0.7412038786339727,0.7523925464689152,0.754709668516709,0.7553634925517061,0.7562047874312968,0.7577380147732017,0.7600703865887091,0.763175854123489,0.7669822927692822,0.7714050999303036,0.776361256408218,0.7817750572493344,0.7875799930034552,0.7937188408765882,0.8001429727749759,0.8068113772986115,0.8136896351849308,0.8207489566022509,0.8211777272015122
0.7431388364385588,0.7161771109892008,0.7651989168713732,0.7763575852871867,0.7786597313051096,0.7793000379281653,0.7801258421194599,0.7816407542013808,0.7839518662654975,0.787033229488207,0.7908128796017364,0.7952063804148634,0.8001308668610921,0.8055107711678835,0.811279704646378,0.8173805510656759,0.8237647771377535,0.8303914566165053,0.8372262473680991,0.8442404298408801,0.8446664403718156
