Values,Values_07_28_10,Values_07_36_57,Values_07_46_01,Values_07_54_54,Values_08_01_41
0.0017980574295378,0.0017980574295378,0.0017980574295378,0.0017980574295378,0.0017980574295378,0.001798057429537866
-0.0017839712784544,-0.0035666275564867,-0.007327195497009,-0.0101881080400814,-0.0121968936202501,-0.013280397007885506
-0.0028826698967897,-0.0064052498002085,-0.0137561534041194,-0.0193555672172519,-0.0232832647817847,-0.025398696768976364
-0.0020141563558572,-0.0072342243859174,-0.018005412184461,-0.0262211201083358,-0.0319780109414826,-0.035073888194658176
0.001353157839427,-0.0055241253162141,-0.0195498496812643,-0.0302629533431127,-0.0377616078095534,-0.04178766663737746
0.0074503205658496,-0.0010464154050335,-0.0181656150493774,-0.0312609061709678,-0.0404164400476974,-0.04532376007358737
0.0165653072400963,0.0064845786894687,-0.0135708203824586,-0.0289362294347259,-0.0396659149855328,-0.04540669600039978
0.0290374232411228,0.0174061345830507,-0.0054309191052336,-0.0229568625944718,-0.0351796606225984,-0.041706950655380416
0.0452134845478813,0.0320634277873247,0.0065978358915876,-0.0129807252636618,-0.0266166925784117,-0.03388404208510333
0.0654320369074832,0.0507939637513159,0.0228532525019596,0.0013294394160645,-0.0136400441265226,-0.02160103911145706
0.0899935888031431,0.0738980909783204,0.0436382264131038,0.0202774489828657,0.0040548731235596,-0.004552778535444328
0.1191370032163851,0.1016157623244252,0.0691981165485958,0.0441114874768457,0.0267183798594169,0.01751241512425428
0.1530163673663215,0.1341038597533527,0.0996987442438137,0.0730025800929328,0.0545253389162619,0.04477172487208181
0.191681921511107,0.1714176650503282,0.1352085684993872,0.1070272686952011,0.0875581822720557,0.07731106164292056
0.2350652968206915,0.2134967200160411,0.1756852377469338,0.146154659017485,0.1257943056035305,0.11511264922931733
0.2829701058813338,0.2601561068439786,0.2209674992157741,0.1902387866021285,0.1690987539148241,0.1580478844211731
0.3350683234039811,0.3110835632955728,0.2707728220064169,0.2390166172849271,0.217222486047871,0.20587574484939022
0.3909026685295574,0.365842608788162,0.3247008436761773,0.2921117461944832,0.2698062499669752,0.25824675874729053
0.4498948237492753,0.4238814665702056,0.3822423529555741,0.3490434574570264,0.3263896954275379,0.3147121434690838
0.5113589943244953,0.484547220386714,0.4427931716690138,0.409240454937291,0.3864249967982586,0.37473736448196876
0.5745199919516005,0.5471043089028677,0.5056719665136169,0.4720582432739889,0.4492939283092318,0.4377190361838994
0.638534805769523,0.6107562286624205,0.5701407993117523,0.5367989230262386,0.5143271228734281,0.5030038770193482
0.7025163721940452,0.6746690591639478,0.6354269874043665,0.6027319401175342,0.5808240311827179,0.5699082219488819
0.7655585301297814,0.7379957028210188,0.7007451563751883,0.669114661346606,0.648072444203553,0.6377369500416479
0.8267600965836831,0.7998986981225311,0.7653173757916357,0.7352106854278085,0.7153655007548382,0.7057997553187704
0.885250043120454,0.859573541420689,0.8283933967412799,0.8003079624016382,0.7820182906004935,0.773426892121238
0.9402027967023948,0.9162615457164364,0.8892601659747235,0.86372599359741,0.8473733943469639,0.8399737752756421
0.9908778801339012,0.9692865068915232,0.9472750683185291,0.9248466881501384,0.9108300245748652,0.9048491491515724
1.0365675874933054,1.017999043068506,1.0018070797274812,0.983053270412546,0.971781315902908,0.9674514615119014
1.07683727873585,1.0620132363754644,1.052470465305456,1.0379618959619794,1.029844435340033,1.0273981176858689
1.1108281358836525,1.1005063019181036,1.0984230329277245,1.0887188129303464,1.084156955086326,1.0838214131890662
1.140442402112533,1.1353992765096126,1.141543621750642,1.1371756718063757,1.1365505669761529,1.1385413218627274
1.1708384427581615,1.1718583791952744,1.1869456562972338,1.1884108110462857,1.192077999680355,1.1965957129734643
1.203675267466643,1.2115562642811015,1.2362604146407508,1.2440269359666043,1.2523211447107832,1.2595545289385721
1.2383584714193614,1.2539137727702572,1.2888696639580446,1.3033782359937964,1.3166140901690333,1.3267403644613673
1.2749444109799426,1.2989965179416956,1.344792005204804,1.3664501451328968,1.3849180622039747,1.3981005778718527
1.3132400206780634,1.3466167837750669,1.4037881329229078,1.432966734358634,1.4569303448248776,1.4733170893588767
1.353125672674299,1.3966549263169097,1.465681000795633,1.5027100476829625,1.5324029863308335,1.5521247061415835
1.3944490382371175,1.4489531984745505,1.5302502698947211,1.5754149355377698,1.6110378858021857,1.6342063402722544
1.4370601038214863,1.503350230132309,1.5972668647117096,1.6508036519286768,1.6925213954091516,1.719227597969383
1.48080137079826,1.5596709118243897,1.6664832421101388,1.728576383519174,1.7765150185747924,1.8068275611617721
1.525511947065791,1.617730156488968,1.737637570564562,1.8084157308927824,1.8626600984829764,1.8966235841660293
1.5710274147156682,1.677332522820385,1.81045390368341,1.8899872960970168,1.950578705038415,1.9882123464944526
1.6171809577729162,1.7382731715353268,1.8846437944483432,1.972941810019452,2.0398761473504394,2.0811725866377015
1.663804103473821,1.800338532438282,1.9599077396421825,2.056917199300554,2.130143521356504,2.1750679335637404
1.7107275572889342,1.8633071741449392,2.035936942182266,2.141541078960667,2.2209607793722363,2.2694503241326327
1.757781984229685,1.9269507431749315,2.1124152535078915,2.2264335292929527,2.311900178178946,2.363863862487862
1.8047987726795056,1.9910350195327968,2.1890213325953525,2.3112101838692825,2.402530124737249,2.457849135943602
