Values,Values_03_21_40,Values_03_30_55,Values_03_40_08,Values_03_49_24,Values_03_58_37,Values_04_07_58,Values_04_17_15,Values_04_27_12,Values_04_37_48,Values_04_48_43,Values_04_59_25,Values_05_10_05,Values_05_20_48,Values_05_31_29,Values_05_41_45,Values_05_51_47,Values_06_01_44,Values_06_11_27,Values_06_21_15,Values_06_21_52
0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.0728884899578116,0.07288848995781165
0.0053100977412103,0.0065577480161294,0.0060252970292578,0.0054066976071483,0.0047813777017647,0.0041495533755749,0.0035174135080196,0.0028898381723,0.0022686391295281,0.0016535096100601,0.0010431054357223,0.0004357576354936,-0.0001701380157246,-0.0007759408708516,-0.0013827068182332,-0.0019911946777559,-0.0026019036141573,-0.003215122055377,-0.0038309774531876,-0.0044494815154933,-0.004486674845816128
-0.0117697237973168,-0.0092037950852597,-0.0102618530805467,-0.0115008970447608,-0.0127529866763224,-0.0140171344259711,-0.0152812036757167,-0.0165356597470455,-0.0177770146477077,-0.0190059458234891,-0.0202251603107178,-0.0214379898516372,-0.0226476251352033,-0.0238567635154208,-0.0250674962261396,-0.0262813233326925,-0.0274992293745095,-0.028721781250928,-0.029949227385703,-0.0311815876498786,-0.0312556832166821
-0.021921337688382,-0.0179767719920132,-0.0195492668999167,-0.0214055407273321,-0.0232807034338612,-0.0251724529647602,-0.0270630053408416,-0.0289384430308463,-0.0307937566987522,-0.0326300589854979,-0.0344514296009812,-0.036262844696663,-0.0380690516399753,-0.0398740541827493,-0.0416809504568927,-0.0434919586398799,-0.0453085313614009,-0.0471315022159277,-0.0489612335707461,-0.0507977502686455,-0.05090815353058477
-0.0302406903402628,-0.024857438430842,-0.0269330974851675,-0.0294032330030121,-0.0318976017275213,-0.0344120511286626,-0.0369234555806513,-0.0394137897927321,-0.0418766795039068,-0.0443137374541442,-0.0467304256165643,-0.0491333457034821,-0.0515287714306503,-0.0539219808459803,-0.0563170501255101,-0.0587168921230356,-0.0611234100697208,-0.0635376923586493,-0.0659602082192185,-0.0683909842691213,-0.06853708877918839
-0.0354262867436459,-0.0285419100850623,-0.031110239458387,-0.0341918043954142,-0.0373024409196811,-0.0404356131181894,-0.0435631553572277,-0.0466632056000347,-0.0497281798906584,-0.0527602568582327,-0.0557662921602543,-0.0587544962515465,-0.0617326407036574,-0.0647072472417214,-0.0676833423265959,-0.0706645107908131,-0.0736530894200502,-0.0766504097221496,-0.0796570407544178,-0.0826730076560332,-0.08285425659081345
-0.0373971824668278,-0.0289459197571339,-0.0319973120864276,-0.0356890179302221,-0.0394141217799116,-0.0431631691121845,-0.0469032515162351,-0.0506089372501736,-0.054271587090189,-0.0578940127391008,-0.0614844772902472,-0.0650527855788824,-0.0686081807120077,-0.0721583992022274,-0.0757093913014941,-0.0792653919734502,-0.0828291550211601,-0.0864022436338688,-0.089985319728493,-0.093578403654111,-0.0937942997231435
-0.0358629111893962,-0.0257748392596636,-0.0293005726402987,-0.0336023763387363,-0.0379413885159187,-0.0423046915681935,-0.0466549276922221,-0.0509633594532218,-0.055220446704697,-0.0594297032722447,-0.0636008160413482,-0.0677451724557871,-0.0718734630629427,-0.0759946120074617,-0.0801154680858582,-0.0842408953686601,-0.0883740486236146,-0.0925167115194273,-0.0966696319199551,-0.1008328220169673,-0.10108293150313126
-0.0304867024036235,-0.0186867515764778,-0.0226789639519564,-0.0275921618433061,-0.03254586187219,-0.0375231214543851,-0.0424824236217948,-0.0473919873394879,-0.0522415265926223,-0.0570353287035633,-0.0617845235265121,-0.0665020720114622,-0.071200090257765,-0.0758886645586732,-0.0805755181780373,-0.0852661240158142,-0.0899640221700038,-0.0946712057669239,-0.0993885017251501,-0.1041159106367591,-0.10439986695945001
-0.0209237542409505,-0.0073305150992176,-0.0117821570777973,-0.0173094807571924,-0.0228800872546155,-0.0284724197939149,-0.0340410900356847,-0.0395515347441261,-0.0449928786461575,-0.0503702567256493,-0.0556962639965752,-0.0609854284868965,-0.0662512720860576,-0.0715050193014116,-0.0767552448222875,-0.082008010721199,-0.0872672271016185,-0.0925350856188567,-0.0978124853100872,-0.1030994116070922,-0.10341691898854091
-0.0068304036379653,0.0086452228870022,0.00374048596573,-0.0024051967113266,-0.0085964404816447,-0.0148064460185676,-0.0209862398993343,-0.0270987389001194,-0.0331326376051758,-0.0390939960405259,-0.0449968996586485,-0.0508574396909953,-0.0566905259634987,-0.0625084985645546,-0.0683207613634615,-0.0741339463580531,-0.0799523184676162,-0.0857782569045979,-0.091612725744221,-0.0974556915105264,-0.09780652714305144
0.012106676571403,0.0295629756093254,0.0242109283050485,0.0174411304481992,0.0106239755709276,0.0037921871294224,-0.0030019622811271,-0.0097191342791772,-0.0163477559628612,-0.0228948933458086,-0.0293761506008508,-0.0358091805317546,-0.0422102645561967,-0.0485928366046245,-0.0549671079050883,-0.0613402612261494,-0.0677169009922155,-0.0740995827603839,-0.0804893282742456,-0.086886081116058,-0.08727009519009524
0.0361482330243262,0.0556942901094879,0.0499004188457377,0.0424992721218077,0.0350494215526655,0.0275902660911167,0.0201770906765591,0.0128512193059469,0.0056243250902003,-0.0015117486893488,-0.0085741558954041,-0.015582110953156,-0.022553251399421,-0.0295020835490526,-0.0364396040514798,-0.0433735269343398,-0.0503087803380032,-0.0572480844385758,-0.064192510790172,-0.0711419755744808,-0.07155908829204383
0.0654821754783994,0.0872395739732814,0.0810094276630931,0.0729683566131325,0.0648776326477104,0.0567841706593026,0.0487459788249077,0.0408060901792142,0.032976105095215,0.0252466876812903,0.0175991013548723,0.0100125692280078,0.0024681131777002,-0.0050498234541268,-0.0125529999395765,-0.0200496410864687,-0.0275449820037674,-0.0350418948841669,-0.0425414924806826,-0.0500436585047493,-0.05049385322914061
0.1002063914337845,0.1243109576278973,0.1176506375124039,0.108959974065155,0.1002190305767057,0.0914831896019656,0.0828128899133169,0.0742525875391067,0.0658136305972086,0.0574854121552377,0.049247578852295,0.041077790983785,0.0329557467217211,0.0248648628505636,0.0167926421210381,0.0087303711890628,0.000672526306196,-0.0073839027855842,-0.0154400603262673,-0.0234957916300655,-0.023979103445396478
0.1403165308864452,0.1669200859871292,0.1598368846268243,0.150486254279379,0.1410849304470295,0.1316978515985997,0.1223875900078662,0.1131997268284935,0.1041451712278682,0.095211950769044,0.0863780617482787,0.0776196035333423,0.068914970514278,0.0602465799525118,0.0516012243696218,0.0429697269067753,0.0343462958766761,0.0257277988540141,0.0171130713686188,0.0085023136085197,0.007985814578633113
0.1856987310609242,0.2149708072298622,0.2074740138262391,0.1974528805840759,0.1873807036783568,0.1773332306031578,0.167374865307812,0.1575520023269451,0.1478749178669476,0.1383301783103881,0.1288940986551544,0.1195412237597512,0.1102486693513377,0.100997885326465,0.0917749863890023,0.0825703612138388,0.0733779742207758,0.0641945894091375,0.0550190354349021,0.0458515666844615,0.045301797679585296
0.2361279853354276,0.268257457904648,0.260359342803364,0.2496577316060686,0.2389045859152741,0.2281879115273895,0.2175736382043224,0.2071086467732499,0.1968023796828139,0.1866398473423663,0.1765956578910498,0.1666428155022251,0.1567571902005161,0.1469193040782881,0.1371146329753241,0.1273331656800754,0.1175686512888752,0.1078177724139955,0.098079366984667,0.0883537543917616,0.08777064842811516
0.2912719807548583,0.32646856233683,0.3181855466448421,0.306794956662743,0.2953519305813614,0.2839584119152677,0.2726815483677161,0.261568364046919,0.2506272614552974,0.2398416040415711,0.2291842764416197,0.2186267668692112,0.2081437436001563,0.1977148505717176,0.1873249724611402,0.1769637400474112,0.1666247215843144,0.1563045451613385,0.1460020777506444,0.1357177173072175,0.1351012576376809
0.3507000950797733,0.3891956275067635,0.3805496340057289,0.3684641484211072,0.3563245644893936,0.3442487090654116,0.332304641626546,0.320539171247682,0.3089594513483718,0.2975471150699848,0.2862733200981859,0.2751080784253469,0.2640249151683524,0.2530026589229001,0.2420256621712003,0.2310832488759115,0.2201688484382221,0.2092790672202885,0.1984128256149005,0.1875706172325137,0.18692087758565873
0.4138967101262179,0.4559461771550074,0.4469661457202068,0.4341837329440119,0.421344355806143,0.4085839735909645,0.3959712587839457,0.3835524339156039,0.3713331948740518,0.3592933735715167,0.3474024155135157,0.3356289158978948,0.3239453339837891,0.3123297624186834,0.3007660945129317,0.2892434101654422,0.2777550512124868,0.2662976424386971,0.2548701877801664,0.2434732980436566,0.2427904880153431
0.4802779426948247,0.5261601101362181,0.5168836447225637,0.5034076324250256,0.4898700372614829,0.476427540669655,0.4631491446711646,0.4500801043657856,0.437224455256794,0.4245601752261035,0.4120550362431911,0.3996763009550783,0.3873954631857393,0.375189979269823,0.3630433734120492,0.3509445581714205,0.3388868503452182,0.3268669422102643,0.3148839583873842,0.3029386539208538,0.3022231684865515
0.5492099394302563,0.5992275115170245,0.5897026066761867,0.5755432935002598,0.5613153624515025,0.5471991828440194,0.5332638282215679,0.519553201663091,0.5060694871807659,0.4927887804306488,0.4796772484967352,0.4667009359369407,0.4538304992430736,0.4410428820822102,0.4283213497340361,0.4156547406052651,0.4030364222452528,0.3904632140734946,0.3779344069338258,0.3654509338122284,0.3647034054846073
0.6200288486678036,0.6745080105281165,0.6647947844945105,0.6499711358733622,0.6350686332345128,0.6202947069049194,0.6057182817267527,0.5913815279941045,0.57728460614305,0.5634017330381843,0.5496975758576403,0.5361371111586709,0.5226903183797875,0.5093337798545198,0.4960506352303507,0.4828297608623257,0.4696646661257779,0.4565523694978863,0.4434923834088479,0.4304858603876636,0.42970721209280865
0.6920566171100483,0.7513458213676781,0.7415181610408045,0.7260595153110606,0.7105076738943882,0.6951009336065801,0.679907902340652,0.6649686499055958,0.6502811682047822,0.6358178375966869,0.6215419728133617,0.6074176732024137,0.5934144377285825,0.5795086697562926,0.5656835424284326,0.5519281033067538,0.538236111830529,0.5246048713209013,0.5110341823828793,0.4975254678309016,0.4967169641136525
0.7646237587384845,0.8290915978774426,0.8192386011554744,0.8031862939245287,0.7870213285893359,0.7710171217900664,0.7552418636922673,0.7397331796090124,0.7244867836175768,0.7094733076513204,0.6946549094560518,0.679995046992629,0.6654629750332678,0.6510351340766404,0.6366949179283924,0.6224317016170308,0.6082396216340922,0.5941163672040325,0.5800621061882202,0.5660785927388113,0.5652418865665212
0.8370652203583401,0.907097255488431,0.8973243401214208,0.8807331351126683,0.8640035812057568,0.8474489192175915,0.8311369042995397,0.8151024084583253,0.7993388027251475,0.7838151105854115,0.7684925806141982,0.7533343133542285,0.7383095976479577,0.723395162715804,0.7085748396494335,0.6938385114269424,0.6791808384401729,0.6646000131960487,0.6500966633979118,0.635672946885966,0.6348101188864467
0.9087725257195444,0.9847668921229946,0.9751964304301348,0.958135639956511,0.9409034106691476,0.9238579502992864,0.9070666607651972,0.8905613989304636,0.8743331792974555,0.8583496134238516,0.8425713435196553,0.8269614462365668,0.8114895654776703,0.796133006692918,0.7808762846777961,0.7657099954224185,0.7506294903561535,0.7356335994870572,0.7207235170569762,0.7059018889229549,0.7050154760565013
0.9791067987400248,1.0614686290392532,1.052239973055419,1.0347941316781204,1.0171351681285132,0.9996718078321636,0.982471294321402,0.9655622656789408,0.9489334243184951,0.9325512254720292,0.9163760631335908,0.9003713723957728,0.8845075147705034,0.8687626941786912,0.8531223843337113,0.8375781231552829,0.8221261401019935,0.8067660535748612,0.7914997452249408,0.7763304454818681,0.7754234554404758
1.047575559836913,1.1367098917772522,1.127978648495871,1.1102476387421751,1.0922520636166326,1.074457072443934,1.0569300695306654,1.039696338767843,1.0227423769930633,1.00603379771712,0.9895311578262868,0.973198678668272,0.9570078400317265,0.940938098164879,0.924976187101582,0.90911483741654,0.8933513619294844,0.8776863339542369,0.8621224569424569,0.8466636543396554,0.8457395637234069
1.1136387314626617,1.209942530041492,1.201879021142465,1.1839775168258784,1.1657491616267337,1.1477217184501047,1.129963203196934,1.1124954861965877,1.0953030286706646,1.078350972815286,1.061600497026849,1.0450170761063735,1.0285737410686175,1.0122515808216006,0.9960389130278386,0.9799299300234972,0.9639232490130611,0.948020578389832,0.932225589886627,0.916543019302599,0.9156057514667495
1.1764926130316404,1.2803453961236604,1.2731322099593612,1.2551884019170076,1.236843681808972,1.2186948026861233,1.2008109770347488,1.183210683597321,1.1658765798464137,1.148773756451037,1.1318645108358851,1.115116068857074,1.0985034696268932,1.0820098342275246,1.0656254030603485,1.0493461127532842,1.0331721176753526,1.0171064520454582,1.0011539120929025,0.9853201744187788,0.9843740573378054
1.2381386657436166,1.349890987686213,1.343719447971201,1.3258729673672975,1.307539032869116,1.2893898207784782,1.2714964558829966,1.2538741313623796,1.236503990223409,1.2193515310230223,1.2023806946800883,1.185560974020772,1.1688698859159723,1.1522929926087608,1.1358228039694072,1.1194572901347966,1.1031983817163082,1.0870506357106229,1.0710201353137017,1.0551136327272332,1.054163335289344
1.3032003913949377,1.4231735552468094,1.4182410436522292,1.4006404423528285,1.3824528132947993,1.3644322079529725,1.3466525041777533,1.3291257949821598,1.3118320466001898,1.2947376531549977,1.277808738891853,1.2610175872458809,1.2443446661902036,1.227778390042126,1.211313886384359,1.1949514498970442,1.178695028956007,1.1625509034494212,1.1465266098496805,1.1306301151724456,1.1296805620709278
1.373481920329197,1.5019815555395042,1.498491449695316,1.4812925934337378,1.4633935123357735,1.4456367140570108,1.428099795678908,1.410792005210099,1.3936925082446487,1.3767691021021962,1.3599906433140758,1.34333273292693,1.326779264182007,1.3103219145641012,1.293958778159508,1.2776927665934443,1.2615300898398172,1.2454789539934004,1.2295485190647917,1.213748110630803,1.2128044193000909
