Values,Values_02_33_35,Values_02_42_28,Values_02_51_22,Values_03_00_11,Values_03_09_12,Values_03_18_02,Values_03_26_59,Values_03_35_58,Values_03_44_56,Values_03_53_32,Values_03_53_53
-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
0.0021790058940628,0.0024132325119816,0.0027077286426135,0.0030479381211803,0.0033948571158756,0.0036911974562749,0.0039174747709099,0.0040805544149081,0.0041950245244885,0.0042744893014952,0.0043294259623038,0.004331228339325833
0.0061464533076953,0.0068071555974145,0.0076378788333787,0.0085975443837965,0.0095761305023838,0.0104120426790653,0.0110503216463929,0.0115103337491871,0.0118332290453681,0.0120573819826012,0.0122123464599541,0.012217430577734324
0.0123164143573821,0.0136403582377348,0.0153050817381133,0.0172281624844973,0.0191891289982367,0.0208641835474071,0.0221432052950598,0.0230650051751076,0.0237120426623384,0.024161214547082,0.0244717424660795,0.024481930356735196
0.0209352838363429,0.0231856917930876,0.0260156579275526,0.0292847152437007,0.0326180847779274,0.0354654102782477,0.0376395351445967,0.039206442291979,0.0403063006131633,0.0410698210635188,0.041597669798816,0.041614987627999686
0.0323054893780895,0.0357779313272621,0.0401455171734507,0.045190532858833,0.0503345887363373,0.0547285026605857,0.0580835336615655,0.060501529473226,0.0621987967055672,0.0633770414793396,0.0641916061034493,0.06421833063403817
0.0467647283984504,0.0517905976786192,0.058114135812177,0.0654180534773082,0.0728649441104055,0.0792257222469493,0.0840825437283505,0.0875828955670494,0.0900399132605665,0.0917455858955369,0.0929247861121952,0.09296347381670919
0.0646619382959131,0.071609033942172,0.0803542744371144,0.090454693360946,0.1007521175064136,0.1095474165223746,0.1162630786059793,0.1211031245843977,0.1245005419518908,0.1268590607352496,0.1284896097081319,0.1285431056083564
0.0863311547265908,0.0956009678982646,0.1072787813030663,0.1207653771293613,0.1345139335893586,0.1462565170834965,0.1552225009749754,0.161684405343177,0.1662203105226503,0.16936920858514,0.1715462000040525,0.1716176241505617
0.1120645233602514,0.1240859151512438,0.1392459566256748,0.1567533582482286,0.1745993114701157,0.1898408766561084,0.2014783888621351,0.2098657594432045,0.2157533119773388,0.2198405979851037,0.2226663751089183,0.22275908551150675
0.1420857845012369,0.1573048493849979,0.1765250302915032,0.1987210434783529,0.2213444314374361,0.2406654866085033,0.2554177477579743,0.2660500916790593,0.2735136397535052,0.278695107797501,0.2822774065795531,0.2823949383292086
0.1765255448063886,0.195391586647791,0.2192633340784118,0.2468325686682102,0.2749307581655684,0.2989266567742897,0.3172482700796865,0.3304533498466094,0.3397230757951132,0.3461585945274769,0.3506079814809758,0.35075396273919085
0.2153995861042843,0.2383473019125046,0.2674567346793257,0.3010798652764179,0.3353468412893531,0.3646102348979739,0.3869538385221074,0.4030580758865137,0.4143632729980397,0.4222121251313034,0.4276387788410249,0.42781682529692144
0.2585913406216553,0.2860195207705754,0.3209248407280209,0.3612539150040006,0.4023557760424868,0.4374559052725033,0.4642564314147787,0.483573590991353,0.4971347333867754,0.5065501171132191,0.5130600300836499,0.5132736203883895
0.3058394897900029,0.3380868088864852,0.3792924084599254,0.4269228181915943,0.4754701412787331,0.5169295422171689,0.5485865240623844,0.5714049925572702,0.5874248180570161,0.5985476619307092,0.6062383669096193,0.6064907024953471
0.3567314274884782,0.3940502171721325,0.441978245263309,0.4974181984539923,0.5539361381559367,0.6022055029587906,0.6390639897111077,0.6656330506430523,0.6842869346766524,0.6972392174498523,0.706195169791218,0.7064890233788746
0.4107030772439259,0.4532323299579451,0.5081927413623224,0.5718313215678956,0.636728518705731,0.692160614161443,0.7344913748812336,0.7650069634152942,0.7864329206418477,0.801310727870292,0.8115985032141372,0.8119360612215603
0.4670452772714411,0.5147845033081496,0.576944934632778,0.6490201022606487,0.7225576970660728,0.7853814121888671,0.833361230373976,0.867951738109236,0.8922404475051616,0.9091070374963588,0.9207705321274032,0.92115323710945
0.5249166591468689,0.5777025668213358,0.6470597150385415,0.7276278821170209,0.8098901451354342,0.8801859031106539,0.9338788827311976,0.972591666128349,0.9997769737622718,1.0186561659812727,1.0317120152793622,1.0321404154527751
0.5833626578790629,0.6408508919096259,0.7172053852493447,0.8061144556809061,0.896982751164194,0.9746606714395672,1.0340015846747892,1.0767909090229448,1.1068413178770995,1.1277115555029922,1.1421450127729662,1.1426186265636895
0.6413400159047219,0.7029943043950212,0.7859312989625513,0.8827992738241008,0.981931229024432,1.0667135448530654,1.1314943408574163,1.1782115569521188,1.2110232601758704,1.233812731947583,1.249574273491505,1.2500914778224357
0.6977458934479633,0.7628368495354211,0.8517146963261166,0.9559160504394372,1.0627318854864325,1.154141186795932,1.2240018332266205,1.2743886253960244,1.3097806709987634,1.3343639008834656,1.3513668401183905,1.351924791722538
0.7514504842992381,0.8190659257513541,0.9130151642146708,1.023677151058325,1.1373550863738917,1.234709937337148,1.3091347609179034,1.3628203080209624,1.4005324891379225,1.426728808769166,1.444848207736118,1.4454428069779133
0.8013318694966781,0.8703998263271089,0.968334411479298,1.0843451940109567,1.2038276511158268,1.3062469920288908,1.3845675957804175,1.44107043307739,1.4807644656709893,1.5083387648955602,1.5274119193482494,1.5280378256567504
0.8463117298059204,0.9156363170993924,1.016278337783854,1.1363083291867948,1.2603202358853227,1.366737685640813,1.4481433213679615,1.5068785601657757,1.5481430243146457,1.5768091187757725,1.5966378555496383,1.5972885623586863
0.8853904869844041,0.953699592856509,1.0556177863774143,1.1781547969910475,1.3052346723009172,1.4144233731199811,1.4979793136556916,1.5582716474178375,1.6006310139777211,1.630057864239604,1.6504128187072644,1.6510807934895877
0.9176804563590456,0.98368285643513,1.0853440170028212,1.2087417584596136,1.3372853843822607,1.4478933627640145,1.5325673344942632,1.59366992070651,1.6365977505507454,1.6664186059227868,1.6870455364316883,1.6877224277833593
0.9424356688045984,1.0048839007414336,1.1047149208637512,1.227253180427189,1.3555686022688656,1.4661637751926182,1.55085988233355,1.6119787385482651,1.6549148247103358,1.6847391442549842,1.705367187390629,1.7060440960928438
0.9590771550558388,1.0168314677135617,1.113288401731526,1.2332418868008512,1.359613304027866,1.4687362920479925,1.552335124941676,1.6126581371529216,1.6550289750513898,1.6844567073381684,1.7048082886224163,1.7054760933704816
0.9672126725952004,1.019300794985605,1.1109401886970685,1.2266518191706026,1.3494087672517878,1.455630686247798,1.537033528863018,1.5957625916417553,1.6370041446493562,1.6656416512319314,1.6854435574518976,1.6860932790546916
0.9680196075694592,1.0137518061446515,1.0994200002120094,1.209529268880011,1.3272831159539031,1.4294091326158938,1.5076942332486485,1.5641583876001537,1.603795799799063,1.6313113540164177,1.6503331858763004,1.6509572500445733
0.9679864762180502,1.0071521016280744,1.086417150901703,1.1904317514799327,1.3026942931298433,1.40030243116661,1.4751387566526208,1.5290928958876948,1.566950309821143,1.5932198110823907,1.6113747480406766,1.6119702916926018
0.9679595787131068,1.0004262423551544,1.0729568017100943,1.1704975710413918,1.2768940034036276,1.3696578791839886,1.4407867084198505,1.492037542383738,1.527975354819648,1.5528998266047245,1.570118401375992,1.5706831305807207
0.9679394648834004,0.9936031108627474,1.0590854060707418,1.1497828482020216,1.249942639779963,1.337537324492753,1.4047002605548882,1.4530544658484263,1.4869329644756697,1.5104133290559365,1.5266259977845331,1.5271576160521287
0.96792667454828,0.986712679991982,1.0448528523697522,1.128349857744838,1.221909501667463,1.304014011270703,1.366955036624364,1.412220845147323,1.4439013858752594,1.4658393147825788,1.4809770619603286,1.4814732903314185
0.967921735425832,0.9797859215103488,1.0303124164892,1.1062671201959429,1.1928730713230196,1.269173039656238,1.327640725566007,1.3696296314910994,1.3989759023036223,1.4192747284328469,1.433269715118306,1.4337283136835397
0.9679251610621834,0.9728547026735782,1.0155206769560108,1.0836094246453918,1.1629211880341288,1.2331116912949946,1.28686153408525,1.3253900974367454,1.3522694522430214,1.3708351314260894,1.3836213780132691,1.3840401685704726
0.967937448787936,0.9659516708035676,1.0005373913843274,1.0604577792446586,1.1321511140172145,1.195939612585566,1.2447364676680666,1.279628191432934,1.3039130364968743,1.320655145803341,1.3321692401939011,1.3325461297380559
0.9679590777077556,0.9591101261247456,0.985425333456455,1.0368992869217355,1.100669487658171,1.1577788495228043,1.2013994327515505,1.2324866894675908,1.2540559043143091,1.268888663866167,1.279070485581986,1.279403490312853
0.967990506729085,0.9523638832665138,0.9702500902444774,1.0130269449363445,1.068592161348962,1.1187637301348308,1.1569991550442975,1.1841251380698552,1.2028655122444938,1.2157088169710244,1.2245022674952388,1.2247895370193094
