Values_11_33_14,Values_11_41_05,Values_11_48_55,Values_11_56_46,Values_12_04_38,Values_12_12_29,Values_12_20_24,Values_12_26_03
0.065537834,0.065537834,0.065537834,0.065537834,0.065537834,0.065537834,0.065537834,0.065537834
0.004897546,0.004416654,0.003948332,0.003504513,0.003065174,0.002623948,0.002183197,0.001869321
-0.010730765,-0.011719161,-0.01267927,-0.013586808,-0.014481844,-0.015377336,-0.016268953,-0.01690245
-0.020251394,-0.021770902,-0.023243367,-0.024631807,-0.025996218,-0.027356323,-0.02870623,-0.029663174
-0.027999483,-0.030073739,-0.032079138,-0.033965667,-0.035813125,-0.037648172,-0.039463765,-0.040747956
-0.032801685,-0.035455249,-0.038015018,-0.040417598,-0.042762501,-0.045083511,-0.047372839,-0.048988529
-0.034566571,-0.037825283,-0.04096203,-0.043899678,-0.046757402,-0.04957631,-0.052348282,-0.054300305
-0.033027424,-0.036918693,-0.040656457,-0.044149472,-0.047536562,-0.050866382,-0.05413091,-0.056424774
-0.027868654,-0.032421788,-0.036786335,-0.040856548,-0.044790935,-0.048645949,-0.0524141,-0.055056088
-0.018772018,-0.024018605,-0.029037766,-0.033708833,-0.038210085,-0.042606053,-0.046890239,-0.04988752
-0.005424722,-0.011399036,-0.017103077,-0.022400791,-0.02749038,-0.032444769,-0.037258929,-0.040619681
0.012451219,0.005711787,-0.000710211,-0.00666283,-0.012364404,-0.017896611,-0.023256407,-0.026989924
0.035076999,0.027531518,0.020355291,0.013716725,0.007377077,0.001245508,-0.004677472,-0.008794273
0.062597373,0.054200976,0.046230701,0.038872068,0.031865578,0.025110769,0.018605023,0.014093119
0.095064419,0.085767961,0.076959965,0.068843817,0.061138844,0.053734444,0.046624216,0.041704039
0.132426669,0.122176475,0.112483004,0.103568385,0.09513029,0.087047394,0.079308804,0.073965826
0.174523597,0.163261332,0.152630428,0.142872791,0.133663901,0.124871058,0.116478096,0.110696477
0.221086169,0.208748862,0.197124385,0.186475633,0.176455311,0.166918631,0.157843296,0.151605995
0.27174325,0.258263523,0.24558533,0.233994009,0.223118867,0.212802249,0.20301479,0.196303743
0.326033481,0.311340006,0.297544347,0.284956006,0.273180267,0.262045768,0.251515049,0.244311429
0.383421674,0.367439892,0.352460019,0.338817781,0.326093819,0.314102166,0.302796166,0.295080727
0.443318607,0.425971742,0.40973878,0.39498412,0.38126318,0.368374455,0.356260899,0.348014406
0.505102187,0.486312564,0.468756641,0.452830395,0.438063515,0.424237991,0.411285128,0.402488874
0.568139703,0.547830383,0.528882032,0.511725635,0.495864757,0.481063905,0.467241405,0.457877809
0.631805303,0.609902009,0.589493828,0.571050774,0.554050035,0.53823767,0.523517654,0.513570918
0.69550284,0.671936163,0.650004712,0.630222205,0.612039388,0.595182941,0.579541086,0.568997919
0.758661901,0.733369704,0.709857585,0.688688343,0.669286444,0.651358316,0.634775028,0.623625382
0.820785332,0.793715308,0.768573379,0.745977544,0.725326407,0.706305367,0.688766968,0.677004781
0.881363839,0.852476069,0.825665673,0.801612717,0.779690652,0.759563196,0.741063057,0.72868695
0.94003854,0.909308021,0.880803192,0.855273799,0.83206916,0.810830808,0.791370407,0.778384321
0.9964112,0.963830041,0.93361945,0.906607145,0.882119665,0.859776034,0.839365802,0.825779488
1.049836408,1.015415736,0.983504385,0.955016951,0.929258875,0.905826553,0.884486527,0.870315902
1.102311168,1.066082771,1.03249351,1.002554221,0.975551263,0.951058515,0.928818824,0.914086217
1.158274561,1.120289522,1.085061831,1.05370835,1.025498648,0.999984411,0.976884318,0.961617799
1.219462176,1.179787088,1.142973619,1.11025499,1.080886492,1.05439809,1.030483988,1.014716085
1.285288842,1.244004714,1.205670255,1.171646012,1.141175686,1.113768135,1.089092929,1.072860222
1.355590655,1.312793879,1.273016238,1.237757135,1.206251569,1.177988042,1.152611505,1.135954827
1.430191735,1.38599443,1.344864751,1.30845302,1.275988596,1.246940535,1.220929356,1.203893794
1.508798326,1.463328418,1.420951292,1.383480709,1.35014362,1.320390691,1.293818387,1.2764532
1.591152702,1.544553769,1.501047155,1.462622938,1.428509048,1.398138964,1.371085671,1.353444126
1.676936631,1.629367319,1.584862111,1.545600512,1.510814941,1.479923042,1.452475093,1.434614162
1.765819413,1.717452446,1.672091706,1.632119305,1.596775759,1.565464368,1.537713672,1.519693602
1.857437651,1.808458348,1.762396129,1.721848777,1.686068568,1.65444607,1.62648925,1.608372984
1.9514046,1.902008868,1.855408609,1.814429996,1.778340729,1.746520366,1.718457659,1.700310093
2.047308346,1.997700126,1.950732598,1.909472423,1.873206348,1.841304724,1.813238617,1.795125707
2.144714885,2.095103061,2.047943858,2.006555619,1.970247645,1.938382939,1.910416567,1.892404272
2.243170227,2.193765022,2.146591632,2.105230045,2.069015435,2.03730535,2.009540673,1.991693768
2.342203726,2.293212656,2.246201164,2.205019266,2.169031079,2.137590571,2.110126361,2.09250714
2.44133195,2.392955445,2.346276957,2.305422978,2.269789303,2.238728153,2.211657869,2.194324775
2.540063367,2.492490204,2.446307108,2.40592121,2.370762308,2.340182628,2.313592246,2.29659849
2.637903739,2.591306479,2.545768701,2.505979719,2.471405189,2.441398967,2.415364869,2.398757091
2.734362206,2.688892834,2.644134263,2.605056614,2.571162719,2.54180953,2.51639656,2.500213619
2.828957923,2.784743938,2.740879209,2.702610128,2.669477435,2.640842457,2.61610226,2.600374218
2.921227088,2.878368271,2.835490105,2.798107383,2.765798868,2.737931324,2.713901099,2.698648478
3.010730126,2.969296208,2.927473485,2.891033871,2.859593628,2.832525787,2.809227541,2.794460923
3.097058765,3.057088178,3.016364896,2.98090328,2.950355946,2.924102772,2.901543166,2.88726318
3.179842686,3.141342516,3.101737728,3.067267209,3.037618173,3.012177682,2.99034851,2.976546236
3.258755414,3.221702617,3.183211393,3.149724243,3.120960664,3.096314997,3.075194303,3.061852091
3.33351915,3.297862984,3.260458359,3.227927857,3.200020449,3.176137619,3.155691403,3.142784065
3.403908237,3.369573798,3.333209603,3.301592641,3.274498124,3.251334344,3.231518763,3.219015084
3.469751047,3.43664371,3.401258112,3.370498397,3.344162475,3.321664921,3.302428857,3.29029332
3.530930145,3.498940632,3.464460159,3.434491835,3.408852492,3.386962326,3.368250147,3.356444773
3.587380683,3.556390463,3.522734259,3.493485686,3.468476608,3.447132064,3.428886405,3.417372583
3.639087082,3.608973772,3.576057818,3.547455288,3.52300918,3.502148519,3.484312908,3.473053096
3.686078166,3.656720627,3.624461677,3.596432843,3.572484445,3.552048606,3.534569773,3.523528974
3.72842099,3.699703852,3.66802287,3.640499695,3.616988342,3.596923136,3.579752885,3.568899821
3.766213691,3.738031082,3.706856022,3.679777117,3.656648712,3.63690647,3.620003036,3.609310965
3.799577698,3.77183605,3.741103874,3.714416136,3.691624479,3.672165097,3.655493941,3.644941096
3.828649693,3.801269538,3.770927428,3.744586957,3.72209441,3.702885791,3.686419847,3.675989521
3.853573652,3.826490419,3.796496206,3.770468518,3.74824604,3.72926397,3.712983388,3.702663675
3.874493297,3.84765716,3.817979023,3.792238634,3.770265259,3.751492786,3.735384238,3.725167506
3.891545227,3.864920107,3.835535651,3.810065119,3.78832696,3.769753381,3.75380903,3.743691181
3.904852906,3.878414774,3.849309608,3.824098157,3.802587068,3.784206615,3.76842285,3.758402436
3.914521669,3.888256312,3.859422254,3.834464117,3.813176121,3.794986481,3.779362519,3.769439794
3.920634807,3.894535218,3.865968299,3.8412609,3.820194518,3.802195292,3.786731762,3.776907733
