Values,Values_00_04_10
0.7765884442109601,0.7765884442109601
0.0794038929285084,0.07930182094164157
-0.0409618238488386,-0.04116819618090639
-0.0787468308333569,-0.07905137833693128
-0.1133054287276722,-0.11370086173249844
-0.1432253254517796,-0.14370431236405973
-0.1680947756682801,-0.16864996536729662
-0.18767846446734,-0.18830248291489532
-0.2017521114323194,-0.20243753250437452
-0.2099518964885877,-0.210691208615873
-0.2119248318846254,-0.2127103998853842
-0.2072995833046726,-0.20812360292009843
-0.1957225313593161,-0.1965769762673304
-0.1768763871723282,-0.17775294905133343
-0.1504983214727848,-0.15138834475698434
-0.1163955463595535,-0.11728996071287456
-0.0744568212169402,-0.07534607609642646
-0.0246601295337066,-0.025534136584066617
0.0329235495446836,0.032075459230853275
0.0981301277321022,0.09731922336035796
0.1707050714965758,0.1699432104123077
0.2503083487825606,0.2496079231466179
0.336519457393267,0.33589329068815654
0.4288438295306691,0.4283050148392868
0.5267137674333743,0.5262754413303574
0.6294951632683912,0.6291702117983405
0.7364766615193185,0.7362773589252595
0.8468772000924791,0.8468147849724409
0.959839857590396,0.9599240579224093
1.0743731471463325,1.074611671195284
1.1895399226801004,1.1899379354534916
1.3040816463388805,1.3046412740209605
1.4165779694601226,1.4172978389517628
1.528133712954299,1.529008575830068
1.6419734358776823,1.6429940841154764
1.7590180352578926,1.7601714205951058
1.8778343026964184,1.8791035035073653
1.9971715430790176,1.998535627538895
2.115899049452468,2.1173330435917324
2.232701528315972,2.2341764910600066
2.346305610780486,2.347788812829643
2.455432507737235,2.456887731413014
2.558833883340746,2.560221840162398
2.655329512205503,2.6566083705461296
2.7438276295248736,2.744953634901816
2.823359780618522,2.8242879439925925
2.8931044333270823,2.893789257368544
2.952411835975561,2.95280804899986
3.0008221776333768,3.0008854489574444
3.038079516174298,3.037767136118934
3.064139928699349,3.063411449118092
3.079174690666901,3.077992535640408
3.083568867181831,3.081898934865952
3.0779161493883365,3.075728431841954
3.063010606756582,3.060279852505312
3.039835802051751,3.0365422354453586
3.009551313180698,3.0056814064851984
2.9734763183803787,2.969023590070969
2.9330695648784944,2.9280353550516676
2.889904913361935,2.884299069146132
2.845641754122359,2.83948314824543
2.8019898902435987,2.795306696703295
2.760668997580656,2.753498659776155
2.723363357519769,2.715752204358035
2.6916731449873934,2.6836756360898115
2.667064085487851,2.658741693858248
2.650817677339304,2.642237443266869
2.6439843982166096,2.635217209390406
2.6473424031574173,2.638461071943612
2.661364157147505,2.652441376919351
2.68619321877191,2.6772994880225083
2.7216330769522323,2.7128346836915855
2.767149441375996,2.7585066015346813
2.821886733214779,2.813451975068628
2.884698738764396,2.8765156194572583
2.954192417319802,2.94629464554948
3.02878283688042,3.0211938560610467
3.1067562069647776,3.099489265100363
3.186337105101256,3.1793958024610585
3.2657554428048834,3.259134709762114
3.3433085793895363,3.3369959997512604
3.417414340296487,3.4113917062086037
3.486651555288601,3.4808965236333873
3.549785974826288,3.544273694962568
3.605780883395632,3.6004854819449825
3.653793238391992,3.648689075202103
3.6931574751569385,3.6882201200129145
3.7233601180431264,3.7185670338718113
3.744008931619276,3.7393398813455923
3.754800499242995,3.750237716412547
3.755489876362983,3.75101805258345
