Values,Values_23_41_22,Values_23_49_34,Values_23_57_48,Values_00_06_51,Values_00_16_20,Values_00_24_52,Values_00_34_09,Values_00_43_10,Values_00_52_37,Values_01_01_25,Values_01_10_40,Values_01_19_07,Values_01_27_29,Values_01_35_41,Values_01_44_11,Values_01_52_50,Values_02_01_10,Values_02_09_48,Values_02_18_21,Values_02_26_52,Values_02_35_23,Values_02_43_49,Values_02_52_05,Values_03_00_25,Values_03_08_42,Values_03_17_00,Values_03_25_14,Values_03_33_32,Values_03_41_45,Values_03_47_11
0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612
0.0249240202763242,0.0265414017446955,0.0257454844168749,0.0245895211845141,0.0233624742298313,0.0221383060656045,0.0209497892118594,0.0198114544524765,0.0187284693243692,0.0177012854461878,0.0167281023196357,0.015806149680946,0.0149323387166294,0.0141035806356217,0.0133169322602358,0.0125696532618678,0.011859219561316,0.0111833161046515,0.0105398209556377,0.0099267866973197,0.009342422025578,0.0087850748006602,0.0082532170018421,0.0077454316293187,0.0072604014098948,0.0067968990952912,0.0063537791253058,0.0059299704408559,0.0055244702535538,0.0051363386070971,0.004889255584240759
-0.0105226928734898,-0.0072737110240027,-0.0088812210306117,-0.0112028125528867,-0.0136606535524542,-0.016109223985615,-0.0184845400029178,-0.0207584725037679,-0.0229212399538141,-0.0249722677972294,-0.0269153513519462,-0.0287561442727705,-0.0305008876577285,-0.0321557918437075,-0.0337267567491865,-0.0352192645110705,-0.0366383571311703,-0.0379886537498987,-0.0392743842875653,-0.0404994278440702,-0.041667350320873,-0.0427814388741818,-0.0438447323961498,-0.0448600479905314,-0.0458300037638441,-0.0467570383765199,-0.0476434278238427,-0.0484912998862049,-0.0493026466419783,-0.0500793353771477,-0.050573819786007494
-0.0238345926039869,-0.0189782108231227,-0.0213964770810717,-0.0248690236566663,-0.028535582143542,-0.0321830696824737,-0.0357185423017322,-0.0391015046524876,-0.0423182172771703,-0.0453683159319431,-0.0482577434435335,-0.0509950888070123,-0.0535897415676438,-0.0560509994291166,-0.0583876689927379,-0.0606079165034383,-0.0627192412268173,-0.0647285054186145,-0.0666419871750081,-0.0684654394339903,-0.0702041472275038,-0.071862979834783,-0.0734464367689118,-0.0749586876309365,-0.0764036063603104,-0.0777848005769695,-0.0791056367362892,-0.0803692617660255,-0.0815786217809513,-0.0827364783799806,-0.08347371547776679
-0.0363165241755879,-0.0298818039955402,-0.0331079594640289,-0.0377138044727831,-0.0425638472815037,-0.047381623915475,-0.0520475617370312,-0.0565100660950258,-0.0607521077621788,-0.0647738668177693,-0.0685835817131931,-0.0721928218980055,-0.0756141139744549,-0.0788598013100129,-0.0819415399722286,-0.0848701159490346,-0.0876554189663626,-0.090306487778543,-0.092831583660958,-0.0952382707683562,-0.0975334933865867,-0.0997236459383393,-0.1018146345094983,-0.1038119300507805,-0.1057206140230074,-0.1075454174487437,-0.1092907543518318,-0.1109607504879518,-0.1125592681663024,-0.1140899278386286,-0.11506464952182764
-0.0462052319188849,-0.0382200081820246,-0.0422519322029459,-0.0479743862988341,-0.0539836517958382,-0.0599440221861854,-0.0657116126361891,-0.0712249922813777,-0.0764645115912816,-0.0814312325307322,-0.0861358416143414,-0.0905929382523148,-0.0948181788643282,-0.0988269145720322,-0.1026335971053083,-0.1062515708795232,-0.1096930519968165,-0.11296919151913,-0.1160901710721061,-0.1190653053462683,-0.1219031397449507,-0.1246115384189687,-0.1271977613865083,-0.1296685310686823,-0.1320300892799445,-0.1342882459207292,-0.1364484206233031,-0.1385156784927264,-0.1404947609495994,-0.1423901125232208,-0.14359721339844192
-0.0532042739670199,-0.043694579341513,-0.0485312172122902,-0.0553549416144117,-0.0625005045934718,-0.0695770463114845,-0.0764186716315476,-0.0829553745260551,-0.0891655581558403,-0.095051509676421,-0.1006265224267495,-0.1059082814344426,-0.1109155713685638,-0.1156667182960811,-0.1201789203416803,-0.12446802305088,-0.1285485083763695,-0.1324335786531792,-0.1361352758350816,-0.1396646069700905,-0.1430316626800017,-0.1462457234333951,-0.1493153523406043,-0.1522484750332019,-0.1550524479700352,-0.1577341167196563,-0.1602998657492748,-0.1627556611060487,-0.1651070872064986,-0.1673593787562983,-0.168793984070769
-0.0571721096723034,-0.0461619265213652,-0.0518034583552388,-0.0597146225232938,-0.0679750173621832,-0.0761426798040413,-0.084031999423221,-0.0915656590219978,-0.0987207942523094,-0.1055012687298616,-0.1119231492500101,-0.1180072693712964,-0.1237755469234734,-0.1292492558121244,-0.1344482962806957,-0.1393909620747558,-0.1440939443003604,-0.1485724388976748,-0.1528402910970168,-0.156910144755479,-0.1607935821496469,-0.1645012487347867,-0.1680429617286179,-0.171427803371823,-0.1746642005431735,-0.1777599926002053,-0.1807224892650304,-0.1835585201906543,-0.1862744776356118,-0.1888763534443345,-0.19053384340497195
-0.0578029626120988,-0.0453141263769616,-0.0517620722642638,-0.0607484108841095,-0.0701036444986455,-0.0793387365305612,-0.0882506609816773,-0.0967560631521692,-0.1048315017370674,-0.1124827783925598,-0.1197289092832753,-0.1265939475191872,-0.1331029559901211,-0.1392801353316843,-0.1451480487820963,-0.1507273897966694,-0.1560370057803672,-0.1610940319518493,-0.1659140626844471,-0.1705113256542657,-0.1748988434794305,-0.1790885772557698,-0.1830915510782138,-0.1869179587487211,-0.1905772547186661,-0.1940782314772494,-0.1974290855059971,-0.2006374736904734,-0.203710561832387,-0.2066550666365345,-0.20853107994622286
-0.0547927226260854,-0.0408447693553742,-0.0481021345603744,-0.0581530434386721,-0.0685846402169744,-0.0788648448692674,-0.0887755333321514,-0.0982286044372917,-0.1072007457928716,-0.1157000717451505,-0.1237487347140753,-0.1313740875378916,-0.1386043577067017,-0.1454666578783049,-0.1519861805551638,-0.1581859749869015,-0.1640869959290531,-0.1697082669074556,-0.1750670802022953,-0.180179196831542,-0.1850590306287715,-0.1897198108930686,-0.1941737230356399,-0.1984320288336409,-0.2025051687448703,-0.2064028488561683,-0.2101341148979061,-0.2137074154782729,-0.2171306563997306,-0.2204112476113497,-0.2225016901154996
