Values,Values_10_23_32,Values_10_34_05,Values_10_44_06,Values_10_54_03,Values_11_03_59,Values_11_14_02,Values_11_24_53,Values_11_35_15,Values_11_45_35,Values_11_55_55,Values_12_06_13,Values_12_16_30,Values_12_26_46,Values_12_29_02
-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
0.0024644318593887,0.0052542709844066,0.0110515112806807,0.0150869467309202,0.0139717679789327,0.010584866217835,0.0065720091334209,0.0025095355174681,-0.0012074831138811,-0.0041886177026626,-0.0061612812494169,-0.007195823663781,-0.0076333383731139,-0.0077991381934461,-0.00781994562603447
0.0067738263715139,0.0122666139257721,0.0237858512755238,0.0319551032515511,0.0298611852048565,0.0232242223452831,0.0153281505575437,0.0073231508527244,-3.1292682402836263e-06,-0.0058739099404893,-0.0097481574241102,-0.0117661825114608,-0.012604957785232,-0.0129094604896059,-0.012945941151327195
0.0133560183520526,0.0214693414274264,0.0386420190332809,0.0510483015359178,0.0481115189428277,0.0383586472384593,0.026705785260312,0.014874988704573,0.0040443230233677,-0.0046268634986636,-0.01033305721818,-0.0132842325572998,-0.0144883025674089,-0.01490450617977,-0.01495153603729499
0.0224658257212735,0.0331222856124671,0.0558876565400479,0.0726403342687999,0.0689962254958662,0.0562587096904075,0.0409719589353237,0.0254285627436182,0.0111952428891784,-0.0001895241844159,-0.0076595197501467,-0.0114942015207756,-0.0130278072332591,-0.0135287166230177,-0.013581163495475423
0.0344159510815603,0.0475431019611063,0.0758485851651654,0.0970641032628695,0.0928482624662199,0.0772546449516425,0.0584534818488232,0.0393072274831329,0.0217699198859316,0.0077560811493388,-0.0014109466670825,-0.0060800539739086,-0.0079075251426012,-0.0084660496045624,-0.008518752941609798
0.0495555619408978,0.0650858715513334,0.0988875304747718,0.1246905236577139,0.1200390291488476,0.101715271114055,0.0795158041630781,0.0568730086713871,0.0361273531880756,0.0195667018943256,0.0087681352011077,0.0033132365896849,0.0012275966529215,0.0006387461461173,0.0005909957440476385
0.0682454957607816,0.0861162427088918,0.1253792834360363,0.1559038118484574,0.1509537088742505,0.1300233526762014,0.1045383897670903,0.0785019826636054,0.054640634877663,0.0356132506485401,0.0232474642513185,0.0170550812675929,0.0147471139002076,0.0141555304533324,0.014118012379381371
0.0908312819660222,0.1109843039300111,0.1556834844943235,0.1910743225703703,0.1859641652083729,0.1625485547920059,0.1338877261483029,0.1045573377966952,0.0776700567234379,0.0562539460330916,0.0423842107586054,0.0355024552285067,0.033008270885336,0.0324419610351502,0.03242004648321724
0.1176152872129076,0.1399964983347732,0.1901163409887248,0.2305302264228592,0.2254006678516454,0.1996192524204679,0.1678892251386389,0.1353613648389024,0.1055351810357876,0.0818064465183758,0.0664951504391041,0.0589720902102607,0.0563281995937203,0.0558156945484509,0.055814868537312254
0.1488293457148813,0.173387949517682,0.2289226536617134,0.2745293872362275,0.2695237910558016,0.2414945229363936,0.2067993307637916,0.1711676821160638,0.1384871721851817,0.1125202644552976,0.0958291283746328,0.0877129592213302,0.0849564083146687,0.0845268729480233,0.08455275565812867
0.1846092306427141,0.211296566797388,0.272249531812871,0.323232806261566,0.3184978347347165,0.2883376562612683,0.2507791536418602,0.2121350018395149,0.1766826842536979,0.1485507468341466,0.1305410931439965,0.1218803286357759,0.1190488316584185,0.1187321647738518,0.1187905308523976
0.2249722556578721,0.2537402347242894,0.3201231190113621,0.3766809472955407,0.372367066448439,0.3401924637002155,0.2998708970957208,0.2583036883548915,0.2201605431056779,0.1899358511075786,0.1706689223234584,0.1615125941297573,0.1586446553843632,0.158471572652479,0.15856836675473834
0.2697991702685841,0.3005982700165961,0.3724295348192565,0.4347741462036102,0.4310359739424074,0.3969635585006164,0.3539782316554353,0.3095762499910972,0.2688223515878063,0.236576834532983,0.2161141506860546,0.2065120074210428,0.2036470204314129,0.2036491097635646,0.20379045630675927
