Values,Values_02_32_36,Values_02_48_22,Values_03_03_55,Values_03_19_42,Values_03_35_14,Values_03_50_51,Values_04_06_05,Values_04_21_17,Values_04_37_09,Values_04_53_42,Values_05_10_20,Values_05_27_00,Values_05_43_42,Values_06_00_14,Values_06_16_44
0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612
0.02493052705317,0.0272888989678507,0.0275618300141977,0.0269519373436206,0.0258896107391283,0.024582288664945,0.0231514188666572,0.0216690958740309,0.0201784570496352,0.0187057862337181,0.0172676280246594,0.0158749047883342,0.014535245239131,0.0132542542176216,0.012036164406548,0.010884137468936392
-0.0105101686928047,-0.0057917566479952,-0.0052299415310765,-0.0064218885008007,-0.0085100024448423,-0.0110828235518335,-0.0138997311232189,-0.0168179882883764,-0.0197522331484177,-0.0226504669279913,-0.0254799550280865,-0.0282190763898397,-0.0308527184476026,-0.0333697693183409,-0.0357618332572821,-0.03802263935490944
-0.0238165600030637,-0.0167922157986963,-0.0159318878630098,-0.0176652010048626,-0.0207201881973426,-0.0244892274288359,-0.028617328745515,-0.0328940433227645,-0.0371935765108852,-0.0414393196608324,-0.0455830427739561,-0.0495928770557881,-0.0534465321899163,-0.0571276074676525,-0.0606237061255597,-0.06392557068433145
-0.0362934800152815,-0.0270242053243468,-0.0258565358920792,-0.0280890126813521,-0.0320493015880211,-0.0369420031244035,-0.0423028595766651,-0.0478568146772233,-0.0534395367904416,-0.0589509764750025,-0.0643281441841428,-0.0695294025942356,-0.0745256104345961,-0.0792953124629541,-0.0838222858671701,-0.0880944196971871
-0.0461776539324624,-0.0347226263300606,-0.0332384701610613,-0.0359282082072592,-0.040732819730637,-0.0466773582653839,-0.0531933123678957,-0.0599440729622761,-0.0667286388093485,-0.0734246726283752,-0.0799551520542042,-0.0862691453739177,-0.0923309845281863,-0.0981143929745607,-0.1035994968929555,-0.10877146594147638
-0.0531726216616166,-0.0395884404776779,-0.0377781207154041,-0.0408834894354831,-0.0464720861559945,-0.0533974520345988,-0.0609917259361938,-0.0688597381438651,-0.0767656497061016,-0.0845659682379568,-0.0921703537363728,-0.099519047684959,-0.1065701758402777,-0.1132928719706757,-0.1196637860766651,-0.12566550345007513
-0.0571368285136943,-0.0414772743382753,-0.0393304209668306,-0.0428098997198251,-0.0491226067595116,-0.0569584130345174,-0.065554904917685,-0.0744612840324354,-0.0834086717190813,-0.0922335341129583,-0.1008329179783035,-0.1091386995943611,-0.1171031160329209,-0.1246909417744108,-0.1318755256735662,-0.13863700508193236
-0.0577644899365607,-0.040080535249717,-0.0375859544798413,-0.041397911406927,-0.0483750313423666,-0.057051189918113,-0.0665741269977765,-0.0764402968958125,-0.0863495512555429,-0.0961194129454172,-0.1056350115169025,-0.1148203152797179,-0.1236219881914612,-0.1320006755779856,-0.1399266011934141,-0.14737759301211756
-0.054751495075551,-0.035091281456025,-0.0322368154918344,-0.0363392794898124,-0.0439209980345964,-0.0533673845504594,-0.0637409631825632,-0.0744882815141261,-0.0852796696380857,-0.0959147938210066,-0.1062675565369689,-0.1162544726926942,-0.1258169480201129,-0.1349117295135311,-0.1435060937130411,-0.15157570067930945
-0.0477923165035059,-0.026201190282481,-0.0229735798905307,-0.0273239864698353,-0.0354500338372804,-0.0455960978672026,-0.0567440632510417,-0.0682933832792137,-0.0798866005788392,-0.09130660482456,-0.102416758813374,-0.1131265780629359,-0.1233725257938567,-0.1331076833780747,-0.1422965608667726,-0.15091279566008203
-0.0366032197809063,-0.0131238791328549,-0.0095086395152343,-0.0140635442460135,-0.0226727975428815,-0.0334470989990028,-0.0452922431751463,-0.0575633900517312,-0.0698770250365768,-0.0820003409389731,-0.0937868496250158,-0.1051395234215258,-0.1159902015296135,-0.1262885357861902,-0.1359964545496946,-0.14508572267663322
-0.0209492570095574,0.0043779600877195,0.0083966403846378,0.0036818789066877,-0.0053481458282486,-0.016677813722767,-0.0291413870526742,-0.0420525433201016,-0.0550034500956705,-0.0677466908195591,-0.0801266216493079,-0.0920401335301123,-0.1034147653489735,-0.1141969807281986,-0.1243463167083034,-0.13383282186794784
-0.0006641363840692,0.0264725135441673,0.0309118358600679,0.0260833969791351,0.016696863454517,0.0048867489363495,-0.0081142873345927,-0.021581287543628,-0.0350838659782406,-0.048361101858485,-0.0612489036504363,-0.0736385525404335,-0.0854536189953416,-0.0966376272298545,-0.10714792073081,-0.11695299572864085
0.0243316112216507,0.0532404773306871,0.0581190418417478,0.0532249934145633,0.0435486026682148,0.0313356909312889,0.0178811218068783,0.0039455732008473,-0.0100198247353731,-0.023741781585198,-0.0370484863868841,-0.0498260969695466,-0.0619945589738467,-0.073494716147173,-0.0842819256827294,-0.09432330478930863
0.0540174307550569,0.0846616411019247,0.0899993829525753,0.0850900198390413,0.0751933932205636,0.0626587811883074,0.0488383661194194,0.0345255261373767,0.0201902607553617,0.0061170525593516,-0.0075153251001565,-0.020588413538025,-0.0330188928548106,-0.0447451983990213,-0.0557209201862105,-0.06591198103656572
0.08826508040584,0.1206070094884589,0.1264250421066988,0.1215531836576828,0.1115094788312907,0.0987384282039385,0.0846444097067465,0.0700503365418638,0.0554431120199737,0.0411171757266828,0.0272574682241966,0.013986531223033,0.0013905708227992,-0.0104667283751742,-0.0215374227135642,-0.03178643857336977
0.1268368316262199,0.1608367997301965,0.1671571450379662,0.1623783560702141,0.152264774733188,0.1393473788901659,0.1250773069550083,0.1103036534965515,0.0955281438366202,0.0810538660244521,0.0670710846537784,0.0537058578082072,0.041046873835293,0.0291596290902626,0.0180933504237222,0.007883894629026871
