Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
0.0100379854604294,0.0100379854604294,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.010037985460291,0.01003798546029107
-0.0040276694856115,-0.0138258151557771,-0.0194152335744543,-0.0217262952464945,-0.0222471686490743,-0.0223447657137948,-0.0224348572441415,-0.022465242542741,-0.0223749745900291,-0.0221755386151711,-0.0218771292609045,-0.0214880698624383,-0.021021338303129,-0.0204939448932307,-0.0199244845352146,-0.01933124066539317
-0.0103621621097771,-0.0299587260586026,-0.0412754139856337,-0.0460722365197972,-0.0472179229488196,-0.0474845328170833,-0.0477129702776841,-0.047797721100789,-0.0476277466525993,-0.0472382097470546,-0.0466548006615701,-0.0458949314289935,-0.0449836757685733,-0.0439538692273103,-0.0428416363487196,-0.041682670192787916
-0.0137620654779771,-0.0431676976216858,-0.0603549327827628,-0.0678148432036654,-0.0696902313139104,-0.0701977866258047,-0.0706133868710235,-0.0707770648697732,-0.0705384081335197,-0.0699684086937031,-0.0691135583381004,-0.0680011413203832,-0.0666674680199879,-0.0651600380403236,-0.0635314631986523,-0.061833993251642023
-0.0138963009044489,-0.0531294427590019,-0.0763349391948906,-0.0866380538807559,-0.0893494271149634,-0.0901707929653595,-0.0908232803231835,-0.0910913388607005,-0.0907957923349956,-0.0900555824385158,-0.0889433151182939,-0.0874969470134384,-0.0857631855932037,-0.0838030534103504,-0.0816846263517564,-0.07947587544624651
-0.0104981652182839,-0.0595861918644061,-0.0889632179757016,-0.1022935018338891,-0.1059492116053426,-0.1071586731512072,-0.1080990884222479,-0.1084982189548084,-0.1081586397656662,-0.1072593505070591,-0.1059043995980752,-0.104143235224258,-0.1020321427196922,-0.099644547502628,-0.0970629868925524,-0.09437033692767652
-0.0032229603011978,-0.0622030338664891,-0.0979114721148591,-0.1144577987721602,-0.1191689471715275,-0.1208427084134851,-0.1221238203899137,-0.1226822909111351,-0.1223128868386927,-0.1212667879292781,-0.1196848403893483,-0.1176288242515062,-0.1151638033827727,-0.1123745065934821,-0.109356950723971,-0.10620812031838411
0.0082939683119536,-0.0606261900720302,-0.1028338570216489,-0.1227912118429913,-0.1286723800559488,-0.1308890836746116,-0.1325658081702007,-0.1333137910234818,-0.1329303855983381,-0.131751123741906,-0.1299590471082705,-0.1276291315013452,-0.1248344386625247,-0.1216699206848048,-0.1182441122617933,-0.11466732985352937
0.0244207626061881,-0.0544994862897398,-0.1033835906264595,-0.1269543573849242,-0.1341243581184835,-0.1369656148497834,-0.1390954297306531,-0.1400653074563601,-0.1396855748803028,-0.138388384156995,-0.1364044317212876,-0.1338227793405662,-0.1307237223277086,-0.1272113728242865,-0.1234058404083533,-0.1194300160859632
0.0454990870872012,-0.0434942422971705,-0.0992429413072964,-0.1266382428774235,-0.1352208792430525,-0.1387717938442253,-0.1414151374489401,-0.1426417740064116,-0.1422854319762651,-0.1408873054600476,-0.1387312900385049,-0.1359214526149115,-0.1325445705615259,-0.1287128658038982,-0.1245570957491513,-0.12021198609627137
