Values,Values_01_18_23
106.00884717262376,106.00884717262376
12.901626972307948,12.908514320507138
0.5388784398418147,0.5455485782988808
0.1076438978341645,0.11487078611700931
-0.0456719191879871,-0.03787345003506824
-0.0787158497062254,-0.07035729814081004
-0.1142877899091185,-0.10539080625626272
-0.1443005666575738,-0.13488698035119587
-0.1694298904097982,-0.15952182761130593
-0.1891780643883607,-0.1787976610135149
-0.2033943853832585,-0.19256370926955857
-0.2117182749953074,-0.20045926172534217
-0.2137770867455776,-0.20211149042086698
-0.2092118953486349,-0.1971612670182284
-0.1976622878517994,-0.18524798762452052
-0.1788113860797193,-0.16605462961493897
-0.1523942654357417,-0.1393162054397632
-0.1182159316172627,-0.10483777104745792
-0.0761626356697524,-0.06250576608196011
-0.0262093338314823,-0.012295489238326334
0.0315763263421955,0.045724912850518266
0.0970339120370681,0.11139436426830977
0.1699128324021967,0.18446151711636138
0.249876779284405,0.26458924116341487
0.3365097393248284,0.3513607040994161
0.4293194471669224,0.4442829114283748
0.5277434658636053,0.5427928896739179
0.6311476002608483,0.6462562150556921
0.7388213172599161,0.7539625553158449
0.8499939318336038,0.8651419759717733
0.9637782454242844,0.9789086886230041
1.0792193591600283,1.0943099512089847
1.1953771047548654,1.2104085541373577
1.310855619363218,1.3258124054011469
1.4243984049877458,1.4392695504613873
1.5371721397994955,1.5519518829568206
1.6521001533824469,1.6667884366465546
1.770197191806001,1.7847999865275757
1.8901714595001893,1.9047010414544991
2.0106233495033985,2.0250985253645997
2.1304274311896183,2.1448736476032386
2.2482905106703703,2.2627398377315777
2.362897578075622,2.3773885702930566
2.472971320830481,2.48754876010372
2.577250916448196,2.591965457178973
2.674545234731485,2.6894529782342462
2.763757413354255,2.7789194504163173
2.8439125512320755,2.8593945170855024
2.914187324516945,2.930059012468718
2.973931903022148,2.9902669807567963
3.022689673424788,3.0395655372708417
3.060210684241802,3.07770847427319
3.086459934972673,3.1046647173288906
3.101620509255268,3.1206216139301817
3.1060921068334544,3.12598359086449
3.100485871820989,3.1213670608906114
3.085616098344316,3.1075921455929176
3.06248928089107,3.0856716709734506
3.032290469799512,3.056797389490822
2.996366535319197,3.022323029602088
2.9562055963898963,2.983743431262778
2.913411771141564,2.942668931615171
2.869674529675436,2.9007942936793842
2.8267322827133428,2.8598618286724733
2.786330377804207,2.821618904732672
2.750174294925518,2.787770657768332
2.7198794373693733,2.7599293253900776
2.696919440873628,2.739562151524486
2.682575297072378,2.7279401807444583
2.677887793321004,2.7260904651232063
2.683615836476606,2.7347542699709053
2.700203137963633,2.754353773374464
2.7277555096784063,2.7849695263196512
2.766030675992732,2.826330595665889
2.814442000409581,2.877818804088629
2.872076856856652,2.9384878080081975
2.937729548661312,3.007096918117865
3.0099476845185413,3.082158557794269
3.087089847572656,3.16199715994391
3.167391342375103,3.244816226167263
3.2490339037118217,3.328769346509618
3.330214683446884,3.4120303916148846
3.4092097173396003,3.492857968413703
3.48442748581747,3.5696496524858583
3.554449126626604,3.6409824814196527
3.618053204893488,3.705637582324681
3.6742245139529,3.762608422551779
3.722147956811564,3.811093795142359
3.7611899165282,3.850478044386991
3.790870516601069,3.8803020491253073
3.810830724097311,3.900229035008746
3.820798338203064,3.910009363571407
3.820556585384724,3.9094481005392545
3.8099183867052986,3.8983784810314446
3.788708454600757,3.8766434515131816
3.756754314034485,3.844086379462067
3.713886225652407,3.8005508830307946
3.6599449201436816,3.7458886493324606
3.5947951613751155,3.67997320957673
3.518342544311959,3.6027170253405627
3.430550696143288,3.514089006150932
3.331456246247773,3.4141297841819043
3.2211795147589357,3.302962667849784
3.0999297516350324,3.1807990916347166
2.968004776636765,3.0479384107940284
2.8257858132812346,2.904762842678093
2.673729031108365,2.751729084235867
2.512355680224063,2.5893585072957666
2.342242678130728,2.4182278077942576
2.164015175048268,2.2389616471050124
1.9783420680213728,2.052228262124281
1.7859347848388003,1.8587383659311714
1.5875490670667751,1.6592470644423556
1.383989013740705,1.4545580436261274
1.1761123445455448,1.2455289775705014
0.964835731578964,1.0330769977652785
0.7511390851138787,0.8181831010213835
0.5360678219889419,0.6018945179233696
0.3207323715385157,0.38532429143820074
0.1063044265660625,0.16964756931976152
-0.1059902965068074,-0.04390562809939059
-0.3148827723244087,-0.2540611500388261
-0.5190746208843638,-0.45951473217423366
-0.7172548800736764,-0.6589488657780764
-0.908119014437042,-0.8510519345628738
-1.0903894595765682,-1.0345389147184358
-1.26283693066314,-1.2081728613437135
-1.4243016871502687,-1.370786366842991
-1.573713949041006,-1.521302179144887
-1.7101127106215916,-1.6587522176059595
-1.832662285591074,-1.782294312441522
-1.940666030842625,-1.891226107415469
-2.0335768374956404,-1.9849957080145437
-2.111004137835826,-2.0632088190128304
-2.1727173288539583,-2.1256322692482033
-2.218645655259953,-2.1721939654676445
-2.248874718532817,-2.202979442278534
-2.2636398701802154,-2.218225267743433
-2.2633168090630127,-2.218309626002373
-2.248409736963916,-2.203740432152088
-2.21953744561468,-2.1751413527975463
-2.1774177196458866,-2.1332361161222084
-2.1228504524157787,-2.0788315074480197
-2.056699891837145,-2.0127994668160207
-1.9798764580208956,-1.936058731096403
-1.8933186005580969,-1.8495564911789248
-1.7979751780872872,-1.7542505520892606
-1.694788841230925,-1.6510924847602615
-1.5846808747464876,-1.541012234904064
-1.4685378976182717,-1.4249045984014208
-1.3472007426026968,-1.3036178954281699
-1.2214557434526054,-1.1779450811849432
-1.0920285524368114,-1.0486174235069141
-0.9595805089691668,-0.916300773233746
-0.8247074893935319,-0.7815943596018176
-0.6879410923238691,-0.6450319645194507
-0.5497519570899924,-0.5070852703679618
-0.4105549748900972,-0.36816913623097486
-0.2707161309495785,-0.2286485350269578
-0.1305607073441059,-0.08884687490548314
0.009617428969338,0.05094457676024579
0.1495457340991754,0.1904564536541826
0.2889623767642337,0.3294305257036124
0.4276054125512711,0.467608716315814
0.5652020741166285,0.6047222363986149
0.7014585401516564,0.7404812008736236
0.8360505939694416,0.8745651412838659
0.96861562453808,1.0066148703054603
1.0987464544977217,1.1362261862270193
1.2259875062717578,1.262945932851134
1.3498337973894283,1.3862709111589397
1.4697331895186485,1.5056500731335023
1.585092197393721,1.620490309946124
1.6952854638711452,1.7301659459606322
1.7996687424604785,1.8340317830891077
1.8975949108493708,1.9314392187669738
1.988432189877059,2.021754607020347
2.0715834094704784,2.1043786936123037
2.1465049005679213,2.1787656882667985
2.2127234632341666,2.244440403866204
2.269849900003712,2.301011929474729
2.317587836118246,2.3481825383488903
2.355736977007308,2.3857509661764036
2.384190521668872,2.413609771925814
2.4029270819321025,2.4317371361087323
2.411998067168535,2.440184071948221
2.4115119892199472,2.439058529454477
2.4016174415211613,2.4285081771053423
2.382486584226497,2.408703724331333
2.354300828741948,2.3798245053126093
2.317240071770261,2.342047692877128
2.271476351653804,2.2955420228943417
2.217172271379373,2.2404663691934377
2.1544840067574764,2.1769729722249407
2.0835682542548226,2.1052146521169703
2.004592128168228,2.0253549868833884
1.9177448165327853,1.9375802351531333
1.8232497491039652,1.842111729426319
1.721376111496366,1.7392175526096265
1.6124487312396478,1.6292225105279285
1.496855632827624,1.5125156937233737
1.3750528605907255,1.3895552326419518
1.247566453465485,1.260870143138858
1.114991714336347,1.1270594231239885
0.9779901111518604,0.988788758275515
0.8372842598606416,0.8467853073689332
0.6936514947080274,0.7018310908189251
0.5479165171618515,0.5547554875176596
0.4009435509418028,0.4064272761707862
0.2536283506355484,0.25774657205865265
0.1068902983270809,0.1096368922649607
-0.0383352915352625,-0.036962535705938604
-0.1811046264865624,-0.18110419746436165
-0.3204727059953001,-0.32183951345446704
-0.4555005259629135,-0.4582259878074277
-0.5852623567313765,-0.5893344326123485
-0.7088532379665201,-0.7142564188520643
-0.8253968051810928,-0.8321120743752861
-0.9340535021531996,-0.9420582865231849
-1.0340291643441353,-1.0432972951766841
-1.124583878207166,-1.1350855794824863
-1.205040944678177,-1.2167428629463286
-1.274795715765356,-1.287661000851433
-1.3333240324298112,-1.3473124725939212
-1.380189984061868,-1.3952581937419926
-1.415052727235008,-1.4311543807869764
-1.4376721364379164,-1.4547582378806256
-1.4479131177390188,-1.4659322947086542
