Values,Values_02_26_06,Values_02_35_19,Values_02_44_07,Values_02_52_57,Values_03_01_44,Values_03_10_39,Values_03_19_25,Values_03_28_19,Values_03_37_14,Values_03_44_21
-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243,-0.0008789892969243417
0.0013910915479522,0.0050484370723203,0.0027992507788178,0.0012870678686276,0.0001474320672954,-0.0007175617253763,-0.0013686211454303,-0.0018525259494519,-0.0022074925375524,-0.0024648976120139,-0.0026176590636901587
0.0049596518981284,0.0122163050867224,0.0077587286217227,0.0047794304980689,0.0025469053582812,0.0008605844194191,-0.0004043418606291,-0.0013425075663296,-0.0020298250208645,-0.0025278607825435,-0.002823302775072464
0.010581784083256,0.0213837613283943,0.014752930370249,0.0103483883118605,0.0070677282119024,0.0046024500278014,0.0027599689287704,0.001396571140349,0.0003990834013459,-0.0003231175108838,-0.0007513402021250522
0.0185736947677502,0.0328733722216122,0.0240957587203716,0.0183030814416426,0.0140161674386614,0.0108124940203,0.0084275762050375,0.0066671566021423,0.0053811066331934,0.0044508024582073,0.003899463143406208
0.0291817366743517,0.0469385212814956,0.0360314319969338,0.0288830028907867,0.0236290852155154,0.0197260611293412,0.0168328920191165,0.014703050542116,0.0131496303921905,0.0120269953876131,0.011362035490557788
0.0427240240394288,0.0639047365895802,0.0508763590583701,0.0424002680472419,0.0362165098569977,0.0316521805068208,0.0282844431529534,0.0258125009869949,0.0240127321160318,0.0227134269736695,0.02194427953546575
0.0595317007708846,0.0841111468521781,0.0689605044912034,0.0591810094608977,0.0521031011083848,0.046915107460638,0.0431064792091738,0.0403198624133663,0.038294879948079,0.0368346595641376,0.03597081637636153
0.0799320647279393,0.1078936023549171,0.0906107605960449,0.0795489978998441,0.071611993252943,0.0658383487693552,0.0616231384798273,0.0585498658886985,0.0563212784968092,0.0547162520499638,0.05376741719809211
0.104218547350089,0.1355546138516411,0.1161212719064069,0.103796309811798,0.095035751723053,0.0887158487094749,0.0841298073852972,0.0807991055785908,0.0783894467868219,0.0766564029554704,0.07563268450451016
0.1326240042749675,0.167336538963669,0.1457271938183205,0.1321575488634127,0.1226109639064944,0.1157868624917819,0.1108682027770719,0.1073112719773867,0.1047445591605451,0.1029013676122496,0.10181351380208634
0.1652946757750463,0.2033954037195947,0.1795792455082814,0.1647849606481182,0.1544937855579149,0.1472118239716241,0.1420024724859336,0.1382534185048096,0.1355558292972844,0.1336219248695056,0.13248160838717246
0.2022672667912471,0.2437778298917707,0.2177215074908553,0.201726872358516,0.1907388576635947,0.18305160795851,0.1775987027789698,0.173695641203015,0.1708963104563022,0.1688932616232637,0.16771341265476572
0.2434501268805794,0.2884020761397026,0.2600734340492859,0.2429103971243512,0.2312825080052917,0.2232510808590843,0.2176087106131717,0.2135950375763998,0.2107269693254756,0.2086791263028916,0.20747431138223213
0.2886097180816823,0.3370444088737979,0.3064172457566084,0.2881295277624141,0.2759313292669217,0.2676280056192973,0.2618591670390514,0.2577849764698563,0.2548860549036316,0.2528212652489079,0.2516081045180414
0.3373632377433378,0.3893316959867324,0.3563915292350598,0.3370393949868076,0.3243568672721811,0.3158680026348345,0.3100467296525566,0.3059703395884303,0.3030844106146936,0.3010347813579735,0.2998323916894499
0.389178010245992,0.44474085746083,0.4094915975510139,0.3891571800798697,0.3760968596577316,0.3675259693284901,0.3617395592116987,0.3577290899457649,0.3549070708455238,0.3529097462270609,0.35174019185849764
0.4433779270846473,0.5026054620247824,0.4650768070621009,0.4438698046670706,0.4305630910805323,0.4220339824270241,0.4163852140750629,0.4125201393361707,0.4098210988216805,0.407919012060236,0.406807738214063
0.4991568555429453,0.5621293849817874,0.522384643967413,0.5004481314426366,0.4870555384573397,0.478715312423347,0.4733245207543094,0.4696970913188645,0.4671892271423623,0.4654317741130044,0.46440799299695734
0.5555985604886388,0.6224070481957994,0.5805509980240846,0.5580670135319404,0.5447820847049024,0.5368037866967657,0.5318106280767739,0.5285270474148827,0.526288475153353,0.524732048581001,0.5238290418722631
0.6117023171901698,0.6824493763106141,0.6386356620269165,0.6158301592459053,0.6028827165322859,0.5954673822710459,0.5910321032411057,0.5882133199762656,0.586332576868077,0.5850408931567023,0.5842961914490311
0.6664130669286019,0.7412142578621836,0.6956517705165219,0.6727984722471604,0.6604568316260107,0.6538346529493588,0.6501386629119162,0.647920638488029,0.6464968026771256,0.6455409515249657,0.6449963502697997
0.7186546898961265,0.797640008096853,0.750597633470367,0.7280202995826018,0.7165920788802561,0.7110224148570747,0.7082679679405451,0.7068012834974897,0.7059436142327992,0.7054017654608128,0.7051031396578753
0.7673648395910182,0.8506801942598352,0.8024893326652605,0.7805619736486825,0.7703931436799052,0.7661631301480273,0.7645719466014059,0.7640206336820708,0.7638476539799454,0.7638043679280235,0.7638012550168533
0.811529545675225,0.8993379538052617,0.8503922774484224,0.8295369141150961,0.8210088116296275,0.8184303818354269,0.8182410878519154,0.8187806049822964,0.8194185761158406,0.81996368426284,0.8203086167272039
0.8502164748190842,0.9426986398698548,0.8934506862948731,0.8741323806972519,0.8676565126218194,0.8670617337311964,0.8685260704563382,0.8703404014342407,0.8719211778821866,0.8731482285866269,0.8738958144192613
0.882603538252047,0.9799574657108008,0.9309118617049864,0.9136309221621152,0.909641542662489,0.9113762945965476,0.9147541394701648,0.9180320570214908,0.9206903593369408,0.9226946583699848,0.923900427900123
0.9080086115074968,1.010447939063762,0.9621512975829496,0.9474327770630536,0.9463773970921946,0.9507935582236274,0.956346904086407,0.9612775162778668,0.9651477117295032,0.9680240242412868,0.9697430833359819
0.9258935402515712,1.0336443625449068,0.9866721777869676,0.9750530362320382,0.9773812305726194,0.9848276916030332,0.9928138433309616,0.9995816214393308,1.0047941594418413,1.0086341800131595,1.010919732812898
0.9359387919084308,1.0492348240604508,1.0041759478769354,0.9961904346315856,1.0023414422145025,1.013154358024393,1.023818665075216,1.0325981903616717,1.039275865504692,1.0441655802775769,1.0470673943914934
0.9379890965426716,1.0570654673927504,1.0145051103184566,1.010669333242023,1.0210593092499685,1.0355522848707135,1.0491209396832668,1.0600717575406395,1.0683260791892804,1.0743432182771653,1.0779061482363592
0.9364137657709156,1.0614994922688827,1.022001729864248,1.0227982047956403,1.0378077506097263,1.0562624326808423,1.0729356774059886,1.0861975026519504,1.096125342900682,1.1033370436139631,1.10759968246141
0.9352600861271164,1.0665878512009022,1.0306916747832822,1.0365721730776425,1.0565512559665076,1.0792223572360595,1.0991787495369048,1.1148747799554752,1.1265608336890418,1.1350254240937288,1.1400211580160555
0.9342694253461128,1.0720875991891596,1.0403117726307949,1.0517072560035992,1.0769855468072995,1.1041098132176312,1.127513274168706,1.1457554405714565,1.159276028183165,1.169045741977965,1.174804340800017
0.933543608332021,1.0781125762034156,1.0509529038957233,1.068270778253135,1.0991553643134888,1.1309498589324438,1.1579484627481982,1.1788365998648664,1.1942591043005235,1.205379698173921,1.2119270986853619
0.9330600746652926,1.084649873624686,1.0625775607621906,1.086200423616145,1.1229749539832,1.1596365369998305,1.1903622212348823,1.2139839155601169,1.2313667056623026,1.243877421915205,1.2512357127551312
0.9328286916147276,1.0917160291763963,1.0751758204374826,1.1054598844270285,1.1483834185045865,1.1900879915207614,1.2246560936080362,1.2510864079340491,1.270478675545251,1.2844121446849883,1.2925995166468427
0.9328497190379732,1.0993150429025278,1.088723622388319,1.125997449058329,1.1753036006520534,1.2222055996363257,1.260714586771863,1.2900159281954435,1.3114576290358702,1.3268398464144957,1.3358705861170466
0.9331250590752008,1.10744951323426,1.103194028997465,1.1477573943292392,1.203653602974635,1.2558856007859005,1.2984168866317891,1.330638939869697,1.3541607820928374,1.3710111187748872,1.3808956224573885
0.9336552317733836,1.1161175692161356,1.1185543306881152,1.1706772770048943,1.2333442537307964,1.2910167085308035,1.3376345829408864,1.3728143272698246,1.398437820346729,1.4167690769260617,1.427513889355377
0.9344401790930033,1.125313636027465,1.1347669760731898,1.1946890363439846,1.264280368616649,1.3274815041539436,1.3782331643218502,1.4163949651314096,1.4441325223222763,1.4639510207582835,1.475558896312829
0.9354790467923124,1.1350282020351552,1.1517895101631015,1.2197191085537051,1.2963610254262607,1.3651568424184248,1.4200725238914964,1.4612282971648165,1.4910833900752032,1.5123891023283211,1.52485908748624
0.9367702439048732,1.1452478821080836,1.169574809334385,1.2456888351804356,1.3294801279029005,1.4039145412982326,1.4630077440925038,1.507157189886549,1.53912455205644,1.5619112632353438,1.57523879908373
0.9383114315520192,1.1559554304044393,1.1880712662715935,1.2725148189627375,1.363526912800044,1.443622010262786,1.5068898158490749,1.5540207173013143,1.588086594136808,1.6123420981451388,1.6265191416955025
0.9400995343841668,1.167129795406683,1.2072230159628623,1.3001093166490636,1.3983864884810275,1.4841429046850294,1.5515663791646044,1.6016549632958248,1.6377974055092748,1.6635037310989664,1.6785188941554303
