Values,Values_03_49_29,Values_04_02_31,Values_04_14_43,Values_04_27_40,Values_04_40_31
1.4837105680703788,1.6761517932696162,1.7376885747347033,1.8284300550167685,1.8842093870206524,1.9303650223833986
1.481198944302333,1.673426571897103,1.734886714161895,1.8254958818600369,1.8811893339782064,1.9272710948446343
1.481401687146443,1.673345768143793,1.734673481913228,1.8251238067444369,1.880724860432393,1.9267312301066553
1.483658537647666,1.6752780306194044,1.7364314447185871,1.8266997324879592,1.8822014095920852,1.9281298762242582
1.48830092630768,1.6795657188891162,1.7405073539616238,1.8305702343719776,1.8859644785126557,1.9318115392585624
1.4955904422818231,1.6864826064343268,1.7471805579337412,1.8370153228679955,1.892293358922014,1.9380547219086404
1.505860757904416,1.6963755669980891,1.756804599773059,1.846390044452716,1.901542757723862,1.9472135625745133
1.5194589386698414,1.7096061809572616,1.7697490596465262,1.8590664846164973,1.914084870921401,1.959659950429217
1.536728300548993,1.7265336683229946,1.7863826021857276,1.8754169318297853,1.9302926132482623,1.9757667989889678
1.557977859170361,1.7474843475317503,1.807042515334959,1.8957835228758555,1.9505093312253723,1.9958778071435166
1.5834548693277757,1.772724065106958,1.8320071472124744,1.9204507502896853,1.975021368998404,2.02028007045981
1.613317863828334,1.8024310129219112,1.8614686568089127,1.949618238847726,2.004030886935957,2.049176937473329
1.6476126889310925,1.8366714273167328,1.895508565214486,1.983376264595999,2.0376313972465723,2.082663568483667
1.686252559429129,1.8753791989170696,1.934077134398108,2.021685032705577,2.075787023967463,2.1207061972186607
1.729003359174787,1.918340628402404,1.976977809358671,2.0643589406887224,2.1183167052471488,2.1631263063266433
1.7754750906347945,1.9651852462949704,2.0238576455163484,2.1110567424194024,2.164884246151457,2.209590618809438
1.825120129044113,2.015383371342686,2.0742044025422293,2.1612782914985127,2.214994895785604,2.2596075747926654
1.877238614951736,2.0682507647534463,2.1273506712808627,2.214368232862677,2.267998816517715,2.312530659793192
1.9309909790162647,2.122960401696936,2.182485067267355,2.2695266844222592,2.323101490767129,2.3675686320170435
1.9854172398079504,2.1785610321691555,2.238670177849465,2.325826610992965,2.379380777052129,2.423802366980168
2.039462369021748,2.2340018601682856,2.2948666098045405,2.3822372602677206,2.4358100007267183,2.48020771638856
2.092006704126079,2.288162358259768,2.349962175830969,2.4376527297407544,2.491286170111417,2.535683488245732
2.141900105570904,2.339885953168145,2.4028049805496,2.490924462676266,2.544662143073916,2.5890833933805806
2.1879984049003496,2.388016167209302,2.452239019561174,2.5408963292931173,2.5947814303298227,2.639250666937545
2.2292003865928662,2.431433494947452,2.4971406031962675,2.586440649802395,2.6405140224687,2.6850537737770432
2.264484226325948,2.469091969063779,2.536454593014784,2.6264941902505834,2.6807922983124794,2.725422273783259
2.2929397746288616,2.5000518296156327,2.569226901463168,2.660090619084943,2.714643522027845,2.759379366449579
2.31380299391303,2.523514610719308,2.5946395951002645,2.68639578522574,2.741225295187797,2.7860774816303384
2.3264627174938,2.538830830551899,2.612018834115973,2.704716072785537,2.759834218308727,2.8048071650770225
2.3305459795588166,2.5455864331764624,2.6209217302379173,2.714585843363116,2.7699937224221074,2.815085180539124
2.325858560715245,2.543544866223658,2.62107931336277,2.715711337668707,2.771398503045287,2.816599287334439
2.317160059276972,2.537423564649916,2.6171738599053693,2.712748876241144,2.7686931807968,2.8139871761536854
2.308883469249338,2.531629498097676,2.613593429660524,2.7100728892456987,2.7662464451445063,2.8116142736198464
2.3007648313482973,2.52588621322994,2.610058688462474,2.7074022874655497,2.763777045121357,2.8091994470011983
